Verdict,Confidence,SupplierTitle,AmazonTitle,Supplier EAN,Amazon EAN,ASIN,SupplierPrice_incVAT,SellingPrice_incVAT,NetProfit,ROI,Sales,Pack Verdict,Adjusted Profit,Key Match Evidence,Key Risks / Notes,Source,TitleSim
HIGH LIKELIHOOD,75,STATUS 3WAY BASIC C/FREE SOCKET WHT 1PK CLAM,STATUS 2 Way Socket | 2 USB Port Cable Free Socket | S2W2USBCFS12,5022822194984.0,5022822207776.0,B08CVK7746,3.49,9.00,0.04,1.2%,200,OK (1:1),0.04,Medium similarity (0.51) + pack OK + brand match + token overlap (3),Low profit margin,Winner (Report 2.7),0.5137614678899083
HIGH LIKELIHOOD,75,DRAPER SPANNER SET METRIC COMBINATION,Draper 1 x Redline 68481 Metric Combination Spanner Set (11-Piece),5010559684793.0,5010559684816.0,B0114IPMS6,6.18,15.10,2.15,37.8%,100,OK (1:1),2.15,Medium similarity (0.56) + pack OK + brand match + token overlap (5),None identified,Winner (Report 2.7),0.5631067961165048
HIGH LIKELIHOOD,75,PYREX ESSENTIALS CASSEROLE OVAL 4.1LTR,"Pyrex Essentials Glass oval Casserole high resistance, 3 L",3426470268684.0,-,B01LCYXS24,10.55,16.89,0.21,2.3%,100,OK (1:1),0.21,Medium similarity (0.60) + pack OK + brand match + token overlap (4),Low profit margin,Winner (Report 2.7),0.6041666666666666
HIGH LIKELIHOOD,75,ROUNDUP PATH WEEDKILLER RTU 1LTR 20% FREE,"Roundup Path Weedkiller, Ready to Use, Refill for Pressure Sprayer, 5 Litre",5017676016919.0,5017676016964.0,B01MYBH3SU,6.02,21.12,3.52,63.2%,50,OK (1:1),3.52,Medium similarity (0.55) + pack OK + brand match + token overlap (3),None identified,Winner (Report 2.7),0.5517241379310345
HIGH LIKELIHOOD,75,EVERBUILD BITUMEN TROWEL MASTIC 1 LITRE,"Everbuild 103 Premium Trowel Mastic, Stone, 6 kg",5029347009311.0,-,B0070U64RG,9.20,22.54,5.34,64.9%,50,OK (1:1),5.34,High similarity (0.67) + pack OK + brand match,None identified,Winner (Report 2.7),0.6666666666666666
HIGH LIKELIHOOD,75,EVERBUILD JET RAPID SET CEMENT 3KG,"Everbuild Jetcem Deep Rapid Repair Sand and Cement, Grey, 6 kg",5010618043103.0,-,B001V9T690,4.63,10.44,0.57,13.0%,50,OK (1:1),0.57,Medium similarity (0.65) + pack OK + brand match + token overlap (3),None identified,Winner (Report 2.7),0.6458333333333334
HIGH LIKELIHOOD,75,AMTECH SHARPENING STONE 2000,"Amtech E2300 300mm (12"") Cigar Sharpening Stone",5032759001675.0,-,B004TRT3K8,1.09,6.90,1.02,69.7%,50,OK (1:1),1.02,Medium similarity (0.61) + pack OK + brand match + token overlap (3),None identified,Winner (Report 2.7),0.6133333333333333
HIGH LIKELIHOOD,75,AMTECH BOX SPANNER /TOMMY BAR,Amtech K1150 6 Piece Tubular Box Spanner Set with Tommy bar,5032759049905.0,-,B004GY24EQ,2.74,7.69,0.21,7.3%,50,OK (1:1),0.21,Medium similarity (0.64) + pack OK + brand match + token overlap (5),Low profit margin,Winner (Report 2.7),0.6363636363636364
HIGH LIKELIHOOD,75,ROLSON CHALK LINE AND LAYOUT SET 3PCE,Rolson 52537 3 pc Chalk Line Set,5029594525374.0,-,B000QFCQ6U,2.68,7.36,0.02,0.8%,50,OK (1:1),0.02,Medium similarity (0.61) + pack OK + brand match + token overlap (4),Low profit margin,Winner (Report 2.7),0.6086956521739131
HIGH LIKELIHOOD,75,LITTLE TREES CAR FRESHENER ORANGE JUICE,Little Trees Air Freshener Tree LTZ084 Orange Juice Fragrance For Car Home Boat Caravan - Triple Pack,7612720201457.0,5015926091990.0,B08DRRKWKQ,0.94,4.98,0.61,45.9%,50,OK (1:1),0.61,High token Jaccard (0.46) + pack OK + token overlap (6),None identified,Winner (Report 2.7),0.5428571428571428
HIGH LIKELIHOOD,75,EXTRASTAR EXTENSION LEAD 2 GANG 2M WHITE,"EXTRASTAR 2 Gang Extension Lead, 2 Metre Extension Cable, Double Plug Socket 13A Fused Power Strip White",-,5060999035297.0,B0FG23ZTX7,3.59,9.49,0.25,7.0%,50,OK (1:1),0.25,Medium similarity (0.50) + pack OK + brand match + token overlap (5),Low profit margin,Winner (Report 2.7),0.5
NEEDS VERIFICATION,65,TIDYZ PEDAL BIN LINERS 40 WHITE TIE HANDLE 15L,Tidyz 6 Packs Of 40 White Plastic Bin Bags - Fits 15L Pedal Bin - Extra Strong Tie Handle - 240 Bags Total,5025364000652.0,8800202181437.0,B07F2MFZT5,0.80,9.38,2.73,223.5%,500,OK (1:1),2.73,High token Jaccard (0.43) + pack OK + token overlap (6),Low title similarity,Winner (Report 2.7),0.39473684210526316
NEEDS VERIFICATION,65,VFM EMULSION MATT  PAINT WHITE 5L,Dulux Walls & Ceilings Matt Emulsion Paint - Pure Brilliant White - 5L,5023608420693.0,5010212427750.0,B00JGSHTEC,5.76,22.96,5.20,97.3%,200,OK (1:1),5.20,High token Jaccard (0.40) + pack OK + token overlap (4),None identified,Winner (Report 2.7),0.4854368932038835
NEEDS VERIFICATION,65,BRIGHT & HOMELY REINFORCED GARDEN HOSE PIPE 30M,Faithfull 30M (98ft) Reinforced Hose 12.7 mm (1/2 Inch) Diameter â€“ PVC Garden Hose Pipe,5050796011389.0,5023969206691.0,B0001IWLMG,8.72,22.84,2.46,31.5%,100,OK (1:1),2.46,High token Jaccard (0.40) + pack OK + token overlap (4),None identified,Winner (Report 2.7),0.45588235294117646
NEEDS VERIFICATION,65,AMTECH PICK-UP TOOL TELE MAG 5LB,Amtech S8006 3 LED telescopic torch and magnetic pick up tool,5032759010035.0,-,B00HMDJD38,1.60,7.14,1.44,76.6%,100,OK (1:1),1.44,Medium similarity (0.64) + pack OK + brand match + token overlap (3),Low title similarity,Winner (Report 2.7),0.3870967741935484
NEEDS VERIFICATION,65,GIFTMAKER PENGUIN SANTA SACK,Giftmaker Collection Large Christmas Santa Sack Gift Stocking For Xmas Presents Special Delivery Bag,5012128584411.0,-,B09HCS9QM2,1.01,6.99,1.15,82.8%,100,OK (1:1),1.15,Medium similarity (0.60) + pack OK + brand match + token overlap (6),Low title similarity,Winner (Report 2.7),0.390625
NEEDS VERIFICATION,65,KINGFISHER PLASTIC 15 HALF PINT GLASSES,Plastic Half Pint Glasses 50 Pack Strong Disposable Beer Cups 284ml,5013478558008.0,-,B0C37Z88WM,0.85,8.99,2.18,173.1%,100,MISMATCH (1 vs 50),~109.08 (x50),High token Jaccard (0.44) + pack OK + token overlap (4),Pack qty difference (1 vs 50),Winner (Report 2.7),0.4716981132075472
NEEDS VERIFICATION,65,BACKPACK STANDARD PAW PATROL SKYE,Paw Patrol Skye Girls Backpack | Girls Backpacks | School Bag for Kids,5060569229804.0,-,B01MUGGPCZ,3.70,11.99,2.45,67.6%,100,OK (1:1),2.45,High token Jaccard (0.40) + pack OK + token overlap (4),Low title similarity,Winner (Report 2.7),0.2912621359223301
NEEDS VERIFICATION,65,AMTECH EXTRA LONG METRIC HEX KET SET 9PC,Sealey Ak7174 Hex Key Set 9Pc Extra-Long Stubby Element Metric,5032759049899.0,-,B003KIWJ1C,4.00,14.10,3.70,95.3%,50,OK (1:1),3.70,High token Jaccard (0.45) + pack OK + token overlap (5),Low title similarity,Winner (Report 2.7),0.37254901960784315
NEEDS VERIFICATION,65,FIRST STEPS BRUSH & COMB SET,Baby Hair Brush & Comb Set in White Soft & Gentle for your Baby First Steps,5015302100926.0,-,B06XJBVGLB,0.85,3.79,0.09,7.0%,50,OK (1:1),0.09,High token Jaccard (0.45) + pack OK + token overlap (5),Low title similarity; Low profit margin,Winner (Report 2.7),0.36893203883495146
NEEDS VERIFICATION,65,MEMORIAL PLASTIC SPIKE SPECIAL MUM & DAD,Mum And Dad - Plastic Spike Memorial Grave Vase With Butterfly Decoration,5055361711091.0,5056699407144.0,B0D8QFWZ7N,1.78,7.25,0.25,12.4%,50,OK (1:1),0.25,High token Jaccard (0.50) + pack OK + token overlap (5),Low profit margin,Winner (Report 2.7),0.4778761061946903
VERIFIED,95,BLUE CANYON VECTOR SHOWER SPRAY,Blue Canyon Vector Double Tap Shower Spray| Bathroom Accessory| Premium Shower Attachment for Bath taps| Push-on-Fitting...,5060187175750.0,5060187175750.0,B008F6946C,4.30,9.85,0.20,4.8%,500,OK (1:1),0.20,Exact EAN match: 5060187175750.0,Low title similarity; Low profit margin,Winner (Report 2.7),0.2683982683982684
VERIFIED,95,HIGHLAND COW PLAQUE FRIENDS,Lesser & Pavey Love & Affection Highland Cow Wooden Plaque - Friends For Home Decor & Gift | Wooden and Acrylic Plaques ...,5010792749549.0,5010792749549.0,B0DPQVJ4NW,6.59,14.99,1.24,20.6%,400,OK (1:1),1.24,Exact EAN match: 5010792749549.0,Low title similarity,Winner (Report 2.7),0.24545454545454545
VERIFIED,95,GLASS WHISKEY DECANTER,alpina Whiskey Decanter and Caraf,8711252100531.0,8711252100531.0,B07JD22MJ2,2.35,8.29,0.02,0.7%,200,OK (1:1),0.02,Exact EAN match: 8711252100531.0,Low profit margin,Winner (Report 2.7),0.6909090909090909
VERIFIED,95,MASON CASH MIXING BOWL CREAM 29CM,Mason Cash Colour Mix Cream Mixing Bowl | 4 Litre Capacity | 29cm Earthenware Bowl with Classic Pattern Design | Lightwe...,5010853235530.0,5010853235530.0,B01IFIJ91Y,7.66,24.99,5.11,73.8%,200,OK (1:1),5.11,Exact EAN match: 5010853235530.0,Low title similarity,Winner (Report 2.7),0.2743362831858407
VERIFIED,95,ELLIOTT WINDOW SQUEEGE 20CM,"Elliott Multi-Purpose Window Squeegee perfect for streak free cleaning on Windows, shower screens, cars and mirrors, Alu...",5013159300353.0,5013159300353.0,B00KB225MS,1.84,6.64,0.29,14.1%,200,OK (1:1),0.29,Exact EAN match: 5013159300353.0,Low title similarity; Low profit margin,Winner (Report 2.7),0.24434389140271492
VERIFIED,95,AMTECH LED MINI TORCH,Amtech S1532 9 LED mini Torch,5032759031078.0,5032759031078.0,B003XKPUSQ,1.72,7.99,2.35,118.6%,200,OK (1:1),2.35,Exact EAN match: 5032759031078.0,None identified,Winner (Report 2.7),0.84
VERIFIED,95,ELLIOTTS GLASS SPRAY BOTTLE BROWN480ML,"Elliott 480ml Brown Glass Spray Bottle, Manufactured from Recycled Glass and featuring a locking trigger action spray Me...",5013159004428.0,5013159004428.0,B099X92QGG,2.44,7.27,0.22,8.5%,100,OK (1:1),0.22,Exact EAN match: 5013159004428.0,Low title similarity; Low profit margin,Winner (Report 2.7),0.2782608695652174
VERIFIED,95,MEMORIAL WATERPROOF GRAVESIDE LANTERN WITH ROBIN SOMEONE SPECIAL,Waterproof Robin Memorial Graveside Lantern with LED Candle (Someone Special),5055361761119.0,5055361761119.0,B096KRFC4W,6.95,13.99,0.08,1.2%,50,OK (1:1),0.08,Exact EAN match: 5055361761119.0,Low profit margin,Winner (Report 2.7),0.723404255319149
VERIFIED,95,GEL  LED CANDLE FESTIVE ROBIN,Macneil Christmas Robin LED Gel Candle,5010792542737.0,5010792542737.0,B0FQK17X7F,7.73,15.10,1.30,18.5%,50,OK (1:1),1.30,Exact EAN match: 5010792542737.0,None identified,Winner (Report 2.7),0.417910447761194
VERIFIED,95,PRODEC CAULKER 12 INCH,"ProDec 12"" Flexible Caulker Blade for Fast, Efficient Application of Fillers and Caulk and Smoothing of Wallpaper",5019200117338.0,5019200117338.0,B008F7YP9C,4.57,9.63,0.68,15.7%,50,OK (1:1),0.68,Exact EAN match: 5019200117338.0,Low title similarity,Winner (Report 2.7),0.26666666666666666
VERIFIED,95,EVERREADY T8 4FT 36W TUBE LIGHT,Eveready T8 Tube 4ft 36w White 3500k,5050028016069.0,5050028016069.0,B005XKFN0O,2.99,18.99,8.00,263.2%,50,OK (1:1),8.00,Exact EAN match: 5050028016069.0,None identified,Winner (Report 2.7),0.6865671641791045
VERIFIED,95,HOUSE MATE STAINLESS STEEL CLEANER & POLISH,House Mate Stainless Steel Cleaner and Polisher 400ml (Pack of 1),5039295201040.0,5039295201040.0,B0111N9Z1O,3.89,10.43,0.79,20.9%,50,OK (1:1),0.79,Exact EAN match: 5039295201040.0,None identified,Winner (Report 2.7),0.7777777777777778
VERIFIED,95,CHRISTMAS LAPTRAY  ROBINS,Cushioned Lap Tray - Christmas Robins Design,5010792542676.0,5010792542676.0,B0FMS875KH,9.20,16.99,1.40,17.1%,50,OK (1:1),1.40,Exact EAN match: 5010792542676.0,None identified,Winner (Report 2.7),0.463768115942029
VERIFIED,95,CARAFE .5LT GLASS,"Arcoroc ARC C0199 Carafon Vin Carafe, Glass, transparent, 580 ml",26102251102.0,26102251102.0,B0042FBWQ0,2.56,8.99,0.76,28.4%,50,OK (1:1),0.76,Exact EAN match: 26102251102.0,Low title similarity,Winner (Report 2.7),0.2962962962962963
