ASIN,EAN,SupplierTitle,AmazonTitle,NetProfit,Sales,TitleSimilarity,TokenOverlap,TokenJaccard,BrandMatch,PackVerdict,Reason
B0114IPMS6,5010559684793.0,DRAPER SPANNER SET METRIC COMBINATION,Draper 1 x Redline 68481 Metric Combination Spanner Set (11-Piece),2.15333333333333,100,0.5631067961165048,5,0.7142857142857143,True,CONFIRMED (Title Analysis),Medium similarity (0.56) + pack OK + brand match + token overlap (5)
B0C37Z88WM,5030481970276.0,PPS PLASTIC GLASSES HALF PINT 50PCS,Plastic Half Pint Glasses 50 Pack Strong Disposable Beer Cups 284ml,1.71166666666666,100,0.45098039215686275,4,0.4444444444444444,False,CONFIRMED (Title Analysis),High token Jaccard (0.44) + pack OK + token overlap (4)
B0013IUIPA,5010853210520.0,PRICE & KENSINGTON 2 CUP TEAPOT MATT NAVY,Price & Kensington Black 6 Cup Teapot,0.0466666666666657,100,0.7692307692307693,4,0.5714285714285714,True,CONFIRMED (Title Analysis),High similarity (0.77) + pack OK + brand match
B01LCYXS24,3426470268684.0,PYREX ESSENTIALS CASSEROLE OVAL 4.1LTR,"Pyrex Essentials Glass oval Casserole high resistance, 3 L",0.213750000000001,100,0.6041666666666666,4,0.5714285714285714,True,CONFIRMED (Title Analysis),Medium similarity (0.60) + pack OK + brand match + token overlap (4)
B00HMDJD38,5032759005864.0,AMTECH TELESCOPIC PICKUP TOOL,Amtech S8006 3 LED telescopic torch and magnetic pick up tool,0.541666666666667,100,0.6444444444444445,3,0.375,True,CONFIRMED (Title Analysis),Medium similarity (0.64) + pack OK + brand match + token overlap (3)
B003KIWJ1C,5032759049899.0,AMTECH EXTRA LONG METRIC HEX KET SET 9PC,Sealey Ak7174 Hex Key Set 9Pc Extra-Long Stubby Element Metric,3.6975,50,0.37254901960784315,5,0.45454545454545453,False,CONFIRMED (Title Analysis),High token Jaccard (0.45) + pack OK + token overlap (5)
B08DRRKWKQ,7612720201457.0,LITTLE TREES CAR FRESHENER ORANGE JUICE,Little Trees Air Freshener Tree LTZ084 Orange Juice Fragrance For Car Home Boat Caravan - Triple Pack,0.61,50,0.5428571428571428,6,0.46153846153846156,False,CONFIRMED (Title Analysis),High token Jaccard (0.46) + pack OK + token overlap (6)
B01MYBH3SU,5017676016919.0,ROUNDUP PATH WEEDKILLER RTU 1LTR 20% FREE,"Roundup Path Weedkiller, Ready to Use, Refill for Pressure Sprayer, 5 Litre",3.52,50,0.5517241379310345,3,0.2727272727272727,True,CONFIRMED (Title Analysis),Medium similarity (0.55) + pack OK + brand match + token overlap (3)
B0070U64RG,5029347009311.0,EVERBUILD BITUMEN TROWEL MASTIC 1 LITRE,"Everbuild 103 Premium Trowel Mastic, Stone, 6 kg",5.33583333333333,50,0.6666666666666666,3,0.42857142857142855,True,CONFIRMED (Title Analysis),High similarity (0.67) + pack OK + brand match
B004TRT3K8,5032759001675.0,AMTECH SHARPENING STONE 2000,"Amtech E2300 300mm (12"") Cigar Sharpening Stone",1.0175,50,0.6133333333333333,3,0.75,True,CONFIRMED (Title Analysis),Medium similarity (0.61) + pack OK + brand match + token overlap (3)
B001V9T690,5010618043103.0,EVERBUILD JET RAPID SET CEMENT 3KG,"Everbuild Jetcem Deep Rapid Repair Sand and Cement, Grey, 6 kg",0.574999999999999,50,0.6458333333333334,3,0.3,True,CONFIRMED (Title Analysis),Medium similarity (0.65) + pack OK + brand match + token overlap (3)
B073VPL2VQ,5027785817369.0,ULTRATAPE PICTURE FRAME TAPE 24MMX50M,Ultratape | Picture Frame Tape | 48mm x 33m,0.431666666666667,50,0.85,4,1.0,False,CONFIRMED (Title Analysis),High similarity (0.85) + pack OK + token overlap (4)
B00ABJQTPU,5032759027644.0,"AMTECH POINTING TROWEL 150M(6"") WITH SOFT GRIP","Amtech G0230 150mm (6"") Pointing trowel with soft grip",0.625416666666666,50,0.74,5,1.0,True,CONFIRMED (Title Analysis),High similarity (0.74) + pack OK + brand match
B07NNY768K,5012823030916.0,FALCON ENAMEL ROUND PIE DISH  26CM,FALCON Round Pie Dish White 26CM,0.892083333333333,50,0.8181818181818182,4,0.6666666666666666,True,CONFIRMED (Title Analysis),High similarity (0.82) + pack OK + brand match
B004GY24EQ,5032759049905.0,AMTECH BOX SPANNER /TOMMY BAR,Amtech K1150 6 Piece Tubular Box Spanner Set with Tommy bar,0.207083333333334,50,0.6363636363636364,5,0.625,True,CONFIRMED (Title Analysis),Medium similarity (0.64) + pack OK + brand match + token overlap (5)
B082Q34WLQ,5038135559808.0,BAKER & SALT LOOSE CASE CAKE TIN 23CM,Baker & Salt Loose Based Round Cake Tin Deep - 09inch,0.404583333333332,50,0.7333333333333333,5,0.5555555555555556,True,CONFIRMED (Title Analysis),High similarity (0.73) + pack OK + brand match
B0D8QFWZ7N,5055361711091.0,MEMORIAL PLASTIC SPIKE SPECIAL MUM & DAD,Mum And Dad - Plastic Spike Memorial Grave Vase With Butterfly Decoration,0.251666666666667,50,0.4778761061946903,5,0.5,False,CONFIRMED (Title Analysis),High token Jaccard (0.50) + pack OK + token overlap (5)
B0FG23ZTX7,,EXTRASTAR EXTENSION LEAD 2 GANG 2M WHITE,"EXTRASTAR 2 Gang Extension Lead, 2 Metre Extension Cable, Double Plug Socket 13A Fused Power Strip White",0.248333333333333,50,0.5,5,0.38461538461538464,True,CONFIRMED (Title Analysis),Medium similarity (0.50) + pack OK + brand match + token overlap (5)
B0BYKDX25N,5010303194387.0,FAIRY MAX POWER SOAP DISPENSING DISH BRUSH,Fairy Soap Dispensing Dish Brush,0.0550000000000003,50,0.8648648648648649,5,0.7142857142857143,True,CONFIRMED (Title Analysis),High similarity (0.86) + pack OK + brand match
B0815B7FBY,5056287402902.0,HARRIS PUTTY KNIFE,Harris Seriously Good Putty Knife,0.134166666666667,50,0.7058823529411765,3,0.6,True,CONFIRMED (Title Analysis),High similarity (0.71) + pack OK + brand match
B06XJBVGLB,5015302100926.0,FIRST STEPS BRUSH & COMB SET,Baby Hair Brush & Comb Set in White Soft & Gentle for your Baby First Steps,0.0883333333333336,50,0.36893203883495146,5,0.45454545454545453,False,CONFIRMED (Title Analysis),High token Jaccard (0.45) + pack OK + token overlap (5)
B000QFCQ6U,5029594525374.0,ROLSON CHALK LINE AND LAYOUT SET 3PCE,Rolson 52537 3 pc Chalk Line Set,0.0233333333333336,50,0.6086956521739131,4,0.8,True,CONFIRMED (Title Analysis),Medium similarity (0.61) + pack OK + brand match + token overlap (4)
