SupplierTitle,AmazonTitle,EAN,EAN_OnPage,ASIN,SupplierPrice_incVAT,SellingPrice_incVAT,NetProfit,ROI,bought_in_past_month,amazon_sales_badge,sales_value,tier,confidence_score,flags,reasons,ean_exact_match,SupplierURL,AmazonURL,fba_seller_count,Category,_row_id,tier,confidence_score,reasons,flags,ean_exact_match,title_similarity,shared_tokens
PREMIER WALL CLOCK RED 35CM,"Premier Housewares Wall Clock, Metal, Red, 38 x 10 x 38 cm",5.01871E+12,5.01871E+12,B01DFA80MG,2.484,20.99,6.921666667,264.1857506,,,0,TIER_1_VERIFIED,95,,"Exact EAN match (checksum verified) | Strong title match (sim=0.63, shared=4) | Brand match: premier",True,https://www.efghousewares.co.uk/premier-wall-clock-red-35cm,https://www.amazon.co.uk/dp/B01DFA80MG,,Premier Wall Clock Red 35Cm,609,TIER_1_VERIFIED,95,"Exact EAN match (checksum verified) | Strong title match (sim=0.63, shared=4) | Brand match: premier",,True,0.634,4
GRUNDIG GROUND SOLAR LIGHT 14CM,Grundig LED Solar Floor Light 120 mm Black,8.71125E+12,8.71125E+12,B085LHSKKR,3.072,15.38,5.826666667,187.3526259,,,0,TIER_1_VERIFIED,80,,"Exact EAN match (checksum verified) | Moderate title match (sim=0.66, shared=3) | Brand match: grundig",True,https://www.efghousewares.co.uk/grundig-ground-solar-light-14cm,https://www.amazon.co.uk/dp/B085LHSKKR,,Grundig Ground Solar Light 14Cm,116,TIER_1_VERIFIED,80,"Exact EAN match (checksum verified) | Moderate title match (sim=0.66, shared=3) | Brand match: grundig",,True,0.658,3
LYNWOOD PAINT KETTLE 2.5LT,Lynwood Pls Paint Kettle,5.01657E+12,5.01657E+12,B003MPIK7U,1.272,7.14,1.0375,64.44099379,,,0,TIER_1_VERIFIED,80,,"Exact EAN match (checksum verified) | Moderate title match (sim=0.82, shared=3) | Brand match: lynwood",True,https://www.efghousewares.co.uk/lynwood-paint-kettle-2-5lt,https://www.amazon.co.uk/dp/B003MPIK7U,,Lynwood Paint Kettle 2 5Lt,130,TIER_1_VERIFIED,80,"Exact EAN match (checksum verified) | Moderate title match (sim=0.82, shared=3) | Brand match: lynwood",,True,0.816,3
PYREX ESSENTIALS CASSEROLE OVAL 4.1LTR,"Pyrex Oval Casserole with Lid Classic Glass, Transparent, 6.3 cm, 4.0 L",3.42647E+12,3.42647E+12,B01LCYXS24,10.548,19.69,0.628333333,6.727337616,100,100,100,TIER_1_VERIFIED,80,,"Exact EAN match (checksum verified) | Moderate title match (sim=0.47, shared=3) | Brand match: pyrex",True,https://www.efghousewares.co.uk/pyrex-essentials-casserole-oval-3ltr-pm-,https://www.amazon.co.uk/dp/B01LCYXS24,,Pyrex Essentials Casserole Oval 3Ltr Pm ,139,TIER_1_VERIFIED,80,"Exact EAN match (checksum verified) | Moderate title match (sim=0.47, shared=3) | Brand match: pyrex",,True,0.466,3
BELDRAY LINT REMOVER CORDLESS AND RECHARGABLE,"Beldray Easy Empty Electric Lint Remover - Cordless, Rechargeable Fabric Shaver, Remove Bobbles & Pills, 2 Speeds, Includes USB C Cable & Cleaning Brush, Suitable for All Fabrics, Up To 2.5 Hours Use",5.05406E+12,5.05406E+12,B0FND6FR1T,10.956,17.99,-0.668333333,-6.904269972,50,50,50,TIER_1_VERIFIED,80,UNPROFITABLE,"Exact EAN match (checksum verified) | Moderate title match (sim=0.35, shared=4) | Brand match: beldray",True,https://www.efghousewares.co.uk/beldray-lint-remover-cordless-and-rechargable-123238,https://www.amazon.co.uk/dp/B0FND6FR1T,,Beldray Lint Remover Cordless And Rechargable 123238,146,TIER_1_VERIFIED,80,"Exact EAN match (checksum verified) | Moderate title match (sim=0.35, shared=4) | Brand match: beldray",UNPROFITABLE,True,0.35,4
APOLLO SET 4 WOOD EGG CUPS,"Apollo T4523 Beech 4 Egg Cup Set, Natural Wood, 24x5.5x5.5",5.02618E+12,5.02618E+12,B004V345VW,3.024,7.99,-0.341666667,-11.12920738,50,50,50,TIER_1_VERIFIED,80,UNPROFITABLE,"Exact EAN match (checksum verified) | Moderate title match (sim=0.47, shared=3) | Brand match: apollo",True,https://www.efghousewares.co.uk/apollo-set-4-wood-egg-cups,https://www.amazon.co.uk/dp/B004V345VW,,Apollo Set 4 Wood Egg Cups,148,TIER_1_VERIFIED,80,"Exact EAN match (checksum verified) | Moderate title match (sim=0.47, shared=3) | Brand match: apollo",UNPROFITABLE,True,0.475,3
APOLLO COFFEE PLUNGER 350ML PP FRAME,Apollo Black Coffee Plunger / 350ml Jug - 2 Cup/Caffettiera French Filter Press/Tempered Glass,5.02618E+12,5.02618E+12,B00BQDWJB8,3.924,7.75,-1.221666667,-31.98080279,100,100,100,TIER_1_VERIFIED,80,UNPROFITABLE,"Exact EAN match (checksum verified) | Moderate title match (sim=0.52, shared=4) | Brand match: apollo",True,https://www.efghousewares.co.uk/apollo-coffee-plunger-350ml-pp-frame-114269,https://www.amazon.co.uk/dp/B00BQDWJB8,Available (see Keepa data),Apollo Coffee Plunger 350Ml Pp Frame 114269,176,TIER_1_VERIFIED,80,"Exact EAN match (checksum verified) | Moderate title match (sim=0.52, shared=4) | Brand match: apollo",UNPROFITABLE,True,0.524,4
JUST STATIONERY LABELS  WHITE 70X25,Just Stationery 19x12mm Sticky Label - White,5.01392E+12,5.01392E+12,B009CVGGOC,0.708,2.98,-0.646666667,-56.7251462,200,200,200,TIER_1_VERIFIED,80,UNPROFITABLE,"Exact EAN match (checksum verified) | Moderate title match (sim=0.72, shared=3) | Brand match: just",True,https://www.efghousewares.co.uk/just-stationery-labels-white-70x25,https://www.amazon.co.uk/dp/B009CVGGOC,Available (see Keepa data),Just Stationery Labels White 70X25,204,TIER_1_VERIFIED,80,"Exact EAN match (checksum verified) | Moderate title match (sim=0.72, shared=3) | Brand match: just",UNPROFITABLE,True,0.718,3
JUST STATIONERY WHITE BOARD A4,Just Stationery A4 Magnetic Dry Wipe Board - Assorted Colours,5.01392E+12,5.01392E+12,B00465Q01I,1.212,3.36,-1.08,-69.23076923,,,0,TIER_1_VERIFIED,80,UNPROFITABLE,"Exact EAN match (checksum verified) | Moderate title match (sim=0.60, shared=3) | Brand match: just",True,https://www.efghousewares.co.uk/just-stationery-white-board-a4,https://www.amazon.co.uk/dp/B00465Q01I,Available (see Keepa data),Just Stationery White Board A4,212,TIER_1_VERIFIED,80,"Exact EAN match (checksum verified) | Moderate title match (sim=0.60, shared=3) | Brand match: just",UNPROFITABLE,True,0.6,3
ARTBOX A4 TRACING PAPER 60SHEETS,Artbox A4 tracing paper - 60 sheets,5.01392E+12,5.01392E+12,B004KRB7TM,0.804,2.81,-1.048333333,-85.92896175,200,200,200,TIER_1_VERIFIED,80,UNPROFITABLE,"Exact EAN match (checksum verified) | Moderate title match (sim=0.97, shared=3) | Brand match: artbox",True,https://www.efghousewares.co.uk/artbox-a4-tracing-paper-60sheets,https://www.amazon.co.uk/dp/B004KRB7TM,Available (see Keepa data),Artbox A4 Tracing Paper 60Sheets,224,TIER_1_VERIFIED,80,"Exact EAN match (checksum verified) | Moderate title match (sim=0.97, shared=3) | Brand match: artbox",UNPROFITABLE,True,0.97,3
LITTLE STARS VEHICLES PLATE,Lesser & Pavey LP42480A Little Stars Vehicles Plate,5.01079E+12,5.01079E+12,B07GX1BVNP,2.352,6.72,-0.57,-22.70916335,50,50,50,TIER_1_VERIFIED,75,BRAND_MISMATCH | UNPROFITABLE,"Exact EAN match (checksum verified) | Strong title match (sim=0.70, shared=4)",True,https://www.efghousewares.co.uk/little-stars-vehicles-plate-114700,https://www.amazon.co.uk/dp/B07GX1BVNP,Available (see Keepa data),Little Stars Vehicles Plate 114700,253,TIER_1_VERIFIED,75,"Exact EAN match (checksum verified) | Strong title match (sim=0.70, shared=4)",BRAND_MISMATCH | UNPROFITABLE,True,0.701,4
HAMISH HIGHLAND COW LAPTRAY,Bug Art Laptray Hamish Highland Cow,5.01079E+12,5.01079E+12,B0D9QZ2YTQ,9.816,14.95,-2.441666667,-27.96869034,100,100,100,TIER_1_VERIFIED,75,BRAND_MISMATCH | UNPROFITABLE,"Exact EAN match (checksum verified) | Strong title match (sim=0.61, shared=4)",True,https://www.efghousewares.co.uk/hamish-highland-cow-laptray-116477,https://www.amazon.co.uk/dp/B0D9QZ2YTQ,Available (see Keepa data),Hamish Highland Cow Laptray 116477,254,TIER_1_VERIFIED,75,"Exact EAN match (checksum verified) | Strong title match (sim=0.61, shared=4)",BRAND_MISMATCH | UNPROFITABLE,True,0.613,4
BEST MUM BIRTHDAY WINE GLASS,Lesser & Pavey Camilla & Rose Best Mum Wine Glass,5.01079E+12,5.01079E+12,B0C2487LFK,0.936,13.99,6.169583333,463.8784461,,,0,TIER_1_VERIFIED,60,BRAND_MISMATCH,"Exact EAN match (checksum verified) | Moderate title match (sim=0.51, shared=4)",True,https://www.efghousewares.co.uk/best-mum-birthday-wine-glass-116470,https://www.amazon.co.uk/dp/B0C2487LFK,,Best Mum Birthday Wine Glass 116470,264,TIER_1_VERIFIED,60,"Exact EAN match (checksum verified) | Moderate title match (sim=0.51, shared=4)",BRAND_MISMATCH,True,0.507,4
PLAY MAT AND VEHICLE SET ASSORTED,KandyToys Car Play Mat | Car Play Mat with Sign and Traffic Cone | Assorted Designs,5.03385E+12,5.03385E+12,B0D8WN7QS8,4.284,12.99,2.67125,64.83616505,,,0,TIER_1_VERIFIED,60,BRAND_MISMATCH,"Exact EAN match (checksum verified) | Moderate title match (sim=0.46, shared=3)",True,https://www.efghousewares.co.uk/play-mat-and-vehicle-set-assorted-118893,https://www.amazon.co.uk/dp/B0D8WN7QS8,,Play Mat And Vehicle Set Assorted 118893,285,TIER_1_VERIFIED,60,"Exact EAN match (checksum verified) | Moderate title match (sim=0.46, shared=3)",BRAND_MISMATCH,True,0.456,3
MOON DIG KIT,World Of Science Moon Dig Kit,5.03385E+12,5.03385E+12,B0DJBQW1KW,5.364,12.19,1.204583333,23.99568393,,,0,TIER_1_VERIFIED,60,BRAND_MISMATCH,"Exact EAN match (checksum verified) | Moderate title match (sim=0.59, shared=3)",True,https://www.efghousewares.co.uk/moon-dig-kit-122339,https://www.amazon.co.uk/dp/B0DJBQW1KW,,Moon Dig Kit 122339,295,TIER_1_VERIFIED,60,"Exact EAN match (checksum verified) | Moderate title match (sim=0.59, shared=3)",BRAND_MISMATCH,True,0.585,3
GEL  LED CANDLE FESTIVE ROBIN,Macneil Christmas Robin LED Gel Candle,5.01079E+12,5.01079E+12,B0FQK17X7F,7.728,14.95,1.189583333,17.01835956,,,0,TIER_1_VERIFIED,60,BRAND_MISMATCH,"Exact EAN match (checksum verified) | Moderate title match (sim=0.42, shared=4)",True,https://www.efghousewares.co.uk/gel-led-candle-festive-robin-120514,https://www.amazon.co.uk/dp/B0FQK17X7F,,Gel Led Candle Festive Robin 120514,301,TIER_1_VERIFIED,60,"Exact EAN match (checksum verified) | Moderate title match (sim=0.42, shared=4)",BRAND_MISMATCH,True,0.418,4
APOLLO COFFEE PLUNGER 1.5L PP FRAME,French Press 12 Cup Coffee Plunger - 1500ml Capacity - Easy-Clean Filter - Heat Resistant Frame and Handle,5.02618E+12,5.02618E+12,B087ZKBSWC,10.212,15.5,-1.733333333,-19.1317145,100,100,100,TIER_1_VERIFIED,60,BRAND_MISMATCH | UNPROFITABLE,"Exact EAN match (checksum verified) | Moderate title match (sim=0.41, shared=3)",True,https://www.efghousewares.co.uk/apollo-coffee-plunger-1-5l-pp-frame-114274,https://www.amazon.co.uk/dp/B087ZKBSWC,Available (see Keepa data),Apollo Coffee Plunger 1 5L Pp Frame 114274,331,TIER_1_VERIFIED,60,"Exact EAN match (checksum verified) | Moderate title match (sim=0.41, shared=3)",BRAND_MISMATCH | UNPROFITABLE,True,0.412,3
M Y PENGUIN PERIL GAME,"M.Y Penguin Peril Family Board Game | 2-4 Player Kids Family Game | Icebreaker, Penguin Drop Challenge",5.03385E+12,5.03385E+12,B076BH59NG,3.96,8.95,-0.791666667,-20.56277056,50,50,50,TIER_1_VERIFIED,60,BRAND_MISMATCH | UNPROFITABLE,"Exact EAN match (checksum verified) | Moderate title match (sim=0.35, shared=3)",True,https://www.efghousewares.co.uk/m-y-penguin-peril-game-61063,https://www.amazon.co.uk/dp/B076BH59NG,,M Y Penguin Peril Game 61063,333,TIER_1_VERIFIED,60,"Exact EAN match (checksum verified) | Moderate title match (sim=0.35, shared=3)",BRAND_MISMATCH | UNPROFITABLE,True,0.353,3
EXITEX BRUSH STRIP PVC 914MM WHITE,"White PVC Brush Strip Draught Excluder 914mm – Door Bottom Seal with 18mm Bristles, Noise & Dust Stopper, Includes Screws",5.01657E+12,5.01657E+12,B01N2H1F7N,2.616,9.1,-0.686666667,-25.15262515,,,0,TIER_1_VERIFIED,60,BRAND_MISMATCH | UNPROFITABLE,"Exact EAN match (checksum verified) | Moderate title match (sim=0.37, shared=5)",True,https://www.efghousewares.co.uk/exitex-brush-strip-pvc-914mm-white-107220,https://www.amazon.co.uk/dp/B01N2H1F7N,Available (see Keepa data),Exitex Brush Strip Pvc 914Mm White 107220,343,TIER_1_VERIFIED,60,"Exact EAN match (checksum verified) | Moderate title match (sim=0.37, shared=5)",BRAND_MISMATCH | UNPROFITABLE,True,0.371,5
PYREX OPTIMUM ROASTER 28CM X 17CM (PM),Pyrex 406B000 Roasting Dish Rectangular Glass Transparent 27 x 17 cm,3.42647E+12,3.42647E+12,B00RXIJGHA,6.5376,10.95,-1.553,-25.89196399,100,100,100,TIER_1_VERIFIED,60,UNPROFITABLE,"Exact EAN match (checksum verified) | Weak title match (sim=0.44, shared=1) | Brand match: pyrex",True,https://www.efghousewares.co.uk/pyrex-optimum-roaster-28cm-x-17cm-pm-,https://www.amazon.co.uk/dp/B00RXIJGHA,,Other,348,TIER_1_VERIFIED,60,"Exact EAN match (checksum verified) | Weak title match (sim=0.44, shared=1) | Brand match: pyrex",UNPROFITABLE,True,0.442,1
HAMISH HIGHLAND COW MUG,The Leonardo Collection Bug Art Mug Hamish Highland Cow,5.01079E+12,5.01079E+12,B0CJWDD9KC,4.44,8.69,-1.368333333,-32.19607843,,,0,TIER_1_VERIFIED,60,BRAND_MISMATCH | UNPROFITABLE,"Exact EAN match (checksum verified) | Moderate title match (sim=0.49, shared=4)",True,https://www.efghousewares.co.uk/hamish-highland-cow-mug-116484,https://www.amazon.co.uk/dp/B0CJWDD9KC,Available (see Keepa data),Hamish Highland Cow Mug 116484,364,TIER_1_VERIFIED,60,"Exact EAN match (checksum verified) | Moderate title match (sim=0.49, shared=4)",BRAND_MISMATCH | UNPROFITABLE,True,0.487,4
EXITEX GLAZING FILM 4.5M2 CLEAR,"Insulating Film for Windows, Transparent Glazing Film 4.5m2 (3m x 1.5m)",5.01657E+12,5.01657E+12,B002TPQ5D0,5.448,6.99,-2.595,-50.98231827,,,0,TIER_1_VERIFIED,60,BRAND_MISMATCH | UNPROFITABLE,"Exact EAN match (checksum verified) | Moderate title match (sim=0.44, shared=3)",True,https://www.efghousewares.co.uk/exitex-glazing-film-4-5m2-clear-107243,https://www.amazon.co.uk/dp/B002TPQ5D0,Available (see Keepa data),Exitex Glazing Film 4 5M2 Clear 107243,405,TIER_1_VERIFIED,60,"Exact EAN match (checksum verified) | Moderate title match (sim=0.44, shared=3)",BRAND_MISMATCH | UNPROFITABLE,True,0.438,3
M Y RACE TO BASE GAME,"KandyToys Race to Base Board Game - 2-4 Players, Age 4+",5.03385E+12,5.03385E+12,B0168XP2XC,3.96,7.1,-2.053333333,-53.33333333,,,0,TIER_1_VERIFIED,60,BRAND_MISMATCH | UNPROFITABLE,"Exact EAN match (checksum verified) | Moderate title match (sim=0.53, shared=3)",True,https://www.efghousewares.co.uk/m-y-race-to-base-game,https://www.amazon.co.uk/dp/B0168XP2XC,Available (see Keepa data),M Y Race To Base Game,409,TIER_1_VERIFIED,60,"Exact EAN match (checksum verified) | Moderate title match (sim=0.53, shared=3)",BRAND_MISMATCH | UNPROFITABLE,True,0.528,3
ART BOX MODELLING CLAY 12,THE ART BOXARTBOX Medium Modelling Clay (Strip of 12) (Package may vary),5.01392E+12,5.01392E+12,B00BGERNOU,0.852,2.85,-0.905,-71.82539683,50,50,50,TIER_1_VERIFIED,60,BRAND_MISMATCH | UNPROFITABLE,"Exact EAN match (checksum verified) | Moderate title match (sim=0.54, shared=3)",True,https://www.efghousewares.co.uk/art-box-modelling-clay-12-6-12,https://www.amazon.co.uk/dp/B00BGERNOU,Available (see Keepa data),Art Box Modelling Clay 12 6 12,417,TIER_1_VERIFIED,60,"Exact EAN match (checksum verified) | Moderate title match (sim=0.54, shared=3)",BRAND_MISMATCH | UNPROFITABLE,True,0.538,3
Cat Bowls 2pk - Trend 17cm,Cat Bowls - 2 Pack Assorted colors,5.05617E+12,5.05617E+12,B096T1TLC3,0.936,3.99,-1.275,-95.86466165,600,600,600,TIER_1_VERIFIED,60,UNPROFITABLE,"Exact EAN match (checksum verified) | Weak title match (sim=0.66, shared=2) | Brand match: cat",True,https://www.efghousewares.co.uk/cat-bowls-2pk-trend-17cm-108271,https://www.amazon.co.uk/dp/B096T1TLC3,Available (see Keepa data),Cat Bowls 2Pk Trend 17Cm 108271,428,TIER_1_VERIFIED,60,"Exact EAN match (checksum verified) | Weak title match (sim=0.66, shared=2) | Brand match: cat",UNPROFITABLE,True,0.655,2
JUST STATIONERY WAGE PACKETS 80PK,"Tallon Just Stationery 100x110mm Wage Packet (Pack of 80), 4250/48",5.01392E+12,5.01392E+12,B005LUKS2E,0.9,3.49,-1.411666667,-108.5897436,50,50,50,TIER_1_VERIFIED,60,BRAND_MISMATCH | UNPROFITABLE,"Exact EAN match (checksum verified) | Moderate title match (sim=0.63, shared=3)",True,https://www.efghousewares.co.uk/just-stationery-wage-packets-80,https://www.amazon.co.uk/dp/B005LUKS2E,Available (see Keepa data),Just Stationery Wage Packets 80,432,TIER_1_VERIFIED,60,"Exact EAN match (checksum verified) | Moderate title match (sim=0.63, shared=3)",BRAND_MISMATCH | UNPROFITABLE,True,0.632,3
WAX/OIL WARMER SILVER CUBE TWIN,Lesser & Pavey Desire Aroma Silver Cube TWN Wax/Oil Warmer For Women & Men | Lovely Designed Wax Melt Burner | Oil & Wax Burner For all Types of Homes or Offices,5.01079E+12,5.01079E+12,B09MG33RPQ,1.884,13.53,4.815,227.1226415,,,0,TIER_1_VERIFIED,40,BRAND_MISMATCH,"Exact EAN match (checksum verified) | Weak title match (sim=0.25, shared=5)",True,https://www.efghousewares.co.uk/wax/oil-warmer-silver-cube-twin-116490,https://www.amazon.co.uk/dp/B09MG33RPQ,,Oil Warmer Silver Cube Twin 116490,492,TIER_1_VERIFIED,40,"Exact EAN match (checksum verified) | Weak title match (sim=0.25, shared=5)",BRAND_MISMATCH,True,0.249,5
LITTLE SNAPPERS,HTI kids childs shark fishing game catch the sharks toy Christmas stocking filler,5.05084E+12,5.05084E+12,B089NFDR5R,1.344,9.99,3.19625,191.3922156,,,0,TIER_1_VERIFIED,40,BRAND_MISMATCH,"Exact EAN match (checksum verified) | Weak title match (sim=0.21, shared=0)",True,https://www.efghousewares.co.uk/little-snappers-111379,https://www.amazon.co.uk/dp/B089NFDR5R,,Little Snappers 111379,493,TIER_1_VERIFIED,40,"Exact EAN match (checksum verified) | Weak title match (sim=0.21, shared=0)",BRAND_MISMATCH,True,0.208,0
"JACK RUSSELL MUG, COASTER & TRAY","Lesser & Pavey Coaster, Tray & Mug Set | Coffee Table Tray, Mugs & Coasters Set Perfect For Any Home or Office | Jack Russ Tea & Coffee Mug With Tray & Coast Set - Sarah Boddy",5.01079E+12,5.01079E+12,B0CMR6XWRD,2.22,11.99,4.211666667,175.4861111,,,0,TIER_1_VERIFIED,40,BRAND_MISMATCH,"Exact EAN match (checksum verified) | Weak title match (sim=0.27, shared=4)",True,https://www.efghousewares.co.uk/jack-russell-mug-coaster-tray-116516,https://www.amazon.co.uk/dp/B0CMR6XWRD,Available (see Keepa data),Jack Russell Mug Coaster Tray 116516,495,TIER_1_VERIFIED,40,"Exact EAN match (checksum verified) | Weak title match (sim=0.27, shared=4)",BRAND_MISMATCH,True,0.267,4
