SupplierTitle,AmazonTitle,EAN,EAN_OnPage,ASIN,SupplierPrice_incVAT,SellingPrice_incVAT,NetProfit,ROI,bought_in_past_month,amazon_sales_badge,sales_value,tier,confidence_score,flags,reasons,ean_exact_match,SupplierURL,AmazonURL,fba_seller_count,Category,_row_id,tier,confidence_score,reasons,flags,ean_exact_match,title_similarity,shared_tokens
ACCTIM RILEY WALL CLOCK BLACK,Acctim 22573 Riley 30cm Retro Black Wall Clock,5.01256E+12,5.01256E+12,B07B9JSJRQ,16.056,26.89,1.378333333,9.894711654,,,0,TIER_2_LIKELY,75,EAN_CHECKSUM_FAIL,"EAN digits match but checksum invalid | Strong title match (sim=0.61, shared=5) | Brand match: acctim",False,https://www.efghousewares.co.uk/acctim-riley-wall-clock-black-106888,https://www.amazon.co.uk/dp/B07B9JSJRQ,,Acctim Riley Wall Clock Black 106888,23,TIER_2_LIKELY,75,"EAN digits match but checksum invalid | Strong title match (sim=0.61, shared=5) | Brand match: acctim",EAN_CHECKSUM_FAIL,False,0.613,5
ESCENTI TEA TREE CREAM,Escenti Tea Tree Cream 28g,5.02054E+12,5.02054E+12,B0995W6PHP,1.14,4.12,0.103333333,6.888888889,100,100,100,TIER_2_LIKELY,75,EAN_CHECKSUM_FAIL,"EAN digits match but checksum invalid | Strong title match (sim=0.92, shared=4) | Brand match: escenti",False,https://www.efghousewares.co.uk/escenti-tea-tree-cream,https://www.amazon.co.uk/dp/B0995W6PHP,Available (see Keepa data),Escenti Tea Tree Cream,24,TIER_2_LIKELY,75,"EAN digits match but checksum invalid | Strong title match (sim=0.92, shared=4) | Brand match: escenti",EAN_CHECKSUM_FAIL,False,0.917,4
ACCTIM CLIFFBURN CLOCK TAUPE,Acctim Cliffburn Mantel Clock Quartz Glass Lens Taupe,5.01256E+12,5.01256E+12,B071CKRHDB,16.056,25.75,0.628333333,4.51064848,,,0,TIER_2_LIKELY,75,EAN_CHECKSUM_FAIL,"EAN digits match but checksum invalid | Strong title match (sim=0.69, shared=4) | Brand match: acctim",False,https://www.efghousewares.co.uk/accti-cliffburn-clock-taupe-106858,https://www.amazon.co.uk/dp/B071CKRHDB,Available (see Keepa data),Accti Cliffburn Clock Taupe 106858,25,TIER_2_LIKELY,75,"EAN digits match but checksum invalid | Strong title match (sim=0.69, shared=4) | Brand match: acctim",EAN_CHECKSUM_FAIL,False,0.691,4
EUROWRAP TISSUE PAPER GLITTER PINK 6 SHEETS,Eurowrap Pink Glitter Tissue Paper - 6 Sheets,5.0336E+12,5.0336E+12,B01NBV45Y6,0.6,3.3,-0.06,-5.714285714,100,100,100,TIER_2_LIKELY,75,EAN_CHECKSUM_FAIL | UNPROFITABLE,"EAN digits match but checksum invalid | Strong title match (sim=0.71, shared=6) | Brand match: eurowrap",False,https://www.efghousewares.co.uk/eurowrap-tissue-paper-glitter-pink-6-sheets,https://www.amazon.co.uk/dp/B01NBV45Y6,Available (see Keepa data),Eurowrap Tissue Paper Glitter Pink 6 Sheets,27,TIER_2_LIKELY,75,"EAN digits match but checksum invalid | Strong title match (sim=0.71, shared=6) | Brand match: eurowrap",EAN_CHECKSUM_FAIL | UNPROFITABLE,False,0.713,6
VINERS EVERYDAY PURITY 16PC CUTLERY SET,"Viners Everyday Purity 16 Piece Cutlery Set with Gift Box, 18/0 Stainless Steel",5.01085E+12,5.01085E+12,B082JBM2G9,13.44,20.34,-0.97,-8.255319149,,,0,TIER_2_LIKELY,75,EAN_CHECKSUM_FAIL | UNPROFITABLE,"EAN digits match but checksum invalid | Strong title match (sim=0.67, shared=4) | Brand match: viners",False,https://www.efghousewares.co.uk/viners-everyday-purity-16pc-cutlery-set,https://www.amazon.co.uk/dp/B082JBM2G9,Available (see Keepa data),Viners Everyday Purity 16Pc Cutlery Set,28,TIER_2_LIKELY,75,"EAN digits match but checksum invalid | Strong title match (sim=0.67, shared=4) | Brand match: viners",EAN_CHECKSUM_FAIL | UNPROFITABLE,False,0.672,4
BAKER & SALT LOOSE CASE CAKE TIN 23CM,Baker & Salt Loose Based Round Cake Tin Deep - 09inch,5.03814E+12,5.03814E+12,B082Q34WLQ,5.304,10.99,-0.631666667,-12.70959088,,,0,TIER_2_LIKELY,75,EAN_CHECKSUM_FAIL | UNPROFITABLE,"EAN digits match but checksum invalid | Strong title match (sim=0.74, shared=5) | Brand match: baker",False,https://www.efghousewares.co.uk/baker-salt-loose-case-cake-tin-23cm-80333,https://www.amazon.co.uk/dp/B082Q34WLQ,,Baker Salt Loose Case Cake Tin 23Cm 80333,29,TIER_2_LIKELY,75,"EAN digits match but checksum invalid | Strong title match (sim=0.74, shared=5) | Brand match: baker",EAN_CHECKSUM_FAIL | UNPROFITABLE,False,0.736,5
THUMBS UP RATTAN 4 TIER DRAWER TOWER MUSHROOM,Thumbs Up Rattan 4 Drawer Plastic Storage Tower - Mushroom,5.01435E+12,5.01435E+12,B09J91BHRB,20.148,34.99,-2.325416667,-13.41070742,,,0,TIER_2_LIKELY,75,EAN_CHECKSUM_FAIL | UNPROFITABLE,"EAN digits match but checksum invalid | Strong title match (sim=0.78, shared=5) | Brand match: thumbs",False,https://www.efghousewares.co.uk/thumbsup-rattan-4-drawer-tower-mushroom,https://www.amazon.co.uk/dp/B09J91BHRB,,Thumbsup Rattan 4 Drawer Tower Mushroom,30,TIER_2_LIKELY,75,"EAN digits match but checksum invalid | Strong title match (sim=0.78, shared=5) | Brand match: thumbs",EAN_CHECKSUM_FAIL | UNPROFITABLE,False,0.784,5
PRICE & KENSINGTON 6 CUP TEAPOT BLACK,Price & Kensington Black 6 Cup Teapot,5.01085E+12,5.01085E+12,B0013IUIPA,9.816,15.4,-1.466666667,-16.80030546,100,100,100,TIER_2_LIKELY,75,EAN_CHECKSUM_FAIL | UNPROFITABLE,"EAN digits match but checksum invalid | Strong title match (sim=0.83, shared=5) | Brand match: price",False,https://www.efghousewares.co.uk/rayware-6-cup-teapot-black,https://www.amazon.co.uk/dp/B0013IUIPA,,Rayware 6 Cup Teapot Black,31,TIER_2_LIKELY,75,"EAN digits match but checksum invalid | Strong title match (sim=0.83, shared=5) | Brand match: price",EAN_CHECKSUM_FAIL | UNPROFITABLE,False,0.833,5
ACCTIM GABY ALARM CLOCK MOCHA,Acctim Gaby Small Analogue Contemporary Beside Alarm Clock Mocha,5.01256E+12,5.01256E+12,B0BSNVNFFF,8.736,11.95,-1.481666667,-18.92294593,,,0,TIER_2_LIKELY,75,EAN_CHECKSUM_FAIL | UNPROFITABLE,"EAN digits match but checksum invalid | Strong title match (sim=0.62, shared=5) | Brand match: acctim",False,https://www.efghousewares.co.uk/acctim-gaby-alarm-clock-mocha-106881,https://www.amazon.co.uk/dp/B0BSNVNFFF,Available (see Keepa data),Acctim Gaby Alarm Clock Mocha 106881,33,TIER_2_LIKELY,75,"EAN digits match but checksum invalid | Strong title match (sim=0.62, shared=5) | Brand match: acctim",EAN_CHECKSUM_FAIL | UNPROFITABLE,False,0.624,5
RUSTINS QD WHITE GLOSS 500ML,RUSTINS Brilliant White Gloss Paint 500ml,5.01533E+12,5.01533E+12,B01LM203EC,8.064,12.67,-1.391666667,-19.14259514,,,0,TIER_2_LIKELY,75,EAN_CHECKSUM_FAIL | UNPROFITABLE,"EAN digits match but checksum invalid | Strong title match (sim=0.75, shared=4) | Brand match: rustins",False,https://www.efghousewares.co.uk/rustins-qd-white-gloss-500ml,https://www.amazon.co.uk/dp/B01LM203EC,,Rustins Qd White Gloss 500Ml,34,TIER_2_LIKELY,75,"EAN digits match but checksum invalid | Strong title match (sim=0.75, shared=4) | Brand match: rustins",EAN_CHECKSUM_FAIL | UNPROFITABLE,False,0.754,4
VINERS BARWARE CHAMPAGNE BUCKET SILVER4L,"Viners Barware 4 Litre Champagne Bucket, Silver",5.01085E+12,5.01085E+12,B08LQJY5R3,8.856,14.18,-1.783333333,-22.48844052,,,0,TIER_2_LIKELY,75,EAN_CHECKSUM_FAIL | UNPROFITABLE,"EAN digits match but checksum invalid | Strong title match (sim=0.88, shared=4) | Brand match: viners",False,https://www.efghousewares.co.uk/viners-barware-champagne-bucket-silver4l,https://www.amazon.co.uk/dp/B08LQJY5R3,,Viners Barware Champagne Bucket Silver4L,35,TIER_2_LIKELY,75,"EAN digits match but checksum invalid | Strong title match (sim=0.88, shared=4) | Brand match: viners",EAN_CHECKSUM_FAIL | UNPROFITABLE,False,0.884,4
RUSTINS BLACKBOARD BLACK 500ML,Rustins Blackboard Black 500ml,5.01533E+12,5.01533E+12,B001GU8AIM,7.596,11.9,-1.553333333,-22.57751938,400,400,400,TIER_2_LIKELY,75,EAN_CHECKSUM_FAIL | UNPROFITABLE,"EAN digits match but checksum invalid | Strong title match (sim=1.00, shared=4) | Brand match: rustins",False,https://www.efghousewares.co.uk/rustins-blackboard-black-500ml,https://www.amazon.co.uk/dp/B001GU8AIM,,Rustins Blackboard Black 500Ml,36,TIER_2_LIKELY,75,"EAN digits match but checksum invalid | Strong title match (sim=1.00, shared=4) | Brand match: rustins",EAN_CHECKSUM_FAIL | UNPROFITABLE,False,1.0,4
HOUSE MATE STAINLESS STEEL CLEANER & POLISH,House Mate Stainless Steel Cleaner and Polisher 400ml (Pack of 1),5.0393E+12,5.0393E+12,B0111N9Z1O,3.888,8.04,-0.89,-23.4828496,50,50,50,TIER_2_LIKELY,75,EAN_CHECKSUM_FAIL | UNPROFITABLE,"EAN digits match but checksum invalid | Strong title match (sim=0.80, shared=5) | Brand match: house",False,https://www.efghousewares.co.uk/house-mate-stainless-steel-cleaner-polish,https://www.amazon.co.uk/dp/B0111N9Z1O,,House Mate Stainless Steel Cleaner Polish,37,TIER_2_LIKELY,75,"EAN digits match but checksum invalid | Strong title match (sim=0.80, shared=5) | Brand match: house",EAN_CHECKSUM_FAIL | UNPROFITABLE,False,0.8,5
WHAM CASA BLACK SQUARE BOWL 32CM,Wham Casa 32cm Square Bowl (Black),5.03814E+12,5.03814E+12,B0FC32FL4C,1.584,6.99,-0.445,-23.79679144,,,0,TIER_2_LIKELY,75,EAN_CHECKSUM_FAIL | UNPROFITABLE,"EAN digits match but checksum invalid | Strong title match (sim=0.78, shared=6) | Brand match: wham",False,https://www.efghousewares.co.uk/wham-casa-black-square-bowl-32cm-120798,https://www.amazon.co.uk/dp/B0FC32FL4C,Available (see Keepa data),Wham Casa Black Square Bowl 32Cm 120798,38,TIER_2_LIKELY,75,"EAN digits match but checksum invalid | Strong title match (sim=0.78, shared=6) | Brand match: wham",EAN_CHECKSUM_FAIL | UNPROFITABLE,False,0.781,6
RUSTINS HIGH HEAT BLACK PAINT 250ML,"RUSTINS HRBL250 High Heat Paint, Black, 250 ml",5.01533E+12,5.01533E+12,B003O947F8,9.528,13.1,-2.073333333,-24.42088732,100,100,100,TIER_2_LIKELY,75,EAN_CHECKSUM_FAIL | UNPROFITABLE,"EAN digits match but checksum invalid | Strong title match (sim=0.73, shared=5) | Brand match: rustins",False,https://www.efghousewares.co.uk/rustins-high-heat-black-paint-250ml,https://www.amazon.co.uk/dp/B003O947F8,,Rustins High Heat Black Paint 250Ml,39,TIER_2_LIKELY,75,"EAN digits match but checksum invalid | Strong title match (sim=0.73, shared=5) | Brand match: rustins",EAN_CHECKSUM_FAIL | UNPROFITABLE,False,0.734,5
RUSTINS TUNG OIL 500ML,Rustins Tung Oil 500ml,5.01533E+12,5.01533E+12,B0036L0IDE,12.024,15.09,-2.605,-24.64522233,50,50,50,TIER_2_LIKELY,75,EAN_CHECKSUM_FAIL | UNPROFITABLE,"EAN digits match but checksum invalid | Strong title match (sim=1.00, shared=4) | Brand match: rustins",False,https://www.efghousewares.co.uk/rustins-tung-oil-500ml,https://www.amazon.co.uk/dp/B0036L0IDE,,Rustins Tung Oil 500Ml,40,TIER_2_LIKELY,75,"EAN digits match but checksum invalid | Strong title match (sim=1.00, shared=4) | Brand match: rustins",EAN_CHECKSUM_FAIL | UNPROFITABLE,False,1.0,4
FAIRY SOAP DISPENSING DISH BRUSH,Fairy Soap Dispensing Dish Brush,5.0103E+12,5.0103E+12,B0BYKDX25N,2.088,6.24,-0.58,-25.32751092,,,0,TIER_2_LIKELY,75,EAN_CHECKSUM_FAIL | UNPROFITABLE,"EAN digits match but checksum invalid | Strong title match (sim=1.00, shared=5) | Brand match: fairy",False,https://www.efghousewares.co.uk/fairy-soap-dispensing-dish-brush-114023,https://www.amazon.co.uk/dp/B0BYKDX25N,Available (see Keepa data),Fairy Soap Dispensing Dish Brush 114023,41,TIER_2_LIKELY,75,"EAN digits match but checksum invalid | Strong title match (sim=1.00, shared=5) | Brand match: fairy",EAN_CHECKSUM_FAIL | UNPROFITABLE,False,1.0,5
RUSTINS WOODWORM KILLER 500ML,Rustins Woodworm Killer 500ml,5.01533E+12,5.01533E+12,B085J1YNXZ,6.72,10.42,-1.606666667,-26.12466125,50,50,50,TIER_2_LIKELY,75,EAN_CHECKSUM_FAIL | UNPROFITABLE,"EAN digits match but checksum invalid | Strong title match (sim=1.00, shared=4) | Brand match: rustins",False,https://www.efghousewares.co.uk/rustins-woodworm-killer-500ml,https://www.amazon.co.uk/dp/B085J1YNXZ,,Rustins Woodworm Killer 500Ml,42,TIER_2_LIKELY,75,"EAN digits match but checksum invalid | Strong title match (sim=1.00, shared=4) | Brand match: rustins",EAN_CHECKSUM_FAIL | UNPROFITABLE,False,1.0,4
