SupplierTitle,AmazonTitle,EAN,EAN_OnPage,ASIN,SupplierPrice_incVAT,SellingPrice_incVAT,NetProfit,ROI,tier,confidence_score,flags,reasons,ean_exact_match,Category,v2_tier,v2_confidence,v2_flags
PAN AROMA CERAMIC OIL BURNER ASSORTED,Pan Aroma Glazed Ceramic Red Oil Burner,5053249203232.0,5053249203232.0,B01LYL48GU,1.008,5.49,0.0449999999999995,3.237410071942417,TIER_1_VERIFIED,85,,"Exact EAN match (checksum verified),Strong title match (sim=0.74, shared=5),Brand match: pan",True,Other,TIER_1_VERIFIED,100,
AMTECH FILE HALF ROUND 250MM,"Amtech E1355 250mm (10"") Half Round File",5032759043613.0,5032759043613.0,B01AFY4ZGA,3.408,8.98,-0.0866666666666653,-2.5565388397246416,TIER_2_LIKELY,85,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.62, shared=5),Brand match: amtech",True,Other,TIER_1_VERIFIED,99,UNPROFITABLE
STATUS DIMMABLE LED CANDLE BC W/W 5.5W 40W,"Status Dimmable LED Candle Bulb Bayonet Cap, 5.5W",5022822195745.0,5022822195745.0,B072PVTZ26,2.148,6.72,-0.2000000000000008,-8.547008547008584,TIER_2_LIKELY,85,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.76, shared=4),Brand match: status",True,Other,TIER_1_VERIFIED,100,UNPROFITABLE
AMTECH PVC PIPE CUTTER,Amtech C0230 PVC Pipe Cutter,5032759027538.0,5032759027538.0,B0017VUS8U,4.992,8.78,-0.4033333333333335,-8.563340410474172,TIER_2_LIKELY,85,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.88, shared=4),Brand match: amtech",True,Other,TIER_1_VERIFIED,99,UNPROFITABLE
"AMTECH POINTING TROWEL 150M(6"") WITH SOFT GRIP","Amtech G0230 150mm (6"") Pointing trowel with soft grip",5032759027644.0,5032759027644.0,B00ABJQTPU,2.016,6.71,-0.2083333333333334,-9.34230194319881,TIER_2_LIKELY,85,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.79, shared=5),Brand match: amtech",True,Other,TIER_1_VERIFIED,97,BRAND_MISMATCH | UNPROFITABLE
AMTECH POCKET LEATHER TOOL BELT,Amtech N0850 6 Pocket Leather Tool Belt,5032759004720.0,5032759004720.0,B00275TAXO,3.264,7.99,-0.3516666666666663,-10.75433231396533,TIER_2_LIKELY,85,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.89, shared=5),Brand match: amtech",True,Other,TIER_1_VERIFIED,99,UNPROFITABLE
AMTECH PICK AXE HEAD,Amtech A2200 Pick axe head,5032759000180.0,5032759000180.0,B004TRJXJY,9.9,17.99,-1.0283333333333344,-11.685606060606071,TIER_2_LIKELY,85,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.87, shared=4),Brand match: amtech",True,Other,TIER_1_VERIFIED,100,UNPROFITABLE
AMTECH ROTATING GRASS SHEARS,Amtech U0650 Rotating Grass Shears,5032759007929.0,5032759007929.0,B0065I0ZCO,7.236000000000001,12.83,-0.9183333333333332,-13.956433637284698,TIER_2_LIKELY,85,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.90, shared=4),Brand match: amtech",True,Other,TIER_1_VERIFIED,100,UNPROFITABLE
"AMTECH NOTCHED FLOAT TROWEL 280MM(11"") SOFT GRIP HANDLE","Amtech G1611 280mm (11"") Notched Float Trowel with Soft Grip Handle",5032759038121.0,5032759038121.0,B00LQP2PJC,4.92,9.49,-0.681666666666666,-14.65949820788529,TIER_2_LIKELY,85,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.78, shared=8),Brand match: amtech",True,Other,TIER_1_VERIFIED,97,BRAND_MISMATCH | UNPROFITABLE
"AMTECH CORE DRILL 40MM(1.6"")","Amtech F1209 40mm (1.6"") Core Drill",5032759029204.0,5032759029204.0,B005DL19QU,5.712,10.2,-0.7900000000000003,-14.877589453860644,TIER_2_LIKELY,85,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.62, shared=4),Brand match: amtech",True,Other,TIER_1_VERIFIED,99,UNPROFITABLE
AMTECH SAFETY GLASSES CLEAR,Amtech A3563 Safety glasses with clear lenses,5032759033973.0,5032759033973.0,B004C22FQ4,2.16,6.8,-0.3533333333333335,-15.03546099290781,TIER_2_LIKELY,85,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.75, shared=4),Brand match: amtech",True,Other,TIER_1_VERIFIED,99,UNPROFITABLE
CAROLINE FOIL 10 DISH & LIDS 16oz,Caroline 10 Foil Trays & Lids 16oz - 1001,5012145000017.0,5012145000017.0,B002NPTRNQ,1.104,6.27,-0.2349999999999997,-15.986394557823113,TIER_2_LIKELY,85,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.73, shared=4),Brand match: caroline",True,Other,TIER_1_VERIFIED,100,UNPROFITABLE
AMTECH NO BRISTLE LOSS ANGLED 2INCH,"Amtech G4405 50mm (2"") No bristle loss angled brush with soft handle",5032759045242.0,5032759045242.0,B06XSP513H,1.86,4.95,-0.3450000000000002,-16.428571428571438,TIER_2_LIKELY,85,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.64, shared=4),Brand match: amtech",True,Other,TIER_1_VERIFIED,99,UNPROFITABLE
AMTECH PADLOCK 5 DIGIT COMBINATION,Amtech T1144 5 Digit zinc Combination Padlock Black & Red,5032759043088.0,5032759043088.0,B017HH34IS,4.368,8.35,-0.7316666666666671,-17.462211614956257,TIER_2_LIKELY,85,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.60, shared=4),Brand match: amtech",True,Other,TIER_1_VERIFIED,99,UNPROFITABLE
AMTECH QUICK RELEASE RATCHET 1/2 INCH,"Amtech I3500 13mm (1/2"") Quick Release Ratchet",5032759002900.0,5032759002900.0,B001URZYV2,8.952,12.78,-1.4399999999999995,-17.977528089887638,TIER_2_LIKELY,85,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.72, shared=4),Brand match: amtech",True,Other,TIER_1_VERIFIED,99,UNPROFITABLE
AMTECH 10PC D/ENDED POWER BIT SET,Amtech L2600 10 Piece Double Ended Power bit Set,5032759004188.0,5032759004188.0,B007095KLI,2.064,5.1,-0.4100000000000001,-18.06167400881058,TIER_2_LIKELY,85,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.80, shared=4),Brand match: amtech",True,Other,TIER_1_VERIFIED,99,UNPROFITABLE
AMTECH D SHACKLE COMBINATION LOCK,Amtech T1875 12mm D Shackle Combination Lock,5032759050895.0,5032759050895.0,B08FC69RL6,8.315999999999999,12.09,-1.394999999999999,-18.64973262032084,TIER_2_LIKELY,85,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.86, shared=4),Brand match: amtech",True,Other,TIER_1_VERIFIED,99,UNPROFITABLE
AMTECH LOCKING GRIP PLIER 5INCH,"Amtech C1300 130mm (5"") Locking Grip plier",5032759000937.0,5032759000937.0,B009DNBIKG,1.944,4.95,-0.4150000000000002,-19.12442396313365,TIER_2_LIKELY,85,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.71, shared=4),Brand match: amtech",True,Other,TIER_1_VERIFIED,98,UNPROFITABLE
AMTECH TUBELESS SACK TRUCK TYRE,Amtech S5660 Polyurethane sack truck tyre (tubeless),5032759044351.0,5032759044351.0,B01LY9TIKH,10.404,15.46,-1.766666666666665,-19.16124367317424,TIER_2_LIKELY,85,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.62, shared=5),Brand match: amtech",True,Other,TIER_1_VERIFIED,99,UNPROFITABLE
AMTECH ROTARY CUTTER 5PC BLADES,Amtech S0314 5 Piece Rotary Cutter Blades,5032759047024.0,5032759047024.0,B0751SLT5M,2.4,5.07,-0.4949999999999994,-19.41176470588233,TIER_2_LIKELY,85,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.75, shared=4),Brand match: amtech",True,Other,TIER_1_VERIFIED,99,UNPROFITABLE
AMTECH SELF ADHESIVE FELT PAD SET 33PC,Amtech S5335 33 Self-adhesive felt floor protector pads,5032759044795.0,5032759044795.0,B01LWYZUDG,1.872,4.77,-0.4250000000000005,-20.14218009478675,TIER_2_LIKELY,85,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.63, shared=4),Brand match: amtech",True,Other,TIER_1_VERIFIED,98,UNPROFITABLE
AMTECH EXTRA LONG METRIC HEX KET SET 9PC,Amtech I8778 9 Piece Extra-Long Metric hex Key Set,5032759049899.0,5032759049899.0,B07X366XP9,3.912,7.72,-0.7966666666666662,-20.90988626421696,TIER_2_LIKELY,85,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.76, shared=5),Brand match: amtech",True,Other,TIER_1_VERIFIED,100,UNPROFITABLE
APOLLO PAPER SMOOTHIE 20 STRAWS,Apollo Paper Smoothie Straws (Pack of 20),5026180082525.0,5026180082525.0,B00BPMD8G0,0.876,4.79,-0.2970833333333333,-23.209635416666668,TIER_2_LIKELY,85,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.80, shared=4),Brand match: apollo",True,Other,TIER_1_VERIFIED,100,UNPROFITABLE
AMTECH SCREWDRIVER CABINET HANDLE SET,Amtech L0800 8 Piece Cabinet Handle Screwdriver Set,5032759004003.0,5032759004003.0,B004TRKA5K,4.608,9.07,-1.0216666666666658,-23.272589217919496,TIER_2_LIKELY,85,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.64, shared=4),Brand match: amtech",True,Other,TIER_1_VERIFIED,96,BRAND_MISMATCH | UNPROFITABLE
KINGFISHER FOIL FLAN 6 LARGE DISHES,"Kingfisher Foil Flan Dishes, Silver, Large, Pack of 6",5013478557865.0,5013478557865.0,B000XJDAPA,0.852,5.29,-0.3016666666666665,-23.94179894179893,TIER_2_LIKELY,85,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.66, shared=5),Brand match: kingfisher",True,Other,TIER_1_VERIFIED,100,UNPROFITABLE
AMTECH LED TELESCOPIC INSEPCTION MIRROR,Amtech S2305 2 LED Telescopic Inspection Mirror,5032759040629.0,5032759040629.0,B00LQQ74KG,3.912,7.63,-0.9616666666666668,-25.24059492563429,TIER_2_LIKELY,85,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.88, shared=4),Brand match: amtech",True,Other,TIER_1_VERIFIED,100,UNPROFITABLE
AMTECH WHEEL MASTER WRENCH,Amtech J0500 Wheel Master Wrench,5032759003655.0,5032759003655.0,B0040Y3I10,6.408,10.76,-1.5733333333333326,-26.711941143180525,TIER_2_LIKELY,85,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.90, shared=4),Brand match: amtech",True,Other,TIER_1_VERIFIED,99,UNPROFITABLE
BACOFOIL SAFELOC DOUBLE SEAL FOOD & FREEZER BAGS 15 PACK 3LTR,Bacofoil 15 Double Seal Safeloc Food & Freezer Bags Medium 27x24cm,5023139861316.0,5023139861316.0,B07BK15QCN,2.424,5.99,-0.7083333333333333,-27.56160830090791,TIER_2_LIKELY,85,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.69, shared=7),Brand match: bacofoil",True,Other,TIER_1_VERIFIED,100,UNPROFITABLE
AMTECH JIGSAW WOOD BLADE 5PC SET (AMT101D),Amtech M1606 5 Piece wood jigsaw blade set (AMT101D),5032759047277.0,5032759047277.0,B074TN3F3Y,2.376,4.85,-0.6983333333333333,-27.60210803689064,TIER_2_LIKELY,85,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.69, shared=5),Brand match: amtech",True,Other,TIER_1_VERIFIED,99,UNPROFITABLE
AMTECH WRENCH FIXED BASIN,Amtech C2700 Fixed Basin Wrench,5032759001064.0,5032759001064.0,B0017VW0JU,2.556,6.25,-0.7516666666666663,-28.047263681592028,TIER_2_LIKELY,85,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.71, shared=4),Brand match: amtech",True,Other,TIER_1_VERIFIED,100,UNPROFITABLE
AMTECH MINI PLUS MITRE BLOCK,Amtech M0010 Mini Plus mitre Block,5032759004379.0,5032759004379.0,B074QWZ9Q2,1.44,5.55,-0.4949999999999996,-28.285714285714263,TIER_2_LIKELY,85,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.90, shared=5),Brand match: amtech",True,Other,TIER_1_VERIFIED,100,UNPROFITABLE
AMTECH MINI SUCTION CUP,Amtech J1830 Mini Suction Cup,5032759019878.0,5032759019878.0,B0036W70BG,1.38,5.49,-0.5049999999999997,-29.70588235294116,TIER_2_LIKELY,85,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.88, shared=4),Brand match: amtech",True,Other,TIER_1_VERIFIED,100,UNPROFITABLE
KINGFISHER FOIL TRAY SERVING TRAY & LID,"Kingfisher Foil Serving Tray with Foil Lid, Silver, 21-Inch",5013478119957.0,5013478119957.0,B00MHP2IVA,2.088,8.07,-0.7049999999999996,-30.786026200873344,TIER_2_LIKELY,85,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.70, shared=5),Brand match: kingfisher",True,Other,TIER_1_VERIFIED,100,UNPROFITABLE
AMTECH FINE POINTED TIP ART B/SET 12PC,Amtech S4120 12 Piece fine pointed tip art brush set,5032759007561.0,5032759007561.0,B006USTRB4,1.38,3.53,-0.5383333333333338,-31.666666666666693,TIER_2_LIKELY,85,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.72, shared=5),Brand match: amtech",True,Other,TIER_1_VERIFIED,99,UNPROFITABLE
AMTECH MIDGET TROWEL-SOFT GRIP,Amtech G1520 Midget trowel with soft grip,5032759034451.0,5032759034451.0,B008PQC0G8,3.816,7.41,-1.2149999999999996,-32.57372654155495,TIER_2_LIKELY,85,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.83, shared=5),Brand match: amtech",True,Other,TIER_1_VERIFIED,99,UNPROFITABLE
AMTECH GARDEN SHEARS 8 INCH WOODEN HANDLE,"Amtech U0700 Garden Shears Wooden Handle for Hedges, Shrubs, and Grass",5032759006243.0,5032759006243.0,B0065I0ZAG,4.632,9.45,-1.5050000000000006,-34.12698412698414,TIER_2_LIKELY,85,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.62, shared=5),Brand match: amtech",True,Other,TIER_1_VERIFIED,99,UNPROFITABLE
AMTECH ALUMINIUM TRI SQUARE,Amtech P3550 300mm (12'') Aluminium tri square,5032759016907.0,5032759016907.0,B008PQACQS,4.728,6.86,-1.533333333333333,-34.14996288047512,TIER_2_LIKELY,85,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.78, shared=4),Brand match: amtech",True,Other,TIER_1_VERIFIED,99,UNPROFITABLE
AMTECH PLIER HOLE PUNCH & EYELET,Amtech B1450 INTERCHANGEABLE HOLE PUNCH & EYELET PLIER,5032759010660.0,5032759010660.0,B00303U6AI,5.124,7.95,-1.6549999999999996,-34.33609958506224,TIER_2_LIKELY,85,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.69, shared=5),Brand match: amtech",True,Other,TIER_1_VERIFIED,99,UNPROFITABLE
AMTECH SDS  EXTENTION BAR 350MM,"Amtech F1205 350mm (14"") SDS extension bar",5032759022571.0,5032759022571.0,B003XKMSY0,4.884,8.65,-1.5916666666666666,-34.45165945165945,TIER_2_LIKELY,85,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.66, shared=4),Brand match: amtech",True,Other,TIER_1_VERIFIED,96,BRAND_MISMATCH | UNPROFITABLE
AMTECH SACK TRUCK TYRE,Amtech S5657 Sack truck tyre,5032759032006.0,5032759032006.0,B0039CTKXE,7.848,10.06,-2.456666666666665,-34.64974141984013,TIER_2_LIKELY,85,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.88, shared=4),Brand match: amtech",True,Other,TIER_1_VERIFIED,99,UNPROFITABLE
PAN AROMA C TEA-LIGHTS 16PK FLUFFY TOWEL,Pan Aroma Tea Lights Pack 16 Fluffy Towels,5053249228136.0,5053249228136.0,B07KGJCY72,1.08,3.54,-0.5100000000000001,-35.17241379310345,TIER_2_LIKELY,85,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.86, shared=5),Brand match: pan",True,Other,TIER_1_VERIFIED,100,UNPROFITABLE
AMTECH STEEL WOOL MULTI-GRADE,Amtech S3530 Multi-grade wire wool,5032759034260.0,5032759034260.0,B003BUMSVU,1.872,5.73,-0.7449999999999999,-35.3080568720379,TIER_2_LIKELY,85,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.62, shared=4),Brand match: amtech",True,Other,TIER_1_VERIFIED,99,UNPROFITABLE
AMTECH JIGSAW WOOD BLADE 5PC SET (AMT234X),Amtech M1602 5 Piece wood jigsaw blade set (AMT234 X),5032759047246.0,5032759047246.0,B074TN86SL,3.696,5.45,-1.308333333333333,-36.042240587695126,TIER_2_LIKELY,85,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.68, shared=4),Brand match: amtech",True,Other,TIER_1_VERIFIED,98,UNPROFITABLE
AMTECH CLAMP G TYPE HEAVY DUTY 3INCH,"Amtech W5700 75mm (3"") Heavy Duty G-clamp",5032759013623.0,5032759013623.0,B0089NYHQI,3.504,6.59,-1.258333333333333,-36.26320845341018,TIER_2_LIKELY,85,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.60, shared=4),Brand match: amtech",True,Other,TIER_1_VERIFIED,98,UNPROFITABLE
AMTECH POST BOX WHITE,Amtech S5551 Post box - white,5032759036028.0,5032759036028.0,B004TGA8Z8,15.864,18.47,-5.078333333333334,-36.87969014766401,TIER_2_LIKELY,85,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.86, shared=4),Brand match: amtech",True,Other,TIER_1_VERIFIED,100,UNPROFITABLE
AMTECH COMBINATION CABLE LOCK,Amtech T1154 Combination Cable Lock,5032759046720.0,5032759046720.0,B06Y6H24GH,1.764,3.95,-0.7583333333333329,-37.541254125412514,TIER_2_LIKELY,85,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.91, shared=4),Brand match: amtech",True,Other,TIER_1_VERIFIED,100,UNPROFITABLE
AMTECH PRO WALLPAPER SCISSORS 10INC,"Amtech R0125 250mm (10"") Pro Wallpaper Scissors",5032759020744.0,5032759020744.0,B0054SG1L0,1.452,3.99,-0.6749999999999996,-38.35227272727271,TIER_2_LIKELY,85,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.73, shared=4),Brand match: amtech",True,Other,TIER_1_VERIFIED,98,UNPROFITABLE
AMTECH MAGNETIC LEVEL MINI,Amtech P4865 Mini Magnetic Level,5032759044054.0,5032759044054.0,B01LW8CLUA,3.144,6.2,-1.2333333333333327,-38.906414300736046,TIER_2_LIKELY,85,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.72, shared=4),Brand match: amtech",True,Other,TIER_1_VERIFIED,99,UNPROFITABLE
AMTECH MIDI MITRE BLOCK,Amtech M0020 Midi plus mitre block,5032759004386.0,5032759004386.0,B004TRQXCO,2.808,6.29,-1.1583333333333334,-40.080738177624,TIER_2_LIKELY,85,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.81, shared=4),Brand match: amtech",True,Other,TIER_1_VERIFIED,99,UNPROFITABLE
BACOFOIL FREEZER BAGS MEDIUM 3LTR 40PCS,Bacofoil 40 Freezer Bags Medium 3 Litre 25x32cm,5023139863617.0,5023139863617.0,B08GHXNMB6,2.424,5.59,-1.0516666666666674,-40.92088197146565,TIER_2_LIKELY,85,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.81, shared=4),Brand match: bacofoil",True,Other,TIER_1_VERIFIED,100,UNPROFITABLE
BLACKSPUR RATCHET TIE DOWN SET UP,Blackspur - Ratchet Tie Down Straps - 4.5m - Orange,5017403071471.0,5017403071471.0,B00GSQM83M,1.344,4.87,-0.7216666666666665,-43.2135728542914,TIER_2_LIKELY,85,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.72, shared=4),Brand match: blackspur",True,Other,TIER_1_VERIFIED,100,UNPROFITABLE
AMTECH JIGSAW METAL BLADE 5PC SET (AMT318B),Amtech M1614 5 Piece metal jigsaw blade set (AMT318B),5032759047345.0,5032759047345.0,B074TM4S23,5.172,6.0,-2.1499999999999995,-44.23868312757201,TIER_2_LIKELY,85,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.67, shared=5),Brand match: amtech",True,Other,TIER_1_VERIFIED,99,UNPROFITABLE
AMTECH JIGSAW WOOD BLADE 5PC SET (AMT345XF),Amtech M1616 5 Piece wood and metal jigsaw blade set (AMT345XF),5032759047352.0,5032759047352.0,B074TCNK15,4.8,5.75,-2.0283333333333333,-44.57875457875458,TIER_2_LIKELY,85,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.63, shared=5),Brand match: amtech",True,Other,TIER_1_VERIFIED,99,UNPROFITABLE
AMTECH TROWEL PLASTERING WOODEN HANDLE 11INCH,"Amtech G1600 280mm (11"") Plastering trowel with wooden handle",5032759002207.0,5032759002207.0,B008PQ82OM,4.608,7.75,-1.9816666666666656,-45.14047076689444,TIER_2_LIKELY,85,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.62, shared=5),Brand match: amtech",True,Other,TIER_1_VERIFIED,96,BRAND_MISMATCH | UNPROFITABLE
