SupplierTitle,AmazonTitle,EAN,EAN_OnPage,ASIN,SupplierPrice_incVAT,SellingPrice_incVAT,NetProfit,ROI,tier,confidence_score,flags,reasons,ean_exact_match,Category,v2_tier,v2_confidence,v2_flags
Rapide Pre-Mixed Quick Set Mortar 2kg,Rapide Quick Set Mortar 2kg,5055319519700,5055319519700.0,B01L4PW0FW,0.936,10.78,1.243333333,93.48370927,TIER_1_VERIFIED,95,,"Exact EAN match (checksum verified),Strong title match (sim=0.86, shared=4),Brand match: rapide",True,Wholesale Sealants Paints,TIER_1_VERIFIED,99,
Elysium Spa Mint Madness Spearmint & Peppermint Bath Bombs 3 Pack,Elysium Spa Spearmint & Peppermint Bath Bombs,5020535021993,5020535021993.0,B0BYTBCWXT,0.672,6.17,0.911666667,82.13213213,TIER_1_VERIFIED,95,,"Exact EAN match (checksum verified),Strong title match (sim=0.81, shared=6),Brand match: elysium",True,Wholesale Skin Care,TIER_1_VERIFIED,100,
Elysium Spa Lavender Essential Oil 10ml,Elysium Spa Essential Aroma Relaxing Oil,5020535015169,5020535015169.0,B09BW3XDGF,0.984,5.16,1.02,74.45255474,TIER_1_VERIFIED,95,,"Exact EAN match (checksum verified),Strong title match (sim=0.63, shared=4),Brand match: elysium",True,Wholesale Home Fragrance Candles Accessories,TIER_1_VERIFIED,98,
DID Cable Ties Assorted Colours 120pc,"DID Cable Ties Assorted Colours, 120 Pack, 2mm x 150mm",5056338373526,5056338373526.0,B096KGS7S9,0.756,5.31,0.855,72.45762712,TIER_1_VERIFIED,95,,"Exact EAN match (checksum verified),Strong title match (sim=0.83, shared=5),Brand match: did",True,Fasteners Assortments,TIER_1_VERIFIED,100,
Elbow Grease Extra Large Glass & Window Microfibre Cloth,Elbow Grease Extra Large Glass & Window Microfibre Cloth,5053249255644,5053249255644.0,B096X9T6XB,1.188,5.78,1.066666667,69.26406926,TIER_1_VERIFIED,95,,"Exact EAN match (checksum verified),Strong title match (sim=1.00, shared=8),Brand match: elbow",True,Sponges Scourers Cloths,TIER_1_VERIFIED,100,
Fun Time Bubblegum Flavoured Lube 75ml,Fun Time Lubricant - Bubblegum 75ml,5053249279633,5053249279633.0,B0F8NLMDD2,0.96,5.27,0.921666667,68.27160494,TIER_1_VERIFIED,95,,"Exact EAN match (checksum verified),Strong title match (sim=0.64, shared=4),Brand match: fun",True,Wholesale First Aid Medical,TIER_1_VERIFIED,98,
Tobar Growing Hatching Llamacorn 10cm,Tobar GROWING HATCHING LLAMACORN,5038728138472,5038728138472.0,B07PLGD7T1,0.72,6.79,0.728333333,63.33333333,TIER_1_VERIFIED,95,,"Exact EAN match (checksum verified),Strong title match (sim=0.93, shared=4),Brand match: tobar",True,Wholesale Dolls Soft Toys,TIER_1_VERIFIED,100,
Fun Time Peppermint Candy Flavoured Lube 75ml,"Fun Time Peppermint Candy Flavoured Lubricant, 75ml",5053249279619,5053249279619.0,B0F8NKWHT5,0.96,5.17,0.848333333,62.83950617,TIER_1_VERIFIED,95,,"Exact EAN match (checksum verified),Strong title match (sim=0.93, shared=6),Brand match: fun",True,Wholesale First Aid Medical,TIER_1_VERIFIED,100,
Purity Plus Charcoal Infused Konjac Facial Sponge,Purity Plus Charcoal Infused Konjac Sponge,5020535014704,5020535014704.0,B07V27WPFS,0.912,6.0,0.79,60.30534351,TIER_1_VERIFIED,95,,"Exact EAN match (checksum verified),Strong title match (sim=0.92, shared=6),Brand match: purity",True,Wholesale Skin Care,TIER_1_VERIFIED,100,
Manual Soap Dispenser Black 1000ml,Manual Soap/Gel Dispenser 1000ml Capacity Black,687368003845,687368003845.0,B0C99MW93F,1.956,9.99,1.155,52.98165138,TIER_1_VERIFIED,95,,"Exact EAN match (checksum verified),Strong title match (sim=0.70, shared=5),Brand match: manual",True,Wholesale Bathroom Accessories,TIER_1_VERIFIED,100,
Medisure Nit Comb Large,"Medisure Nit Comb with Handle, Large",5055172201521,5055172201521.0,B071F573H6,0.792,4.45,0.638333333,52.75482094,TIER_1_VERIFIED,95,,"Exact EAN match (checksum verified),Strong title match (sim=0.79, shared=4),Brand match: medisure",True,Wholesale Hair Care,TIER_1_VERIFIED,100,
Prima Pillow Protectors 47 X 73cm 2pc,Prima White Pillow Protectors - 2 Piece - 47cm x 73cm,5038673413761,5038673413761.0,B09DLCBHZ6,0.852,5.99,0.572916667,45.46957672,TIER_1_VERIFIED,95,,"Exact EAN match (checksum verified),Strong title match (sim=0.75, shared=4),Brand match: prima",True,Wholesale Home Accessories,TIER_1_VERIFIED,99,
Status Wall Socket Safety Covers 5 Pack CDU,STATUS Wall Socket Safety Covers Pack of 5,5022822150515,5022822150515.0,B005626P9C,1.02,4.99,0.628333333,44.88095238,TIER_1_VERIFIED,95,,"Exact EAN match (checksum verified),Strong title match (sim=0.89, shared=5),Brand match: status",True,Wholesale Baby Accessories,TIER_1_VERIFIED,100,
Head Funk Recover & Repair Shampoo 600ml,Head Funk Recover & Repair Shampoo 60ml,5053249268309,5053249268309.0,B0D5D7MZ1B,1.632,7.69,0.838333333,43.89179756,TIER_1_VERIFIED,95,,"Exact EAN match (checksum verified),Strong title match (sim=0.99, shared=5),Brand match: head",True,Wholesale Hair Care,TIER_1_VERIFIED,100,
Pan Aroma Wild Berries Dome Reed Diffuser 50ml,Pan Aroma Reed Diffuser Wild Berries,5053249217451,5053249217451.0,B07C9X3XNQ,1.104,5.99,0.621666667,42.29024943,TIER_1_VERIFIED,95,,"Exact EAN match (checksum verified),Strong title match (sim=0.61, shared=6),Brand match: pan",True,Wholesale Home Fragrance Candles Accessories,TIER_1_VERIFIED,100,
Tidyz 10 Fresh Linen Extra Strong Swing Bin Liners 50L,Tidyz Tie-Handles Linen Fragranced White Swing Bin Liners 10 Pack (50 Litres),5025364003660,5025364003660.0,B0B4X4V8D8,0.756,5.99,0.491666667,41.66666667,TIER_1_VERIFIED,95,,"Exact EAN match (checksum verified),Strong title match (sim=0.62, shared=5),Brand match: tidyz",True,Bin Liners Refuse Sacks,TIER_1_VERIFIED,100,
Cooper & Pals Squawking Chicken Dog Toy,Cooper & Pals Squawking Chicken Toy For Dogs,5055566927495,5055566927495.0,B08ZL14VNR,0.828,6.11,0.511666667,41.26344086,TIER_1_VERIFIED,95,,"Exact EAN match (checksum verified),Strong title match (sim=0.84, shared=5),Brand match: cooper",True,Wholesale Pet Toys Treats,TIER_1_VERIFIED,100,
Munch & Crunch Chicken-Coated Knotted Dog Bone,Munch & Crunch Dog Treats Chicken Coated Knotted Bone x 1 Pack,5053249257556,5053249257556.0,B0CYLXJX5B,0.924,6.02,0.534166667,40.46717172,TIER_1_VERIFIED,95,,"Exact EAN match (checksum verified),Strong title match (sim=0.76, shared=7),Brand match: munch",True,Wholesale Pet Toys Treats,TIER_1_VERIFIED,100,
Pan Aroma Jarred Scented Candle With Lid Wild Berries,Pan Aroma Wild Berries Scented Candle - Small Jan,5053249218533,5053249218533.0,B07MWB3WLR,0.936,5.99,0.531666667,39.97493734,TIER_1_VERIFIED,95,,"Exact EAN match (checksum verified),Strong title match (sim=0.63, shared=6),Brand match: pan",True,Wholesale Home Fragrance Candles Accessories,TIER_1_VERIFIED,100,
Christmas Magical Elf Door Set,Christmas Time - Magical Elf Door,5015302164867,5015302164867.0,B0BH8G7RH4,2.664,8.28,1.05,37.90613718,TIER_1_VERIFIED,95,,"Exact EAN match (checksum verified),Strong title match (sim=0.84, shared=4),Brand match: christmas",True,Wholesale Art Crafts,TIER_1_VERIFIED,99,
"Munch & Crunch Rawhide Knotted Bones 6"" 2 Pack","Munch & Crunch Dog Treats Knotted Bones 6"" 100% Natural Rawhide 4 Pack",5050375946255,5050375946255.0,B0F79PLQ8C,0.972,6.05,0.515416667,37.89828431,TIER_1_VERIFIED,95,,"Exact EAN match (checksum verified),Strong title match (sim=0.68, shared=5),Brand match: munch",True,Wholesale Pet Toys Treats,TIER_1_VERIFIED,100,
Tidyz 15 Fragranced Swing Bin Liners 50L Assorted,Tidyz Tie-Handles Fragranced Bin Liners 15 Pack (15 Litres) Multi-Scented,5025364001710,5025364001710.0,B0B69W655P,0.648,5.99,0.371666667,34.09785933,TIER_1_VERIFIED,95,,"Exact EAN match (checksum verified),Strong title match (sim=0.61, shared=4),Brand match: tidyz",True,Bin Liners Refuse Sacks,TIER_1_VERIFIED,100,
First Steps Travel Feeding Bowl With Lid And Spoon Assorted,First Steps Travel Feeding Bowl and Spoon Set - Pink or Purple,5015302101763,5015302101763.0,B016L3B4PO,1.404,6.58,0.583333333,33.91472868,TIER_1_VERIFIED,95,,"Exact EAN match (checksum verified),Strong title match (sim=0.77, shared=6),Brand match: first",True,Wholesale Baby Weaning Feeding,TIER_1_VERIFIED,100,
First Steps Colour-Changing Baby Bath Book Assorted Designs,FIRST STEP Colour Changing Bath Book - Set of 2,5015302117795,5015302117795.0,B0B9K2VPVB,1.356,6.15,0.535,31.8452381,TIER_1_VERIFIED,95,,"Exact EAN match (checksum verified),Strong title match (sim=0.75, shared=5),Brand match: first",True,Wholesale Baby Infant Toys,TIER_1_VERIFIED,100,
Smart Choice Dog Harness Small 32-43cm Assorted Colours,SMART CHOICE DOG HARNESS SMALL 32-43 ASSORTED COLOURS,5052516106450,5052516106450.0,B099BWNSJT,1.56,8.95,0.578333333,31.26126126,TIER_1_VERIFIED,95,,"Exact EAN match (checksum verified),Strong title match (sim=0.98, shared=7),Brand match: smart",True,Wholesale Pet Walking Grooming,TIER_1_VERIFIED,100,
Kids Create Sequins Assorted Colours & Shapes,Kids Create Sequins In Assorted Colours & Shapes Reusable Pouch Ages 3+,5012128511387,5012128511387.0,B097YN6HYZ,0.78,4.04,0.326666667,27.22222222,TIER_1_VERIFIED,95,,"Exact EAN match (checksum verified),Strong title match (sim=0.78, shared=6),Brand match: kids",True,Stationery Pound Lines,TIER_1_VERIFIED,100,
Fluorodine Active Fresh Toothpaste 100ml,Fluorodine Active Fresh Toothpaste 100 ML - Single Unit,5060072089254,5060072089254.0,B001RYSD5W,0.756,5.19,0.305,25.84745763,TIER_1_VERIFIED,95,,"Exact EAN match (checksum verified),Strong title match (sim=0.85, shared=4),Brand match: fluorodine",True,Wholesale Dental,TIER_1_VERIFIED,100,
Fluorodine Ultra Active Toothpaste 100ml,FLUORODINE TP ULTRA ACTIVE 100ML,5060072086710,5060072086710.0,B001RYSD7A,0.756,5.19,0.305,25.84745763,TIER_1_VERIFIED,95,,"Exact EAN match (checksum verified),Strong title match (sim=0.81, shared=4),Brand match: fluorodine",True,Wholesale Dental,TIER_1_VERIFIED,100,
Pan Aroma Cotton Fresh Air Freshener Spray 250ml,Pan Aroma Cotton Fresh Air Freshner -Trigger Spray-250Ml,5053249212654,5053249212654.0,B01NA0ASUT,1.188,6.29,0.391666667,25.43290043,TIER_1_VERIFIED,95,,"Exact EAN match (checksum verified),Strong title match (sim=0.90, shared=7),Brand match: pan",True,Wholesale Home Fragrance Candles Accessories,TIER_1_VERIFIED,100,
Duzzit Bright Round Head Dish Brush Assorted Colours,Duzzit - Round Head washing Up Dish Brush - Assorted Colours,5050375125452,5050375125452.0,B00BN6AYJC,1.188,6.5,0.376666667,24.45887446,TIER_1_VERIFIED,95,,"Exact EAN match (checksum verified),Strong title match (sim=0.84, shared=7),Brand match: duzzit",True,Brooms Mops Brushes,TIER_1_VERIFIED,100,
Pets Play Squeaking Sports Dog Toy,pets at play Baseball Squeaking Sports Toy Dog Puppy Fetch Throw Chew,5053249208145,5053249208145.0,B07FTLTL7C,0.924,6.32,0.296666667,22.47474747,TIER_1_VERIFIED,95,,"Exact EAN match (checksum verified),Strong title match (sim=0.64, shared=6),Brand match: pets",True,Wholesale Pet Toys Treats,TIER_1_VERIFIED,99,
Escenti Tea Tree Cream 28g,Escenti Tea Tree Cream 28g,5020535013998,5020535013998.0,B0995W6PHP,0.912,4.12,0.293333333,22.39185751,TIER_1_VERIFIED,95,,"Exact EAN match (checksum verified),Strong title match (sim=1.00, shared=5),Brand match: escenti",True,Wholesale Skin Care,TIER_1_VERIFIED,100,
Prima Stainless Steel Universal Grater,Prima 18016C Stainless Steel Grater with Handle,5038673180168,5038673180168.0,B07DTFHRD5,1.428,6.59,0.381666667,21.9348659,TIER_1_VERIFIED,95,,"Exact EAN match (checksum verified),Strong title match (sim=0.66, shared=4),Brand match: prima",True,Wholesale Chopping Boards Graters,TIER_1_VERIFIED,100,
Smart Choice Pet Deshedding Grooming Glove Assorted Colours,"Smart Choice Deshedding Grooming Pet Gloves, Dark Blue/Black & Light Blue/Black, 0.057 kg",5052516106047,5052516106047.0,B07WGH4GZ5,0.984,5.98,0.293333333,21.41119221,TIER_1_VERIFIED,95,,"Exact EAN match (checksum verified),Strong title match (sim=0.62, shared=5),Brand match: smart",True,Wholesale Pet Walking Grooming,TIER_1_VERIFIED,98,
Bello Elegant Swirl Salad Bowl 4l,Bello Elegant Swirl 25cm Reusable Plastic Salad Mixing Bowl (1),5015302420338,5015302420338.0,B092VSGY9R,1.596,6.59,0.377916667,20.10195035,TIER_1_VERIFIED,95,,"Exact EAN match (checksum verified),Strong title match (sim=0.66, shared=5),Brand match: bello",True,Wholesale Partyware,TIER_1_VERIFIED,100,
Artbox Twist Action Glue Sticks 36g 2 Pack,"ARTBOX 36g Twist Action Glue Stick (Pack of 2), White",5013922060200,5013922060200.0,B007QS80TC,0.648,5.28,0.21,19.26605505,TIER_1_VERIFIED,95,,"Exact EAN match (checksum verified),Strong title match (sim=0.76, shared=5),Brand match: artbox",True,Wholesale Art Crafts,TIER_1_VERIFIED,100,
"Sealapack Resealable & Reusable Food Bags 10"" X 12"" 15 Pack","Sealapack Large Resealable, Reuseable Food Bags, Pack Of 15 Bags 25 X 30 cm",5053249248967,5053249248967.0,B0BXFN6TWD,0.816,5.99,0.191666667,15.58265583,TIER_1_VERIFIED,95,,"Exact EAN match (checksum verified),Strong title match (sim=0.73, shared=4),Brand match: sealapack",True,Food Freezer Bags,TIER_1_VERIFIED,100,
Smart Choice Slicker Pet Grooming Brush,"Smart Choice Slicker Grooming Brush, Grey/Black, 0.102999 kg",5052516100243,5052516100243.0,B08JMQLXKY,2.148,7.49,0.361666667,15.45584046,TIER_1_VERIFIED,95,,"Exact EAN match (checksum verified),Strong title match (sim=0.74, shared=5),Brand match: smart",True,Wholesale Pet Walking Grooming,TIER_1_VERIFIED,100,
Just Stationery Easy Grip Desk Stapler Set,"Just stationery Desk Paper Stapler, 26/6",5013922061870,5013922061870.0,B011RI9RDE,2.808,8.75,0.441666667,15.28258362,TIER_1_VERIFIED,95,,"Exact EAN match (checksum verified),Strong title match (sim=0.72, shared=4),Brand match: just",True,Wholesale Office Supplies,TIER_1_VERIFIED,100,
Skin Treats Vitamin E Hydrogel Face Mask CDU,Skin Treats Vitamin E Hydrogel Face Mask - 60g | Protects Skin from Toxins and Stressors,5060563215230,5060563215230.0,B0D49PBRGN,0.732,3.99,0.175,15.0862069,TIER_1_VERIFIED,95,,"Exact EAN match (checksum verified),Strong title match (sim=0.66, shared=6),Brand match: skin",True,Wholesale Skin Care,TIER_1_VERIFIED,100,
Head Funk Colour Revive Shampoo 600ml,Head Funk Colour Revive Shampoo 600ml,5053249268262,5053249268262.0,B0D5D3NWTX,1.632,6.95,0.281666667,14.7469459,TIER_1_VERIFIED,95,,"Exact EAN match (checksum verified),Strong title match (sim=1.00, shared=6),Brand match: head",True,Wholesale Hair Care,TIER_1_VERIFIED,100,
Prima Hand Shower Set With Hose Fittings,Prima 23301C Hand Shower Bidet & 1.5m Hose Chrome,5038673233017,5038673233017.0,B08ZQHTD7X,3.648,9.6,0.51,14.20612813,TIER_1_VERIFIED,95,,"Exact EAN match (checksum verified),Strong title match (sim=0.62, shared=4),Brand match: prima",True,Wholesale Bathroom Accessories,TIER_1_VERIFIED,98,
Duzzit Bright Window Squeegee Assorted Colours,"Duzzit Window Squeegee Brush-Assorted Colours, 610-11 cm",5050375125575,5050375125575.0,B00BN5GENI,1.188,5.92,0.203333333,13.2034632,TIER_1_VERIFIED,95,,"Exact EAN match (checksum verified),Strong title match (sim=0.79, shared=5),Brand match: duzzit",True,Sponges Scourers Cloths,TIER_1_VERIFIED,99,
Bloome Decorative Candle Cotton Fresh,Bloome Decorative Candle (Cotton Fresh),5055566985303,5055566985303.0,B0BHKJDLJ2,0.912,5.99,0.131666667,10.05089059,TIER_1_VERIFIED,95,,"Exact EAN match (checksum verified),Strong title match (sim=1.00, shared=5),Brand match: bloome",True,Wholesale Home Fragrance Candles Accessories,TIER_1_VERIFIED,100,
Petit Collage 48 Page Baby Journal,"Petit Collage PTC466 Baby Journal, Multi",5055923779064,5055923779064.0,B084H96L8B,0.888,6.5,0.106666667,8.26873385,TIER_1_VERIFIED,95,,"Exact EAN match (checksum verified),Strong title match (sim=0.77, shared=4),Brand match: petit",True,Wholesale Baby Accessories,TIER_1_VERIFIED,100,
First Steps Kids Soft Printed Toilet Trainer Seat 2 Assorted,First Steps Soft Toilet Seat Assorted Color and Design,5015302100162,5015302100162.0,B008FVWREI,3.48,9.4,0.273333333,7.922705314,TIER_1_VERIFIED,95,,"Exact EAN match (checksum verified),Strong title match (sim=0.65, shared=6),Brand match: first",True,Wholesale Baby Accessories,TIER_1_VERIFIED,100,
Smart Choice Dog Harness Medium 44-55cm Assorted Colours,SMART CHOICE DOG HARNESS MEDIUM ASSORTED COLOURS (MEDIUM 44-55CM),5052516106467,5052516106467.0,B099BWG1G4,1.632,6.9,0.13,6.806282723,TIER_1_VERIFIED,95,,"Exact EAN match (checksum verified),Strong title match (sim=0.82, shared=8),Brand match: smart",True,Wholesale Pet Walking Grooming,TIER_1_VERIFIED,100,
Pan Aroma Apple & Cinnamon Reed Diffuser 30ml,Pan Aroma Apple and Cinnamon Reed Diffuser 30Ml,5053249227443,5053249227443.0,B08F51R7YZ,0.912,5.54,0.056666667,4.325699746,TIER_1_VERIFIED,95,,"Exact EAN match (checksum verified),Strong title match (sim=0.97, shared=7),Brand match: pan",True,Wholesale Home Fragrance Candles Accessories,TIER_1_VERIFIED,100,
Prima Stainless Steel Multi-Purpose Jar Opener,Prima Stainless Steel Multiple Jar Opener Tool Grip with Plastic Handle,5038673182780,5038673182780.0,B00FZUIHFA,2.196,6.9,0.0975,4.096638655,TIER_1_VERIFIED,95,,"Exact EAN match (checksum verified),Strong title match (sim=0.69, shared=5),Brand match: prima",True,Wholesale Kitchen Utensils Cutlery,TIER_1_VERIFIED,100,
Christmas Santa's Reply Letter Set,Christmas Santa's Reply Letter Set,5056170341004,5056170341004.0,B0C289WT11,0.72,5.09,0.045416667,3.949275362,TIER_1_VERIFIED,95,,"Exact EAN match (checksum verified),Strong title match (sim=1.00, shared=4),Brand match: christmas",True,Wholesale Christmas,TIER_1_VERIFIED,100,
World Of Pets Lemon Scented Pet Wipes 40 Pack,World of pets Pet wipes WP440 1 pack,5015302204402,5015302204402.0,B07Q9LW5RS,0.78,4.19,0.041666667,3.472222222,TIER_1_VERIFIED,95,,"Exact EAN match (checksum verified),Strong title match (sim=0.77, shared=4),Brand match: world",True,Wholesale Pet Walking Grooming,TIER_1_VERIFIED,100,
Pets Play Squeaking Grab Dog Toy Assorted,Pets Play Squeaking Grab Toy,5053249208473,5053249208473.0,B0DQFLJ78C,0.924,5.49,0.015,1.136363636,TIER_1_VERIFIED,95,,"Exact EAN match (checksum verified),Strong title match (sim=0.81, shared=5),Brand match: pets",True,Wholesale Pet Toys Treats,TIER_1_VERIFIED,100,
Disney Magical Birthday Card Gift Wrap Set,"Disney Princess Birthday Card, Gift Wrap & Stickers Set",5054655304711,5054655304711.0,B0C544GG7R,0.372,3.49,0.008333333,0.968992248,TIER_1_VERIFIED,95,,"Exact EAN match (checksum verified),Strong title match (sim=0.78, shared=5),Brand match: disney",True,Other,TIER_1_VERIFIED,100,
Smart Choice Waterproof Dog Car Seat Cover 142cm X 119cm,"Smart Choice Waterproof Car Seat Cover, Black, 0.63 kg",5052516106290,5052516106290.0,B07GPPRJM1,6.06,12.85,0.048333333,0.863095238,TIER_1_VERIFIED,95,,"Exact EAN match (checksum verified),Strong title match (sim=0.79, shared=6),Brand match: smart",True,Wholesale Dog,TIER_1_VERIFIED,100,
Munch & Crunch Tasty Bites Bikkies 300g,Munch & Crunch Dog Treats Bikkies Tasty Bites - 300g,5053249265995,5053249265995.0,B0CZBYQ2LX,1.104,6.02,-0.003333333,-0.22675737,TIER_1_VERIFIED,95,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.70, shared=6),Brand match: munch",True,Wholesale Pet Toys Treats,TIER_1_VERIFIED,100,UNPROFITABLE
Smart Choice Pet Grooming Set 3pc Assorted Colours,"Smart Choice Pet Grooming 3-Piece Set, Black/White & Grey/White, 0.25 kg",5052516210430,5052516210430.0,B08JMNT9C6,2.592,7.5,-0.01,-0.36900369,TIER_1_VERIFIED,95,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.61, shared=4),Brand match: smart",True,Wholesale Pet Walking Grooming,TIER_1_VERIFIED,100,UNPROFITABLE
Smart Choice Double-Sided Pin & Bristle Grooming Pet Brush,"Smart Choice Double Side Pin and Bristle Grooming Brush, Grey, 0.151 kg",5052516100236,5052516100236.0,B08JMTC56C,3.0,6.95,-0.028333333,-0.928961749,TIER_1_VERIFIED,95,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.82, shared=7),Brand match: smart",True,Wholesale Pet Walking Grooming,TIER_1_VERIFIED,100,UNPROFITABLE
Murder Motel Half Skull Halloween Mask 2 Assorted,Murder Motel Half Skull Mask Horror-Themed Halloween Parties Unisex,5056175930227,5056175930227.0,B0DC1MM4JX,0.768,5.0,-0.058333333,-4.901960784,TIER_1_VERIFIED,95,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.66, shared=6),Brand match: murder",True,Wholesale Halloween,TIER_1_VERIFIED,100,UNPROFITABLE
Prima Non-Stick Deep Frypan 24cm,Prima 24cm Non Stick Fry Pan Frying,5038673150345,5038673150345.0,B00665WV14,6.936,13.0,-0.356666667,-5.634544497,TIER_1_VERIFIED,95,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.64, shared=4),Brand match: prima",True,Wholesale Cooking,TIER_1_VERIFIED,98,UNPROFITABLE
Just Stationery Black & Silver Pocket Calculator,Just stationery 8 Digit Pocket Calculator - Black/Silver,5013922061788,5013922061788.0,B008Y0SCLM,1.272,4.4,-0.123333333,-7.660455487,TIER_1_VERIFIED,95,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.71, shared=6),Brand match: just",True,Wholesale Office Supplies,TIER_1_VERIFIED,100,UNPROFITABLE
Sealapack Heavy Duty Green Garden Sacks 86cm 10 Pack,"Sealapack Heavy Duty, Drawstring Handle Green Garden Sacks, Pack Of 10",5053249256870,5053249256870.0,B0CKLW29HW,1.008,5.76,-0.12,-8.633093525,TIER_1_VERIFIED,95,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.73, shared=6),Brand match: sealapack",True,Planting Growing,TIER_1_VERIFIED,100,UNPROFITABLE
DID White Cable Ties Assorted 150pc,DID White Cable Ties Assorted 150'S,5056338373519,5056338373519.0,B096KFY2VY,0.78,3.75,-0.105,-8.75,TIER_1_VERIFIED,95,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.96, shared=5),Brand match: did",True,Fasteners Assortments,TIER_1_VERIFIED,100,UNPROFITABLE
