SupplierTitle,AmazonTitle,EAN,EAN_OnPage,ASIN,SupplierPrice_incVAT,SellingPrice_incVAT,NetProfit,ROI,bought_in_past_month,amazon_sales_badge,sales_value,tier,confidence_score,flags,reasons,ean_exact_match,title_similarity,shared_tokens,prob_estimate,sup_pack,amz_pack,pack_bucket,SupplierURL,AmazonURL,fba_seller_count,Category
STATUS 11W B/C GLS A70 COOL WHITE FILAMENT LED LIGHT BULB SINGLE,"Status LED GLS Light Bulbs, 11W Cool White 4000K Clear Finish, 100W Filament Equivalent Bayonet Cap B22 Lighting for Home or Office, Pack of 10 (11SFGCB22C1B10)",5022822216655.0,,B0C1MV4Y7W,2.76,20.0,8.906666666666666,312.5146198830409,,,0,TIER_2_LIKELY,100,AMAZON_EAN_MISSING,"Supplier GTIN present, Amazon GTIN missing,Posterior match probability=1.000,Char TF-IDF cosine=0.439,Word TF-IDF cosine=0.214,Shared tokens=8,Measurement closeness=1.000",false,0.411,8,1,,10,ONLY_AMZ,https://www.efghousewares.co.uk/status-11w-b/c-gls-a70-cool-white-filament-led-light-bulb-single-106533,https://www.amazon.co.uk/dp/B0C1MV4Y7W,,Other
151 DECORATOR FLEXIBLE FILLER CARTRIDGE WHITE 280ML,6 x Decorators Flexible Filler For Cracks & Gaps Pre Decorating Filler - White 480g,5013748090603.0,5013748090603.0,B00XCB4TMY,1.344,13.07,5.1779166666666665,310.05489021956083,,,0,TIER_1_A_VERIFIED,100,BRAND_MISMATCH,"Exact GTIN/EAN match with valid checksum,Posterior match probability=0.999,Char TF-IDF cosine=0.593,Word TF-IDF cosine=0.317,Shared tokens=3,EAN match, no pack markers in either title (assumed single-unit)",true,0.621,3,0.9994,,,NEITHER,https://www.efghousewares.co.uk/151-cartridge-dec-flexible-filler,https://www.amazon.co.uk/dp/B00XCB4TMY,,Other
TURBO JET AIR FRESHENER / SANITISER SPRAY WATERMELON 500ML,AIRESS TURBO JET AIR SANITISER 500ML (Watermelon),5056239452023.0,5056239452023.0,B09WRX2BYC,3.024,19.99,8.679583333333332,282.7225841476655,,,0,TIER_1_A_VERIFIED,100,BRAND_MISMATCH,"Exact GTIN/EAN match with valid checksum,Posterior match probability=1.000,Char TF-IDF cosine=0.864,Word TF-IDF cosine=0.675,Shared tokens=6,Measurement closeness=1.000,EAN match, no pack markers in either title (assumed single-unit)",true,0.68,6,1,,,NEITHER,https://www.efghousewares.co.uk/turbo-jet-air-500ml-watermelon,https://www.amazon.co.uk/dp/B09WRX2BYC,,Other
JCB LED BULB WARM WHITE GLS ES 6W/40W,5 x JCB 6 W LED GLS Light Bulb Matt ES / E27 3000 K Warm White 470 lm (S10986),5050028108511.0,,B0716P2TKW,1.08,11.22,4.087500000000001,281.896551724138,,,0,TIER_3_NEEDS_REVIEW,100,"AMAZON_EAN_MISSING,BRAND_MISMATCH","Supplier GTIN present, Amazon GTIN missing,Posterior match probability=1.000,Char TF-IDF cosine=0.490,Word TF-IDF cosine=0.327,Shared tokens=7,Measurement closeness=1.000,Demoted T2→T3: brand mismatch on non-EAN match",false,0.486,7,0.9998,,,NEITHER,https://www.efghousewares.co.uk/jcb-led-bulb-warm-white-gls-es-6w-40w,https://www.amazon.co.uk/dp/B0716P2TKW,,Other
TILL ROLLS 80X75MM PACK OF 5,"Clearly Till Roll, Box of 20 Till Rolls, 80x80mm, Thermal Paper for POS Systems, BPA-Free White Paper Roll",5011929332481.0,5011929332481.0,B0C6YBWY5R,4.104,24.49,10.96708333333333,276.2489504617968,,,0,TIER_1_B_AUDIT_OUT,100,BRAND_MISMATCH,"Exact GTIN/EAN match with valid checksum,Posterior match probability=0.996,Char TF-IDF cosine=0.494,Word TF-IDF cosine=0.489,Shared tokens=2,Measurement closeness=0.938,EAN match, pack visible on one side only (ONLY_SUP)",true,0.354,2,0.9958,5,,ONLY_SUP,https://www.efghousewares.co.uk/till-rolls-79x76-mm-pk10,https://www.amazon.co.uk/dp/B0C6YBWY5R,,Other
PRIMA PLASTIC NAIL BRUSHES 2PC,3X 2 PC Double Sided Nail Brush with Handle Grip for Fingernail Hand and Toes Cleaning Dust Scrub Plastic Brushes Nail Filing Tool Men Women Manicure Pedicure Supplies - White,5038673230146.0,5038673230146.0,B08P1HPKX9,1.008,10.99,3.3983333333333325,244.48441247002387,,,0,TIER_1_A_VERIFIED,100,BRAND_MISMATCH,"Exact GTIN/EAN match with valid checksum,Posterior match probability=0.999,Char TF-IDF cosine=0.329,Word TF-IDF cosine=0.136,Shared tokens=3,EAN match + pack sizes equal",true,0.205,3,0.9989,2,2,BOTH_EQUAL,https://www.efghousewares.co.uk/prima-plastic-nail-brushes-2pc,https://www.amazon.co.uk/dp/B08P1HPKX9,,Other
PPS 3PLY 40CM 20 NAPKINS GOLD,"100 LUXURY 3 PLY GOLD PAPER NAPKINS - 40cm x 40cm Ideal for weddings, christenings, parties, bbq's etc",5030481992162.0,5030481992162.0,B01N7KVEDT,0.972,9.99,3.3062500000000004,243.10661764705884,,,0,TIER_1_A_VERIFIED,100,BRAND_MISMATCH,"Exact GTIN/EAN match with valid checksum,Posterior match probability=1.000,Char TF-IDF cosine=0.462,Word TF-IDF cosine=0.239,Shared tokens=3,Measurement closeness=1.000,EAN match, no pack markers in either title (assumed single-unit)",true,0.266,3,0.9998,,,NEITHER,https://www.efghousewares.co.uk/pps-3ply-40cm-20-napkins-gold,https://www.amazon.co.uk/dp/B01N7KVEDT,,Other
STATUS LED 4.5 GU10 PEARL 5W D/L EACH,"Status LED GU10 Spotlight Bulbs, 4.5W Daylight 6500K Wide Beam Lamps, 50W Equivalent 345lm Energy Saving Lighting for Kitchen or Bathroom, Pearl Finish, 10 Pack (4.5SLGU10DP1B10)",5022822208100.0,,B099NV2V4S,0.876,9.5,3.0391666666666666,237.4348958333333,,,0,TIER_2_LIKELY,100,AMAZON_EAN_MISSING,"Supplier GTIN present, Amazon GTIN missing,Posterior match probability=1.000,Char TF-IDF cosine=0.309,Word TF-IDF cosine=0.269,Shared tokens=6,Measurement closeness=0.900",false,0.249,6,0.9999,,10,ONLY_AMZ,https://www.efghousewares.co.uk/status-led-5w-gu10-pearl-5w-d-l-each,https://www.amazon.co.uk/dp/B099NV2V4S,,Other
PAN AROMA AIR FRESHENERS MINI GEL ASSORTED PACK OF 3,"Pan Aroma Mini Gel Air Freshener, 9 Pack, Assorted Scents (Lavender Garden/Vanilla Bean/Pure Cotton)",5053249268996.0,5053249254371.0,B0FC2W5NXR,1.08,9.99,3.4250000000000016,236.20689655172416,,,0,TIER_2_LIKELY,100,EAN_MISMATCH,"Different GTINs; treat as ambiguous evidence, not auto-rejection,Posterior match probability=1.000,Char TF-IDF cosine=0.572,Word TF-IDF cosine=0.324,Shared tokens=6,Pack-count difference detected",false,0.514,6,0.9998,3,9,BOTH_DIFFERENT,https://www.efghousewares.co.uk/pan-aroma-mini-gel-air-freshener-3pk-mediterian-apricot-pink-orchard-114652,https://www.amazon.co.uk/dp/B0FC2W5NXR,,Other
TURBO JET AIR FRESHENER / SANITISER SPRAY SAVAGE 500ML,6x Sovereign Savage Turbojet Air Sanitiser 500ml,5060471890215.0,5060471890215.0,B08B5DJ27S,3.024,19.99,7.188333333333332,234.14766558089025,,,0,TIER_1_B_AUDIT_OUT,100,BRAND_MISMATCH,"Exact GTIN/EAN match with valid checksum,Posterior match probability=1.000,Char TF-IDF cosine=0.648,Word TF-IDF cosine=0.313,Shared tokens=4,Measurement closeness=1.000,EAN match, pack visible on one side only (ONLY_AMZ)",true,0.56,4,1,,6,ONLY_AMZ,https://www.efghousewares.co.uk/turbo-jet-air-500ml-savage,https://www.amazon.co.uk/dp/B08B5DJ27S,,Other
TIDYZ SWING BIN LINERS 20 BAGS WHITE TIE HANDLE 50L,TidyZ 20 x Extra Strong Swing Bin Liners with Tie Handles Refuse Sacks White 50 Litres - 90 x 120cm (20 Bags),5025364000607.0,,B08RZDYZGY,0.768,8.99,2.7679166666666664,232.59803921568624,,,0,TIER_2_LIKELY,100,AMAZON_EAN_MISSING,"Supplier GTIN present, Amazon GTIN missing,Posterior match probability=1.000,Char TF-IDF cosine=0.609,Word TF-IDF cosine=0.497,Shared tokens=8,Measurement closeness=1.000",false,0.519,8,1,,,NEITHER,https://www.efghousewares.co.uk/tidyz-20-white-swing-bin-liners-handle,https://www.amazon.co.uk/dp/B08RZDYZGY,,Other
MAXIFRESH GLASS AIRTIGHT FOOD STORAGE CONTAINER ROUND 635ML,"NUTRIUPS 1.6L Airtight Glass Food Storage Containers with Lids, Round Food Storage Set, BPA Free for Meal Prep, Travel, Freezer, Oven",742288760312.0,790885713002.0,B0CZ449H1K,2.088,13.99,5.198333333333334,227.0014556040757,,,0,TIER_3_NEEDS_REVIEW,100,"EAN_MISMATCH,BRAND_MISMATCH","Different GTINs; treat as ambiguous evidence, not auto-rejection,Posterior match probability=0.999,Char TF-IDF cosine=0.518,Word TF-IDF cosine=0.258,Shared tokens=5,Demoted T2→T3: brand mismatch on non-EAN match",false,0.481,5,0.9986,,,NEITHER,https://www.efghousewares.co.uk/pyronex-vented-storage-jar-round-635ml05-1-23,https://www.amazon.co.uk/dp/B0CZ449H1K,Available (see Keepa data),Other
151 MATT PAINT NON-SLIP BLACK 180ML,4 x 151 Non Slip Black Matt Paint 180ml Paint Gloss Car Home Metal Wood Brick,5050375085435.0,5050375085435.0,B07M7L2J6X,1.68,12.28,4.338333333333332,222.4786324786324,,,0,TIER_1_A_VERIFIED,100,BRAND_MISMATCH,"Exact GTIN/EAN match with valid checksum,Posterior match probability=1.000,Char TF-IDF cosine=0.607,Word TF-IDF cosine=0.500,Shared tokens=7,Measurement closeness=1.000,EAN match, no pack markers in either title (assumed single-unit)",true,0.357,7,1,,,NEITHER,https://www.efghousewares.co.uk/151-tin-paint-non-slip-black,https://www.amazon.co.uk/dp/B07M7L2J6X,,Other
MARKSMAN SHED AND FENCE PAINT,"Marksman Shed & Fence Paint Brush, Synthetic Hair, Brown Handle, L",5038673640327.0,5038673640327.0,B0897TP2HL,1.008,9.95,2.961666666666667,213.0695443645084,,,0,TIER_1_A_VERIFIED,100,,"Exact GTIN/EAN match with valid checksum,Posterior match probability=1.000,Char TF-IDF cosine=0.611,Word TF-IDF cosine=0.545,Shared tokens=4,EAN match, no pack markers in either title (assumed single-unit)",true,0.556,4,1,,,NEITHER,https://www.efghousewares.co.uk/marksman-shed-and-fence-paint,https://www.amazon.co.uk/dp/B0897TP2HL,,Other
MASON CASH MIXING BOWL CREAM 29CM,"Mason Cash Colour Mix Cream Mixing Bowl | 4 Litre Capacity | 29cm Earthenware Bowl with Classic Pattern Design | Lightweight & Dishwasher Safe | Ideal for Baking, Pastry, Dough, Cakes & Cookies",5010853235530.0,,B01IFIJ91Y,7.656,34.0,14.743333333333336,212.7465127465128,50.0,50.0,50,TIER_2_LIKELY,100,AMAZON_EAN_MISSING,"Supplier GTIN present, Amazon GTIN missing,Posterior match probability=0.999,Char TF-IDF cosine=0.478,Word TF-IDF cosine=0.438,Shared tokens=6,Measurement closeness=1.000",false,0.294,6,0.9993,,,NEITHER,https://www.efghousewares.co.uk/mason-cash-mixing-bowl-cream-29cm-118288,https://www.amazon.co.uk/dp/B01IFIJ91Y,,Other
PAN AROMA DIFFUSER DOME 50ML FLUFFY TOWELS,Pan Aroma Reed Diffuser- Fluffy Towels 50ml,5053249217338.0,5053249217338.0,B07JLGBRHK,1.344,8.73,3.4450000000000003,206.28742514970057,,,0,TIER_1_A_VERIFIED,100,,"Exact GTIN/EAN match with valid checksum,Posterior match probability=1.000,Char TF-IDF cosine=0.844,Word TF-IDF cosine=0.615,Shared tokens=6,Measurement closeness=1.000,EAN match, no pack markers in either title (assumed single-unit)",true,0.753,6,1,,,NEITHER,https://www.efghousewares.co.uk/pan-aroma-diffuser-dome-50ml-fluffy-towels,https://www.amazon.co.uk/dp/B07JLGBRHK,,Other
STATUS LED SES CANDLE PEARL C/W 5.5W EACH,Status 5w = 40w = 470 lumens LED - Candle - E14 - PA - Pearl - Cool White - 1 pk Box - in White CDU,5022822199521.0,,B01EYT8BY4,1.08,9.33,2.74875,189.5689655172414,,,0,TIER_2_LIKELY,100,AMAZON_EAN_MISSING,"Supplier GTIN present, Amazon GTIN missing,Posterior match probability=0.999,Char TF-IDF cosine=0.365,Word TF-IDF cosine=0.139,Shared tokens=5,Measurement closeness=0.909",false,0.471,5,0.9986,,1,ONLY_AMZ,https://www.efghousewares.co.uk/status-led-ses-candle-pearl-c-w-5-5w-each,https://www.amazon.co.uk/dp/B01EYT8BY4,,Other
PAUL RUSSELLS 5 FOOT BATTEN 50W 6500K DAYLIGHT,"paul russells 5ft LED Batten, Ceiling Fitting Tube Light, 6500K Daylight, 50W, 6000 Lumens, Light for Office, Bathroom, Kitchen, Garage, Warehouse Fluorescent Lighting Replacement, 1 Pack",5056560110937.0,,B0BYNPSWQ8,10.284,39.99,16.79625,184.16940789473685,,,0,TIER_2_LIKELY,100,AMAZON_EAN_MISSING,"Supplier GTIN present, Amazon GTIN missing,Posterior match probability=0.999,Char TF-IDF cosine=0.506,Word TF-IDF cosine=0.279,Shared tokens=6,Measurement closeness=1.000",false,0.35,6,0.9995,,1,ONLY_AMZ,https://www.efghousewares.co.uk/paul-russells-5-foot-batten-50w-6500k-daylight-121758,https://www.amazon.co.uk/dp/B0BYNPSWQ8,,Other
BRIGHT & HOMELY PARCEL TAPE CLEAR 50M X 48MM 6 PACK,6 Rolls LOW NOISE Premium Clear Packaging Tape (All Pack Sizes) 48MM X 66M Extra Strong Secure Sticky Adhesive Durable Parcel Sealing Tape for Packing Boxes & Moving Houses,,,B0BV6MGP34,2.676,14.99,5.111666666666667,183.8729016786571,50.0,50.0,50,TIER_3_NEEDS_REVIEW,100,BRAND_MISMATCH,"Posterior match probability=0.997,Char TF-IDF cosine=0.349,Word TF-IDF cosine=0.132,Shared tokens=5,Measurement closeness=1.000,Demoted T2→T3: brand mismatch on non-EAN match",false,0.194,5,0.9975,6,,ONLY_SUP,https://www.efghousewares.co.uk/bright-homely-tape-clear-50m-x-48mm-6-pack-106279,https://www.amazon.co.uk/dp/B0BV6MGP34,,Other
PPS PLASTIC DRINK HALF PINT 20 GLASSES,20 x 1/2 PINT PLASTIC TUMBLERS - half pint disposable quality beer glasses,5030481960192.0,5030481960192.0,B00QU13LJU,0.744,8.72,2.116666666666667,180.91168091168095,,,0,TIER_1_A_VERIFIED,100,BRAND_MISMATCH,"Exact GTIN/EAN match with valid checksum,Posterior match probability=1.000,Char TF-IDF cosine=0.547,Word TF-IDF cosine=0.477,Shared tokens=5,EAN match, no pack markers in either title (assumed single-unit)",true,0.536,5,1,,,NEITHER,https://www.efghousewares.co.uk/pps-plastic-drink-1-2-pint-20-glasses,https://www.amazon.co.uk/dp/B00QU13LJU,,Other
PPS PLASTIC 2 TABLECLOTHS RED,2 X RED PLASTIC TABLE COVERS - 137cm x 137cm high quality wipeable table cloths FREE DELIVERY by Party & Paper Solutions,5030481943034.0,5030481943034.0,B00PSNQJG8,0.744,7.99,2.079583333333334,177.74216524216527,,,0,TIER_1_A_VERIFIED,100,BRAND_MISMATCH,"Exact GTIN/EAN match with valid checksum,Posterior match probability=0.999,Char TF-IDF cosine=0.335,Word TF-IDF cosine=0.074,Shared tokens=3,EAN match, no pack markers in either title (assumed single-unit)",true,0.34,3,0.999,,,NEITHER,https://www.efghousewares.co.uk/pps-plastic-2-tablecloths-red,https://www.amazon.co.uk/dp/B00PSNQJG8,,Other
STATUS LED 4.5W GU10 PEARL,"Status GU10 LED, Warm White 2700k, 4.5w = 50w, 345 lumens, 10 Pack Box (4.5SLGU10WP1B10)",5022822193314.0,,B00WZI1N1U,1.08,8.98,2.500833333333333,172.47126436781608,,,0,TIER_2_LIKELY,100,AMAZON_EAN_MISSING,"Supplier GTIN present, Amazon GTIN missing,Posterior match probability=1.000,Char TF-IDF cosine=0.477,Word TF-IDF cosine=0.213,Shared tokens=5,Measurement closeness=1.000",false,0.396,5,0.9995,,10,ONLY_AMZ,https://www.efghousewares.co.uk/status-led-5w-gu10-pearl-5w-each,https://www.amazon.co.uk/dp/B00WZI1N1U,,Other
CRYSTAL PLASTIC SHOT 50 GLASSES 2 OZ,"Crystal Touch 2oz Shot Glass Set - 100 Disposable, Durable Plastic Cups - Crystal Clear Dessert Cups for Birthday, Wedding, Anniversary Party Tasting",5060357992798.0,5060357992798.0,B0DQWTGXB9,1.908,12.97,3.678333333333335,171.8847352024923,,,0,TIER_1_A_VERIFIED,100,,"Exact GTIN/EAN match with valid checksum,Posterior match probability=0.999,Char TF-IDF cosine=0.480,Word TF-IDF cosine=0.254,Shared tokens=3,EAN match, no pack markers in either title (assumed single-unit)",true,0.286,3,0.9991,,,NEITHER,https://www.efghousewares.co.uk/crystal-plastic-shot-50-glasses-2-oz,https://www.amazon.co.uk/dp/B0DQWTGXB9,Available (see Keepa data),Other
PHOODS CUTLERY HEAVY DUTY SPOONS CLEAR REUSABLE 50PCS,Reusable Clear Heavy Duty Plastic Cutlery (50 Spoons),5060357990671.0,5060357990671.0,B01N5ODUPW,1.44,11.49,2.965,169.42857142857142,,,0,TIER_1_B_AUDIT_OUT,100,BRAND_MISMATCH,"Exact GTIN/EAN match with valid checksum,Posterior match probability=1.000,Char TF-IDF cosine=0.781,Word TF-IDF cosine=0.317,Shared tokens=6,EAN match, pack visible on one side only (ONLY_SUP)",true,0.462,6,1,50,,ONLY_SUP,https://www.efghousewares.co.uk/phoods-cutlery-heavy-duty-spoons-clear-50pcs-107555,https://www.amazon.co.uk/dp/B01N5ODUPW,,Other
151 VARNISH DARK OAK 180ML,4 x Dark Oak Varnish 180ml Paint Gloss Car Home Metal Wood Brick,5050375085282.0,5050375085282.0,B07MQBG5LR,1.68,10.56,3.12,160.0,,,0,TIER_1_A_VERIFIED,100,BRAND_MISMATCH,"Exact GTIN/EAN match with valid checksum,Posterior match probability=1.000,Char TF-IDF cosine=0.702,Word TF-IDF cosine=0.461,Shared tokens=4,Measurement closeness=1.000,EAN match, no pack markers in either title (assumed single-unit)",true,0.356,4,1,,,NEITHER,https://www.efghousewares.co.uk/151-tin-varnish-dark-oak,https://www.amazon.co.uk/dp/B07MQBG5LR,,Other
151 VARNISH CLASSIC MAHOGANY 180ML,4 x Classic Mahogany Varnish 180ml Paint Gloss Car Home Metal Wood Brick,5050375085312.0,5050375085312.0,B07MJH88RP,1.68,10.56,3.12,160.0,,,0,TIER_1_A_VERIFIED,100,BRAND_MISMATCH,"Exact GTIN/EAN match with valid checksum,Posterior match probability=1.000,Char TF-IDF cosine=0.790,Word TF-IDF cosine=0.458,Shared tokens=4,Measurement closeness=1.000,EAN match, no pack markers in either title (assumed single-unit)",true,0.453,4,1,,,NEITHER,https://www.efghousewares.co.uk/151-tin-varnish-classic-mahogany-16-9,https://www.amazon.co.uk/dp/B07MJH88RP,,Other
KINGFISHER DEHUMIDIFIER WARDROBE SCENT,Kingfisher Assorted Scented Wardrobe Hanging Dehumidifier Moisture Absorber (Pack of 3),5013478161147.0,5013478161147.0,B093HJSVZZ,1.14,9.49,2.368333333333334,157.88888888888894,,,0,TIER_1_B_AUDIT_OUT,100,,"Exact GTIN/EAN match with valid checksum,Posterior match probability=1.000,Char TF-IDF cosine=0.695,Word TF-IDF cosine=0.245,Shared tokens=3,EAN match, pack visible on one side only (ONLY_AMZ)",true,0.488,3,0.9996,,3,ONLY_AMZ,https://www.efghousewares.co.uk/kingfisher-dehumidifier-wardrobe-scent-3-10,https://www.amazon.co.uk/dp/B093HJSVZZ,,Other
PAN AROMA JAR CANDLE 85GM RED BERRY,"PAN AROMA® RED Decorative Holder & Scented Candle, RED Berry, 85g",5053249248295.0,5053249248295.0,B09KCMWXQX,1.08,8.45,2.2616666666666667,155.97701149425285,,,0,TIER_1_A_VERIFIED,100,,"Exact GTIN/EAN match with valid checksum,Posterior match probability=1.000,Char TF-IDF cosine=0.626,Word TF-IDF cosine=0.519,Shared tokens=5,EAN match, no pack markers in either title (assumed single-unit)",true,0.611,5,1,,,NEITHER,https://www.efghousewares.co.uk/pan-aroma-jar-candle-85gm-red-berry,https://www.amazon.co.uk/dp/B09KCMWXQX,,Other
