SupplierTitle,AmazonTitle,EAN,EAN_OnPage,ASIN,SupplierPrice_incVAT,SellingPrice_incVAT,NetProfit,ROI,bought_in_past_month,tier,confidence_score,flags,reasons,ean_exact_match,SupplierURL,AmazonURL,fba_seller_count,Category
ELYSIUM SPA EPSOM SALTS LAVENDER 450G,Elysium Spa Lavender Epsom Salts | Relaxing Bath with 100% Natural Mineral Salts for Muscle Relief Sleep Promotion and Skin Softener (450g),5020535008642,5020535008642,B06XCB8B1W,1.14,3.59,-1.218333333,-81.22222222,400,TIER_2_LIKELY,70,UNPROFITABLE,"Exact EAN match (checksum verified),Moderate title match (sim=0.41, shared=6),Brand match: elysium",TRUE,https://www.efghousewares.co.uk/elysium-spa-epsom-salt-lavender-450g-each,https://www.amazon.co.uk/dp/B06XCB8B1W,Available (see Keepa data),Bathroom   Cosmetics   Beauty
SEALAPACK BAKING PAPER NON-STICK 8M,"Sealapack Ready to USE Baking Paper, 37cm x 8 METRE ROLL, Brown, SAP015",5050375112735,5050375112735,B0081F86NE,1.14,3.9,-1.77,-118,400,TIER_2_LIKELY,70,UNPROFITABLE,"Exact EAN match (checksum verified),Moderate title match (sim=0.53, shared=3),Brand match: sealapack",TRUE,https://www.efghousewares.co.uk/sealapack-baking-paper-non-stick-8m,https://www.amazon.co.uk/dp/B0081F86NE,,Disposable Tableware
151 GORILLA FILLER WATER PROOF FOAM FILLER 500ML,"500ml - Expanding Foam Filler | Weatherproof - Ideal for Pipes, Windows, Doors (For Internal & External Use) 500ml",5050375114951,5050375114951,B00EZ5CIME,3.696,5.38,-2.876666667,-79.24701561,400,TIER_2_LIKELY,45,"BRAND_MISMATCH,UNPROFITABLE","Exact EAN match (checksum verified),Weak title match (sim=0.27, shared=3)",TRUE,https://www.efghousewares.co.uk/151-gorilla-filler-w-proof-foam-filler-500ml,https://www.amazon.co.uk/dp/B00EZ5CIME,Available (see Keepa data),Diy   Tools
ELYSIUM MUSCLE & BACK SOAK WITH MENTHOL 450G,Elysium Spa Muscle & Bath Soak With Menthol,5020535020811,5020535020811,B0BKL1KCVW,1.272,2.5,-2.816666667,-174.9482402,300,TIER_2_LIKELY,85,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.85, shared=4),Brand match: elysium",TRUE,https://www.efghousewares.co.uk/elysium-muscle-back-soak-with-menthol-450g-103947,https://www.amazon.co.uk/dp/B0BKL1KCVW,,Bathroom   Cosmetics   Beauty
PAINT FACTORY COLOUR IT BLK GLOSS SPRAY 250ML,Paint Spray Can 250ml 'Black Gloss' General Purpose,5055319571296,5055319571296,B00CI3ZLMO,1.476,3.87,-1.805,-101.4044944,300,TIER_2_LIKELY,70,UNPROFITABLE,"Exact EAN match (checksum verified),Moderate title match (sim=0.53, shared=4),Brand match: paint",TRUE,https://www.efghousewares.co.uk/paint-factory-colour-it-blk-gloss-spray-250ml,https://www.amazon.co.uk/dp/B00CI3ZLMO,Available (see Keepa data),Diy   Tools
LOVE YOUR WOOD FELT PADS HEAVY DUTY ASSORTED PACK OF 27,ASSORTED FELT PADS 27pk,5050375001572,5050375001572,B002JEFHIU,1.14,2.99,-0.958333333,-63.88888889,300,TIER_2_LIKELY,60,"BRAND_MISMATCH,UNPROFITABLE","Exact EAN match (checksum verified),Moderate title match (sim=0.41, shared=3)",TRUE,https://www.efghousewares.co.uk/love-your-wood-felt-pads-h-duty-assorted-21-3,https://www.amazon.co.uk/dp/B002JEFHIU,Available (see Keepa data),Diy   Tools
FEBREZE AIR FRESHENER FRESH LINEN 185ML PK8,"Febreze Air Freshener Spray Fresh Linen 185ML, 2in1 Fight Odours and Freshens",8700216185752,8700216185752,B0D5BGJJWY,16.116,3.55,-14.11541667,-100.9686457,200,TIER_2_LIKELY,85,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.67, shared=6),Brand match: febreze",TRUE,https://www.efghousewares.co.uk/febreze-air-freshener-fresh-linen-185ml-pk8-124398,https://www.amazon.co.uk/dp/B0D5BGJJWY,,Air Fresheners
151 FRAME SEALANT CARTRIDGE WHITE 280ML,"151 Frame Sealant - For all UPVC, Wood & Metal Door & Window Frames - Suitable for Internal Use Only (White)",5013748091389,5013748091389,B00HMURPX6,1.344,3.6,-1.77,-105.988024,200,TIER_2_LIKELY,70,UNPROFITABLE,"Exact EAN match (checksum verified),Moderate title match (sim=0.44, shared=4),Brand match: 151",TRUE,https://www.efghousewares.co.uk/151-cartridge-frame-sealant-white-310-ml,https://www.amazon.co.uk/dp/B00HMURPX6,,Diy   Tools
HANDY HOMES NAILS ASSORTED 250PK,250pk Hardware Assorted Nails Set,5056175901944,5056175901944,B07R934TS5,1.008,3.45,-0.755,-54.31654676,200,TIER_2_LIKELY,60,"BRAND_MISMATCH,UNPROFITABLE","Exact EAN match (checksum verified),Moderate title match (sim=0.43, shared=3)",TRUE,https://www.efghousewares.co.uk/handy-homes-nails-ass-250pk,https://www.amazon.co.uk/dp/B07R934TS5,Available (see Keepa data),Diy   Tools
PPS WOODEN TEA COFFEE 1000 STIRRER,1000 x Wooden Coffee Stirrers Eco Friendly - 12cm,5030481970290,5030481970290,B07Q44LHSC,1.812,5.71,-1.241666667,-60.27508091,200,TIER_2_LIKELY,60,"BRAND_MISMATCH,UNPROFITABLE","Exact EAN match (checksum verified),Moderate title match (sim=0.54, shared=3)",TRUE,https://www.efghousewares.co.uk/pps-wooden-tea-coffee-1000-stirrer,https://www.amazon.co.uk/dp/B07Q44LHSC,Available (see Keepa data),Disposable Tableware
ELY SPA EPSOM SALT WITH CHAMOMILE & JASMINE - 450G,Elysium Spa Sweet Dreams Epsom Salts | Chamomile & Jasmine Scented 100% Natural Magnesium Sulphate Crystals for Relaxing Calming Bath (450g),5020535021894,5020535021894,B0BWPPYZ61,1.14,1.49,-3.158333333,-210.5555556,200,TIER_2_LIKELY,60,"BRAND_MISMATCH,UNPROFITABLE","Exact EAN match (checksum verified),Moderate title match (sim=0.48, shared=5)",TRUE,https://www.efghousewares.co.uk/ely-spa-epsom-salt-with-chamomile-jasmine-450g-104014,https://www.amazon.co.uk/dp/B0BWPPYZ61,,Bathroom   Cosmetics   Beauty
PPS WOODEN BIODEGRADABLE 100 SKEWERS,"100 x Wooden Flat Paddle Burger Sandwich Skewers - 15cm Bamboo Sticks, 100% Compostable and Biodegradable Barbeque, Kebabs, Cocktails Buffet Party",5030481800481,5030481800481,B07ZC75ZSN,0.852,3.65,-1.418333333,-112.5661376,200,TIER_2_LIKELY,45,"BRAND_MISMATCH,UNPROFITABLE","Exact EAN match (checksum verified),Weak title match (sim=0.31, shared=4)",TRUE,https://www.efghousewares.co.uk/pps-wooden-biodegradable-100-skewers,https://www.amazon.co.uk/dp/B07ZC75ZSN,Available (see Keepa data),Disposable Tableware
151 FANTASTIC ELASTIC GLUE 20G,151 Fantastic Elastic Flexible Wateproof Glue,5050375101333,5050375101333,B004QX29CO,1.14,2.98,-0.906666667,-60.44444444,100,TIER_2_LIKELY,85,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.69, shared=4),Brand match: 151",TRUE,https://www.efghousewares.co.uk/151-glue-elastic-glue-20grm,https://www.amazon.co.uk/dp/B004QX29CO,Available (see Keepa data),Diy   Tools
151 STOP THAT LEAK REPAIR SPRAY,151 Stop That Leak Repair Spray,5053249222875,5053249222875,B076D9QT7F,3.156,5.61,-2.045,-64.3081761,100,TIER_2_LIKELY,85,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=1.00, shared=6),Brand match: 151",TRUE,https://www.efghousewares.co.uk/151-stop-that-leak-repair-spray-14-1,https://www.amazon.co.uk/dp/B076D9QT7F,,Diy   Tools
151 PAINT SPRAY 400ML GREY PRIMER,"151 Spray Paint, Grey Primer, 400Ml",5053249215303,5053249215303,B06XWPRCND,2.352,4.77,-1.905,-75.89641434,100,TIER_2_LIKELY,85,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.67, shared=6),Brand match: 151",TRUE,https://www.efghousewares.co.uk/151-paint-spray-400ml-grey-primer-104070,https://www.amazon.co.uk/dp/B06XWPRCND,,Diy   Tools
NUAGE NAIL POLISH REMOVER,Nuage Twist & Out Instant Nail Polish Remover Acetone,5020535009625,5020535009625,B083VV1JND,1.14,3.59,-1.548333333,-103.2222222,100,TIER_2_LIKELY,85,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.65, shared=4),Brand match: nuage",TRUE,https://www.efghousewares.co.uk/nuage-nail-polish-remover,https://www.amazon.co.uk/dp/B083VV1JND,,Bathroom   Cosmetics   Beauty
151 SUPER GLUE HARD AS NAILS BRUSH APPLICATOR 20G,"151 Hard As Nails Adhesive, Brush On Super Glue",5053249233130,5053249233130,B084JNN26Q,1.476,3.39,-0.895,-50.28089888,100,TIER_2_LIKELY,70,UNPROFITABLE,"Exact EAN match (checksum verified),Moderate title match (sim=0.59, shared=6),Brand match: 151",TRUE,https://www.efghousewares.co.uk/151-glue-super-hard-as-nails-brush-25-8,https://www.amazon.co.uk/dp/B084JNN26Q,Available (see Keepa data),Diy   Tools
KINGFISHER BIN LINER 50 BAG 75 LTR,Kingfisher BB50HD 75 Litre Everyday Dustbin Bin Bag Liners/Refuse Sacks Black (50 Bags),5013478117793,5013478117793,B005TH6L5W,2.76,5.9,-1.453333333,-50.99415205,100,TIER_2_LIKELY,70,UNPROFITABLE,"Exact EAN match (checksum verified),Moderate title match (sim=0.46, shared=3),Brand match: kingfisher",TRUE,https://www.efghousewares.co.uk/kingfisher-bin-liner-50-bag-75-ltr,https://www.amazon.co.uk/dp/B005TH6L5W,,Bin Bag Carrier Bag Paper Bag
151 FOAM TAPE DOUBLE-SIDED PACK OF 3,"151 Double Sided Foam Tape, 3 Rolls, 18Mm X 2.6M, White",5050375001916,5050375001916,B004P8LJFI,1.14,3.79,-1.491666667,-99.44444444,100,TIER_2_LIKELY,70,UNPROFITABLE,"Exact EAN match (checksum verified),Moderate title match (sim=0.40, shared=5),Brand match: 151",TRUE,https://www.efghousewares.co.uk/151-tape-3-double-sided-foam-16-11,https://www.amazon.co.uk/dp/B004P8LJFI,,Diy   Tools
FEBREZE AIR FRESHENER BATH FRUIT TROPIC PK8,Febreze Bathroom Continuous Air Freshener Fruity Tropics 1 Count,8006540917763,8006540917763,B0C3RT3RSX,21.492,3.19,-18.87041667,-102.2232756,100,TIER_2_LIKELY,70,UNPROFITABLE,"Exact EAN match (checksum verified),Moderate title match (sim=0.65, shared=3),Brand match: febreze",TRUE,https://www.efghousewares.co.uk/febreze-air-freshener-bath-fruit-tropic-pk8-124459,https://www.amazon.co.uk/dp/B0C3RT3RSX,,Air Fresheners
LITTLE TREES CAR FRESHENER UNION JACK FLAG,"Little Trees Air Freshener Tree MTR0087 United Kingdom For Car Home Boat Caravan - Single Pack, Red white blue",7612720208845,7612720208845,B093H42SVK,0.936,1.5,-1.79,-134.5864662,100,TIER_2_LIKELY,70,UNPROFITABLE,"Exact EAN match (checksum verified),Moderate title match (sim=0.49, shared=4),Brand match: little",TRUE,https://www.efghousewares.co.uk/little-trees-car-fresh-union-jack,https://www.amazon.co.uk/dp/B093H42SVK,Available (see Keepa data),Air Fresheners
AIRWICK REED DIFFUSER MULLED WINE 33ML PK5,"Air Wick Essential Oils Reed Diffuser Air Freshener Mulled Wine Scent, 5 Bottles X 30 ml",5059001500861,5059001500861,B07WDRQ4J7,13.428,18.32,-0.983333333,-8.375922771,100,TIER_2_LIKELY,60,"BRAND_MISMATCH,UNPROFITABLE","Exact EAN match (checksum verified),Moderate title match (sim=0.57, shared=4)",TRUE,https://www.efghousewares.co.uk/airwick-reed-diffuser-mulled-wine-33ml-pk5-120726,https://www.amazon.co.uk/dp/B07WDRQ4J7,Available (see Keepa data),Air Fresheners
ECOBAG GARDEN SACKS GREEN 10 BAG 100 LTR,"100Litre,10 Heavy Duty Garden Sacks Bags-Made from Recycled Waste - EcoBag",5019685012500,5019685012500,B00HGELN8Q,1.008,5.51,-0.278333333,-20.02398082,100,TIER_2_LIKELY,60,"BRAND_MISMATCH,UNPROFITABLE","Exact EAN match (checksum verified),Moderate title match (sim=0.41, shared=3)",TRUE,https://www.efghousewares.co.uk/ecobag-green-garden-sacks-10-bag-100-ltr-sp-,https://www.amazon.co.uk/dp/B00HGELN8Q,,Bin Bag Carrier Bag Paper Bag
RAPIDE SPRAY ALL PURPOSE F/GREEN 400ML,All Purpose Forest Green 400ML - Professional Gloss Finish Spray Wood Color Paint,5055319517386,5055319517386,B078HCM7LQ,2.148,4.74,-1.76,-75.21367521,100,TIER_2_LIKELY,60,"BRAND_MISMATCH,UNPROFITABLE","Exact EAN match (checksum verified),Moderate title match (sim=0.41, shared=5)",TRUE,https://www.efghousewares.co.uk/rapide-spray-all-purpose-f-green-400ml,https://www.amazon.co.uk/dp/B078HCM7LQ,Available (see Keepa data),Diy   Tools
AIRWICK PLUG COMPLETE WHITE VANILLA BEAN PK4,"Air Wick Plug in Diffuser Kit, White Vanilla Bean, 1 Device & 1 Refill (19ml), Long Lasting Fragrance, Lasts up to 100 Days, Plug in Air freshener",5011417568071,5011417568071,B0176G7CEW,13.428,6.78,-9.38,-79.89778535,100,TIER_2_LIKELY,60,"BRAND_MISMATCH,UNPROFITABLE","Exact EAN match (checksum verified),Moderate title match (sim=0.40, shared=4)",TRUE,https://www.efghousewares.co.uk/airwick-plug-complete-white-vanilla-bean-pk4-124433,https://www.amazon.co.uk/dp/B0176G7CEW,,Air Fresheners
151 FRAME SEALANT BROWN,"151 Frame Sealant - for All UPVC, Wood & Metal Door & Window Frames | Permanent & Fast Drying - Suitable for Internal Use Only (Brown, 280ml)",5013748039138,5013748039138,B00577JZ2A,1.344,3.9,-1.58,-94.61077844,100,TIER_2_LIKELY,55,UNPROFITABLE,"Exact EAN match (checksum verified),Weak title match (sim=0.30, shared=4),Brand match: 151",TRUE,https://www.efghousewares.co.uk/151-frame-sealant-brown-103889,https://www.amazon.co.uk/dp/B00577JZ2A,Available (see Keepa data),Diy   Tools
PAINT FACTORY COLOUR IT SPRAY MATT WHITE 400ML,All Purpose White MATT 400ML - Professional Satin Finish Spray Wood Color Paint,5055319517362,5055319517362,B078HN4VV9,2.148,5.39,-1.298333333,-55.48433048,100,TIER_2_LIKELY,45,"BRAND_MISMATCH,UNPROFITABLE","Exact EAN match (checksum verified),Weak title match (sim=0.26, shared=5)",TRUE,https://www.efghousewares.co.uk/paint-factory-colour-it-spray-matt-white-400ml-111640,https://www.amazon.co.uk/dp/B078HN4VV9,,Diy   Tools
PAN AROMA VAPOURISING OIL 10ML,Nuage Vapour Oil | Contains Soothing Menthol & Eucalyptol - Breathe Easy (10ml),5053249249865,5053249249865,B0BLT1QW8G,1.08,3.78,-1.02,-70.34482759,100,TIER_2_LIKELY,45,"BRAND_MISMATCH,UNPROFITABLE","Exact EAN match (checksum verified),Weak title match (sim=0.33, shared=2)",TRUE,https://www.efghousewares.co.uk/pan-aroma-vapourising-oil-10ml,https://www.amazon.co.uk/dp/B0BLT1QW8G,Available (see Keepa data),Candles Air Fresheners Diffuse
NUAGE AQUEOUS LOTION 250ML EACH,Nuagé Aqueous Lotion Pump | Softens & Moisturises For Cleansing and Hydrating Skin - Dermatologically Tested Fragrance Free Water Cream (250ml),5020535010751,5020535010751,B07Z3D2NGD,1.272,3.61,-1.311666667,-81.4699793,100,TIER_2_LIKELY,45,"BRAND_MISMATCH,UNPROFITABLE","Exact EAN match (checksum verified),Weak title match (sim=0.30, shared=3)",TRUE,https://www.efghousewares.co.uk/nuage-aqueous-lotion-250ml-each-17-11,https://www.amazon.co.uk/dp/B07Z3D2NGD,,Bathroom   Cosmetics   Beauty
KINGFISHER FOIL FLAN 6 LARGE DISHES,"Kingfisher Foil Flan Dishes, Silver, Large, Pack of 6",5013478557865,5013478557865,B000XJDAPA,0.852,5.29,-0.301666667,-23.94179894,50,TIER_2_LIKELY,85,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.66, shared=5),Brand match: kingfisher",TRUE,https://www.efghousewares.co.uk/kingfisher-foil-flan-6-large-dishes,https://www.amazon.co.uk/dp/B000XJDAPA,Available (see Keepa data),Disposable Tableware
BACOFOIL FREEZER BAGS MEDIUM 3LTR 40PCS,Bacofoil 40 Freezer Bags Medium 3 Litre 25x32cm,5023139863617,5023139863617,B08GHXNMB6,2.424,5.59,-1.051666667,-40.92088197,50,TIER_2_LIKELY,85,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.81, shared=4),Brand match: bacofoil",TRUE,https://www.efghousewares.co.uk/bacofoil-freezer-bags-medium-3ltr-40pcs-117165,https://www.amazon.co.uk/dp/B08GHXNMB6,Available (see Keepa data),Disposable Tableware
151 HARD AS NAILS HIGH POWER ADHESIVE EXTERIOR 240G,180ML HARD AS NAILS HIGH POWER ADHESIVE EXTERIOR,5050375010857,5050375010857,B002SIVTGQ,1.344,3.99,-1.515,-90.71856287,50,TIER_2_LIKELY,75,"BRAND_MISMATCH,UNPROFITABLE","Exact EAN match (checksum verified),Strong title match (sim=0.89, shared=6)",TRUE,https://www.efghousewares.co.uk/151-flexi-filler-hard-as-nails-ext,https://www.amazon.co.uk/dp/B002SIVTGQ,,Diy   Tools
SEALAPACK GREASEPROOF PAPER 10M,Sealapack premium quality Greaseproof Paper - 37centimeter wide x 10 metre long,5050375114500,5050375114500,B008HF6WVG,1.272,4.39,-1.621666667,-100.7246377,50,TIER_2_LIKELY,70,UNPROFITABLE,"Exact EAN match (checksum verified),Moderate title match (sim=0.57, shared=3),Brand match: sealapack",TRUE,https://www.efghousewares.co.uk/sealapack-greaseproof-paper-10m-2-12,https://www.amazon.co.uk/dp/B008HF6WVG,,Disposable Tableware
AIRWICK REED DIFFUSER COSY COTTAGE 42ML PK5,Air Wick|Cosy Cottage - Frosted Roses & Snowberry|Air Freshener Reed Diffuser|42ml |Single Pack,5059001016010,5059001016010,B0CY3G3CLL,13.428,5.99,-9.878333333,-84.14253265,50,TIER_2_LIKELY,60,"BRAND_MISMATCH,UNPROFITABLE","Exact EAN match (checksum verified),Moderate title match (sim=0.42, shared=5)",TRUE,https://www.efghousewares.co.uk/airwick-reed-diffuser-cosy-cottage-42ml-pk5-124787,https://www.amazon.co.uk/dp/B0CY3G3CLL,,Air Fresheners
151 CRACK ATTACK ALL-PURPOSE FILLER CARTRIDGE 280ML,"Glues & Fillers 10039 151 Crack Attack All Purpose Filler, White , 151 Grams , Pack of 1",5013748062556,5013748062556,B00CDAUVT0,1.14,3.94,-1.376666667,-91.77777778,50,TIER_2_LIKELY,60,"BRAND_MISMATCH,UNPROFITABLE","Exact EAN match (checksum verified),Moderate title match (sim=0.58, shared=6)",TRUE,https://www.efghousewares.co.uk/151-cartridge-crack-attack-310-ml-11-6,https://www.amazon.co.uk/dp/B00CDAUVT0,,Diy   Tools
PAINT FACTORY COLOUR IT DESERT SAND 250ML,"Colour It Desert Sand Matt, 250 ml",5055319528566,5055319528566,B07NJH1YNY,1.476,3.89,-1.788333333,-100.4681648,50,TIER_2_LIKELY,60,"BRAND_MISMATCH,UNPROFITABLE","Exact EAN match (checksum verified),Moderate title match (sim=0.73, shared=3)",TRUE,https://www.efghousewares.co.uk/paint-factory-colour-it-desert-sand-250ml-111566,https://www.amazon.co.uk/dp/B07NJH1YNY,,Diy   Tools
RAPIDE STICKER AND GUM REMOVER 300ML,Sticker Remover Spray Gel Label Residue Adhesive Tape Chewing Gum Tar Cleaner,5055319531689,5055319531689,B08Z81VGVQ,2.148,6.09,-0.505,-21.58119658,50,TIER_2_LIKELY,45,"BRAND_MISMATCH,UNPROFITABLE","Exact EAN match (checksum verified),Weak title match (sim=0.32, shared=3)",TRUE,https://www.efghousewares.co.uk/rapide-sticker-and-gum-remover-300ml-111652,https://www.amazon.co.uk/dp/B08Z81VGVQ,,Diy   Tools
PAINT FACTORY COLOUR IT SPRAY PRIMER GREY 400ML,All Purpose Paint - Grey Primer 400 ml - Professional Matt Finish Spray Wood Color Paint,5055319517379,5055319517379,B078HG6GBG,2.148,4.98,-1.64,-70.08547009,50,TIER_2_LIKELY,45,"BRAND_MISMATCH,UNPROFITABLE","Exact EAN match (checksum verified),Weak title match (sim=0.32, shared=4)",TRUE,https://www.efghousewares.co.uk/paint-factory-colour-it-spray-primer-grey-400ml-111641,https://www.amazon.co.uk/dp/B078HG6GBG,,Diy   Tools
PPS 50 PAPER RED & WHITE STRAWS,"Party Paper Solutions paper drinking straws, red and white striped, biodegradable, environmentally friendly, approx. 20 cm, 50 pieces.",5030481800351,5030481800351,B07Q4524JV,0.672,2.73,-0.855,-77.02702703,50,TIER_2_LIKELY,45,"BRAND_MISMATCH,UNPROFITABLE","Exact EAN match (checksum verified),Weak title match (sim=0.31, shared=4)",TRUE,https://www.efghousewares.co.uk/pps-50-paper-red-white-straws,https://www.amazon.co.uk/dp/B07Q4524JV,Available (see Keepa data),Disposable Tableware
AIRWICK PLUG COMPLETE COSY COTTAGE PK4,"Air Wick Cosy Cottage, Frosted Roses and Mistletoe Advanced Electrical Plug-In Kit, 19ml, Lasts for up to 100 days",5059001026361,5059001026361,B0FKNNL3MR,13.428,5.99,-9.878333333,-84.14253265,50,TIER_2_LIKELY,45,"BRAND_MISMATCH,UNPROFITABLE","Exact EAN match (checksum verified),Weak title match (sim=0.31, shared=3)",TRUE,https://www.efghousewares.co.uk/airwick-plug-complete-cosy-cottage-pk4-125180,https://www.amazon.co.uk/dp/B0FKNNL3MR,Available (see Keepa data),Air Fresheners
