path,issue_type,severity,reason,evidence
tools\supplier_output_manager.py,BinaryGeneric,critical,2255 null bytes detected,First 100 bytes: b'\xd9\xd5\x05\xf9 \xa1c\xd7\x00\x00\x00\x02\x0e\x8d\x0f\xea\x00\x00\x0eY\x00\x00\x02\x00\x00\x00\x10\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
tools\supplier_parser.py,BinaryGeneric,critical,4180 null bytes detected,First 100 bytes: b'\x13\xbe\x03\xcd\x01\x02t\x00\t\x00\x03t\t\xcd\x01\x00\x04t\xd6\x01 \x00c:\\Users\\chris\\Desktop\\Amazon-FBA-Agent-System-v32 - latest good - Copy (8) - '
tools\sync_opportunity_detector.py,BinaryGeneric,critical,1629 null bytes detected,First 100 bytes: b'ring_supplier_scraping\x15\xd5&\x03M\x03monitor_memory_during_processingP\x8cf&\x03M\x03monitor_memory_during_processingP'
tools\system_audit_monitor.py,BinaryGeneric,critical,3568 null bytes detected,"First 100 bytes: b'      end_line INTEGER,\n                      start_offset INTEGER,\n                      end_offset'"
tools\vision_login_handler.py,MissingFile,critical,File not found,N/A
tools\archive\ai_category_suggester.py,BinaryGeneric,critical,1003 null bytes detected,"First 100 bytes: b'2/utils/browser_manager.py\x81z\x87\x98\xf5""\t\x81%\x81?\x01#\x81\rbackup.surgical_implementation_20250722.utils.browser_manag'"
tools\archive\browser_manager_langraph_version.py,BinaryGeneric,critical,3748 null bytes detected,"First 100 bytes: b'      end_line INTEGER,\n                      start_offset INTEGER,\n                      end_offset'"
tools\archive\browser_manager_tools_version.py,BinaryGeneric,critical,1686 null bytes detected,"First 100 bytes: b'{\r\n  ""asin_from_details"": ""B01BP0VMZA"",\r\n  ""title"": ""L\xe2\x80\x99Or\xc3\xa9al Paris Revitalift Filler Replumping A'"
utils.py,MissingFile,critical,File not found,N/A
tools\archive\linking_map_writer.py,BinaryGeneric,critical,4636 null bytes detected,First 100 bytes: b'\r\x06\x06\x06older version/good/tools/supplier_script_generator.pyprocess_relationinit64024baed08c862175d4a59'
tools\archive\vision_ean_login_extractor.py,BinaryGeneric,critical,9651 null bytes detected,"First 100 bytes: b'[{""ts"":1757953850278,""type"":""say"",""say"":""text"",""text"":""\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'"
tools\archive\vision_product_locator.py,BinaryGeneric,critical,3711 null bytes detected,First 100 bytes: b'\ra\r\x19backup.format_fixes_backup_20250717_181444.tools.archive.ai_category_suggester.AICategorySuggest'
tools\archive\workflow_orchestrator.py,BinaryGeneric,critical,148 null bytes detected,"First 100 bytes: b'\x81Z\xa2\x88\xa2\x10\xc68\x00\x00|\xdbCQ\x94\xb4\xda\x1e\xae""9i\xf5\x00\xa8Z$d^\xb0\xfa\xe3\xd7\x9f\x7f\xfe\xfb\xab\xc0\xd8\xdd\x10\xeb\xb8\x9eo?{]\xfd\x7f\xfd\xf6r\x13HGLH\x0cW\xde\x15\x13Bz\x01\x15vc\x8c\xdbU\xc6U\x06\x03;\x7f\xa6\xeaw\xba\xbep\x9b8\xa1`t\x82\xcco\x0e\xed\xb4\x95\x13o\xe2'"
tools\legacy_utils\data_extractor.py,BinaryGeneric,critical,3899 null bytes detected,First 100 bytes: b'MAM\x04\x1cm\x01\x00\x85\x98\xb7\xbb\x87\x98\xba\xab\x87\x98\xba\xab\x87\x98\xbb\xab\x87\x98\xba\xaa\x88\x98\xaa\xba\x87\x88\xaa\xaa\x87\x98\xaa\xba\x88\x88\xa9\xa9\x87\x99\xa9\xaa\x87\x98\xa9\xba\x87\x98\xca\xcb\x88\x98\xcb\xba\x98\x98\xbb\xbb\x98\x98\xdb\xbb\x88\x98\xcb\xbb\x97\x98\xdb\xbc\x87\x99\xcb\xbb\x88\x98\xbb\xbb\x88\x88\xbb\xbb\x88\x99\xcb\xbd\x98\x99\xdb\xcc\x98\x99\xeb\xcd'
tools\legacy_utils\fba_calculator.py,BinaryGeneric,critical,7141 null bytes detected,First 100 bytes: b'es.pyprocess_relationinit01b60972dc73fd0772cbe6d4509f1b752aefa7d65a0a0205abb03f329549c861\x18e\x83\xd2\x90\x14\x9b<\x18e\x83'
tools\legacy_utils\price_analyzer.py,BinaryGeneric,critical,863 null bytes detected,"First 100 bytes: b'{\r\n  ""asin_from_details"": ""B01BFHR7IO"",\r\n  ""title"": ""Pennine A4 Multi-Coloured Activity Pad"",\r\n  ""cu'"
tools\legacy_utils\product_validator.py,BinaryGeneric,critical,5424 null bytes detected,"First 100 bytes: b'""""""\r\nProduct Data Validator for Amazon FBA Agent System\r\nValidates extracted product data against ex'"
tools\archive\experimental_helpers\vision_ean_bootstrap.py,BinaryGeneric,critical,2030 null bytes detected,First 100 bytes: b'\xd9\xd5\x05\xf9 \xa1c\xd7\x00\x00\x00\x02\xc4=Ot\x00\x00\x0eY\x00\x00\x02\x00\x00\x00\x10\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
tools\archive\legacy_scripts\fixed_amazon_extractor.py,BinaryGeneric,critical,67 null bytes detected,First 100 bytes: b'\x13\x03logP\x8c\xf6\t\x03\x13\x03logP\x8c\x90\t\x03\x13\x03logP\x8c\x8e\t\x03\x13\x03logP\x8c|\t\x03\x13\x03logP\x8c_\t\x03\x13\x03logP\x8cV\t\x03\x13\x03logP\x8cM\t\x03\x13\x03logP\x8b\xd5\t\x03\x13\x03logP\x8b\xb8\t\x03\x13\x03logP\x8b\xa8\t\x03'
tools\archive\legacy_scripts\passive_extraction_workflow_latestIcom.py,BinaryGeneric,critical,953 null bytes detected,"First 100 bytes: b'C/<\n\xb8N\xf9\xf5x>G[)sD?S\x1d\t\xafk""\xf3\x9f\x81\xd3V\xce\x8a\xc0D\x0cww\x8fl\xda\xb5\xe7\xb6\xa0Y\x16\x05t6\x9e\x85\xb1!\x96eb\xa8\xe7\xf6\xb9\x18^\n\x0e~A\x86\xc5\xd6\xe3\x12\r\x16&\x819x>L\xe1\x0bP\xc8\x8c#\xefI\xc1$\x15\xa5\xf0-F\x94\xd2\x9d\x1f\xd2r\xfb\xbdF'"
tools\archive\legacy_scripts\passive_extraction_workflow_latestOLD.py,BinaryGeneric,critical,21 null bytes detected,First 100 bytes: b'4aiDCnq0Q/zn8uXBmS/XLELkRGqofqUcKJI4O3zW57MyWf6b9f43aqCGE1UMrJyYOPrHkdcP3FK1VfPdKkLChfyPtuCLIQFd3MpF'
tools\archive\legacy_scripts\passive_extractor2.py,BinaryGeneric,critical,924 null bytes detected,"First 100 bytes: b'\xc3\r\xdc=\x8b\xe9\xd41\x97h\xf9R\x96\xd0\xf2~\x07\x0c\xa4\x10\x81\xce\xb1t5\xdc(\xcb\xa4\x84]\n^F\x99\xba\x0e<\x8b\xa9~\x89,\x8a\x83\xd3V""\x0bb\xadR:\xa8f\x15\xa8\xeew\xe4d\xa6\xbf\xc7\x07*n\x90\xd61\x97\xa0\xfa\x0fY\x02\xd5<\xb3 F\x03\xa1\xca\x06\xd0\x1aRr*\xadda}\x8d\x92\\RI%'"
tools\archive\login_variants\login_health_checker.py,BinaryGeneric,critical,6712 null bytes detected,First 100 bytes: b'=\x06\x03\r\x03P\xae<\x06\x03\r\x03P\xae;\x06\x03\r\x03P\xae:\x06\x03\r\x03P\xae9\x06\x03\r\x03P\xae8\x06\x03\r\x03P\xae7\x06\x03\r\x03P\xae6\x06\x03\r\x03P\xae5\x06\x03\r\x03P\xae4\x06\x03\r\x03P\xae3\x06\x03\r\x03P\xae2\x06\x03\r\x03P\xae1\x06\x03\r\x03P\xae0\x06\x03\r\x03P\xae/\x06'
tools\archive\login_variants\vision_enhanced_login.py,BinaryGeneric,critical,3568 null bytes detected,"First 100 bytes: b'      end_line INTEGER,\n                      start_offset INTEGER,\n                      end_offset'"
tools\archive\utilities\amazon_pa.py,BinaryGeneric,critical,9 null bytes detected,"First 100 bytes: b'\xfb\x9aF\xef\\\n\x04null,""reason"":{""code"":""condition_match"",""condition_index"":0,""description"":""Matched condition '"
tools\archive\utilities\amazon_tools.py,BinaryGeneric,critical,2064 null bytes detected,"First 100 bytes: b'{\r\n  ""asin_from_details"": ""B00HD78M9E"",\r\n  ""title"": ""STATUS White Extension Lead | 5m Extension Cabl'"
tools\archive\utilities\main_orchestrator.py,BinaryGeneric,critical,561 null bytes detected,"First 100 bytes: b'(\xb5/\xfd\x04XU\x81\x02\xae""\x845\x0bC0i\xb6\xe9\xc0\xc0\xc0\xc0\xc0\xc0\xc0\x08\xa4\x14 0\xc3\xfb\xff\xff\xb6w\xf5\xf7\xa6E\xba\xfdM\xba\xd9\xf1\xa8\xa0:\xeb(\xc290\x8c\x19g\x06a\xc5\xa96\x0f""eJ)\xa5\x94\x12\x13\xb7r\x1a#;\xe9\x0b\x03\x03\xaa\x13\x0c\xfa\x086\n\x9e\xe8\xd6q\x8c\xf17\xfe\xaen\xe6\x96'"
tools\archive\utilities\supplier_parser.py,BinaryGeneric,critical,6958 null bytes detected,First 100 bytes: b'essing_fixes_20250726_191317/utils/supplier_circuit_breaker.py+:\x02_older version/FBA_Financial_calcul'
tools\web_scraper_impl.py,MissingFile,critical,File not found,N/A
tools\archive\utilities\web_scraper_clearance_king.py,BinaryGeneric,critical,8537 null bytes detected,First 100 bytes: b'pathspec-0.2.2.tar.gz69376fdc87dd9620f0b7726e497272c997064c52ae02a9ec937136d93437b63d\x00\x00\x00\x01\x00\x00\x00\x80\x01\x00\x00\xb9\xff\xff\xff'
tools\firecrawl.py,MissingFile,critical,File not found,N/A
tools\hyperbrowser.py,MissingFile,critical,File not found,N/A
tools\browserbase.py,MissingFile,critical,File not found,N/A
tools\oxylabs.py,MissingFile,critical,File not found,N/A
tools\scraperapi.py,MissingFile,critical,File not found,N/A
config\suppliers_loader.py,MissingFile,critical,File not found,N/A
tools\archive\utilities\zero_token_triage_module.py,BinaryGeneric,critical,3568 null bytes detected,"First 100 bytes: b'      end_line INTEGER,\n                      start_offset INTEGER,\n                      end_offset'"
utils\enhanced_state_manager 2 .py,BinaryGeneric,critical,3789 null bytes detected,First 100 bytes: b'MAM\x04\x14\x92\x01\x00\xa5\xbb\xb7\xcb\xb6\xbb\xdb\xab\xc6\xca\xcb\xbc\xb6\xbb\xbc\xcb\xb6\xcb\xca\xbb\xb6\xcc\xbb\xcb\xb6\xcb\xcb\xcc\xd6\xcc\xcb\xcb\xc6\xbb\xcb\xcb\xa6\xdb\xbb\xcb\xc6\xcd\xcc\xcc\xc6\xcd\xbc\xcc\xc6\xbd\x0c\xcb\xd6\xcc\xc0\xcc\xd6\xdb\xcb\xcb\xd6\r\xdc\xb0\xc6\xbc\xdb\xdb\xc6\x00\xdc\xbd\x06\n\xdc\xdc\xd6\xdc\xdd\x0c\x06\xdc\r\xdd\x06\xcc\xdc\x0c\x06\xcc\xdd\r'
utils\file_organization_migrator.py,BinaryGeneric,critical,5338 null bytes detected,First 100 bytes: b'\xd9\xd5\x05\xf9 \xa1c\xd7\x00\x00\x00\x02#i\xd2\x8e\x00\x00\x0eb\x00\x00\x02\x00\x00\x00\x10\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
utils\fixed_enhanced_state_manager_0.py,BinaryGeneric,critical,409 null bytes detected,"First 100 bytes: b'\x97\x89\xa6\x1a%\xef\x9dt\x94\xecW&\x9a\xde,{\x7f4\xe9|\xef\x897\x1d8@\xa6\xf5\x10\xa31Yl\xef\x05\xb0>\x9b\x08\xd1\x87 x\xd1\r\\\xbf\xa7{\xdf\xe4T\x913{f\xec\x98e#\xae\t\xd7\xb2\xc1\xfcUsj\xef\x99]\xcb\xe7\xd7\xdeI\xceV\xcc\x05ns\xda\x16-\xc1\x07\xd8\xb5\x8b\x01\xea\xf6\xaa*\xaf\x86\xd85'"
utils\normalization_0.py,BinaryGeneric,critical,60 null bytes detected,"First 100 bytes: b'""use strict"";(self[""webpackJsonp_trade-futures""]=self[""webpackJsonp_trade-futures""]||[]).push([[2582'"
utils\supplier_circuit_breaker.py,BinaryGeneric,critical,4307 null bytes detected,First 100 bytes: b'essing_fixes_20250726_191317/utils/supplier_circuit_breaker.py+:\x02_older version/FBA_Financial_calcul'
utils\url_aware_state_manager.py,BinaryGeneric,critical,40 null bytes detected,"First 100 bytes: b'7\x06\x03\r\x03P\xae6\x06\x03\r\x03P\xae5\x06\x03\r\x03P\xae4\x06\x03\r\x03P\xae3\x06\x03\r\x03P\xae2\x06\x03\r\x03P\xae1\x06\x03\r\x03P\xae0\x06\x03\r\x03P\xae/\x06\x03\r\x03P\xae.\x06\x03\r\x03P\xae-\x06\x03\r\x03P\xae,\x06\x03\r\x03P\xae+\x06\x03\r\x03P\xae*\x06\x03\r\x03P\xae)\x06'"
utils\windows_memory_manager.py,BinaryGeneric,critical,280 null bytes detected,"First 100 bytes: b""ion_playwright_extraction.CompleteVisionPlaywrightExtractor\x00\xe6'.\x81\x1d\x04\x827\x04backup.format_fixes_backup_2025"""
utils\wsl_memory_manager.py,BinaryGeneric,critical,4326 null bytes detected,First 100 bytes: b'\x08\x03\x02\x03\x02\xe0\x00\xa0\x93\x08\x03\x02\x03\x02\xe0\x00\x9c:\x08\x03\x02\x03\x02\xe0\x00\x9c9\x08\x03\x02\x03\x02\xe0\x00\x9c6\x08\x03\x02\x03\x02\xe0\x00\x9c5\x00\x00\x00\x06\x00\x00\x07\x03\x02\x02\x02\xe7\x1a\x92\x08\x03\x02\x03\x02\xe3\x00\xce\x88\x08\x03\x02\x03\x02\xe3\x00\xcb.\x08\x03\x02\x03\x02\xe3\x00\xcb-\x08\x03\x02\x03\x02\xe3\x00\xc8 \x08\x03\x02\x03\x02'
