SupplierTitle,AmazonTitle,EAN,ASIN,SupplierURL,AmazonURL,SupplierPrice_exVAT,SellingPrice_incVAT,NetProfit,ROI,sales_count,total_offer_count,fba_seller_count,fbm_seller_count,investment_tier,reason,has_strong_brand,brand_detected,MatchMethod,Confidence
Hoot Portable Hopscotch Set,"Jaques of London Original Tonbridge Croquet Set 4 Players | Beginners Set 30"" Croquet Mallets | Premium Lawn Games | Since 1795",5.06E+12,B017U95WM4,https://www.poundwholesale.co.uk/hoot-portable-hopscotch-set,https://www.amazon.co.uk/dp/B017U95WM4,3.31,89.99,51.76166667,13.4097582,Unknown,1.0,,,REJECTED,"['ROI 13.4% < 30.0%', 'No sales data and no strong brand indicators']",False,,title,medium
Mumma Love Organics Fun Soap With Aloe Vera 200ml,"Miniml Hand Soap Wash Liquid 5L Refill - Cucumber & Aloe Vera Infused Hand, Skin & Body Wash Gel for Soft and Sensitive Skin Care - 100% Vegan & Cruelty Free",5.06E+12,B0B1Z31WMP,https://www.poundwholesale.co.uk/mumma-love-organics-fun-soap-with-aloe-vera-200ml,https://www.amazon.co.uk/dp/B0B1Z31WMP,0.38,26.97,12.005,12.90860215,100.0,4.0,,,REJECTED,['ROI 12.9% < 30.0%'],False,,title,medium
DID Skipping Rope 2.7m Assorted Colours,Childrens Skipping Ropes. Wooden Handle Skipping Ropes for Kids. 10 Colourful Jump Ropes for Outdoor Games and Children's Parties.,5.06E+12,B07H3MNWFY,https://www.poundwholesale.co.uk/did-skipping-rope-2-7m-assorted-colours,https://www.amazon.co.uk/dp/B07H3MNWFY,0.56,24.99,13.79125,12.42454955,50.0,,,,REJECTED,"['ROI 12.4% < 30.0%', 'Sales 50.0 ≤ 50']",False,,title,medium
Time To Party Plastic Shot Glasses 25 Pack,"HOT BARGAINS 1000 X Shot Glasses Plastic Clear Reusable Plastic Shot Glasses 2cl / 30ml Shot Glasses Jelly Cups Reusable Plastic Shot Cups Ideal for Party, Bars, Restaurant (1000)",5.06E+12,B0BGTM8LDD,https://www.poundwholesale.co.uk/time-to-party-plastic-shot-glasses-25-pack,https://www.amazon.co.uk/dp/B0BGTM8LDD,0.71,26.99,15.05791667,11.95072751,Unknown,1.0,,,REJECTED,"['ROI 12.0% < 30.0%', 'No sales data and no strong brand indicators']",False,,title,medium
"U. Spiral Note Pads 2 Assorted Colours 6"" X 4"" 4 Pack","AbbeyShake spiral reporter’s notepad wirebound notebook 300 pages 210x124mm (Pack of 12 Pads, 300 pages)",5.06E+12,B0CL7GV85Z,https://www.poundwholesale.co.uk/4pk-spiral-pads-6-x4-2-assorted-colours,https://www.amazon.co.uk/dp/B0CL7GV85Z,0.54,20.99,10.97791667,10.07148318,50.0,,,,REJECTED,"['ROI 10.1% < 30.0%', 'Sales 50.0 ≤ 50']",False,,title,medium
Christmas Candy Cane Stake 70cm,Candy Cane Christmas Wreath - 61cm Artificial Snow Wreath with Candy Cane Spray,5.06E+12,B0DJSGWVLX,https://www.poundwholesale.co.uk/christmas-candy-cane-stake-70cm,https://www.amazon.co.uk/dp/B0DJSGWVLX,0.81,24.98,13.53416667,9.951593137,Unknown,1.0,,,REJECTED,"['ROI 10.0% < 30.0%', 'No sales data and no strong brand indicators']",False,,title,medium
Glow Party Mini Glitter Light Up Flash Sticks CDU Assorted Colours,"DELEE Glow Sticks, 400PCS Glowsticks Party Packs, Halloween Party Bag Fillers with Bracelet Connectors,Glow Neon Necklaces for Kids Dark Party Supplies,Wedding,Festival Christmas Decoration",5.03E+12,B0B92PQ911,https://www.poundwholesale.co.uk/flash-sticks,https://www.amazon.co.uk/dp/B0B92PQ911,0.6,22.99,11.30833333,9.833333333,Unknown,1.0,,,REJECTED,"['ROI 9.8% < 30.0%', 'No sales data and no strong brand indicators']",False,,title,medium
Pure Breed 100% Natural Duck Delicious Protein Strip Dog Treats 15 Pack,"Better Natural Training Treats Bundle – 100% Real Meat (Chicken, Beef, Duck, Lamb), Low‑Fat, Grain‑Free, Gluten‑Free – Small, Medium & Large Dogs & Puppies, 90 g × 10 Pack",5.06E+12,B0CY6D5G1C,https://www.poundwholesale.co.uk/pure-breed-100-natural-duck-delicious-protein-strip-dog-treats-15-pack,https://www.amazon.co.uk/dp/B0CY6D5G1C,0.88,28.27,13.93833333,9.747086247,Unknown,1.0,,,REJECTED,"['ROI 9.7% < 30.0%', 'No sales data and no strong brand indicators']",False,,title,medium
Floor Mop & Handle 2 Assorted Colours,"JOYMOOP Mop and Bucket with Wringer Set for Home, Flat Mop and Bucket System, Mops for Floor Cleaning and Wall Cleaner, with 3 Reusable Microfiber Mop Pads",5.02E+12,B091F22RTX,https://www.poundwholesale.co.uk/floor-mop-handle-2-assorted-colours,https://www.amazon.co.uk/dp/B091F22RTX,1.2,29.99,16.69291667,9.538809524,700.0,,,,REJECTED,['ROI 9.5% < 30.0%'],False,,title,medium
Path & Patio Cleaner Trigger Spray 800ml,Floorseal Patio Cleaner Plus (5 Litre),5.06E+12,B082S459Z2,https://www.poundwholesale.co.uk/path-patio-cleaner-800ml-ready-to-use,https://www.amazon.co.uk/dp/B082S459Z2,0.67,26.95,11.62833333,9.531420765,Unknown,1.0,,,REJECTED,"['ROI 9.5% < 30.0%', 'No sales data and no strong brand indicators']",False,,EAN_cached,low
1:18 RC Model Car With Light Assorted Colours,"RIAARIO 1:18 All Terrain RC Car, 36 KPH High Speed Remote Control Car with 2.4 GHz Remote Control, 4WD Electric Vehicle Off-Road Truck, 4X4 Waterproof RC Trucks with 2 Rechargeable Batteries",,B0CS392QD8,https://www.poundwholesale.co.uk/1-18-rc-model-car-assorted-colours,https://www.amazon.co.uk/dp/B0CS392QD8,4.29,79.99,45.14833333,9.328168044,Unknown,1.0,,,REJECTED,"['ROI 9.3% < 30.0%', 'No sales data and no strong brand indicators']",False,,title,medium
Farley Mill Extra Warm Men's Thermal Gloves Assorted Colours,"Goodyear Universal 385mm Extra Torque Arms Spanner Extension Bar, Extender, Offset Extension Wrench, Ratchet, Serpentine Belt Tool, Pry Bar Wrench Adaptor, Lever Bar, Extendable Breaker",5.06E+12,B0FFTC714K,https://www.poundwholesale.co.uk/farley-mill-extra-warm-men-s-thermal-gloves-assorted-colours,https://www.amazon.co.uk/dp/B0FFTC714K,0.71,21.99,11.51625,9.139880952,Unknown,1.0,,,REJECTED,"['ROI 9.1% < 30.0%', 'No sales data and no strong brand indicators']",False,,EAN,high
Millions Sour Strawberry 3D Car Air Freshener,"Flava Couture Car Air Freshener Tin - Oud Wood (Pack of 6) - Strong, Odour Eliminating Designer Perfume Inspired Car Accessories – Premium Scented Air Freshener for Men or Women - Lasts 60 Days",5.06E+12,B0DLJJPH5K,https://www.poundwholesale.co.uk/millions-sour-strawberry-3d-car-air-freshener,https://www.amazon.co.uk/dp/B0DLJJPH5K,0.38,17.99,8.321666667,8.948028674,Unknown,1.0,,,REJECTED,"['ROI 8.9% < 30.0%', 'No sales data and no strong brand indicators']",False,,title,medium
Dekton 12mm X 1m Bike Lock Ultra Strong Weatherproof With Self Coiling Cable,"Burg-Wachter 12mm Sold Bike Security Chain Diamond Lock, Black, 1M",5.51E+13,B0CGXS1GXD,https://www.poundwholesale.co.uk/dekton-12mm-x-1m-bike-lock-ultra-strong-weatherproof-with-self-coiling-cable,https://www.amazon.co.uk/dp/B0CGXS1GXD,2.67,48.96,28.66,8.900621118,100.0,,,,REJECTED,['ROI 8.9% < 30.0%'],False,,title,medium
All Purpose Wood Colour Mahogany Dark Oak Spray Paint 400ml,"HOMCOM Display Cabinet Case for Home Office, 60x80cm, Black and White",5.06E+12,B08VDSMQ7W,https://www.poundwholesale.co.uk/all-purpose-wood-colour-dark-oak-spray-paint-400ml-tough-and-durable-finish-long-lasting,https://www.amazon.co.uk/dp/B08VDSMQ7W,1.5,39.99,18.205,8.880487805,Unknown,1.0,,,REJECTED,"['ROI 8.9% < 30.0%', 'No sales data and no strong brand indicators']",False,,EAN,high
Pride & Groom Aloe Vera & Kiwi Dog Shampoo 500ml,"GROOM PROFESSIONAL Tranquil Dog Shampoo - Soothing Anti-Itch Formula with Tea Tree & Lavender - Calms, Cools & Relieves Itchy, Irritated Skin - Deep Cleansing & Removes Odour from Smelly Dogs, 4L",5.05E+12,B075LFJH96,https://www.poundwholesale.co.uk/pride-groom-aloe-vera-kiwi-dog-shampoo-500ml,https://www.amazon.co.uk/dp/B075LFJH96,1.32,29.95,16.54458333,8.847370766,Unknown,1.0,,,REJECTED,"['ROI 8.8% < 30.0%', 'No sales data and no strong brand indicators']",False,,title,medium
Hoot Snorkel & Mask Set Assorted Colours,"Lealinga Snorkel Set Adults 2Pack, Snorkel Mask Anti-Fog Panoramic View Diving Mask Dry Top Snorkel Kit with Travel Bag Diving Set for Snorkeling Scuba Diving Swimming Travel",5.06E+12,B0DQWRVWJN,https://www.poundwholesale.co.uk/hoot-snorkel-mask-set-assorted-colours,https://www.amazon.co.uk/dp/B0DQWRVWJN,1.57,32.99,18.44791667,8.701847484,300.0,,,,REJECTED,['ROI 8.7% < 30.0%'],False,,title,medium
4pk Highlighters Assorted Colours,"Eziglide Highlighters Pens 48-Pack, 5 Assorted Colours - Neon Assorted Chisel Tip Marker for Bold & Fine Marking, 1-4.5mm Line for Clear Marking, Ideal for Schools, Universities, & Offices",5.06E+12,B0BHTCTPSN,https://www.poundwholesale.co.uk/4pk-highlighters-assorted-colours,https://www.amazon.co.uk/dp/B0BHTCTPSN,0.55,18.69,9.33875,8.489772727,200.0,,,,REJECTED,['ROI 8.5% < 30.0%'],False,,title,medium
Prima Foot Files Pedicure Set 2pc,"Electric Foot File, DIOZO Professional 10 in-1 Pedicure Kit Foot with 3 Rollers and 2 speeds, Rechargeable Waterproof Hard Skin Callus Remover for Cracked Heels and Dead Skin",5.04E+12,B07WN4FJX8,https://www.poundwholesale.co.uk/prima-foot-files-pedicure-set-2pc,https://www.amazon.co.uk/dp/B07WN4FJX8,0.68,19.99,10.12958333,8.235433604,50.0,,,,REJECTED,"['ROI 8.2% < 30.0%', 'Sales 50.0 ≤ 50']",False,,title,medium
Greenhouse Cleaner Trigger Spray 400ml,"VerritexPro Concentrated Glass Greenhouse Conservatory Cleaner, Greenhouse Cleaner As Used By The Professionals for Window Cleaning, Conservatory Roof Cleaner, Concrete Cleaner, Dilutes 1:20",5.06E+12,B08154NTQR,https://www.poundwholesale.co.uk/green-house-cleaner-400ml-ready-to-use,https://www.amazon.co.uk/dp/B08154NTQR,0.67,20.0,9.676666667,7.931693989,Unknown,1.0,,,REJECTED,"['ROI 7.9% < 30.0%', 'No sales data and no strong brand indicators']",False,,title,medium
Pestshield Bed Bug Killer 200ml,Karlsten Bed Bug Killer – Ultra Strong Pest Control Spray – Pro Bed Bug Protection – (5 Litres) HSE 10668 Registered,5.05E+12,B08LYJF8LY,https://www.poundwholesale.co.uk/petshield-bed-bug-killer-200ml,https://www.amazon.co.uk/dp/B08LYJF8LY,1.22,30.87,13.785,7.788135593,100.0,1.0,,,REJECTED,['ROI 7.8% < 30.0%'],False,,title,medium
"Halloween Blood Effect Balloons 12"" 5 Pack",Jaunty Partyware 100x Large Punch Balloons for Kids Ideal Party Bag Fillers - 12 Inch Large Size - Assorted Colours - Fun Children’s Party Ideas - Thick & Strong - Easy to Inflate,5.06E+12,B0BVZVVR8N,https://www.poundwholesale.co.uk/halloween-blood-effect-balloons-12-5-pack,https://www.amazon.co.uk/dp/B0BVZVVR8N,0.6,17.99,8.161666667,7.097101449,100.0,2.0,,,REJECTED,['ROI 7.1% < 30.0%'],False,,title,medium
Bubblz Bubble Wand 118ml CDU Assorted Colours,"abeec Giant Bubble Swords, Wands - Garden Toys For Kids - Bubble Wands Multipack - Party Bag Fillers - Pack Of 24 Bubble Swords For Children",5.02E+12,B09W5V2QYD,https://www.poundwholesale.co.uk/bubblz-bubble-wand-118ml-cdu-assorted-colours,https://www.amazon.co.uk/dp/B09W5V2QYD,0.5,19.99,7.418333333,7.065079365,400.0,1.0,,,REJECTED,['ROI 7.1% < 30.0%'],False,,title,medium
Jaunty Assorted Colour Punch Balloons 5 Pack,Jaunty Partyware 100x Large Punch Balloons for Kids Ideal Party Bag Fillers - 12 Inch Large Size - Assorted Colours - Fun Children’s Party Ideas - Thick & Strong - Easy to Inflate,5.06E+12,B0BVZVVR8N,https://www.poundwholesale.co.uk/jaunty-assorted-colour-punch-balloons-5-pack,https://www.amazon.co.uk/dp/B0BVZVVR8N,0.61,17.99,8.151666667,7.027298851,Unknown,2.0,,,REJECTED,"['ROI 7.0% < 30.0%', 'No sales data and no strong brand indicators']",False,,EAN_cached,low
Unity Body Therapy Body Moisturiser 200ml,"The Body Shop Shea Body Lotion (1x 200ml), Creamy Moisturiser for Very Dry Skin, 72H Skin-Softening Hydration, Body Lotion, Non-Greasy, Vegan Body Care, Dermatologically Tested",5.06E+12,B0C62N66VR,https://www.poundwholesale.co.uk/unity-body-therapy-body-moisturiser-200ml,https://www.amazon.co.uk/dp/B0C62N66VR,0.43,15.0,6.845,6.984693878,50.0,,,,REJECTED,"['ROI 7.0% < 30.0%', 'Sales 50.0 ≤ 50']",False,,title,medium
Prima Magnetic Can Opener CDU,Can Opener Magnetic White Handle - CDU,5.04E+12,B00842371A,https://www.poundwholesale.co.uk/prima-magnetic-can-opener-cdu,https://www.amazon.co.uk/dp/B00842371A,2.12,38.99,18.47166667,6.918227216,Unknown,1.0,,,REJECTED,"['ROI 6.9% < 30.0%', 'No sales data and no strong brand indicators']",False,,EAN,high
Tidyz Wheelie Bin Liners 5 Pack 300L,"TIDYZ 300L WHEELIE BIN LINERS 5 PACK, (Pack Of 1)",5.03E+12,B0CBVVF5TB,https://www.poundwholesale.co.uk/tidyz-wheelie-bin-liners-5-pack-300l,https://www.amazon.co.uk/dp/B0CBVVF5TB,0.55,16.8,7.39,6.718181818,Unknown,1.0,,,REJECTED,"['ROI 6.7% < 30.0%', 'No sales data and no strong brand indicators']",False,,EAN_cached,low
Car Pride Leather Cleaning Spray 250ml,"12 x Cans Of Leather cleaning spray, car cleaning, 300ml",5.05E+12,B00IXMG80S,https://www.poundwholesale.co.uk/leather-cleaning-spray-250ml,https://www.amazon.co.uk/dp/B00IXMG80S,0.97,19.95,9.81125,6.454769737,Unknown,3.0,,,REJECTED,"['ROI 6.5% < 30.0%', 'No sales data and no strong brand indicators']",False,,EAN_cached,low
Dekton Tough Grip Latex Coated Gardening Gloves 9/Large,TG TOUGH GLOVE Gator Gripz Nitrile Gloves (Pack Of 50) | Diamond Texture Orange Disposable | Powder & Latex Free | Strong Heavy-Duty,5.06E+12,B0BXPWWMK5,https://www.poundwholesale.co.uk/dekton-tough-grip-latex-coated-gardening-gloves-9-large,https://www.amazon.co.uk/dp/B0BXPWWMK5,0.67,16.49,7.660416667,6.279030055,400.0,,,,REJECTED,['ROI 6.3% < 30.0%'],False,,title,medium
Dekton Gloss & Emulsion Mini Touch-Up Paint Kit,2 X 5L Goodyear Snow Foam Shampoo | Car Cherry Scent | pH Neutral | Wash Wax Soap Kit Snowfoam | Ultra Thick | Non-Caustic Foam | Ultra Powerful and Simple to Use | 10L,5.06E+12,B0C2HTT8KG,https://www.poundwholesale.co.uk/dekton-gloss-emulsion-mini-touch-up-paint-kit,https://www.amazon.co.uk/dp/B0C2HTT8KG,0.64,21.27,7.465,6.273109244,Unknown,3.0,,,REJECTED,"['ROI 6.3% < 30.0%', 'No sales data and no strong brand indicators']",False,,EAN_cached,low
Sanitize Instant Protection 75% Alcohol Hand Gel 100ml,"𝗕𝗘𝗦𝗧 𝗖𝗛𝗢𝗜𝗖𝗘 Isopropyl Alcohol 70% IPA Liquid Sterilizer Rubbing Pure Disinfectant For Cleaning, Anti-septic, Electronics & Phones, Glass, De-Icer, Paint Thinner, Degreaser Fluid",5.06E+12,B092MXDYP6,https://www.poundwholesale.co.uk/sanitize-instant-protection-75-alcohol-hand-gel-100ml,https://www.amazon.co.uk/dp/B092MXDYP6,0.65,16.19,7.467916667,6.223263889,100.0,1.0,,,REJECTED,['ROI 6.2% < 30.0%'],False,,title,medium
Bloome Gel Boat Air Freshener 150G Assorted Fragrance,"SOL 12pk Gel Air Fresheners - Pacific Surf & Fresh Berries Scents, Odour Eliminator Room Fresheners, Bathroom Air Fresheners, Toilet Deodorisers, Long-Lasting Room Fragrance for Home & Office",5.06E+12,B0BSFN7BK9,https://www.poundwholesale.co.uk/bloome-gel-boat-air-freshener-150g-assorted-fragrance,https://www.amazon.co.uk/dp/B0BSFN7BK9,0.46,14.99,6.247916667,6.186056106,200.0,1.0,,,REJECTED,['ROI 6.2% < 30.0%'],False,,EAN_cached,low
"U. Spiral Notepads 5"" X 3"" 6 Pack Assorted Colours","AbbeyShake spiral reporter’s notepad wirebound notebook 300 pages 210x124mm (Pack of 6 Pads, 300 pages)",5.06E+12,B0CL7Q13QG,https://www.poundwholesale.co.uk/6pk-spiral-pads-5-x3-2-assorted-colours,https://www.amazon.co.uk/dp/B0CL7Q13QG,0.54,14.99,6.727916667,6.172400612,200.0,,,,REJECTED,['ROI 6.2% < 30.0%'],False,,title,medium
U. Spiral Notepad 200 X 280mm Assorted Colours,"AbbeyShake spiral reporter’s notepad wirebound notebook 300 pages 210x124mm (Pack of 6 Pads, 300 pages)",5.06E+12,B0CL7Q13QG,https://www.poundwholesale.co.uk/spiral-pad-200x280mm-2-assorted-colours,https://www.amazon.co.uk/dp/B0CL7Q13QG,0.58,14.99,6.687916667,5.918510324,200.0,,,,REJECTED,['ROI 5.9% < 30.0%'],False,,title,medium
Red Deer Toys Aim Game Play Set Assorted,"ARSUK Self Resetting Air Rifle Airgun Target for Precision Shooting Practice, Airsoft BB Guns Target Heavy-Duty Metal Frame to Withstand Repeated Shots, Suitable for calibers .177 & .22 Pellets",5.06E+12,B07QYBRQ3Q,https://www.poundwholesale.co.uk/red-deer-toys-aim-game-play-set-assorted,https://www.amazon.co.uk/dp/B07QYBRQ3Q,0.74,17.45,7.591666667,5.88501292,100.0,1.0,,,REJECTED,['ROI 5.9% < 30.0%'],False,,EAN_cached,low
Wood Works Chunky Animal Adventure Puzzle CDU,"Wooden Puzzles for Adults, 270pcs Magic Snowpiercer Wood Puzzle, Unique Animal Shape Puzzles with Wood Box, 34 * 34cm Wooden Puzzle for Family Game and Birthday Gifts for Friend",5.05E+12,B0FHW6F3XZ,https://www.poundwholesale.co.uk/wood-works-chunky-animal-adventure-puzzle-cdu,https://www.amazon.co.uk/dp/B0FHW6F3XZ,1.62,24.99,12.73125,5.866935484,Unknown,1.0,,,REJECTED,"['ROI 5.9% < 30.0%', 'No sales data and no strong brand indicators']",False,,title,medium
Giftmaker Christmas Rose Baubles Gift Bag Medium,Christmas Bags 30Pcs Christmas Drawstring Gift Bags Assorted Sizes Large Medium Small Wrapping Bags 12 Design Goody Bags for Presents with Tags Xmas Gift Bags for Party,5.01E+12,B0CB8CHGYJ,https://www.poundwholesale.co.uk/giftmaker-christmas-rose-baubles-gift-bag-medium,https://www.amazon.co.uk/dp/B0CB8CHGYJ,0.53,14.99,6.201666667,5.742283951,Unknown,1.0,,,REJECTED,"['ROI 5.7% < 30.0%', 'No sales data and no strong brand indicators']",False,,title,medium
Procamp Camping Inflatable Pillow 42cm X 26cm,"TREKOLOGY Camping Pillow - Premium Inflatable Pillow for Camping, Beach, and Travel - Ultimate Comfort for Adults -ALUFT PLUS",5.06E+12,B0D6F77T8Z,https://www.poundwholesale.co.uk/procamp-camping-inflatable-pillow-42cm-x-26cm,https://www.amazon.co.uk/dp/B0D6F77T8Z,0.82,16.99,7.864583333,5.740571776,50.0,,,,REJECTED,"['ROI 5.7% < 30.0%', 'Sales 50.0 ≤ 50']",False,,title,medium
Leonardo Desire Aroma 3D Burst LED Lamp Wax Burner,"Marvel Legends Deadpool’s Head Premium Interactive Age 16+, Moving, Talking Electronic, App-Enhanced Adult Collectible, with 600+ SFX and Phrases,Red",5.01E+12,B0824RV689,https://www.poundwholesale.co.uk/leonardo-desire-aroma-3d-burst-led-lamp-wax-burner,https://www.amazon.co.uk/dp/B0824RV689,6.75,78.99,41.475,5.681506849,Unknown,16.0,,,REJECTED,['ROI 5.7% < 30.0%'],True,marvel,EAN,high
Home & Garden Multi-Purpose White Vinegar Cleaning Spray 500ml,"Goldden Swaan White Vinegar - 5 Litre (Pack of 4) | Multi Purpose Use | Perfect For Cleaning, Pickling, Marinating & Cooking | Distilled White Vinegar",5.06E+12,B0CRW18HWD,https://www.poundwholesale.co.uk/home-garden-multi-purpose-white-vinegar-cleaning-spray-500ml,https://www.amazon.co.uk/dp/B0CRW18HWD,0.84,16.99,7.844583333,5.643585132,Unknown,1.0,,,REJECTED,"['ROI 5.6% < 30.0%', 'No sales data and no strong brand indicators']",False,,EAN_cached,low
Giftmaker White Shredded Tissue Paper 25g,"500g White Shredded Tissue Paper, White Shredded Paper for Hampers, Soft to the Touch, Ideal Hamper Filling and Gift Packaging Filler",5.01E+12,B0996226JY,https://www.poundwholesale.co.uk/giftmaker-white-shredded-tissue-paper-25g,https://www.amazon.co.uk/dp/B0996226JY,0.42,12.99,5.43125,5.599226804,100.0,,,,REJECTED,['ROI 5.6% < 30.0%'],False,,title,medium
Hoot Bubble Fan Assorted Colours,"Bubble Machine, Panamalar Automatic Bubble Maker Toy for Kids Toddlers with Lights, 2000+ Colorful Bubbles per Min Portable Bubble Blower with 2 Bubble Solution for Outdoor Indoor Garden Wedding Party",5.06E+12,B09WHZJWCF,https://www.poundwholesale.co.uk/hoot-bubble-fan-assorted-colours,https://www.amazon.co.uk/dp/B09WHZJWCF,0.65,14.99,6.617916667,5.514930556,50.0,,,,REJECTED,"['ROI 5.5% < 30.0%', 'Sales 50.0 ≤ 50']",False,,title,medium
Cre8 Metallic And Pearlised Gels Pens 5 Pack,REALIKE Metallic Marker Pens Compatible with Cricut Joy pack set of 12 Pens 1.0 Medium Point Metallic Permanent Pens for Drawing Writing Calligraphy,5.06E+12,B0CCYYZX9K,https://www.poundwholesale.co.uk/6pk-metallic-and-pearlised-gels-pens,https://www.amazon.co.uk/dp/B0CCYYZX9K,0.6,13.99,6.338333333,5.511594203,Unknown,1.0,,,REJECTED,"['ROI 5.5% < 30.0%', 'No sales data and no strong brand indicators']",False,,title,medium
