SupplierTitle,AmazonTitle,EAN,EAN_OnPage,ASIN,tier,new_tier,confidence_score,new_confidence_score,posterior_match_probability
CAROLINE FOIL 10 DISH & LIDS 16oz,Caroline 10 Foil Trays & Lids 16oz - 1001,5012145000017.0,5012145000017.0,B002NPTRNQ,TIER_2_LIKELY,TIER_1_VERIFIED,85,100.0,0.999998
AMTECH NO BRISTLE LOSS ANGLED 2INCH,"Amtech G4405 50mm (2"") No bristle loss angled brush with soft handle",5032759045242.0,5032759045242.0,B06XSP513H,TIER_2_LIKELY,TIER_1_VERIFIED,85,100.0,0.999995
AMTECH PADLOCK 5 DIGIT COMBINATION,Amtech T1144 5 Digit zinc Combination Padlock Black & Red,5032759043088.0,5032759043088.0,B017HH34IS,TIER_2_LIKELY,TIER_1_VERIFIED,85,100.0,0.999997
AMTECH QUICK RELEASE RATCHET 1/2 INCH,"Amtech I3500 13mm (1/2"") Quick Release Ratchet",5032759002900.0,5032759002900.0,B001URZYV2,TIER_2_LIKELY,TIER_1_VERIFIED,85,100.0,1.0
AMTECH 10PC D/ENDED POWER BIT SET,Amtech L2600 10 Piece Double Ended Power bit Set,5032759004188.0,5032759004188.0,B007095KLI,TIER_2_LIKELY,TIER_1_VERIFIED,85,100.0,0.999973
AMTECH D SHACKLE COMBINATION LOCK,Amtech T1875 12mm D Shackle Combination Lock,5032759050895.0,5032759050895.0,B08FC69RL6,TIER_2_LIKELY,TIER_1_VERIFIED,85,100.0,0.999999
AMTECH LOCKING GRIP PLIER 5INCH,"Amtech C1300 130mm (5"") Locking Grip plier",5032759000937.0,5032759000937.0,B009DNBIKG,TIER_2_LIKELY,TIER_1_VERIFIED,85,100.0,0.999975
AMTECH TUBELESS SACK TRUCK TYRE,Amtech S5660 Polyurethane sack truck tyre (tubeless),5032759044351.0,5032759044351.0,B01LY9TIKH,TIER_2_LIKELY,TIER_1_VERIFIED,85,100.0,0.999999
AMTECH ROTARY CUTTER 5PC BLADES,Amtech S0314 5 Piece Rotary Cutter Blades,5032759047024.0,5032759047024.0,B0751SLT5M,TIER_2_LIKELY,TIER_1_VERIFIED,85,100.0,0.999978
AMTECH SELF ADHESIVE FELT PAD SET 33PC,Amtech S5335 33 Self-adhesive felt floor protector pads,5032759044795.0,5032759044795.0,B01LWYZUDG,TIER_2_LIKELY,TIER_1_VERIFIED,85,100.0,0.999944
AMTECH EXTRA LONG METRIC HEX KET SET 9PC,Amtech I8778 9 Piece Extra-Long Metric hex Key Set,5032759049899.0,5032759049899.0,B07X366XP9,TIER_2_LIKELY,TIER_1_VERIFIED,85,100.0,0.999995
APOLLO PAPER SMOOTHIE 20 STRAWS,Apollo Paper Smoothie Straws (Pack of 20),5026180082525.0,5026180082525.0,B00BPMD8G0,TIER_2_LIKELY,TIER_1_VERIFIED,85,100.0,1.0
AMTECH SCREWDRIVER CABINET HANDLE SET,Amtech L0800 8 Piece Cabinet Handle Screwdriver Set,5032759004003.0,5032759004003.0,B004TRKA5K,TIER_2_LIKELY,TIER_1_VERIFIED,85,100.0,0.999977
KINGFISHER FOIL FLAN 6 LARGE DISHES,"Kingfisher Foil Flan Dishes, Silver, Large, Pack of 6",5013478557865.0,5013478557865.0,B000XJDAPA,TIER_2_LIKELY,TIER_1_VERIFIED,85,100.0,1.0
AMTECH LED TELESCOPIC INSEPCTION MIRROR,Amtech S2305 2 LED Telescopic Inspection Mirror,5032759040629.0,5032759040629.0,B00LQQ74KG,TIER_2_LIKELY,TIER_1_VERIFIED,85,100.0,0.999995
AMTECH WHEEL MASTER WRENCH,Amtech J0500 Wheel Master Wrench,5032759003655.0,5032759003655.0,B0040Y3I10,TIER_2_LIKELY,TIER_1_VERIFIED,85,100.0,0.999997
BACOFOIL SAFELOC DOUBLE SEAL FOOD & FREEZER BAGS 15 PACK 3LTR,Bacofoil 15 Double Seal Safeloc Food & Freezer Bags Medium 27x24cm,5023139861316.0,5023139861316.0,B07BK15QCN,TIER_2_LIKELY,TIER_1_VERIFIED,85,100.0,1.0
AMTECH JIGSAW WOOD BLADE 5PC SET (AMT101D),Amtech M1606 5 Piece wood jigsaw blade set (AMT101D),5032759047277.0,5032759047277.0,B074TN3F3Y,TIER_2_LIKELY,TIER_1_VERIFIED,85,100.0,0.999998
AMTECH WRENCH FIXED BASIN,Amtech C2700 Fixed Basin Wrench,5032759001064.0,5032759001064.0,B0017VW0JU,TIER_2_LIKELY,TIER_1_VERIFIED,85,100.0,0.999996
AMTECH MINI PLUS MITRE BLOCK,Amtech M0010 Mini Plus mitre Block,5032759004379.0,5032759004379.0,B074QWZ9Q2,TIER_2_LIKELY,TIER_1_VERIFIED,85,100.0,0.999999
AMTECH MINI SUCTION CUP,Amtech J1830 Mini Suction Cup,5032759019878.0,5032759019878.0,B0036W70BG,TIER_2_LIKELY,TIER_1_VERIFIED,85,100.0,0.999997
KINGFISHER FOIL TRAY SERVING TRAY & LID,"Kingfisher Foil Serving Tray with Foil Lid, Silver, 21-Inch",5013478119957.0,5013478119957.0,B00MHP2IVA,TIER_2_LIKELY,TIER_1_VERIFIED,85,100.0,0.999997
AMTECH FINE POINTED TIP ART B/SET 12PC,Amtech S4120 12 Piece fine pointed tip art brush set,5032759007561.0,5032759007561.0,B006USTRB4,TIER_2_LIKELY,TIER_1_VERIFIED,85,100.0,0.999996
AMTECH MIDGET TROWEL-SOFT GRIP,Amtech G1520 Midget trowel with soft grip,5032759034451.0,5032759034451.0,B008PQC0G8,TIER_2_LIKELY,TIER_1_VERIFIED,85,100.0,0.999999
AMTECH GARDEN SHEARS 8 INCH WOODEN HANDLE,"Amtech U0700 Garden Shears Wooden Handle for Hedges, Shrubs, and Grass",5032759006243.0,5032759006243.0,B0065I0ZAG,TIER_2_LIKELY,TIER_1_VERIFIED,85,100.0,0.999995
AMTECH ALUMINIUM TRI SQUARE,Amtech P3550 300mm (12'') Aluminium tri square,5032759016907.0,5032759016907.0,B008PQACQS,TIER_2_LIKELY,TIER_1_VERIFIED,85,100.0,0.999983
AMTECH PLIER HOLE PUNCH & EYELET,Amtech B1450 INTERCHANGEABLE HOLE PUNCH & EYELET PLIER,5032759010660.0,5032759010660.0,B00303U6AI,TIER_2_LIKELY,TIER_1_VERIFIED,85,100.0,0.999997
AMTECH SDS  EXTENTION BAR 350MM,"Amtech F1205 350mm (14"") SDS extension bar",5032759022571.0,5032759022571.0,B003XKMSY0,TIER_2_LIKELY,TIER_1_VERIFIED,85,100.0,0.999994
AMTECH SACK TRUCK TYRE,Amtech S5657 Sack truck tyre,5032759032006.0,5032759032006.0,B0039CTKXE,TIER_2_LIKELY,TIER_1_VERIFIED,85,100.0,0.99999
PAN AROMA C TEA-LIGHTS 16PK FLUFFY TOWEL,Pan Aroma Tea Lights Pack 16 Fluffy Towels,5053249228136.0,5053249228136.0,B07KGJCY72,TIER_2_LIKELY,TIER_1_VERIFIED,85,100.0,0.999996
AMTECH STEEL WOOL MULTI-GRADE,Amtech S3530 Multi-grade wire wool,5032759034260.0,5032759034260.0,B003BUMSVU,TIER_2_LIKELY,TIER_1_VERIFIED,85,100.0,0.999993
AMTECH JIGSAW WOOD BLADE 5PC SET (AMT234X),Amtech M1602 5 Piece wood jigsaw blade set (AMT234 X),5032759047246.0,5032759047246.0,B074TN86SL,TIER_2_LIKELY,TIER_1_VERIFIED,85,100.0,0.999963
AMTECH CLAMP G TYPE HEAVY DUTY 3INCH,"Amtech W5700 75mm (3"") Heavy Duty G-clamp",5032759013623.0,5032759013623.0,B0089NYHQI,TIER_2_LIKELY,TIER_1_VERIFIED,85,100.0,0.999997
AMTECH POST BOX WHITE,Amtech S5551 Post box - white,5032759036028.0,5032759036028.0,B004TGA8Z8,TIER_2_LIKELY,TIER_1_VERIFIED,85,100.0,0.999981
AMTECH COMBINATION CABLE LOCK,Amtech T1154 Combination Cable Lock,5032759046720.0,5032759046720.0,B06Y6H24GH,TIER_2_LIKELY,TIER_1_VERIFIED,85,100.0,0.999989
AMTECH PRO WALLPAPER SCISSORS 10INC,"Amtech R0125 250mm (10"") Pro Wallpaper Scissors",5032759020744.0,5032759020744.0,B0054SG1L0,TIER_2_LIKELY,TIER_1_VERIFIED,85,100.0,0.999974
AMTECH MAGNETIC LEVEL MINI,Amtech P4865 Mini Magnetic Level,5032759044054.0,5032759044054.0,B01LW8CLUA,TIER_2_LIKELY,TIER_1_VERIFIED,85,100.0,0.999987
AMTECH MIDI MITRE BLOCK,Amtech M0020 Midi plus mitre block,5032759004386.0,5032759004386.0,B004TRQXCO,TIER_2_LIKELY,TIER_1_VERIFIED,85,100.0,0.999996
BACOFOIL FREEZER BAGS MEDIUM 3LTR 40PCS,Bacofoil 40 Freezer Bags Medium 3 Litre 25x32cm,5023139863617.0,5023139863617.0,B08GHXNMB6,TIER_2_LIKELY,TIER_1_VERIFIED,85,100.0,0.99998
BLACKSPUR RATCHET TIE DOWN SET UP,Blackspur - Ratchet Tie Down Straps - 4.5m - Orange,5017403071471.0,5017403071471.0,B00GSQM83M,TIER_2_LIKELY,TIER_1_VERIFIED,85,100.0,0.99996
AMTECH JIGSAW METAL BLADE 5PC SET (AMT318B),Amtech M1614 5 Piece metal jigsaw blade set (AMT318B),5032759047345.0,5032759047345.0,B074TM4S23,TIER_2_LIKELY,TIER_1_VERIFIED,85,100.0,0.999998
AMTECH JIGSAW WOOD BLADE 5PC SET (AMT345XF),Amtech M1616 5 Piece wood and metal jigsaw blade set (AMT345XF),5032759047352.0,5032759047352.0,B074TCNK15,TIER_2_LIKELY,TIER_1_VERIFIED,85,100.0,0.999997
AMTECH TROWEL PLASTERING WOODEN HANDLE 11INCH,"Amtech G1600 280mm (11"") Plastering trowel with wooden handle",5032759002207.0,5032759002207.0,B008PQ82OM,TIER_2_LIKELY,TIER_1_VERIFIED,85,100.0,0.999998
AMTECH WIRE STRIPPER/CRIMPER,Amtech B4290 Wire Stripper with Crimper,5032759050697.0,5032759050697.0,B08D37MWBX,TIER_2_LIKELY,TIER_1_VERIFIED,85,100.0,0.999989
MODENA GLASS 2 TIER CAKE STAND 18X23CM,Modena Two Tier Glass Cake Stand,5015302426484.0,5015302426484.0,B07Z42H38K,TIER_2_LIKELY,TIER_1_VERIFIED,85,100.0,0.999999
AMTECH 24 INCH RULE WITH SPIRIT LEVEL,"Amtech P4035 600mm (24"") Rule with spirit level",5032759021819.0,5032759021819.0,B004TRJWRW,TIER_2_LIKELY,TIER_1_VERIFIED,85,100.0,0.999998
AMTECH BATTERY /ALTERNATOR TESTER,Amtech L4300 Battery and alternator Tester,5032759004355.0,5032759004355.0,B00BTF6T6Y,TIER_2_LIKELY,TIER_1_VERIFIED,85,100.0,0.999991
AMTECH MINI AIR COMPRESSOR 12V,Amtech V1350 12V Mini air Compressor,5032759009251.0,5032759009251.0,B002P6CV6S,TIER_2_LIKELY,TIER_1_VERIFIED,85,100.0,1.0
AMTECH QUICK RELEASE 24T RATCHET 3/8 INCH,"Amtech I3525 9.5mm (3/8"") Quick Release Ratchet",5032759007493.0,5032759007493.0,B008PQB69K,TIER_2_LIKELY,TIER_1_VERIFIED,85,100.0,1.0
AMTECH PLIER LOCKING GRIP 10INCH,"Amtech C1500 250mm (10"") Locking Grip plier",5032759000951.0,5032759000951.0,B003XKIFK6,TIER_2_LIKELY,TIER_1_VERIFIED,85,100.0,0.999964
CAROLINE FOIL 5 DISH & LIDS 60OZ,Caroline 5 Foil Trays & Lids 60oz 1008,5012145004817.0,5012145004817.0,B004Z4USKE,TIER_2_LIKELY,TIER_1_VERIFIED,85,100.0,0.999999
151 STEP & TILE PAINT RED,151 Step & Tile Paint RED 180ML,5050375085794.0,5050375085794.0,B0054UB1VS,TIER_2_LIKELY,TIER_1_VERIFIED,85,100.0,1.0
AMTECH WRENCH ADJUSTABLE BASIN,Amtech C2500 280mm (11in) Adjustable Basin Wrench,5032759001040.0,5032759001040.0,B003XKRSP4,TIER_2_LIKELY,TIER_1_VERIFIED,85,100.0,0.999976
AMTECH LONG NOSE PLIER 11 INCH,Amtech B0820 11'' Long Nose PLIER,5032759010189.0,5032759010189.0,B0070NBB1W,TIER_2_LIKELY,TIER_1_VERIFIED,85,100.0,0.999998
ESSENTIAL CAKE BOX 08IN,ESSENTIAL CAKE BOX 08IN,5033298009160.0,5033298009160.0,B00F4LB6CG,TIER_2_LIKELY,TIER_1_VERIFIED,85,100.0,0.999999
AMTECH PLIER MINI SIDE CUTTING,Amtech B3180 Mini Side Cutting Pliers,5032759008094.0,5032759008094.0,B0036L5HHG,TIER_2_LIKELY,TIER_1_VERIFIED,85,100.0,0.999977
AMTECH RATCHET SPEED CLAMP 24INC,"Amtech D0945 600mm (24"") Ratchet Speed clamp",5032759018239.0,5032759018239.0,B008PQAVXM,TIER_2_LIKELY,TIER_1_VERIFIED,85,100.0,0.999991
AMTECH FLAT WOOD BIT EXTENTION BAR 3PC SET,Amtech F0770 3 Piece flat wood bit extension bar set,5032759027446.0,5032759027446.0,B00593JZWC,TIER_2_LIKELY,TIER_1_VERIFIED,85,100.0,0.999995
AMTECH WHEEL WRENCH 4 WAY,Amtech J0400 4-Way Wheel Wrench,5032759003648.0,5032759003648.0,B005VDX5SA,TIER_2_LIKELY,TIER_1_VERIFIED,85,100.0,0.999998
AMTECH KNIFE PUTTY SOFT GRIP HANDLE,Amtech G0645 Putty Knife with Soft Grip Handle,5032759044122.0,5032759044122.0,B01LW4IDLI,TIER_2_LIKELY,TIER_1_VERIFIED,85,100.0,1.0
151 FANTASTIC ELASTIC GLUE 20G,151 Fantastic Elastic Flexible Wateproof Glue,5050375101333.0,5050375101333.0,B004QX29CO,TIER_2_LIKELY,TIER_1_VERIFIED,85,100.0,0.999996
AMTECH WALLPAPER BRUSH SOFT GRIP 9INCH,"Amtech S3958 225mm (9"") Wallpaper Brush with Soft Grip",5032759044238.0,5032759044238.0,B01H0H5M44,TIER_2_LIKELY,TIER_1_VERIFIED,85,100.0,0.999999
151 STOP THAT LEAK REPAIR SPRAY,151 Stop That Leak Repair Spray,5053249222875.0,5053249222875.0,B076D9QT7F,TIER_2_LIKELY,TIER_1_VERIFIED,85,100.0,1.0
FEBREZE AIR FRESHENER ALPINE ESCAPE 185ML PK8,"Febreze Air Freshener Spray, Mrs Hinch's Alpine Escape, 185ml, Pack of 3 with Free Fridge Magnet",8006530079396.0,8006530079396.0,B0FTMN2XX3,TIER_2_LIKELY,TIER_1_VERIFIED,85,100.0,1.0
WEATHER SHEILD WINDOW INSULATION KIT,Weather Shield Window Insulation Kit | 1pc.,5050565478351.0,5050565478351.0,B08J7Q7D7K,TIER_2_LIKELY,TIER_1_VERIFIED,85,100.0,0.999995
151 YACHT VARNISH GLOSS FINISH,151 Yacht Varnish Gloss 180ML,5050375085374.0,5050375085374.0,B002WRYO4C,TIER_2_LIKELY,TIER_1_VERIFIED,85,100.0,0.99999
151 WOOD FILLER TUB 600G,151 Multipurpose Wood Filler - Ready Mixed (600g),5013748035321.0,5013748035321.0,B0078OC306,TIER_2_LIKELY,TIER_1_VERIFIED,85,100.0,0.999995
AMTECH FLAT TIP ART B/SET XL 12PC,Amtech S4145 12 Piece flat tip art brush set,5032759010134.0,5032759010134.0,B006UT4DM6,TIER_2_LIKELY,TIER_1_VERIFIED,85,100.0,0.999947
151 PAINT SPRAY 400ML GREY PRIMER,"151 Spray Paint, Grey Primer, 400Ml",5053249215303.0,5053249215303.0,B06XWPRCND,TIER_2_LIKELY,TIER_1_VERIFIED,85,100.0,1.0
CAROLINE FOIL TRAY 2 TRAYS 1014,Caroline 2 Large Foil Trays 1014,5012145000055.0,5012145000055.0,B0030G211C,TIER_2_LIKELY,TIER_1_VERIFIED,85,100.0,0.999999
AMTECH SCRAPER SOFT GRIP 1.1/2 INCH,"Amtech G0660 40mm (1.5"") Scraper with Soft Grip Handle",5032759020300.0,5032759020300.0,B00D2W4HVG,TIER_2_LIKELY,TIER_1_VERIFIED,85,100.0,0.999995
ESCENTI COOL FEET FOOT SOAK SPEARMINT & MENTHOL 450G,Escenti Cool Feet Soothing Spearmint & Menthol Essential Foot Soak,5020535008765.0,5020535008765.0,B06XCLN79Q,TIER_2_LIKELY,TIER_1_VERIFIED,85,100.0,1.0
PAN AROMA TANG & VAN TRIG/SPRAY 250ML,Pan Aroma Tangerine and Vanilla Trigger Spray 250Ml,5053249212593.0,5053249212593.0,B01MUXQ9S1,TIER_2_LIKELY,TIER_1_VERIFIED,85,100.0,0.999993
AIRPURE & FRESH TRIGGER SPRAY TRUE ROMANCE 250ML PK12,AIRPURE & FRESH TRIGGER SPRAY TRUE ROMANCE,5060194132890.0,5060194132890.0,B0CBZRRZ9V,TIER_2_LIKELY,TIER_1_VERIFIED,85,100.0,1.0
AIRPURE PLUG-IN MOMENTS UNIT PK12,Airpure Plug in Moments- Electric Plug scented Oil Unit,5060194137765.0,5060194137765.0,B07Q2Y1G98,TIER_2_LIKELY,TIER_1_VERIFIED,85,100.0,0.999966
PAN AROMA PLUG IN AIR FRESHENER ORCHARD BLOSSOM,Pan Aroma Plug Air Freshener 20ml Lotus Blossom,5053249204826.0,5053249204826.0,B01BWOAZUM,TIER_2_LIKELY,TIER_1_VERIFIED,85,100.0,1.0
AMTECH MANUAL SIPHON PUMP,Amtech S1498 Manual Siphon Pump,5032759050680.0,5032759050680.0,B08GR7MQZJ,TIER_2_LIKELY,TIER_1_VERIFIED,85,100.0,0.999991
ESCENTI COOL FEET FOOT SOAK GREEN TEA & CAMOMILE 450G,Escenti Cool Feet Soothing Green Tea & Chamomile Essential Foot Soak,5020535008789.0,5020535008789.0,B06XCRRT9H,TIER_2_LIKELY,TIER_1_VERIFIED,85,100.0,1.0
CAROLINE FOIL 6 DISH & LIDS 23oz 1002,Caroline 6 Foil Trays & Lids 23oz 1002,5012145000048.0,5012145000048.0,B002NPRXTQ,TIER_2_LIKELY,TIER_1_VERIFIED,85,100.0,1.0
151 BATHROOM & KITCHEN ACRYLIC CARTRIDGE WHITE 280ML,151 Cartridge Refills - Bathroom & Kitchen Acrylic - White,5013748090610.0,5013748090610.0,B003TLY6JS,TIER_2_LIKELY,TIER_1_VERIFIED,85,100.0,1.0
151 GLOSS PAINT PILLAR BOX RED 180ML,151 Gloss Paint P/Box RED 180ML,5050375085763.0,5050375085763.0,B002W14IT4,TIER_2_LIKELY,TIER_1_VERIFIED,85,100.0,1.0
AMTECH 6IN1 STUBBY MULTI HEAD SCREWDRIVER,Amtech L0483 6-in-1 Stubby Multi-Head Screwdriver,5032759048977.0,5032759048977.0,B07K57X36X,TIER_2_LIKELY,TIER_1_VERIFIED,85,100.0,0.999999
FEBREZE AIR FRESHENER FRESH LINEN 185ML PK8,"Febreze Air Freshener Spray Fresh Linen 185ML, 2in1 Fight Odours and Freshens",8700216185752.0,8700216185752.0,B0D5BGJJWY,TIER_2_LIKELY,TIER_1_VERIFIED,85,100.0,1.0
MARKSMAN PADLOCK 32MM BRASS,Marksman 59120C 32mm Brass Coated Padlock,5038673591209.0,5038673591209.0,B006TC7F1A,TIER_2_LIKELY,TIER_1_VERIFIED,85,100.0,0.999996
MARKSMAN PADLOCK 20MM BRASS,Marksman - 20mm Brass Padlock - 3 Keys,5038673590042.0,5038673590042.0,B002JJEDIU,TIER_2_LIKELY,TIER_1_VERIFIED,85,100.0,0.999988
AMTECH MAINS TESTER L4250 2PCE,Amtech L4250 2 Piece Mains Tester,5032759024780.0,5032759024780.0,B003XKRT5S,TIER_2_LIKELY,TIER_1_VERIFIED,85,100.0,0.999986
HANDY TOILET BRUSH AND HOLDER,Handy Toilet Brush and Holder,5060127505951.0,5060127505951.0,B00EPD3O1U,TIER_2_LIKELY,TIER_1_VERIFIED,85,100.0,0.999998
ELYSIUM MUSCLE & BACK SOAK WITH HEMP SEED OIL 450G,Elysium Spa Muscle & Bath Soak With Hemp Oil,5020535020798.0,5020535020798.0,B0BKL22JS7,TIER_2_LIKELY,TIER_1_VERIFIED,85,100.0,0.999999
ESCENTI COOL FEET DEODORISING FOOT SPRAY 50ML,Escenti Deodorising Foot Spray 50 Ml,5020535006662.0,5020535006662.0,B00694VEDS,TIER_2_LIKELY,TIER_1_VERIFIED,85,100.0,0.999995
ELYSIUM SPA COLLAGEN WIPES,"Elysium Spa Collagen Daily Wipes, 30 Pack",5020535013509.0,5020535013509.0,B09BW1HWBQ,TIER_2_LIKELY,TIER_1_VERIFIED,85,100.0,0.999996
ESCENTI COOL FEET SOFTENING FOOT LOTION 150ML,Escenti Softening Foot Lotion 150Ml,5020535004620.0,5020535004620.0,B001DZPUN8,TIER_2_LIKELY,TIER_1_VERIFIED,85,100.0,1.0
MARKSMAN PADLOCK 30MM BRASS,Marksman 59006C 30mm Brass Padlock,5038673590066.0,5038673590066.0,B007ZBG3ZI,TIER_2_LIKELY,TIER_1_VERIFIED,85,100.0,0.99999
AMTECH FLEXIBLE MAGNETIC CLAW PICK UP TOOLS,Amtech S2100 Flexible Magnetic Claw Pick up Tool,5032759005857.0,5032759005857.0,B003WOS11Q,TIER_2_LIKELY,TIER_1_VERIFIED,85,100.0,1.0
ELYSIUM MUSCLE & BACK SOAK WITH MENTHOL 450G,Elysium Spa Muscle & Bath Soak With Menthol,5020535020811.0,5020535020811.0,B0BKL1KCVW,TIER_2_LIKELY,TIER_1_VERIFIED,85,100.0,0.999994
AMTECH CORE DRILL 50MM,"Amtech F1210 50mm (2"") Core Drill",5032759021512.0,5032759021512.0,B001MNC00M,TIER_2_LIKELY,TIER_1_VERIFIED,85,100.0,0.999989
AMTECH FOLDBACK UTILITY KNIFE STAINLESS STEEL,Amtech S0280 Foldback Stainless Steel Utility Knife,5032759029310.0,5032759029310.0,B001PHAUQG,TIER_2_LIKELY,TIER_1_VERIFIED,85,100.0,1.0
AMTECH OFFSET SDS CHISEL 3 INCH(75MM),"Amtech E0688 75mm (3"") Offset SDS Chisel",5032759032464.0,5032759032464.0,B00303THDU,TIER_2_LIKELY,TIER_1_VERIFIED,85,100.0,1.0
AMTECH CURTAIN WIRE 30M,Amtech S6170 30m (100ft) Curtain Wire,5032759031979.0,5032759031979.0,B003EK2OMK,TIER_2_LIKELY,TIER_1_VERIFIED,85,100.0,0.999989
AMTECH LED MINI TORCH,Amtech S1532 9 LED mini Torch,5032759031078.0,5032759031078.0,B003XKPUSQ,TIER_2_LIKELY,TIER_1_VERIFIED,85,100.0,0.999986
AMTECH LOCKING GRIP PLIER 3PC SET,Amtech C1670 3 Piece Locking Grip plier Set,5032759015245.0,5032759015245.0,B004KYDF2M,TIER_2_LIKELY,TIER_1_VERIFIED,85,100.0,0.99998
AMTECH AXE HEAD 12 IN 1 MULTI FUNC,Amtech R2470 12-in-1 Axe Head Multi-Function Tool,5032759036233.0,5032759036233.0,B004QC5UGC,TIER_2_LIKELY,TIER_1_VERIFIED,85,100.0,1.0
AMTECH PADLOCK PVC INSULATED 65MM,Amtech T1685 65mm PVC Insulated Padlock,5032759022106.0,5032759022106.0,B004TRSAGG,TIER_2_LIKELY,TIER_1_VERIFIED,85,100.0,1.0
AMTECH PAD BOLT 6 INCH WITH SCREWS,"Amtech T1950 150mm (6"") Pad bolt and screws",5032759015542.0,5032759015542.0,B004TRSM1Y,TIER_2_LIKELY,TIER_1_VERIFIED,85,100.0,0.999997
151 MULTI PURPOSE WHITE SILICONE SEALANT,151 Cartridge Refills - Multipurpose Silicone Sealant - White,5050375086487.0,5050375086487.0,B005LBDFVE,TIER_2_LIKELY,TIER_1_VERIFIED,85,100.0,0.999961
COTTON TREE EXFOLIATING BATH GLOVE ASSORTED COLOURS,Cotton Tree Exfoliating Bath Gloves - One Pair - Colour May Vary,5050375110847.0,5050375110847.0,B005XWUA32,TIER_2_LIKELY,TIER_1_VERIFIED,85,100.0,0.99999
AMTECH WIRE BRUSH AND SCRAPER,Amtech S3675 Wire brush and scraper,5032759026715.0,5032759026715.0,B006W766XK,TIER_2_LIKELY,TIER_1_VERIFIED,85,100.0,0.999989
AMTECH RIGHT ANGLE DRILL ATTACHMENT KEYLESS,"Amtech F3045 10mm (3/8"") Right Angle Drill Attachment with keyless Chuck",5032759033874.0,5032759033874.0,B006YVRWNW,TIER_2_LIKELY,TIER_1_VERIFIED,85,100.0,1.0
AMTECH MINI END NIPPER PLIER,Amtech B3025 Mini end Nipper plier - pro,5032759025121.0,5032759025121.0,B006ZILV0O,TIER_2_LIKELY,TIER_1_VERIFIED,85,100.0,0.999999
AMTECH WIRE BRUSH LONG HANDLE,Amtech S3680 Long handle wire brush,5032759032648.0,5032759032648.0,B007FY0E3W,TIER_2_LIKELY,TIER_1_VERIFIED,85,100.0,0.999999
AMTECH LOCK SECURITY DOOR CHAIN,Amtech T1985 Security Door Chain,5032759038893.0,5032759038893.0,B008G0646A,TIER_2_LIKELY,TIER_1_VERIFIED,85,100.0,0.999986
AMTECH STUBBY RACHET/SCREWDRIVER BIT SET,Amtech L1965 38 Piece Stubby Ratchet Screwdriver and bit Set,5032759038930.0,5032759038930.0,B008PQAQPA,TIER_2_LIKELY,TIER_1_VERIFIED,85,100.0,0.999969
"AMTECH CEMENT FINISHING TROWEL 600MM(16"") SOFT GRIP HANDLE","Amtech G1650 400mm (16"") Cement finishing trowel with soft grip",5032759010547.0,5032759010547.0,B008PQC5HW,TIER_2_LIKELY,TIER_1_VERIFIED,85,100.0,1.0
