Verdict,Confidence,SupplierTitle,AmazonTitle,Supplier EAN,Amazon EAN,ASIN,SupplierPrice,SellingPrice,NetProfit,ROI,Sales,Pack Verdict,Adjusted Profit,Key Match Evidence,Filter Reason
VERIFIED,95,FRAGRANT CLOUD EDT 100ML POUR FEMME EACH,Fragrant Cloud Rose Ladies Women Perfume Eau De Parfum Spray New Gift 100ml,5055170281372,5055170281372,6040418214,£1.61,£7.50,£1.24,65.26%,100,1:1 Match,£1.24,Exact EAN match,-
VERIFIED,95,FIRE UP NATURAL FIRELIGHTERS 28 PACK,"Fireglow Firelighters 24 Pack, White",5022704000013,5022704000013,B07YPPK4JY,£0.91,£4.49,£0.02,1.65%,100,1:1 Match,£0.02,Exact EAN match,-
VERIFIED,95,ROYLE HOME SPRINGFORM CAKE TIN,"Royle Kids 2 Mini Springform Cake Tin Kids Round 5Inch Non Stick Springform Baking Tin 12cm,Black",5015302472535,5015302472535,B01APK7CDC,£2.33,£7.88,£0.19,7.73%,100,1:1 Match,£0.19,Exact EAN match,-
VERIFIED,95,MIRROR BLUE CANYON SQUARE PLASTIC MIRROR,Blue Canyon - 18cm Free Standing Square Mirror - White Colour - Perfect for Shaving and Applying ...,5060187173633,5060187173633,B007IGLUIK,£3.10,£8.25,£0.43,13.90%,100,1:1 Match,£0.43,Exact EAN match,-
VERIFIED,95,CHRISTMAS LAPTRAY  ROBINS,Cushioned Lap Tray - Christmas Robins Design,5010792542676,5010792542676,B0FMS875KH,£9.20,£16.99,£1.40,17.09%,50,1:1 Match,£1.40,Exact EAN match,-
VERIFIED,95,PAN AROMA JAR CANDLE 85GM SALTED CARAMEL,"Pan Aroma Orange Decorative Holder & Scented Candle, Salted Caramel, 85G",5053249248356,5053249248356,B09KCLYC1D,£1.30,£9.99,£2.54,156.13%,50,1:1 Match,£2.54,Exact EAN match,-
VERIFIED,95,EVERREADY T8 4FT 36W TUBE LIGHT,Eveready T8 Tube 4ft 36w White 3500k,5050028016069,5050028016069,B005XKFN0O,£2.99,£18.99,£8.00,263.20%,50,1:1 Match,£8.00,Exact EAN match,-
VERIFIED,95,PAN AROMA JAR CANDLE 85GM RED BERRY,"PAN AROMAÂ® RED Decorative Holder & Scented Candle, RED Berry, 85g",5053249248295,5053249248295,B09KCMWXQX,£1.30,£8.45,£1.49,91.51%,50,1:1 Match,£1.49,Exact EAN match,-
VERIFIED,95,GEL  LED CANDLE FESTIVE ROBIN,Macneil Christmas Robin LED Gel Candle,5010792542737,5010792542737,B0FQK17X7F,£7.73,£15.10,£1.30,18.54%,50,1:1 Match,£1.30,Exact EAN match,-
VERIFIED,95,CARAFE .5LT GLASS,"Arcoroc ARC C0199 Carafon Vin Carafe, Glass, transparent, 580 ml",026102251102,026102251102,B0042FBWQ0,£2.56,£8.99,£0.76,28.42%,50,1:1 Match,£0.76,Exact EAN match,-
VERIFIED,95,HOUSE MATE STAINLESS STEEL CLEANER & POLISH,House Mate Stainless Steel Cleaner and Polisher 400ml (Pack of 1),5039295201040,5039295201040,B0111N9Z1O,£3.89,£10.43,£0.79,20.89%,50,1:1 Match,£0.79,Exact EAN match,-
VERIFIED,95,WHAM CRYSTAL 32LTR CLEAR UNDERBED BOX&LID,"Wham Clear Plastic Storage Box Boxes With Lids Home Office Stackable Nestable, 32L Underbed, Set ...",5038135108600,5038135108600,B074V9468X,£4.57,£18.55,£0.55,12.58%,50,1:1 Match,£0.55,Exact EAN match,-
VERIFIED,95,PRODEC CAULKER 12 INCH,"ProDec 12"" Flexible Caulker Blade for Fast, Efficient Application of Fillers and Caulk and Smooth...",5019200117338,5019200117338,B008F7YP9C,£4.57,£9.63,£0.68,15.71%,50,1:1 Match,£0.68,Exact EAN match,-
VERIFIED,95,TALA COCKTAIL STICKS 200,"Tala Bamboo Cocktail Sticks, Ponted End Cocktails Sticks Perfect for Buffets, Canapes and Appetis...",5012904061204,5012904061204,B00LZRJTEA,£0.67,£4.19,£0.25,22.67%,50,1:1 Match,£0.25,Exact EAN match,-
VERIFIED,95,THE BIG CHEESE QUICK CLICK MOUSE TRAP 2PK,"The Big Cheese Quick Click Mouse Trap - Twinpack, Kills Mice, Baited and Ready-To-Use, Easy Clean...",5036200121479,5036200121479,B077G5PTRK,£2.22,£7.79,£0.27,11.32%,50,1:1 Match,£0.27,Exact EAN match,-
VERIFIED,95,MASON CASH CERAMIC RECT DISH 16cm,"Mason Cash 2001.542 Collection Fine Stoneware Square Roasting Baking and Serving Dish, Ceramic, W...",5010853203508,5010853203508,B00W3RVAG6,£3.66,£9.11,£0.10,2.82%,50,1:1 Match,£0.10,Exact EAN match,-
VERIFIED,95,MEMORIAL WATERPROOF GRAVESIDE LANTERN WITH ROBIN SOMEONE SPECIAL,Waterproof Robin Memorial Graveside Lantern with LED Candle (Someone Special),5055361761119,5055361761119,B096KRFC4W,£6.95,£13.99,£0.08,1.24%,50,1:1 Match,£0.08,Exact EAN match,-
