Verdict,Confidence,SupplierTitle,AmazonTitle,Supplier EAN,Amazon EAN,ASIN,SupplierPrice,SellingPrice,NetProfit,ROI,Sales,Pack Verdict,Adjusted Profit,Key Match Evidence,Filter Reason
HIGHLY LIKELY,80,BEAUFORT SQUARE FOOD CONTAINER 600ML,Beaufort 13 Litre New SQUARE FOOD & CAKE CONTAINER WITH CLEAR SOLID LID,5014348229363,-,B0046MHRMM,0.66,7.91,2.09,190.27%,200,1:1 Match,2.09,Brand match: BEAUFORT,-
HIGHLY LIKELY,80,SOUDAL EXPANDING FOAM HAND HELD 150ML,Soudal 750ml Champagne Gap Filler Expanding Foam Handheld Spray with Nozzle & Gloves (3),5411183131217,-,B07STZLCM6,3.1,15.55,5.47,174.91%,400,1:1 Match,5.47,Brand match: SOUDAL,-
HIGHLY LIKELY,80,BEAUFORT SQUARE FOOD CONTAINER 1LTR,Beaufort 13 Litre New SQUARE FOOD & CAKE CONTAINER WITH CLEAR SOLID LID,5014348277067,-,B0046MHRMM,0.74,7.92,2.03,173.50%,200,1:1 Match,2.03,Brand match: BEAUFORT,-
HIGHLY LIKELY,80,RUBBER DUCK FAMILY BATH TOY 3 PACK,Rubber Duck Bath Toy Set â€“ Floating Duck Family by KOKSI â€“ 4-Piece â€“ Baby & Toddler Bathtim...,5015302108809,-,B09X78TC7Q,0.88,8.89,2.13,166.28%,200,1:1 Match,2.13,Brand match: RUBBER,-
HIGHLY LIKELY,80,PASABAHCE CIHANGIR TEA GLASS 95 CC 6PC,"Pasabahce Istanbul tea glass, set of 6, drinking glasses with handle",8693357033344,-,B00I1JW98I,1.44,11.99,2.86,163.52%,100,1:1 Match,2.86,Brand match: PASABAHCE,-
HIGHLY LIKELY,80,PPS FOIL ROAST DISH OVAL 46CM,PPS 3 x ALUMINIUM FOIL PLATTER TRAY - 44cm x 29cm disposable foil catering serving dish,5030481930157,-,B01HILDGK4,0.67,7.39,1.71,154.47%,50,1:1 Match,1.71,Brand match: PPS,-
HIGHLY LIKELY,80,AMTECH DRAIN CLEANER,Amtech S1895 Flexible Drain Auger & Waste Pipe Unblocker,5032759005833,-,B01LYX9RRV,1.39,9.49,2.6,152.17%,200,1:1 Match,2.6,Brand match: AMTECH,-
HIGHLY LIKELY,80,PASABAHCE KANDILLI OPTIC TEA GLASS 90CC 6PC,"Pasabahce Istanbul tea glass, set of 6, drinking glasses with handle",8693357033733,-,B00I1JW98I,1.6,11.99,2.73,145.30%,100,1:1 Match,2.73,Brand match: PASABAHCE,-
HIGHLY LIKELY,80,EXTRA SELECT PREMIUM RABBIT FOOD BUCKET 5L,"Extra Select Premium Rabbit Mix Bucket 5L - Balanced Complementary Feed with Pellets, Forage, Vit...",5022245000282,-,B07DLSHF4Z,3.36,14.99,4.86,145.01%,300,1:1 Match,4.86,Brand match: EXTRA,-
HIGHLY LIKELY,80,PPS FOIL PLATTERS 2PCS 352X247X25MM,PPS 3 x ALUMINIUM FOIL PLATTER TRAY - 44cm x 29cm disposable foil catering serving dish,5030481930010,-,B01HILDGK4,0.74,7.39,1.65,141.42%,50,1:1 Match,1.65,Brand match: PPS,-
HIGHLY LIKELY,80,PPS FOIL 3 BAKE TRAY RECTANGULAR,PPS 3 x ALUMINIUM FOIL PLATTER TRAY - 44cm x 29cm disposable foil catering serving dish,5030481930706,-,B01HILDGK4,0.79,7.39,1.61,133.44%,50,1:1 Match,1.61,Brand match: PPS,-
HIGHLY LIKELY,80,AMTECH PADLOCK BRASS 20MM,"Amtech T0790 Brass Small Padlocks with Keys for Luggage, lockers, Toolboxes, Cupboards, & Sports ...",5032759006113,-,B007UIJIW6,1.33,7.64,1.99,119.68%,50,1:1 Match,1.99,Brand match: AMTECH,-
HIGHLY LIKELY,80,PRIMA HEART SHAPED BAKE PAN 23CM,"Prima Set Of 2 Heart Shaped Cake Tins, Romantic Grey Heart Shape, Non Stick Carbon Steel Bake Pan...",5038673151106,-,B01CZWVBF8,1.48,8.65,1.94,108.82%,100,1:1 Match,1.94,Brand match: PRIMA,-
HIGHLY LIKELY,80,SUPERIOR FOIL 5 CONTAINERS & LID 9X13IN,"Superior Foil Containers with Lids â€“ 9x13 Inches Sturdy Deep Foil Trays with Lid, Ideal for Coo...",5060357992217,-,B07GZGXQYG,4.03,14.79,4.16,106.30%,200,1:1 Match,4.16,Brand match: SUPERIOR,-
HIGHLY LIKELY,80,KILROCK BATHROOM & KITCHEN DRAIN UNBLOCKER 1 LITRE(SOLD EACH),"Kilrock SLAM - Sink and Plughole Bathroom Drain Unblocker - Multi-Pack x12 - Dissolves Grease, Fa...",5014353093539,-,B099H4D9TH,4.16,14.9,4.12,102.59%,50,1:1 Match,4.12,Brand match: KILROCK,-
HIGHLY LIKELY,80,ADDIS CLIP TIGHT RECTANGLE FOOD BOX 1.1L,Addis Clip Tight Food Storage Container Large 5.3 Litre Rectangle Airtight Silicone Seal Containe...,5010303186269,-,B0DCGHNZQS,2.11,9.99,2.36,102.00%,200,1:1 Match,2.36,Brand match: ADDIS,-
HIGHLY LIKELY,80,BACOFOIL ZIPPER BAGS ALL PURPOSE 15 PACK SMALL 1L,Bacofoil 3 x Zipper Small All Purpose Bags Food Freezing Storage Bags (45 Bags),5023139861019,-,B08FBJ59DR,1.94,9.96,2.17,100.00%,500,1:1 Match,2.17,Brand match: BACOFOIL,-
HIGHLY LIKELY,80,KILROCK DAMP CLEAR MOULD REMOVER ACTIVE FOAMING ACTION 500ML(SOLD EACH),Kilrock 3 X Blast Away Mould Spray 500ml,5014353093294,-,B0791ZQMMZ,2.14,9.94,2.3,98.75%,200,1:1 Match,2.3,Brand match: KILROCK,-
HIGHLY LIKELY,80,BEAUFORT MEASURE ULTIMATE JUG 3LTR,Beaufort 3 Litre Ultimate Plastic Measuring Jug,5014348292350,-,B008ES6SLU,0.88,6.98,1.25,97.98%,50,1:1 Match,1.25,Brand match: BEAUFORT,-
HIGHLY LIKELY,80,SOUDAL EXPANDING FOAM HANDHELD 750ML,Soudal 750ml Champagne Gap Filler Expanding Foam Handheld Spray with Nozzle & Gloves (3),5411183078956,-,B07STZLCM6,4.56,15.55,4.25,97.81%,400,1:1 Match,4.25,Brand match: SOUDAL,-
HIGHLY LIKELY,80,CHUPA CHUPS MINI LOLLIES 12PC,Chupa Chups The Best of x50 Lollipops,8410031976960,-,B0059G2S8M,1.77,8.99,1.93,95.36%,300,1:1 Match,1.93,Brand match: CHUPA,-
HIGHLY LIKELY,80,PET STORE PLUSH RIBEYE & LEG DOG TOY ASSORTED,Multipet Swingin 19-Inch Large Plush Dog Toy with Extra Long Arms and Legs with Squeakers,5034537039498,-,B001ICJGTK,2.35,11.99,2.32,92.50%,100,1:1 Match,2.32,Brand match: PET,-
HIGHLY LIKELY,80,GIFTMAKER PENGUIN SANTA SACK,Giftmaker Collection Large Christmas Santa Sack Gift Stocking For Xmas Presents Special Delivery Bag,5012128584411,-,B09HCS9QM2,1.01,6.99,1.15,82.82%,100,1:1 Match,1.15,Brand match: GIFTMAKER,-
HIGHLY LIKELY,80,"CORAL EASY COATER 4"" & FREE BRUSH",Coral 10501 Easy Coater Paint Kit with Headlock and Mini Roller Frame and Hybrid Brush 12 Piece P...,5053521105001,-,B07DHMR1L6,2.56,11.84,2.07,77.11%,500,1:1 Match,2.07,Brand match: CORAL,-
HIGHLY LIKELY,80,AMTECH PICK-UP TOOL TELE MAG 5LB,Amtech S8006 3 LED telescopic torch and magnetic pick up tool,5032759010035,-,B00HMDJD38,1.6,7.14,1.44,76.60%,100,1:1 Match,1.44,Brand match: AMTECH,-
HIGHLY LIKELY,80,FIRST STEPS BABY BLANKET CREAM 70X70CM,"Genuine""First Steps"" Luxury Soft Fleece Baby Blanket in Cute Elephant Design 75 x 100cm for Babie...",5015302106874,-,B00EXPGYOE,1.19,7.88,1.15,74.46%,100,1:1 Match,1.15,Brand match: FIRST,-
HIGHLY LIKELY,80,QUEST TURBO BLENDER 2 IN 1 32129,"Quest Food Processor, 6-in-1 Chopper, Blender, Grinder, 2 Litre Bowl, 3 Speeds + Pulse, Dishwashe...",5025301321291,-,B0DQYT5F9Z,22.85,50.94,14.08,71.89%,200,1:1 Match,14.08,Brand match: QUEST,-
HIGHLY LIKELY,80,AMTECH VICE BABY,"Amtech D2600 150mm (6"") Woodworking vice",5032759001408,-,B007L5V48Y,4.5,17.81,3.04,70.74%,100,1:1 Match,3.04,Brand match: AMTECH,-
HIGHLY LIKELY,80,REMOTE CONTROL TRUCK WITH LIGHTS ASSORTED,"Remote Control Cars 3 4 5 6 7 8 Year old Boys, 360Â°Flips LED Flash Light Monster Truck Indoor Ou...",5050788203112,-,B0BR4ZS5B1,5.71,17.99,3.75,70.65%,500,1:1 Match,3.75,Brand match: REMOTE,-
HIGHLY LIKELY,80,AMTECH SHARPENING STONE 2000,"Amtech E2300 300mm (12"") Cigar Sharpening Stone",5032759001675,-,B004TRT3K8,1.09,6.9,1.02,69.69%,50,1:1 Match,1.02,Brand match: AMTECH,-
HIGHLY LIKELY,80,GIFTMAKER CHRISTMAS NON WOVEN SANTA SACK SPECIAL DELIVERY,Giftmaker Collection Large Christmas Santa Sack Gift Stocking For Xmas Presents Special Delivery Bag,5012128616778,-,B09HCS9QM2,1.14,6.99,1.04,69.42%,100,1:1 Match,1.04,Brand match: GIFTMAKER,-
HIGHLY LIKELY,80,SPLASH SUPER SPLASHBALLS 15CM,Splash About Splash Balls Neoprene Pool Toys,8719904652599,-,B0B4T62N4T,2.22,9,1.56,65.21%,50,1:1 Match,1.56,Brand match: SPLASH,-
HIGHLY LIKELY,80,EVERBUILD BITUMEN TROWEL MASTIC 1 LITRE,"Everbuild 103 Premium Trowel Mastic, Stone, 6 kg",5029347009311,-,B0070U64RG,9.2,22.54,5.34,64.91%,50,1:1 Match,5.34,Brand match: EVERBUILD,-
HIGHLY LIKELY,80,GIFTMAKER CHRISTMAS BASIC SANTA SACK,Giftmaker Collection Large Christmas Santa Sack Gift Stocking For Xmas Presents Special Delivery Bag,5012128616761,-,B09HCS9QM2,1.27,6.99,0.93,57.84%,100,1:1 Match,0.93,Brand match: GIFTMAKER,-
HIGHLY LIKELY,80,EXTRASTAR LED FLASHLIGHT USB REECHARGABLE TORCH,"EXTRASTAR Head Torch Rechargeable, Headlight with 3 Lights 4 Modes, LED Head Torch Headlamp for C...",8432011550076,-,B09YCKKWHZ,3.83,12.99,1.95,52.01%,100,1:1 Match,1.95,Brand match: EXTRASTAR,-
HIGHLY LIKELY,80,APOLLO BALLOON WHISK,"Apollo Whisk Rainbow, silicone, 26cm, 25x6x6",5026180097994,-,B01H2SJJAE,0.94,4.9,0.68,51.38%,200,1:1 Match,0.68,Brand match: APOLLO,-
HIGHLY LIKELY,80,HAPPY BIRTHDAY TRI CUT BUNTING,"Happy Birthday Bunting Banner, 6.6 Ft Hessian Cloth Vintage Burlap Swallowtail Flag for Birthday ...",5060082940699,-,B0C3HJ3WLX,0.85,5.98,0.57,44.91%,200,1:1 Match,0.57,Brand match: HAPPY,-
HIGHLY LIKELY,80,TONKITA TELESCOPIC DUSTER,"Tonkita Cobweb Brush with Telescopic Handle, Dust Removal Tool, Black, Gray, Plastic Head",8008990069108,-,B00KF3PVV0,6.18,15.01,2.52,44.25%,50,1:1 Match,2.52,Brand match: TONKITA,-
HIGHLY LIKELY,80,PEPPA PIG GUITAR,Peppa Pig Guitar [Colors May Vary],5050838320219,-,B00BG6MTFG,2.15,7.99,0.91,38.87%,50,1:1 Match,0.91,Brand match: PEPPA,-
HIGHLY LIKELY,80,RIZLA MAKE YOUR OWN FILTER TUBE PK5,RIZLA 1000 Rizla Concept Tubes 10 Packs Make Your Own,5000431008960,-,B00BMM9M68,4.92,12.47,1.77,38.01%,500,1:1 Match,1.77,Brand match: RIZLA,-
HIGHLY LIKELY,80,BLUE CANYON ROUND WALL MIRROR WHITE,"Blue Canyon Round Mirror, 40 cm Length x 40 cm Width, White",5060386422662,-,B01CMHNDKC,6.84,14.95,1.93,30.87%,50,1:1 Match,1.93,Brand match: BLUE,-
HIGHLY LIKELY,80,PYREX AIR FRYER SQUARE DISH 20X17CM,PYREX PREPWARE â€“ Square Glass Dish 20 x 17 cm â€“ 1 L,3426470301268,-,B0DN1HXF9B,3.7,9.99,1.04,28.55%,50,1:1 Match,1.04,Brand match: PYREX,-
HIGHLY LIKELY,80,KILNER BOTTLE SQUARE 1LTR,"Kilner Clip Top Bottle, 1 Litre",5010853253428,-,B07VC8TFB8,3.25,9.29,0.91,27.93%,50,1:1 Match,0.91,Brand match: KILNER,-
HIGHLY LIKELY,80,EXTRA SELECT FISH FOOD BLEND BUCKET 5L,"Extra Select Complete Fish Food Blend Tub, 5 Litre",5022245006710,-,B00X5D4SE8,6.71,14.49,1.71,27.91%,50,1:1 Match,1.71,Brand match: EXTRA,-
HIGHLY LIKELY,80,"AMTECH POINTING TROWEL 150M(6"") WITH SOFT GRIP","Amtech G0230 150mm (6"") Pointing trowel with soft grip",5032759027644,-,B00ABJQTPU,2.06,7.49,0.63,27.55%,50,1:1 Match,0.63,Brand match: AMTECH,-
HIGHLY LIKELY,80,APOLLO WOODEN DISH STAND,"APOLLO 1684 Wooden dish drainer, Wood, 40x34x4",5026180050005,-,B0095RXTHA,3.77,9.86,0.88,23.96%,50,1:1 Match,0.88,Brand match: APOLLO,-
HIGHLY LIKELY,80,KILNER PRESERVE JAR 0.25LTR SCREW LID,Kilner Preserve Jar 0.25L (250ml) Round Glass Screw Top Lid Preservation Storage Jar for Jams Jel...,5010853173566,-,B007MO0FIO,1.44,7.12,0.4,23.05%,50,1:1 Match,0.4,Brand match: KILNER,-
HIGHLY LIKELY,80,APOLLO SILICON WHISK SPLASH 25CM,"Apollo Whisk Rainbow, silicone, 26cm, 25x6x6",5026180019903,-,B01H2SJJAE,1.31,4.9,0.37,22.76%,200,1:1 Match,0.37,Brand match: APOLLO,-
HIGHLY LIKELY,80,BAKER & SALT SWISS ROLL TRAY,Baker & Salt Non-Stick Swiss Roll Tray 32 x 23.5 x 1cm,5038135558504,-,B08G1Q1L46,3.23,8.99,0.72,22.16%,600,1:1 Match,0.72,Brand match: BAKER,-
HIGHLY LIKELY,80,BEAUFORT MEASURE ULTIMATE JUG 2LTR,Beaufort - 2 Litre Clear Plastic Measuring Jug,5014348291469,-,B003NU37MW,0.74,5.41,0.25,21.55%,200,1:1 Match,0.25,Brand match: BEAUFORT,-
HIGHLY LIKELY,80,FALCON ENAMEL ROUND PIE DISH  26CM,FALCON Round Pie Dish White 26CM,5012823030916,-,B07NNY768K,4.46,10.69,0.89,20.89%,50,1:1 Match,0.89,Brand match: FALCON,-
HIGHLY LIKELY,80,AMTECH TELESCOPIC PICKUP TOOL,Amtech S8006 3 LED telescopic torch and magnetic pick up tool,5032759005864,-,B00HMDJD38,2.72,7.19,0.54,19.21%,100,1:1 Match,0.54,Brand match: AMTECH,-
HIGHLY LIKELY,80,BEAUFORT SQ FOOD CONTAINER 13 LTR,Beaufort 13 Litre New SQUARE FOOD & CAKE CONTAINER WITH CLEAR SOLID LID,5014348241525,-,B0046MHRMM,2.56,7.9,0.51,18.87%,200,1:1 Match,0.51,Brand match: BEAUFORT,-
HIGHLY LIKELY,80,KITCHEN PERFECTED VEGETABLE MASHER 300W WHITE,"KitchenPerfected Electric Potato Masher Hand Blender - Blends Purees Whisks - Baby Food, Vegetabl...",5052337012930,-,B0CXTZCMS5,13.98,22.99,1.67,13.73%,100,1:1 Match,1.67,Brand match: KITCHEN,-
HIGHLY LIKELY,80,EVERBUILD JET RAPID SET CEMENT 3KG,"Everbuild Jetcem Deep Rapid Repair Sand and Cement, Grey, 6 kg",5010618043103,-,B001V9T690,4.63,10.44,0.57,13.04%,50,1:1 Match,0.57,Brand match: EVERBUILD,-
HIGHLY LIKELY,80,ADDIS CLIP TIGHT RECTANGLE FOOD BOX 550ML,Addis Clip Tight Food Storage Container Large 4.2 Litre Tall Rectangle Airtight Silicone Seal Con...,5010303185965,-,B0DCGDS6Y5,1.6,6.39,0.24,12.57%,300,1:1 Match,0.24,Brand match: ADDIS,-
HIGHLY LIKELY,80,HAPPY BIRTHDAY BANNER,"Happy Birthday Banner and Decoration - Blue Balloons, Ribbons and Banners for Party Supplies",5060082940637,-,B0D59HCW1X,0.85,5.39,0.15,11.74%,600,1:1 Match,0.15,Brand match: HAPPY,-
HIGHLY LIKELY,80,SMART CHOICE CANVAS PLUSH/ROPE DOG TOY,"Smart Choice Dog Toy Box, Grey",5052516214421,-,B0B8T9L8RY,3.62,8.95,0.36,10.07%,100,1:1 Match,0.36,Brand match: SMART,-
HIGHLY LIKELY,80,BAKER & SALT LOOSE CASE CAKE TIN 23CM,Baker & Salt Loose Based Round Cake Tin Deep - 09inch,5038135559808,-,B082Q34WLQ,5.3,10.99,0.4,8.14%,50,1:1 Match,0.4,Brand match: BAKER,-
HIGHLY LIKELY,80,AMTECH BOX SPANNER /TOMMY BAR,Amtech K1150 6 Piece Tubular Box Spanner Set with Tommy bar,5032759049905,-,B004GY24EQ,2.74,7.69,0.21,7.32%,50,1:1 Match,0.21,Brand match: AMTECH,-
HIGHLY LIKELY,80,HARRIS PUTTY KNIFE,Harris Seriously Good Putty Knife,5056287402902,-,B0815B7FBY,2.22,6.98,0.13,5.59%,50,1:1 Match,0.13,Brand match: HARRIS,-
HIGHLY LIKELY,80,EVERBUILD ONE STRIKE FILLER 250ML,Everbuild â€“ One Strike â€“ Multi-Purpose Quick-Drying Filler â€“ One-Time Application â€“ White...,5029347300029,-,B001326TJA,2.76,8.75,0.15,5.32%,500,1:1 Match,0.15,Brand match: EVERBUILD,-
HIGHLY LIKELY,80,SISTEMA TO GO BREAKFAST BOX,"Sistema Klip It Colour Accents Breakfast To Go Container, Assorted Colours, One Only Supplied",9414202213556,-,B005HNXFJS,3.88,8.99,0.18,4.71%,100,1:1 Match,0.18,Brand match: SISTEMA,-
HIGHLY LIKELY,80,PYREX BUTTERFLY RECTANGULAR DISH SET OF 2,Pyrex - Set of 3 Rectangular Oven Dishes - Ideal for 2 to 6 People - 3 Sizes - Borosilicate Glass...,3426470299985,-,B0BN8J4WLM,14.5,26.89,0.59,4.66%,400,1:1 Match,0.59,Brand match: PYREX,-
HIGHLY LIKELY,80,KEELECO HUGGY GIRAFFE 28CM,Keel Toys 28cm Keeleco Huggy Giraffe,5027148067165,-,B0CC6BRBKJ,7.99,13.88,0.21,2.94%,100,1:1 Match,0.21,Brand match: KEELECO,-
HIGHLY LIKELY,80,FRAMED ART - MANCHESTER UNITED KITS 40CM X 40CM,"A4 Framed Manchester United FC Legends, Repro Signed Wall Art Print, Premier League, Football, Gi...",5060899566334,-,B0F4RS323K,14.78,21.99,0.3,2.30%,50,1:1 Match,0.3,Brand match: FRAMED,-
HIGHLY LIKELY,80,PYREX ESSENTIALS CASSEROLE OVAL 4.1LTR,"Pyrex Essentials Glass oval Casserole high resistance, 3 L",3426470268684,-,B01LCYXS24,10.55,16.89,0.21,2.29%,100,1:1 Match,0.21,Brand match: PYREX,-
HIGHLY LIKELY,80,WHAM MEASURING JUG 2LTR,"Wham Cuisine 2L Clear Measuring Jug,JNS_453403",5038135320255,-,B08X1MMG5J,0.8,5.15,0.02,1.47%,100,1:1 Match,0.02,Brand match: WHAM,-
HIGHLY LIKELY,80,FARM TRACTOR AND TRAILER SET,Farm Tractor and Trailer Set 3 Pieces Durable Plastic Farm Vehicle Toy Playset Tractor-Trailer Th...,5012866019213,-,B0BMW4T2T7,4.03,8.99,0.05,1.23%,200,1:1 Match,0.05,Brand match: FARM,-
HIGHLY LIKELY,80,ROLSON CHALK LINE AND LAYOUT SET 3PCE,Rolson 52537 3 pc Chalk Line Set,5029594525374,-,B000QFCQ6U,2.68,7.36,0.02,0.84%,50,1:1 Match,0.02,Brand match: ROLSON,-
HIGHLY LIKELY,80,FLOW FLOOR & SURFACE CLEANER 5L EACH,Flow Lemon Floor & Surface All Purpose Cleaner / Concentrate Formula / Interior & Exterior / Safe...,5061029210899,-,B0CQ4VX6Z5,4.69,9.7,0,0.02%,50,1:1 Match,0,Brand match: FLOW,-
