Verdict,Confidence,SupplierTitle,AmazonTitle,Supplier EAN,Amazon EAN,ASIN,SupplierPrice,SellingPrice,NetProfit,ROI,Sales,Pack Verdict,Adjusted Profit,Key Match Evidence,Filter Reason,Amazon URL,SupplierEAN_clean,AmazonEAN_clean,EAN_exact,Product Name,Brand/Manufacturer,EAN,Listed Price,Wholesale Price (Low),Wholesale Price (High),Potential Savings %,Wholesale Supplier(s),Website(s),Account Requirements,Status,EAN_clean,HazmatKeywordFlag,Verification_Verdict,Verification_Notes,Verified_Price,Date_Checked
VERIFIED,95.0,CHEF AID SHOT GLASSES ASSORTED 20PCE,"Chef Aid Multi-Coloured Plastic Shot Glasses, Pack of 20 Reusable 30ml Party Cups, Bright, Colourful Drinking Glasses for Shots, Cocktails and Celebrations",5012904148738,5012904148738,B00M36YPIM,1.75,6.9,0.03,0.015,600.0,1:1 (1x20 vs 20x1),0.03,Exact EAN match; Shared tokens=4,-,https://www.amazon.co.uk/dp/B00M36YPIM,5012904148738,5012904148738.0,True,Chef Aid Multi-Coloured Plastic Shot Glasses Pack of 20,Chef Aid,5012904148738,1.75,1.0,1.4,20-43%,Dayes Ltd / Cooksmill / Leigh Shop,dayesuk.com / cooksmill.co.uk / leighshop.co.uk,Trade account; Bulk discounts,MATCH FOUND,5012904148738,False,Pending Verification,Not manually checked yet,6.9,
VERIFIED,95.0,ELLIOTTS GLASS SPRAY BOTTLE BROWN480ML,"Elliott 480ml Brown Glass Spray Bottle, Manufactured from Recycled Glass and featuring a locking trigger action spray Mechanism, Ideal for use for Cleaning, Watering Plants and many other uses",5013159004428,5013159004428,B099X92QGG,2.44,7.27,0.22,0.085,100.0,1:1 Match,0.22,Exact EAN match,-,https://www.amazon.co.uk/dp/B099X92QGG,5013159004428,5013159004428.0,True,Elliott 480ml Brown Glass Spray Bottle,Elliott,5013159004428,2.44,1.5,2.0,18-39%,KD Wholesale / EFG Housewares / Dayes Ltd,kdwholesale.co.uk / efghousewares.co.uk / dayesuk.com,Trade account; Carton of 36,MATCH FOUND,5013159004428,True,Pending Verification,Not manually checked yet,7.27,
VERIFIED,95.0,ELLIOTT WINDOW SQUEEGE 20CM,"Elliott Multi-Purpose Window Squeegee perfect for streak free cleaning on Windows, shower screens, cars and mirrors, Aluminium frame housing a 20cm rubber squeegee with an ergonomic Grey Handle.",5013159300353,5013159300353,B00KB225MS,1.84,6.64,0.29,0.141,200.0,1:1 Match,0.29,Exact EAN match; Anchor=20cm,-,https://www.amazon.co.uk/dp/B00KB225MS,5013159300353,5013159300353.0,True,Elliott Multi-Purpose Window Squeegee 20cm,Elliott,5013159300353,1.84,1.1,1.5,18-40%,KD Wholesale / EFG Housewares / Dayes Ltd,kdwholesale.co.uk / efghousewares.co.uk / dayesuk.com,Wholesale business; Carton quantities,MATCH FOUND,5013159300353,False,Pending Verification,Not manually checked yet,6.64,
VERIFIED,95.0,BEAUFORT SQ FOOD CONTAINER 13 LTR,Beaufort 13 Litre New SQUARE FOOD & CAKE CONTAINER WITH CLEAR SOLID LID,5014348241525,-,B0046MHRMM,2.56,7.9,0.51,0.189,200.0,1:1 Match,0.51,-; Browser confirmed match,-,https://www.amazon.co.uk/dp/B0046MHRMM,5014348241525,,False,Beaufort 13 Litre Square Food & Cake Container,Beaufort,5014348241525,2.56,1.7,2.2,14-34%,Stax Trade Centres / MX Wholesale / Cooksmill,staxtradecentres.co.uk / mxwholesale.co.uk / cooksmill.co.uk,Trade account,MATCH FOUND,5014348241525,False,Pending Verification,Not manually checked yet,7.9,
VERIFIED,95.0,PRODEC CAULKER 12 INCH,"ProDec 12"" Flexible Caulker Blade for Fast, Efficient Application of Fillers and Caulk and Smoothing of Wallpaper",5019200117338,5019200117338,B008F7YP9C,4.57,9.63,0.68,0.157,50.0,1:1 Match,0.68,Exact EAN match,-,https://www.amazon.co.uk/dp/B008F7YP9C,5019200117338,5019200117338.0,True,ProDec 12 Flexible Caulker Blade,ProDec,5019200117338,4.57,2.8,3.8,17-39%,The Paint Shed / IronmongeryDirect / Trade Paint Direct,thepaintshed.com / ironmongerydirect.co.uk / tradepaintdirect.co.uk,Trade prices; Free delivery £50+,MATCH FOUND,5019200117338,False,Pending Verification,Not manually checked yet,9.63,
VERIFIED - AUDITED OUT,95.0,FIRE UP NATURAL FIRELIGHTERS 28 PACK,"Fireglow Firelighters 24 Pack, White",5022704000013,5022704000013,B07YPPK4JY,0.91,4.49,0.02,0.017,100.0,Split candidate (0.86),0.15,Exact EAN match,Split candidate (supplier pack > Amazon pack) — verify workflow/compliance,https://www.amazon.co.uk/dp/B07YPPK4JY,5022704000013,5022704000013.0,True,Fireglow Firelighters 24 Pack,Fireglow,5022704000013,0.91,0.55,0.75,18-40%,Homeware Essentials / MX Wholesale / KD Wholesale,homewareessentials.co.uk / mxwholesale.co.uk / kdwholesale.co.uk,Trade account; 28 units/carton,MATCH FOUND,5022704000013,True,Pending Verification,Not manually checked yet,4.49,
VERIFIED,95.0,APOLLO VINEGAR SHAKER,"apollo THE HOUSEWARES BRAND 3357 Glass Vinegar Shaker, Clear 15 x 5.5 x 5.5 cm",5026180033572,5026180033572,B009SJXB32,0.94,6.58,0.46,0.348,50.0,1:1 Match,0.46,Exact EAN match,-,https://www.amazon.co.uk/dp/B009SJXB32,5026180033572,5026180033572.0,True,Apollo Glass Vinegar Shaker 15 x 5.5 x 5.5 cm,Apollo Housewares,5026180033572,0.94,0.55,0.75,20-41%,Pound Wholesale / Apollo Housewares Ltd,poundwholesale.co.uk / apollohousewares.com,Trade account; Free UK delivery £899+,MATCH FOUND,5026180033572,False,Pending Verification,Not manually checked yet,6.58,
VERIFIED,95.0,PPS ROUND 40 DOYLEYS 21CM,"40 X White Round LACE DOYLEYS - 22cm/8.5"" Quality Disposable Paper mats Great for Entertaining and Parties",5030481940088,5030481940088,B07YQ5HFFN,0.67,4.28,0.3,0.267,700.0,1:1 (1x40 vs 40x1),0.3,Exact EAN match,-,https://www.amazon.co.uk/dp/B07YQ5HFFN,5030481940088,5030481940088.0,True,40 X White Round Lace Doyleys 22cm,Generic,5030481940088,0.67,0.4,0.55,18-40%,Astral Hygiene / Catering Disposables / MBS Wholesale,astralhygiene.co.uk / buzzcateringsupplies.com / mbswholesale.co.uk,Trade account; Bulk discounts,MATCH FOUND,5030481940088,False,Pending Verification,Not manually checked yet,4.28,
VERIFIED,95.0,THE BIG CHEESE QUICK CLICK MOUSE TRAP 2PK,"The Big Cheese Quick Click Mouse Trap - Twinpack, Kills Mice, Baited and Ready-To-Use, Easy Clean and Disposal, Plastic, Indoor and Outdoor Use, White",5036200121479,5036200121479,B077G5PTRK,2.22,7.79,0.27,0.113,50.0,1:1 Match,0.27,Exact EAN match; Shared tokens=6,-,https://www.amazon.co.uk/dp/B077G5PTRK,5036200121479,5036200121479.0,True,The Big Cheese Quick Click Mouse Trap Twinpack,The Big Cheese,5036200121479,2.22,1.4,1.8,19-37%,STV International / Homeware Essentials / KD Wholesale,stvuk.com / homewareessentials.co.uk / kdwholesale.co.uk,Trade pricing; Case quantities,MATCH FOUND,5036200121479,False,Pending Verification,Not manually checked yet,7.79,
VERIFIED,95.0,BAKER & SALT SWISS ROLL TRAY,Baker & Salt Non-Stick Swiss Roll Tray 32 x 23.5 x 1cm,5038135558504,-,B08G1Q1L46,3.23,8.99,0.72,0.222,600.0,1:1 (1x1 vs 32x23),0.72,"-; Browser confirmed match; Perfect match - same brand, exact size match, same product",-,https://www.amazon.co.uk/dp/B08G1Q1L46,5038135558504,,False,Baker & Salt Non-Stick Swiss Roll Tray 32 x 23.5 x 1cm,Baker & Salt,5038135558504,3.23,2.0,2.7,16-38%,What More UK (Manufacturer/Trade),whatmoreuk.com,Trade login required; Made in UK,MATCH FOUND,5038135558504,False,Pending Verification,Not manually checked yet,8.99,
VERIFIED,95.0,HOUSE MATE STAINLESS STEEL CLEANER & POLISH,House Mate Stainless Steel Cleaner and Polisher 400ml (Pack of 1),5039295201040,5039295201040,B0111N9Z1O,3.89,10.43,0.79,0.209,50.0,1:1 Match,0.79,Exact EAN match; Shared tokens=5,-,https://www.amazon.co.uk/dp/B0111N9Z1O,5039295201040,5039295201040.0,True,House Mate Stainless Steel Cleaner and Polisher 400ml,House Mate (Rustins),5039295201040,3.89,2.5,3.2,18-36%,Rustins / KD Wholesale / Sealants Online,rustins.ltd / kdwholesale.co.uk / sealantsonline.co.uk,Trade enquiry; Box of 12,MATCH FOUND,5039295201040,False,Pending Verification,Not manually checked yet,10.43,
VERIFIED,95.0,EVERREADY T8 4FT 36W TUBE LIGHT,Eveready T8 Tube 4ft 36w White 3500k,5050028016069,5050028016069,B005XKFN0O,2.99,18.99,8.0,2.632,50.0,1:1 Match,8.0,Exact EAN match; Shared tokens=4,-,https://www.amazon.co.uk/dp/B005XKFN0O,5050028016069,5050028016069.0,True,Eveready T8 Tube 4ft 36w White 3500k,Eveready,5050028016069,2.99,2.0,2.5,16-33%,Astro Imports / General Lamps,astroimports.co.uk / lamps-on-line.com,Trade account; Free delivery £299+,MATCH FOUND,5050028016069,False,BUY,Verified. Price £18.99 stable. Breakage risk (Glass). Requires bubble wrap. High profit.,18.99,2026-01-16
VERIFIED - AUDITED OUT,95.0,PAN AROMA C TEA-LIGHTS 16PK APP&CIN,Pan Aroma 16 Tea Lights Apple & Cinnamon,5053249228174,5053249228174,B083XH692T,0.84,6.87,2.19,2.6,100.0,,,,,https://www.amazon.co.uk/dp/B083XH692T,5053249228174,5053249228174.0,True,Pan Aroma 16 Tea Lights Apple & Cinnamon,Pan Aroma,5053249228174,1.3,0.75,1.0,23-42%,Pound Wholesale / MX Wholesale UK,poundwholesale.co.uk / mxwholesale.co.uk,Trade account required,MATCH FOUND,5053249228174,True,Pending Verification,Not manually checked yet,6.87,
VERIFIED,95.0,PAN AROMA JAR CANDLE 85GM RED BERRY,"PAN AROMAÂ® RED Decorative Holder & Scented Candle, RED Berry, 85g POUND",5053249248295,5053249248295,B09KCMWXQX,0.87,8.99,2.82,3.24,50.0,1:1 Match,1.49,Exact EAN match; Shared tokens=5,POUNDWHOLESALE,https://www.amazon.co.uk/dp/B09KCMWXQX,5053249248295,5053249248295.0,True,PAN AROMA RED Decorative Holder & Scented Candle 85g,Pan Aroma,5053249248295,1.3,0.8,1.1,15-38%,Pound Wholesale / MX Wholesale UK,poundwholesale.co.uk / mxwholesale.co.uk,Trade account; No min order (MX),MATCH FOUND,5053249248295,True,TEST,Verified. Price £8.99. Huge ROI (300%+) but low absolute profit (£2.77). Meltable risk in summer.,8.99,2026-01-16
VERIFIED,95.0,PAN AROMA JAR CANDLE 85GM SALTED CARAMEL,"Pan Aroma Orange Decorative Holder & Scented Candle, Salted Caramel, 85G POUND",5053249248356,5053249248356,B09KCLYC1D,0.87,8.99,2.82,1.561,50.0,1:1 Match,2.54,Exact EAN match; Shared tokens=5,-,https://www.amazon.co.uk/dp/B09KCLYC1D,5053249248356,5053249248356.0,True,Pan Aroma Orange Decorative Holder & Scented Candle 85G,Pan Aroma,5053249248356,1.3,0.8,1.1,15-38%,Pound Wholesale / MX Wholesale UK,poundwholesale.co.uk / mxwholesale.co.uk,Trade account; No min order (MX),MATCH FOUND,5053249248356,True,Pending Verification,Not manually checked yet,8.99,
VERIFIED,95.0,FRAGRANT CLOUD EDT 100ML POUR FEMME EACH,Fragrant Cloud Rose Ladies Women Perfume Eau De Parfum Spray New Gift 100ml,5055170281372,5055170281372,6040418214,1.61,7.5,1.24,0.653,100.0,1:1 Match,1.24,Exact EAN match; Anchor=100ml,-,https://www.amazon.co.uk/dp/6040418214,5055170281372,5055170281372.0,True,Fragrant Cloud Rose Ladies Perfume Eau De Parfum 100ml,Fine Perfumery,5055170281372,1.61,0.9,1.3,19-44%,Shure Cosmetics / Pound Wholesale / Qogita,shure-cosmetics.co.uk / poundwholesale.co.uk / qogita.com,Trade account; Pack of 12 available,MATCH FOUND,5055170281372,True,Pending Verification,Not manually checked yet,7.5,
VERIFIED,95.0,MEMORIAL WATERPROOF GRAVESIDE LANTERN WITH ROBIN SOMEONE SPECIAL,Waterproof Robin Memorial Graveside Lantern with LED Candle (Someone Special),5055361761119,5055361761119,B096KRFC4W,6.95,13.99,0.08,0.012,50.0,1:1 Match,0.08,Exact EAN match; Shared tokens=7,-,https://www.amazon.co.uk/dp/B096KRFC4W,5055361761119,5055361761119.0,True,Waterproof Robin Memorial Graveside Lantern LED,Generic,5055361761119,6.95,4.0,5.5,21-42%,Shudehill Giftware / Crafty Cutter UK / All Candles Wholesale,gildedliligifts.co.uk / craftycutter.co.uk / all-candles-wholesale.co.uk,Trade account; Memorial specialists,MATCH FOUND,5055361761119,True,Pending Verification,Not manually checked yet,13.99,
VERIFIED,95.0,AIRWICK REED DIFFUSER MULLED WINE 33ML PK5,"Air Wick Essential Oils Reed Diffuser Air Freshener Mulled Wine Scent, 5 Bottles X 30 ml",5059001500861,5059001500861,B07WDRQ4J7,13.43,46.0,16.55,1.41,200.0,1:1 (5x1 vs 1x5),16.55,Exact EAN match; Shared tokens=4,-,https://www.amazon.co.uk/dp/B07WDRQ4J7,5059001500861,5059001500861.0,True,Air Wick Essential Oils Reed Diffuser Mulled Wine 5x30ml,Air Wick,5059001500861,13.43,9.5,11.0,18-29%,Pound Wholesale / My Wholesale Warehouse,poundwholesale.co.uk / mywholesalewarehouse.com,Trade account; Bulk orders,MATCH FOUND,5059001500861,True,TEST,Verified. Price dropped to £29.60 (was £46). Profit reduced to ~£3.30. Returnable. Hazmat warning present but FBA eligible.,29.6,2026-01-16
VERIFIED,95.0,MIRROR BLUE CANYON SQUARE PLASTIC MIRROR,Blue Canyon - 18cm Free Standing Square Mirror - White Colour - Perfect for Shaving and Applying Makeup - One Side with 2x Magnification - Double Sided Multipurpose Mirror - BA2046,5060187173633,5060187173633,B007IGLUIK,3.1,8.25,0.43,0.139,100.0,1:1 Match,0.43,Exact EAN match; Shared tokens=4,-,https://www.amazon.co.uk/dp/B007IGLUIK,5060187173633,5060187173633.0,True,Blue Canyon 18cm Free Standing Square Mirror White,Blue Canyon,5060187173633,3.1,1.8,2.5,19-42%,Blue Canyon (Direct Manufacturer),bluecanyon.co.uk,Trade account; Managed supply chain,MATCH FOUND,5060187173633,False,Pending Verification,Not manually checked yet,8.25,
VERIFIED,95.0,BLUE CANYON VECTOR SHOWER SPRAY,Blue Canyon Vector Double Tap Shower Spray/ Bathroom Accessory/ Premium Shower Attachment for Bath taps/ Push-on-Fitting/ Suitable for Round & Oval Taps/ Shower Head for Bathroom/ ~1.5 Meters/ (White),5060187175750,5060187175750,B008F6946C,4.3,9.85,0.2,0.048,500.0,1:1 Match,0.2,Exact EAN match; Shared tokens=5,-,https://www.amazon.co.uk/dp/B008F6946C,5060187175750,5060187175750.0,True,Blue Canyon Vector Double Tap Shower Spray 1.5m White,Blue Canyon,5060187175750,4.3,2.5,3.5,19-42%,Blue Canyon (Direct Manufacturer),bluecanyon.co.uk,Trade account; Quality distributor,MATCH FOUND,5060187175750,True,Pending Verification,Not manually checked yet,9.85,
VERIFIED,95.0,SUPERIOR FOIL 10 CONTAINERS & LID 9X9IN,"Superior 10-Pack Aluminium Foil Trays with Paper Lids, Heavy Duty Aluminium Takeaway Containers, Freezer & Oven Safe Tin Foil Trays For Baking, Cooking, Broiling, Storage Containers, 9 x 9 inch",5060357990107,5060357990107,B0DJDH23JW,3.66,12.97,2.13,0.591,700.0,1:1 (1x10 vs 10x1),2.13,Exact EAN match,-,https://www.amazon.co.uk/dp/B0DJDH23JW,5060357990107,5060357990107.0,True,SUPERIOR FOIL 10 CONTAINERS & LID 9X9IN,Superior,5060357990107,3.8,2.5,3.2,16-34%,EFG Housewares / Pound Wholesale,efghousewares.co.uk / poundwholesale.co.uk,Trade account; Case orders,MATCH FOUND,5060357990107,False,Pending Verification,Not manually checked yet,12.97,
VERIFIED,95.0,SUPERIOR FOIL 10 CONTAINERS & LID 9X9IN,"Superior 10-Pack Aluminium Foil Trays with Paper Lids, Heavy Duty Aluminium Takeaway Containers, Freezer & Oven Safe Tin Foil Trays For Baking, Cooking, Broiling, Storage Containers, 9 x 9 inch",5060357990107,5060357990107,B0DJDH23JW,3.66,12.97,2.13,0.591,700.0,1:1 (1x10 vs 10x1),2.13,Exact EAN match,-,https://www.amazon.co.uk/dp/B0DJDH23JW,5060357990107,5060357990107.0,True,Superior 10-Pack Aluminium Foil Trays Paper Lids 9x9,Superior,5060357990107,3.66,2.5,3.0,18-32%,EFG Housewares / Shopler,efghousewares.co.uk / shopler.co.uk,Trade account,MATCH FOUND,5060357990107,False,Pending Verification,Not manually checked yet,12.97,
,,SUPERIOR FOIL 10 CONTAINERS & LID 9X9IN,SUPERIOR FOIL 10 CONTAINERS & LID 9X9IN,5060357990107,5060357990107,B0DJDH23JW,3.8,13.0,2.0,0.54,,,,,,https://www.amazon.co.uk/dp/B0DJDH23JW,5060357990107,5060357990107.0,True,SUPERIOR FOIL 10 CONTAINERS & LID 9X9IN,Superior,5060357990107,3.8,2.5,3.2,16-34%,EFG Housewares / Pound Wholesale,efghousewares.co.uk / poundwholesale.co.uk,Trade account; Case orders,MATCH FOUND,5060357990107,False,Pending Verification,Not manually checked yet,13.0,
,,SUPERIOR FOIL 10 CONTAINERS & LID 9X9IN,SUPERIOR FOIL 10 CONTAINERS & LID 9X9IN,5060357990107,5060357990107,B0DJDH23JW,3.8,13.0,2.0,0.54,,,,,,https://www.amazon.co.uk/dp/B0DJDH23JW,5060357990107,5060357990107.0,True,Superior 10-Pack Aluminium Foil Trays Paper Lids 9x9,Superior,5060357990107,3.66,2.5,3.0,18-32%,EFG Housewares / Shopler,efghousewares.co.uk / shopler.co.uk,Trade account,MATCH FOUND,5060357990107,False,Pending Verification,Not manually checked yet,13.0,
,,SUPERIOR FOIL 5 CONTAINERS & LID 9X13IN,"Superior Foil Containers with Lids – 9x13 Inches Sturdy Deep Foil Trays with Lid,",5060357990114,5060357990114,B07GZGXQYG,3.8,14.35,2.5,0.67,,,,,,https://www.amazon.co.uk/dp/B07GZGXQYG,5060357990114,5060357990114.0,True,Superior Large Foil Aluminium Trays Pack of 10,Superior,5060357990114,4.5,2.5,3.5,22-44%,Pound Wholesale / EFG Housewares,poundwholesale.co.uk / efghousewares.co.uk,Trade account; MOQ varies,MATCH FOUND,5060357990114,False,Pending Verification,Not manually checked yet,14.35,
,,SUPERIOR FOIL 5 CONTAINERS & LID 9X13IN,"Superior Foil Containers with Lids – 9x13 Inches Sturdy Deep Foil Trays with Lid,",5060357990114,5060357990114,B07GZGXQYG,3.8,14.35,2.5,0.67,,,,,,https://www.amazon.co.uk/dp/B07GZGXQYG,5060357990114,5060357990114.0,True,Superior Foil Containers with Lids 9x13,Superior,5060357990114,3.8,2.2,3.0,21-42%,EFG Housewares / Scobies Direct,efghousewares.co.uk / scobiesdirect.com,Trade account; Bulk orders,MATCH FOUND,5060357990114,False,Pending Verification,Not manually checked yet,14.35,
