supplier_product_title,amazon_target_title,match_type,tier,ean_status,ean,ean_on_page,asin,sales_value,net_profit,roi,selling_price,supplier_price_ex_vat,supplier_price_inc_vat,fba_fee,referral_fee,fba_seller_count,fbm_seller_count,total_offer_count,bucket,inclusion_reason,rationale,confidence,validation_required,priority,match_similarity,match_verification_result,supplier_url,amazon_url
BORMIOLI ETICAT BOTTLE & STOPPER 550ML,BORMIOLI ROCCO Officina Vintage 1825 Glass Bottle with Removable Cap - 1200 ML (37.25 oz) - Set of 3,Title,T3,Not matched,8004360049077.0,5055512091560.0,B06Y476315,,11.784999999999998,604.3589743589743,24.99,1.4,1.68,3.34,3.75,,Available (see Keepa data),1.0,B,Strong profit margin (GBP11.78); Very high ROI (604%); Low FBA competition (0 sellers); Low source cost (GBP1.40) vs Amazon price (GBP24.99),Possible match but profit is attractive enough to warrant validation. Re-check recommended.,medium-low,Yes,HIGH,0.43,Moderate similarity (0.43) + brand match (BORMIOLI),https://www.efghousewares.co.uk/bormioli-eticat-bottle-stopper-550ml-109956,https://www.amazon.co.uk/dp/B06Y476315
LITTLE TREES CAR FRESHENER SUPERNOVA,Little Trees® MTR0092 Supernova,EAN,T1,Confirmed,7612720200030.0,7612720200030.0,B0DLX1WN8H,,11.723333333333336,881.4536340852133,22.0,0.78,0.936,1.83,3.45,,Available (see Keepa data),3.0,B,Strong profit margin (GBP11.72); Very high ROI (881%); Low FBA competition (0 sellers); Low source cost (GBP0.78) vs Amazon price (GBP22.00),"EAN-verified product with positive profit. Zero sales may reflect data timing, new listing, or seasonal dormancy.",high,No,HIGH,0.73,Exact EAN match (title sim=0.73),https://www.efghousewares.co.uk/little-trees-car-freshener-supernova-116778,https://www.amazon.co.uk/dp/B0DLX1WN8H
LAV ODIN TEA CUP SAUCERS SET OF 6,Lav Turkish Tea Cups and Saucers Set - 12-Piece Authentic Tea Glasses Set With Gold Rim for Tea Time,Title,T3,Not matched,8692952249136.0,,B07RWFB2Y7,,11.691666666666665,220.18204645323289,29.99,4.76,5.712,3.49,4.5,Available (see Keepa data),,1.0,B,Strong profit margin (GBP11.69); Very high ROI (220%); Low FBA competition (0 sellers); High-demand category (kitchen),Possible match but profit is attractive enough to warrant validation. Re-check recommended.,medium,Yes,HIGH,0.44,Moderate similarity (0.44) + brand match (LAV) + category match,https://www.efghousewares.co.uk/lav-odin-tea-cup-saucers-set-of-6-122226,https://www.amazon.co.uk/dp/B07RWFB2Y7
GLASS BOWL FOOTED 23CM,Duralex Lys Round Stacking Mixing Glass Bowl 23cm,Title,T3,Not matched,6933890359016.0,,B00FJDK1AC,,11.364583333333329,452.7722443559095,22.99,1.96,2.352,2.41,2.87375,,,,B,Strong profit margin (GBP11.36); Very high ROI (453%); Low FBA competition (0 sellers); High-demand category (kitchen); Low source cost (GBP1.96) vs Amazon price (GBP22.99),Possible match but profit is attractive enough to warrant validation. Re-check recommended.,medium-low,Yes,HIGH,0.42,Moderate similarity (0.42) + category match,https://www.efghousewares.co.uk/glass-bowl-footed-23cm-112481,https://www.amazon.co.uk/dp/B00FJDK1AC
GSD GLUE CLEAR 30ML,CLEAR GLUE - MULTI PURPOSE 30ML – 12/24 BLISTERS PACKS (12),Title,T3,Not matched,5060066940127.0,5061006020350.0,B0BTTVJXPH,,11.287916666666668,964.7792022792024,20.99,0.62,0.744,2.41,2.62375,,Available (see Keepa data),2.0,B,Strong profit margin (GBP11.29); Very high ROI (965%); Low FBA competition (0 sellers); Low source cost (GBP0.62) vs Amazon price (GBP20.99),Possible match but profit is attractive enough to warrant validation. Re-check recommended.,medium-low,Yes,HIGH,0.36,Moderate similarity (0.36) + category match,https://www.efghousewares.co.uk/gsd-glue-clear-30ml,https://www.amazon.co.uk/dp/B0BTTVJXPH
TILL ROLLS 80X75MM PACK OF 5,"Clearly Till Roll, Box of 20 Till Rolls, 80x80mm, Thermal Paper for POS Systems, BPA-Free White Paper Roll",EAN,T1,Confirmed,5011929332481.0,5011929332481.0,B0C6YBWY5R,,10.96708333333333,276.2489504617968,24.49,3.42,4.104,2.41,3.06125,,Available (see Keepa data),1.0,B,Strong profit margin (GBP10.97); Very high ROI (276%); Low FBA competition (0 sellers),"EAN-verified product with positive profit. Zero sales may reflect data timing, new listing, or seasonal dormancy.",high,No,HIGH,0.35,Exact EAN match (title sim=0.35),https://www.efghousewares.co.uk/till-rolls-79x76-mm-pk10,https://www.amazon.co.uk/dp/B0C6YBWY5R
AMTECH HOBBY KNIFE/5 EXTRA BLADES,TAMIYA 300074040 Utility Knife with 10 Blades,Title,T3,Not matched,5032759034130.0,,B002LE7LB4,,10.861666666666668,593.5336976320584,21.32,1.28,1.536,2.41,2.6650000000000005,,,,B,Strong profit margin (GBP10.86); Very high ROI (594%); Low FBA competition (0 sellers); High-demand category (kitchen); Low source cost (GBP1.28) vs Amazon price (GBP21.32),Possible match but profit is attractive enough to warrant validation. Re-check recommended.,medium-low,Yes,HIGH,0.49,Moderate similarity (0.49) + category match,https://www.efghousewares.co.uk/amtech-hobby-knife-5-extra-blades,https://www.amazon.co.uk/dp/B002LE7LB4
GLASS PLAIN JUG 0.5LTR,Bistro Jug 17.5oz / 0.5ltr - Pack of 6,Title,T3,Not matched,6942178910238.0,8693357022225.0,B00237UI3W,,10.491666666666667,788.8471177944863,22.49,0.78,0.936,3.54,3.38,,Available (see Keepa data),5.0,B,Strong profit margin (GBP10.49); Very high ROI (789%); Low FBA competition (0 sellers); Low source cost (GBP0.78) vs Amazon price (GBP22.49),Possible match but profit is attractive enough to warrant validation. Re-check recommended.,medium-low,Yes,HIGH,0.43,Moderate similarity (0.43) + category match,https://www.efghousewares.co.uk/glass-plain-jug-0-5ltr,https://www.amazon.co.uk/dp/B00237UI3W
SUPER GLUE BOTTLE 3PC,Rysons Super Glue Bottle Set 3 piece,EAN,T1,Confirmed,5056239432018.0,5056239432018.0,B0D6NCDCLW,,10.359583333333331,745.2937649880095,19.99,0.84,1.008,2.41,2.49875,,Available (see Keepa data),1.0,B,Strong profit margin (GBP10.36); Very high ROI (745%); Low FBA competition (0 sellers); Low source cost (GBP0.84) vs Amazon price (GBP19.99),"EAN-verified product with positive profit. Zero sales may reflect data timing, new listing, or seasonal dormancy.",high,No,HIGH,0.74,Exact EAN match (title sim=0.74),https://www.efghousewares.co.uk/super-glue-bottle-3pc,https://www.amazon.co.uk/dp/B0D6NCDCLW
PICK UP AND REACH TOOL 78CM,Rysons Reach & Pick-Up Tool Stick,EAN,T1,Confirmed,5056239433022.0,5056239433022.0,B0CJ9HW4XB,,9.96958333333333,560.0889513108613,19.99,1.23,1.476,2.41,2.49875,,Available (see Keepa data),1.0,B,Strong profit margin (GBP9.97); Very high ROI (560%); Low FBA competition (0 sellers); Low source cost (GBP1.23) vs Amazon price (GBP19.99),"EAN-verified product with positive profit. Zero sales may reflect data timing, new listing, or seasonal dormancy.",high,No,HIGH,0.48,Exact EAN match (title sim=0.48),https://www.efghousewares.co.uk/pick-up-and-reach-tool-78cm,https://www.amazon.co.uk/dp/B0CJ9HW4XB
STATUS 11W B/C GLS A70 COOL WHITE FILAMENT LED LIGHT BULB SINGLE,"Status LED GLS Light Bulbs, 11W Cool White 4000K Clear Finish, 100W Filament Equivalent Bayonet Cap B22 Lighting for Home or Office, Pack of 10 (11SFGCB22C1B10)",Title,T3,Not matched,5022822216655.0,,B0C1MV4Y7W,,8.906666666666666,312.5146198830409,20.0,2.3,2.76,2.41,2.5,,,,B,Strong profit margin (GBP8.91); Very high ROI (313%); Low FBA competition (0 sellers),Possible match but profit is attractive enough to warrant validation. Re-check recommended.,medium,Yes,HIGH,0.41,Moderate similarity (0.41) + brand match (STATUS) + category match,https://www.efghousewares.co.uk/status-11w-b/c-gls-a70-cool-white-filament-led-light-bulb-single-106533,https://www.amazon.co.uk/dp/B0C1MV4Y7W
MASON CASH MIXING BOWL IN THE FOREST BEAR 24CM,"Mason Cash in The Forest Bear Mixing Bowl 2 Litre | 24cm Cane S24 Stoneware Bowl for Bread, Cake, Cookie, Pastry & Pudding Mixes, Embossed Woodland Design",Title,T3,Not matched,5010853244235.0,,B0777L3RS7,,8.68,146.86971235194585,24.0,5.36,6.432,2.41,3.0,,,,B,Strong profit margin (GBP8.68); Very high ROI (147%); Low FBA competition (0 sellers); High-demand category (kitchen),Possible match but profit is attractive enough to warrant validation. Re-check recommended.,medium,Yes,HIGH,0.35,Moderate similarity (0.35) + brand match (MASON) + category match,https://www.efghousewares.co.uk/mason-cash-mixing-bowl-in-the-forest-bear-24cm-118290,https://www.amazon.co.uk/dp/B0777L3RS7
TURBO JET AIR FRESHENER / SANITISER SPRAY WATERMELON 500ML,AIRESS TURBO JET AIR SANITISER 500ML (Watermelon),EAN,T1,Confirmed,5056239452023.0,5056239452023.0,B09WRX2BYC,,8.679583333333332,282.7225841476655,19.99,2.52,3.024,2.41,2.49875,,Available (see Keepa data),1.0,B,Strong profit margin (GBP8.68); Very high ROI (283%); Low FBA competition (0 sellers); High-demand category (candles),"EAN-verified product with positive profit. Zero sales may reflect data timing, new listing, or seasonal dormancy.",high,No,HIGH,0.68,Exact EAN match (title sim=0.68),https://www.efghousewares.co.uk/turbo-jet-air-500ml-watermelon,https://www.amazon.co.uk/dp/B09WRX2BYC
MASON SNAP-OFF KNIFE SET TRANSPARENT 3 PIECES,"Ross Henery Professional 8PC-BBACR19 Knives, 8 Piece Kitchen Knife Set in Stylish Acrylic Block Set",Title,T3,Not matched,5060298504548.0,5060656969705.0,B07ZNBTHVT,,8.056666666666667,579.6163069544364,25.16,0.84,1.008,5.15,6.37,,,2.0,B,Strong profit margin (GBP8.06); Very high ROI (580%); Low FBA competition (0 sellers); High-demand category (kitchen); Low source cost (GBP0.84) vs Amazon price (GBP25.16),Possible match but profit is attractive enough to warrant validation. Re-check recommended.,low,Yes,HIGH,0.31,Low similarity (0.31) but category match - re-check candidate,https://www.efghousewares.co.uk/mason-snap-off-knife-set-transparent-3-pieces-123885,https://www.amazon.co.uk/dp/B07ZNBTHVT
TIDYZ WHEELY BIN LINERS 5 BAGS 300L,"TIDYZ 300L WHEELIE BIN LINERS 5 PACK, (Pack Of 1)",EAN,T1,Confirmed,5025364005824.0,5025364005824.0,B0CBVVF5TB,,7.4700000000000015,732.3529411764707,16.8,0.47,0.564,2.94,2.57,,,1.0,B,Strong profit margin (GBP7.47); Very high ROI (732%); Low FBA competition (0 sellers); Low source cost (GBP0.47) vs Amazon price (GBP16.80),"EAN-verified product with positive profit. Zero sales may reflect data timing, new listing, or seasonal dormancy.",high,No,HIGH,0.67,Exact EAN match (title sim=0.67),https://www.efghousewares.co.uk/tidyz-wheely-bin-liners-5-bags-106238,https://www.amazon.co.uk/dp/B0CBVVF5TB
PINEAPPLE SHAPE SUGAR BOWL W/LID,Milisten Pineapple Shape Ceramic Tea Canister Airtight Loose Leaf Tea Storage Jar with Lid 5.24 Inch Kitchen and Home Decor Organizer,Title,T3,Not matched,6923456786080.0,,B0CV7795SD,,7.394999999999999,532.0143884892085,16.29,0.84,1.008,3.49,1.3,Available (see Keepa data),Available (see Keepa data),2.0,B,Strong profit margin (GBP7.39); Very high ROI (532%); Low FBA competition (0 sellers); High-demand category (kitchen); Low source cost (GBP0.84) vs Amazon price (GBP16.29),Possible match but profit is attractive enough to warrant validation. Re-check recommended.,low,Yes,HIGH,0.32,Low similarity (0.32) but category match - re-check candidate,https://www.efghousewares.co.uk/pineapple-shape-sugar-bowl-w-lid,https://www.amazon.co.uk/dp/B0CV7795SD
AIR FRESHENER TRILOGY 3 ROYAL THAI ORCHID,3 X 300 ml Febreze Air Effects Air Freshener Can Spray - Thai Orchid,Title,T3,Not matched,5056239450555.0,,B01N58W59H,,7.3170833333333345,487.8055555555556,15.85,0.95,1.14,2.41,1.98125,,,,B,Strong profit margin (GBP7.32); Very high ROI (488%); Low FBA competition (0 sellers); High-demand category (candles); Low source cost (GBP0.95) vs Amazon price (GBP15.85),Possible match but profit is attractive enough to warrant validation. Re-check recommended.,medium-low,Yes,HIGH,0.52,Moderate similarity (0.52) + category match,https://www.efghousewares.co.uk/air-freshener-trilogy-3-royal-thai-orchid-105700,https://www.amazon.co.uk/dp/B01N58W59H
TURBO JET AIR FRESHENER / SANITISER SPRAY SAVAGE 500ML,6x Sovereign Savage Turbojet Air Sanitiser 500ml,EAN,T1,Confirmed,5060471890215.0,5060471890215.0,B08B5DJ27S,,7.188333333333332,234.14766558089025,19.99,2.52,3.024,3.59,2.81,,Available (see Keepa data),7.0,B,Strong profit margin (GBP7.19); Very high ROI (234%); Low FBA competition (0 sellers); High-demand category (candles),"EAN-verified product with positive profit. Zero sales may reflect data timing, new listing, or seasonal dormancy.",high,No,HIGH,0.56,Exact EAN match (title sim=0.56),https://www.efghousewares.co.uk/turbo-jet-air-500ml-savage,https://www.amazon.co.uk/dp/B08B5DJ27S
KINGFISHER PLASTIC 10 PINT GLASSES,Pack of 100 Clear Plastic Pint Tumblers - Kingfisher Catering,EAN,T1,Confirmed,5013478557995.0,5013478557995.0,B0114CS4PA,,7.0095833333333335,599.1096866096867,14.95,0.62,0.744,2.41,1.86875,,Available (see Keepa data),3.0,B,Strong profit margin (GBP7.01); Very high ROI (599%); Low FBA competition (0 sellers); Low source cost (GBP0.62) vs Amazon price (GBP14.95),"EAN-verified product with positive profit. Zero sales may reflect data timing, new listing, or seasonal dormancy.",high,No,HIGH,0.34,Exact EAN match (title sim=0.34),https://www.efghousewares.co.uk/kingfisher-plastic-10-pint-glasses,https://www.amazon.co.uk/dp/B0114CS4PA
PPS 1PLY NAPKINS WHITE 250 PIECE,"1000 SOFT 1 PLY WHITE PAPER NAPKINS - 30cm x 30cm Ideal for cafes, restaurants, bars, parties, bbq's",EAN,T1,Confirmed,5030481990335.0,5030481990335.0,B00R6B6B22,,7.005416666666667,380.7291666666666,15.89,1.29,1.548,2.41,1.98625,,,1.0,B,Strong profit margin (GBP7.01); Very high ROI (381%); Low FBA competition (0 sellers); Low source cost (GBP1.29) vs Amazon price (GBP15.89),"EAN-verified product with positive profit. Zero sales may reflect data timing, new listing, or seasonal dormancy.",high,No,HIGH,0.35,Exact EAN match (title sim=0.35),https://www.efghousewares.co.uk/pps-1ply-napkins-white-250-piece-108986,https://www.amazon.co.uk/dp/B00R6B6B22
PPS FOIL PIE 6 DISHES RECTANGULAR,"LEXININ 100 Pack 6 Inch Round Aluminium Foil Pie Trays, 500ml Foil Flan Cases Dishes with Lids for Baking Cooking Roasting",Title,T3,Not matched,5030481930058.0,758226786887.0,B0CPHZVKQ2,,6.918333333333334,623.2732732732733,16.99,0.56,0.672,3.58,2.55,,,1.0,B,Strong profit margin (GBP6.92); Very high ROI (623%); Low FBA competition (0 sellers); High-demand category (food_wrap); Low source cost (GBP0.56) vs Amazon price (GBP16.99),Possible match but profit is attractive enough to warrant validation. Re-check recommended.,low,Yes,HIGH,0.31,Low similarity (0.31) but category match - re-check candidate,https://www.efghousewares.co.uk/pps-foil-pie-6-dishes-rectangular,https://www.amazon.co.uk/dp/B0CPHZVKQ2
STATUS LED MR16 PEARL W/W 5.5W EACH,Status 5.5w LED MR16 Pearl Bulb [Energy Class A],Title,T2,Not matched,5022822224971.0,5022822189096.0,B00PH4Q4RM,,6.821666666666669,408.4830339321359,14.21,1.12,1.344,1.5,1.85,,Available (see Keepa data),1.0,B,Strong profit margin (GBP6.82); Very high ROI (408%); Low FBA competition (0 sellers); Low source cost (GBP1.12) vs Amazon price (GBP14.21),Likely match with meaningful profit and supporting signals. Zero sales may reflect stale data or low visibility.,medium-high,Yes,HIGH,0.62,High title similarity (0.62) with category match,https://www.efghousewares.co.uk/status-led-mr16-pearl-w-w-5-5w-each,https://www.amazon.co.uk/dp/B00PH4Q4RM
RYSONS SLIPPERS LADIES PEDICURE ASSORTED SIZES,Ladies Womens Wide Fit Diabetic Orthopedic Multi Fit Washable Bedroom Slippers Size UK 3-8,Title,T3,Not matched,5060345207279.0,5056358040552.0,B0G58XZDPN,,6.818333333333334,383.0524344569289,16.99,1.23,1.476,3.01,2.55,Available (see Keepa data),,2.0,B,Strong profit margin (GBP6.82); Very high ROI (383%); Low FBA competition (0 sellers); Low source cost (GBP1.23) vs Amazon price (GBP16.99),Possible match but profit is attractive enough to warrant validation. Re-check recommended.,low,Yes,HIGH,0.26,Low similarity (0.26) but category match - re-check candidate,https://www.efghousewares.co.uk/rysons-slippers-ladies-pedicure-asrtd-sizes,https://www.amazon.co.uk/dp/B0G58XZDPN
PAN AROMA CANDLE PRINTED GLASS APPLE & CINNAMON,JMS we create smile - Pack of 3 Apple Cinnamon Scented Candle Glass Pot Jar Aromatherapy Fragrance-PAN Aroma-,Title,T3,Not matched,5053249216003.0,9145501633249.0,B08M6BJ8CR,,6.757916666666668,466.0632183908046,14.99,0.9,1.08,2.41,1.87375,,Available (see Keepa data),1.0,B,Strong profit margin (GBP6.76); Very high ROI (466%); Low FBA competition (0 sellers); High-demand category (kitchen/candles); Low source cost (GBP0.90) vs Amazon price (GBP14.99),Possible match but profit is attractive enough to warrant validation. Re-check recommended.,low,Yes,HIGH,0.32,Low similarity (0.32) but category match - re-check candidate,https://www.efghousewares.co.uk/pan-aroma-candle-rnd-ap-cinn-each-30-11,https://www.amazon.co.uk/dp/B08M6BJ8CR
BLOOME DIFFUSER COLOUR CHANGING REED,Reed Diffuser 3 X 30ml Colour Changing LED Air Freshener 4 Weeks Assorted Fragrances (Mix Scent Pack Of 3),Title,T3,Not matched,5055566999010.0,,B0CRM38VDB,,6.707916666666668,447.1944444444445,14.99,0.95,1.14,2.41,1.87375,,Available (see Keepa data),1.0,B,Strong profit margin (GBP6.71); Very high ROI (447%); Low FBA competition (0 sellers); Low source cost (GBP0.95) vs Amazon price (GBP14.99),Possible match but profit is attractive enough to warrant validation. Re-check recommended.,low,Yes,HIGH,0.44,Moderate similarity (0.44) only - needs manual verification,https://www.efghousewares.co.uk/bloome-diffuser-colour-changing-reed-119898,https://www.amazon.co.uk/dp/B0CRM38VDB
PAN AROMA OIL 2PK SCENT LAVENDER/VANILLA,Set Of 5 Pan Aroma Fragrance Oil For Oil Burners & Pot Pourri Assorted Scents,EAN,T1,Confirmed,5050375125605.0,5050375125605.0,B00CDK109U,,6.701666666666667,462.183908045977,14.99,0.9,1.08,3.14,1.2,,Available (see Keepa data),2.0,B,Strong profit margin (GBP6.70); Very high ROI (462%); Low FBA competition (0 sellers); High-demand category (kitchen); Low source cost (GBP0.90) vs Amazon price (GBP14.99),"EAN-verified product with positive profit. Zero sales may reflect data timing, new listing, or seasonal dormancy.",high,No,HIGH,0.37,Exact EAN match (title sim=0.37),https://www.efghousewares.co.uk/pan-aroma-oil-2pk-scent-lavender-vanilla-28-4,https://www.amazon.co.uk/dp/B00CDK109U
PASABAHCE PATISSERIE FOOTED ROUND SERVER,"Pasabahce 95117 ""top"", cake plate, cake plate, cupcake plate, with base, ""Patisserie"" series, diameter 32.2 cm",Title,T3,Not matched,680678178029.0,,B078WTV53Y,,6.681249999999998,77.59872241579555,24.99,8.06,9.672,2.41,3.12375,,,,B,Strong profit margin (GBP6.68); Good ROI (78%); Low FBA competition (0 sellers),Possible match but profit is attractive enough to warrant validation. Re-check recommended.,medium-low,Yes,HIGH,0.37,Moderate similarity (0.37) + brand match (PASABAHCE),https://www.efghousewares.co.uk/pasabahce-patisserie-footed-round-server-105536,https://www.amazon.co.uk/dp/B078WTV53Y
FLORAL ROOM SPRAY TRIGGER 250ML GARDENIA,6x Floral Fragranced Room Spray - 3 Scents to Choose From - 250ml (Gardenia),Title,T2,Not matched,5033849984090.0,,B0DGV5VXJC,,6.627916666666668,419.4883966244726,14.99,1.03,1.236,2.41,1.87375,,Available (see Keepa data),2.0,B,Strong profit margin (GBP6.63); Very high ROI (419%); Low FBA competition (0 sellers); Low source cost (GBP1.03) vs Amazon price (GBP14.99),Likely match with meaningful profit and supporting signals. Zero sales may reflect stale data or low visibility.,medium-high,Yes,HIGH,0.64,High title similarity (0.64) with category match,https://www.efghousewares.co.uk/floral-room-spray-trigger-250ml-gardenia-118818,https://www.amazon.co.uk/dp/B0DGV5VXJC
