supplier_product_title,amazon_target_title,match_type,tier,ean_status,ean,ean_on_page,asin,sales_value,net_profit,roi,selling_price,supplier_price_ex_vat,supplier_price_inc_vat,fba_fee,referral_fee,fba_seller_count,fbm_seller_count,total_offer_count,bucket,inclusion_reason,rationale,confidence,validation_required,priority,match_similarity,match_verification_result,supplier_url,amazon_url
AMTECH GLUE GUN STICKS 12PCE 1865,"BEEWAY Hot Gun Sticks Φ 7.0mm, 50 Pack 7mm x 100mm Hot Glue Gun Sticks for Glue Guns, SGS Approved",Title,T3,Not matched,5032759029174.0,8712962560004.0,B0B74KXCBY,2000.0,0.531666666666667,42.19576719576722,5.99,0.71,0.852,2.42,0.78,,,2.0,A,Proven demand: Sales > 0 and Profit > 0,Product has demonstrated sales and positive profit margin.,low,Yes,MEDIUM,0.35,Low similarity (0.35) but category match - re-check candidate,https://www.efghousewares.co.uk/amtech-glue-gun-sticks-12pce-1865,https://www.amazon.co.uk/dp/B0B74KXCBY
STRONG AS AN OX RAPID SET EPOXY RESIN,Araldite® Rapid 15ml x 2 Tubes Epoxy,Title,T3,Not matched,5055319529433.0,,B003MPEDFI,1000.0,2.966666666666667,197.77777777777777,8.66,0.95,1.14,1.62,1.13,Available (see Keepa data),Available (see Keepa data),24.0,A,Proven demand: Sales > 0 and Profit > 0,Product has demonstrated sales and positive profit margin.,low,Yes,HIGH,0.42,Moderate similarity (0.42) only - needs manual verification,https://www.efghousewares.co.uk/strong-as-an-ox-rapid-set-epoxy-resin-111515,https://www.amazon.co.uk/dp/B003MPEDFI
BRIGHT & HOMELY NAIL CLIPPER SET 3PCS,Nail Clippers Manicure Set DUAIU 12PCs Professional Nail Clipper Set Stainless Steel Pedicure Kit for Men Women Nail Care Tools Grooming Kit with Travel Case,Title,T3,Not matched,5050796010573.0,,B0BTP9SPKG,1000.0,2.4283333333333346,207.54985754985768,7.99,0.62,0.744,2.42,0.64,Available (see Keepa data),,2.0,A,Proven demand: Sales > 0 and Profit > 0,Product has demonstrated sales and positive profit margin.,low,Yes,HIGH,0.29,Low similarity (0.29) but category match - re-check candidate,https://www.efghousewares.co.uk/bright-homely-nail-clipper-set-3pcs-114464,https://www.amazon.co.uk/dp/B0BTP9SPKG
BRIGHT & HOMELY NAIL CLIPPER SET 3PCS,Manicure Set 10pcs Professional Nail Clippers Kit Pedicure Care Tools-Stainless Steel Grooming Tools for Travel (Green),Title,T3,Not matched,5050796010573.0,,B09V25MCT3,1000.0,2.365,202.13675213675216,6.99,0.62,0.744,1.73,0.56,Available (see Keepa data),,1.0,A,Proven demand: Sales > 0 and Profit > 0,Product has demonstrated sales and positive profit margin.,low,Yes,HIGH,0.33,Low similarity (0.33) but category match - re-check candidate,https://www.efghousewares.co.uk/bright-homely-nail-clipper-set-3pcs-114464,https://www.amazon.co.uk/dp/B09V25MCT3
THL FORK PLASTIC LUX REUSABLE CLEAR  40PCS,"150 Pcs Heavy Duty Clear Plastic Cutlery Set Premium Quality Washable & Reusable 50 Spoons, 50 Forks, 50 Knives Set Perfect for for All Occasion Birthday Parties Weddings Camping",Title,T3,Not matched,8691444216847.0,,B0D7MYPQDQ,1000.0,2.211666666666668,172.78645833333343,8.99,0.73,0.876,2.65,1.35,Available (see Keepa data),Available (see Keepa data),3.0,A,Proven demand: Sales > 0 and Profit > 0,Product has demonstrated sales and positive profit margin.,low,Yes,HIGH,0.28,Low similarity (0.28) but category match - re-check candidate,https://www.efghousewares.co.uk/thl-fork-plastic-lux-reusable-clear-40pcs-112138,https://www.amazon.co.uk/dp/B0D7MYPQDQ
BACOFOIL EASY CUT CLINGFILM REFILL 60MX350MM,Baco Easycut Cling Film - Refill (Pack of 4),Title,T2,Not matched,5023139370108.0,,B071DT9RS3,1000.0,1.8883333333333328,82.45997088791849,10.99,1.74,2.088,3.26,1.72,Available (see Keepa data),Available (see Keepa data),12.0,A,Proven demand: Sales > 0 and Profit > 0,Product has demonstrated sales and positive profit margin.,medium-high,Yes,MEDIUM,0.71,High title similarity (0.71) with category match,https://www.efghousewares.co.uk/baco-easy-cut-clingfilm-refill-60mx350mm,https://www.amazon.co.uk/dp/B071DT9RS3
BEAUTY COSMETIC BAG ASSORTED,Travel Makeup Bag [with Brushes Holder & Detachable Pouch] Cosmetic Bag Large Capacity Waterproof Makeup Case Storage Organiser for Women & Girls (Pink),Title,T3,Not matched,5014749185527.0,,B0B2W6LLNQ,1000.0,1.5950000000000004,95.50898203592816,7.29,1.12,1.344,1.72,1.09,Available (see Keepa data),,1.0,A,Proven demand: Sales > 0 and Profit > 0,Product has demonstrated sales and positive profit margin.,low,Yes,MEDIUM,0.28,Low similarity (0.28) but category match - re-check candidate,https://www.efghousewares.co.uk/beauty-cosmetic-bag-ass,https://www.amazon.co.uk/dp/B0B2W6LLNQ
151 DECORATORS TOOLS PAINTBRUSHES PURE BRISTLE SET OF 4,"Harris Seriously Good Paintbrush Set, 5 Brush Pack, 1 x 0.5, 1 x 1, 1 x 1.5, 2 x 2 Paint Brushes",Title,T3,Not matched,5053249221571.0,5056287400380.0,B0866PVRP4,1000.0,1.5533333333333337,93.01397205588825,8.02,1.12,1.344,2.42,1.04,Available (see Keepa data),Available (see Keepa data),15.0,A,Proven demand: Sales > 0 and Profit > 0,Product has demonstrated sales and positive profit margin.,low,Yes,MEDIUM,0.32,Low similarity (0.32) but category match - re-check candidate,https://www.efghousewares.co.uk/151-paintbrush-set-4pk-d000,https://www.amazon.co.uk/dp/B0866PVRP4
MARKSMAN WALL PLUGS 5MM,WETNFIX (20 Discs) - Fixing Wall Plugs Fast! No Need to Fill or redrill.,Title,T3,Not matched,5038673685595.0,5060021030023.0,B01B2ULW7G,1000.0,1.2983333333333344,93.40527577937657,5.95,0.84,1.008,1.5,0.77,Available (see Keepa data),,1.0,A,Proven demand: Sales > 0 and Profit > 0,Product has demonstrated sales and positive profit margin.,low,Yes,MEDIUM,0.31,Low similarity (0.31) but category match - re-check candidate,https://www.efghousewares.co.uk/marksman-wall-plugs-5mm,https://www.amazon.co.uk/dp/B01B2ULW7G
POCKET SCREWDRIVERS PK2,"11Pcs Mini Screwdriver Set, Precision Screwdrivers with Mini Pocket Size Carrying Case, Perfect for Glasses, Watches, Remotes and Computers",Title,T3,Not matched,5056338357823.0,,B08QZDBGLX,1000.0,0.615,52.56410256410257,4.95,0.62,0.744,1.7,0.64,Available (see Keepa data),,1.0,A,Proven demand: Sales > 0 and Profit > 0,Product has demonstrated sales and positive profit margin.,low,Yes,MEDIUM,0.25,Low similarity (0.25) but category match - re-check candidate,https://www.efghousewares.co.uk/pocket-screwdrivers-pk2-121516,https://www.amazon.co.uk/dp/B08QZDBGLX
Candle Jar Air Freshener 3pk,Yankee Candle Car Jar Scented Air Freshener | Clean Cotton | 3 Count,Title,T2,Not matched,5056175980970.0,5038580069686.0,B01MA1OAL1,1000.0,0.5650000000000002,40.647482014388494,5.49,0.84,1.008,1.8,0.82,,Available (see Keepa data),7.0,A,Proven demand: Sales > 0 and Profit > 0,Product has demonstrated sales and positive profit margin.,medium-high,Yes,MEDIUM,0.57,High title similarity (0.57) with category match,https://www.efghousewares.co.uk/candle-jar-air-freshener-3pk-106969,https://www.amazon.co.uk/dp/B01MA1OAL1
ROYAL MARKET CATERING FOIL 75MX300MM,50m Premium Heavy Duty 20 Micron Thick Kitchen Foil Catering Aluminium Tin Foil Roll - 30cm Wide,Title,T3,Not matched,5010326059304.0,616361113329.0,B0973DY3DP,1000.0,0.4516666666666669,6.79197994987469,14.99,6.1,7.319999999999999,3.14,2.25,Available (see Keepa data),,1.0,A,Proven demand: Sales > 0 and Profit > 0,Product has demonstrated sales and positive profit margin.,low,Yes,MEDIUM,0.32,Low similarity (0.32) but category match - re-check candidate,https://www.efghousewares.co.uk/royal-market-catering-foil-75mx300mm,https://www.amazon.co.uk/dp/B0973DY3DP
PHOODS FOIL TRAY SMALL ROASTER,"10-Pack Disposable Aluminum Foil Baking Trays - Food Storage Catering Aluminum Foil Tray - Containers for Meal Prep, Cooking, Baking, Roasting, BBQ, Freezer Storage - 32cm x 20cm x 3.3cm",Title,T3,Not matched,5060357993412.0,,B0CN1KT83C,900.0,3.262083333333334,234.6822541966428,9.97,0.84,1.008,2.41,1.24625,,,,A,Proven demand: Sales > 0 and Profit > 0,Product has demonstrated sales and positive profit margin.,low,Yes,HIGH,0.27,Low similarity (0.27) but category match - re-check candidate,https://www.efghousewares.co.uk/phoods-foil-tray-small-roaster,https://www.amazon.co.uk/dp/B0CN1KT83C
ELASTIC BANDS LONG HEAVY DUTY 30G,"50 Pcs Large Elastic Bands, Large Rubber Elastic Bands, Strong Thick Elastic Rubber Bands Set for Home School Office Bank Supplies",Title,T3,Not matched,5056338310644.0,,B096RTS13P,900.0,0.0916666666666662,7.834757834757798,5.39,0.62,0.744,2.42,0.81,Available (see Keepa data),,1.0,A,Proven demand: Sales > 0 and Profit > 0,Product has demonstrated sales and positive profit margin.,low,Yes,MEDIUM,0.31,Low similarity (0.31) but category match - re-check candidate,https://www.efghousewares.co.uk/elastic-bands-long-heavy-duty-30g-119272,https://www.amazon.co.uk/dp/B096RTS13P
ECO WISE PAPER CUPS RIPPLE DOTTED12OZ 6PCS,100 Paper Cups - Disposable Paper Cups for Hot and Cold Drinks | Eco Freindly Drinking Coffee Cups Disposable | 8oz - 236ml,Title,T3,Not matched,5060743591604.0,5060659230154.0,B07XLNJDY9,800.0,2.188333333333333,173.67724867724868,9.97,0.71,0.852,3.36,1.5,Available (see Keepa data),Available (see Keepa data),2.0,A,Proven demand: Sales > 0 and Profit > 0,Product has demonstrated sales and positive profit margin.,medium-low,Yes,HIGH,0.37,Moderate similarity (0.37) + category match,https://www.efghousewares.co.uk/eco-wise-paper-cups-ripple-dotted12oz-6pcs-112769,https://www.amazon.co.uk/dp/B07XLNJDY9
SOFT TOOTHBRUSH ASSORTED 4PC,"Ouligay 4Pcs Soft Bristle Toothbrush, Extra Ultra Soft Micro Nano Toothbrush for Adults, Manual Toothbrushes with 20000 Bristles for Sensitive Teeth",Title,T3,Not matched,871125223740.0,,B0CGRB9ZS6,800.0,0.1466666666666669,11.027568922305784,3.98,0.78,0.936,1.52,0.32,Available (see Keepa data),,1.0,A,Proven demand: Sales > 0 and Profit > 0,Product has demonstrated sales and positive profit margin.,low,Yes,MEDIUM,0.25,Low similarity (0.25) but category match - re-check candidate,https://www.efghousewares.co.uk/soft-toothbrush-assorted-4pc-116155,https://www.amazon.co.uk/dp/B0CGRB9ZS6
BRIGHT & HOMELY HEAVY DUTY BUNGEE CORD 52 INCH,"Xtremeauto Bungee Cords With Hooks 𝐉𝐮𝐦𝐛𝐨 𝐏𝐚𝐜𝐤 Of 12 Heavy Duty [𝐌𝐢𝐥𝐢𝐭𝐚𝐫𝐲 𝐆𝐫𝐚𝐝𝐞] Bungee Cord, UV Resistant Double Braided Elastic Bungee Straps For Securing Tarps Luggage Tents",Title,T3,Not matched,5050796011938.0,,B0BNSYTLK9,700.0,3.406250000000001,270.3373015873017,9.99,0.71,0.852,2.41,1.24875,,,,A,Proven demand: Sales > 0 and Profit > 0,Product has demonstrated sales and positive profit margin.,medium-low,Yes,HIGH,0.36,Moderate similarity (0.36) + category match,https://www.efghousewares.co.uk/bright-homely-heavy-duty-bungee-cord-52-inch-121543,https://www.amazon.co.uk/dp/B0BNSYTLK9
Jelly Baby Air Freshener,"4 x Assorted Jelly Belly 2D Cardboard Car Air Freshener Set - Cherry, Blueberry, Tangerine, Lemon",Title,T3,Not matched,5056175980963.0,5010555152029.0,B01N0Q3CTZ,700.0,1.4400000000000006,103.59712230215833,6.36,0.84,1.008,1.52,0.95,Available (see Keepa data),Available (see Keepa data),7.0,A,Proven demand: Sales > 0 and Profit > 0,Product has demonstrated sales and positive profit margin.,medium-low,Yes,MEDIUM,0.40,Moderate similarity (0.40) + category match,https://www.efghousewares.co.uk/jelly-baby-air-freshener-106968,https://www.amazon.co.uk/dp/B01N0Q3CTZ
PAN AROMA DINNER CANDLES PK4 8 INCH WHITE,"Price's Candles Tapered Dinner Candles White Unscented Wax Pack of 50 | 7 Hour Burn Time Elegant Long Candles for Home Decor, Events, Celebrations & Dining",Title,T3,Not matched,5053249251967.0,5010414327438.0,B0037M5Z5S,600.0,9.291666666666668,556.3872255489022,18.89,1.12,1.344,3.27,1.51,,Available (see Keepa data),26.0,A,Proven demand: Sales > 0 and Profit > 0,Product has demonstrated sales and positive profit margin.,low,Yes,HIGH,0.28,Low similarity (0.28) but category match - re-check candidate,https://www.efghousewares.co.uk/pan-aroma-dinner-candles-pk4-8-inch-white,https://www.amazon.co.uk/dp/B0037M5Z5S
PPS 26CM PLASTIC WHITE PLATE 6 PCS,"MATANA 25 Premium White Plastic Dinner Plates with Gold Rim, 26cm / 10 Inch - Elegant & Reusable Party Plates for Weddings, Birthdays, Picnic, BBQ, Parties",Title,T3,Not matched,5030481980763.0,713153940771.0,B07D988TDH,600.0,7.971666666666667,718.1681681681681,17.99,0.56,0.672,3.36,2.55,Available (see Keepa data),Available (see Keepa data),2.0,A,Proven demand: Sales > 0 and Profit > 0,Product has demonstrated sales and positive profit margin.,low,Yes,HIGH,0.26,Low similarity (0.26) but category match - re-check candidate,https://www.efghousewares.co.uk/pps-26cm-plastic-white-plate-6-pcs,https://www.amazon.co.uk/dp/B07D988TDH
SIL TOILET ROLL HOLDER STAINLESS STEEL,"Free-Standing Toilet Roll Holder, Stainless Steel, Silver, Holds 5 Rolls",Title,T2,Not matched,5024418537410.0,,B09377NPKH,600.0,3.973333333333336,285.85131894484425,12.1,0.84,1.008,2.77,1.95,Available (see Keepa data),,1.0,A,Proven demand: Sales > 0 and Profit > 0,Product has demonstrated sales and positive profit margin.,medium-high,Yes,HIGH,0.69,High title similarity (0.69) with category match,https://www.efghousewares.co.uk/sil-toilet-roll-holder-stainless-steel-112647,https://www.amazon.co.uk/dp/B09377NPKH
PAN AROMA VOTIVE CANDLES VANILLA BEAN SET OF 3,"Scented Candles Gifts for Women, Votive Candles Set of Fresh Linen, Vanilla, Jasmine, and Lemon, Soy Wax Candle Gift Set for Birthdays, Weddings, Christmas",Title,T3,Not matched,5053249250144.0,,B0CQR9MJQZ,600.0,1.8483333333333336,127.4712643678161,8.41,0.9,1.08,3.04,0.67,Available (see Keepa data),Available (see Keepa data),3.0,A,Proven demand: Sales > 0 and Profit > 0,Product has demonstrated sales and positive profit margin.,medium-low,Yes,MEDIUM,0.41,Moderate similarity (0.41) + category match,https://www.efghousewares.co.uk/pan-aroma-candle-votive-coco-vanilla-3pce,https://www.amazon.co.uk/dp/B0CQR9MJQZ
BEAUTY MESH BACK BRUSH,"Back Scrubber Brush, Body Shower Brush Back Scrubber with Long Handle, Exfoliating Shower Brush, Wet or Dry Bath Brush for Men Women",Title,T3,Not matched,5014749181819.0,793127276747.0,B0C661BXV8,600.0,1.708333333333334,106.10766045548658,7.99,1.06,1.272,2.7,0.64,Available (see Keepa data),,2.0,A,Proven demand: Sales > 0 and Profit > 0,Product has demonstrated sales and positive profit margin.,low,Yes,MEDIUM,0.25,Low similarity (0.25) but category match - re-check candidate,https://www.efghousewares.co.uk/beauty-mesh-back-brush,https://www.amazon.co.uk/dp/B0C661BXV8
MULTI COLOURED HAIR BANDS 8PK,"200Pcs Multicolor Elastic Hair Bands, Girls Hair Bands, Ponytail Holders with 15Pcs Mini Hair Clips",Title,T3,Not matched,5056239472175.0,,B0BQC29GNK,600.0,0.0950000000000003,6.834532374100741,3.99,0.84,1.008,1.52,0.32,Available (see Keepa data),,1.0,A,Proven demand: Sales > 0 and Profit > 0,Product has demonstrated sales and positive profit margin.,medium-low,Yes,MEDIUM,0.38,Moderate similarity (0.38) + category match,https://www.efghousewares.co.uk/multi-coloured-hair-bands-8pk,https://www.amazon.co.uk/dp/B0BQC29GNK
STATUS 4.5W SES CANDLE COOL WHITE LIGHT FILAMENT LED BULB SINGLE,"Lepro E14 LED Light Bulb, LED Candle Bulbs Small Screw, 4W 470lm, 40W Equivalent SES E14 Bulb Vintage, Warm White 2700K C35 Light Bulbs, 360° Beam Angle, Clear Filament, Non-dimmable, Pack of 6",Title,T3,Not matched,5022822207400.0,4894495033300.0,B086WZ2FS9,500.0,3.5699999999999994,206.35838150289013,11.88,1.18,1.416,3.06,1.54,Available (see Keepa data),,7.0,A,Proven demand: Sales > 0 and Profit > 0,Product has demonstrated sales and positive profit margin.,low,Yes,HIGH,0.33,Low similarity (0.33) but category match - re-check candidate,https://www.efghousewares.co.uk/status-4w-ses-candle-cool-white-light-filament-led-bulb-single-106537,https://www.amazon.co.uk/dp/B086WZ2FS9
STATUS 6.5W E/S A55 GLS DAY LIGHT FILAMENT LED LIGHT BULB SINGLE,paul russells E27 Edison Screw LED Filament – 7Watt 60W Equivalent 806LM Lumens 2700K ES Standard GLS A60 – Super Bright Energy Saving Light Non-Dimmable - Warm White Bulbs - Pack of 2,Title,T3,Not matched,5022822203259.0,7426821688969.0,B06XVS9QDV,500.0,2.168333333333335,117.8442028985508,9.49,1.29,1.548,2.67,1.23,Available (see Keepa data),Available (see Keepa data),2.0,A,Proven demand: Sales > 0 and Profit > 0,Product has demonstrated sales and positive profit margin.,low,Yes,HIGH,0.29,Low similarity (0.29) but category match - re-check candidate,https://www.efghousewares.co.uk/status-6-5w-e/s-a55-gls-day-light-filament-led-light-bulb-single-106541,https://www.amazon.co.uk/dp/B06XVS9QDV
JL TOILETRIES BAG ASS COLOUR,"4 Pcs Clear Travel Toiletries Bag for Women, Travel Toiletry Bags Clear Wash Bag for Toiletries, PVC Waterproof Makeup Bag for Women and Girls (Pink)",Title,T3,Not matched,6931045618469.0,715748403883.0,B0CDFWTDSC,500.0,1.4783333333333333,106.35491606714626,8.59,0.84,1.008,3.0,1.29,Available (see Keepa data),,2.0,A,Proven demand: Sales > 0 and Profit > 0,Product has demonstrated sales and positive profit margin.,low,Yes,MEDIUM,0.30,Low similarity (0.30) but category match - re-check candidate,https://www.efghousewares.co.uk/jl-toiletries-bag-ass-colour,https://www.amazon.co.uk/dp/B0CDFWTDSC
BRIGHT & HOMELY SELF ADHESIVE FOAM WEATHER STRIPS 2 PACK,"Draught Excluder Self Adhesive Foam Tape 6mm(W) x 3mm(T) Window Door Weather Stripping SoundProof Weather Strip Tape Seals for Gap Seal, 2 Rolls, Total 20M Long White",Title,T3,Not matched,5050796012508.0,,B0B9BQ4M2V,500.0,1.3399999999999996,114.5299145299145,5.94,0.62,0.744,1.67,0.77,Available (see Keepa data),,2.0,A,Proven demand: Sales > 0 and Profit > 0,Product has demonstrated sales and positive profit margin.,low,Yes,MEDIUM,0.42,Moderate similarity (0.42) only - needs manual verification,https://www.efghousewares.co.uk/bright-homely-foam-weather-strip-2-pieces-125341,https://www.amazon.co.uk/dp/B0B9BQ4M2V
ECOBAG BLACK HEAVY DUTY 30 BAGS 50 LTR,"EcoBag - 50 Pack Heavy Duty Bin Bags - 50L - 35 Microns - Recyclable Black Bin Bag with Leak Resistant Seal, Sustainable Refuse Sack, Eco-Friendly Rubbish Bag for Home, Office & Kitchen (600x800 mm)",Title,T3,Not matched,5019685003911.0,,B06XTQV419,500.0,1.097916666666667,54.62271973466007,7.79,1.46,1.752,2.41,0.97375,,,,A,Proven demand: Sales > 0 and Profit > 0,Product has demonstrated sales and positive profit margin.,low,Yes,MEDIUM,0.31,Low similarity (0.31) but brand+category match - re-check candidate,https://www.efghousewares.co.uk/ecobag-black-heavy-duty-30-bags-50-ltr,https://www.amazon.co.uk/dp/B06XTQV419
PAN AROMA COLOUR TEALIGHTS JUICY BERRIES PACK OF 12,"8 Hour Tea Lights 20 Pack (Mixed Berries), JNS_475599",Title,T3,Not matched,5053249265179.0,5060432034665.0,B0777NNNY1,500.0,0.3383333333333344,23.333333333333403,6.49,0.9,1.08,2.65,0.97,Available (see Keepa data),Available (see Keepa data),11.0,A,Proven demand: Sales > 0 and Profit > 0,Product has demonstrated sales and positive profit margin.,medium-low,Yes,MEDIUM,0.51,Moderate similarity (0.51) + category match,https://www.efghousewares.co.uk/pan-aroma-colour-tealights-pk12-juicy-berries-114643,https://www.amazon.co.uk/dp/B0777NNNY1
SHOWER COMB DETANGLING W/HOOK,"3 Pack Hair Comb Large Wide Tooth Comb Shower Combs Curl Wet Comb for Long, Wet or Curly Hair Detangling",Title,T3,Not matched,9333527583147.0,619156297075.0,B07Y59B1KK,500.0,0.2550000000000003,24.28571428571432,3.99,0.5,0.6,1.7,0.32,Available (see Keepa data),,1.0,A,Proven demand: Sales > 0 and Profit > 0,Product has demonstrated sales and positive profit margin.,low,Yes,MEDIUM,0.33,Low similarity (0.33) but category match - re-check candidate,https://www.efghousewares.co.uk/shower-comb-detangling-w/hook-105864,https://www.amazon.co.uk/dp/B07Y59B1KK
