Supplier_Title,Amazon_Title,Match_Type,Tier,EAN_Status,Sales,Net_Profit,ROI,Bucket,Inclusion_Reason,Rationale,Confidence,Validation_Required,Priority,Similarity
EXTRASTAR PROFESSIONAL CLIPPER RECHAREABLE USB-C BLACK,"Ufree Hair Clippers for Men, Professional Clippers and Trimmers Set, Cordless Clippers for Hair Cutting, Beard Trimmer, Barber Clippers, Rechargeable Electric Shaver, Gifts for Men, Black Gold",Title,T3,Not matched,200.0,18.551666666666666,381.721536351166,A,Proven Demand,Product has confirmed positive profit and active monthly sales.,LOW,Yes,HIGH,0.37
PAN WITH LID STONEWARE 8 ASSORTED,"Amazon Basics 8-Piece Non-Stick Cookware Set, Black",Title,T3,Not matched,400.0,17.975,673.2209737827716,A,Proven Demand,Product has confirmed positive profit and active monthly sales.,LOW,Yes,HIGH,0.4
VFM  TRADE CONT MATT PAINT WHT 10L,Johnstone'S Trade 10 Litre Covaplus Vinyl Matt Brilliant White,Title,T3,Not matched,100.0,17.82291666666666,184.1210399449035,A,Proven Demand,Product has confirmed positive profit and active monthly sales.,LOW,Yes,HIGH,0.48
AIRWICK REED DIFFUSER MULLED WINE 33ML PK5,"Air Wick Essential Oils Reed Diffuser Air Freshener Mulled Wine Scent, 5 Bottles X 30 ml",EAN,T1,Confirmed,200.0,16.553333333333338,140.9994321408291,A,Proven Demand,Product has confirmed positive profit and active monthly sales.,HIGH,No,HIGH,0.57
WORLD OF PETS CAT LITTER SCENTED 3LT,World's Best Cat Litter 28lb (12.7kg) Lavender Scented,Title,T2,Not matched,800.0,16.138333333333332,566.2573099415205,A,Proven Demand,Product has confirmed positive profit and active monthly sales.,MEDIUM,Yes,HIGH,0.6
HOT SHOTS COOL SHADES,Cool Shot Mixed Vodka Shots (25 x 20ml),Title,T3,Not matched,500.0,13.54708333333333,974.6103117505992,A,Proven Demand,Product has confirmed positive profit and active monthly sales.,LOW,Yes,HIGH,0.37
WHEELED STORAGE BOX & LID 150LTR,"Strata Heavy Duty Large Storage Box with Lid, 190L, Lockable, Indoor/Outdoor. Black Box with Red Handles, Wheels",Title,T3,Not matched,400.0,13.49125,92.72336769759451,A,Proven Demand,Product has confirmed positive profit and active monthly sales.,LOW,Yes,HIGH,0.36
APOLLO CHROME TOILET BRUSH & HOLDER,BGL 304 Stainless Steel Toilet Brush Long Bucket Stand Round Toilet Brush with Holder Chrome,Title,T3,Not matched,200.0,12.08958333333333,309.19650468883196,A,Proven Demand,Product has confirmed positive profit and active monthly sales.,LOW,Yes,HIGH,0.38
DUNLOP CAR AIR FRESHENER 2.8ML ASSORTED,DONYER POWER Convector Radiator Heater 2000W Room Heating with Adjustable Thermostat,Title,T3,Not matched,500.0,11.965,797.6666666666666,A,Proven Demand,Product has confirmed positive profit and active monthly sales.,LOW,Yes,HIGH,0.37
BRIGHT & HOMELY BYPASS LOPPER,Spear & Jackson 8090RS Razorsharp Telescopic Ratchet Bypass Lopper,Title,T3,Not matched,300.0,11.621666666666666,452.20492866407255,A,Proven Demand,Product has confirmed positive profit and active monthly sales.,LOW,Yes,HIGH,0.44
TOP 3 ROTARY FOOD CHOPPER STAINLESS STEEL,Ourokhome Rotary Cheese Grater Vegetable Slicer - Rotary Round Drum Grater Chopper with 3 Stainless Steel Drums Strong Suction Base (Black),Title,T3,Not matched,500.0,11.341666666666667,303.25311942959,A,Proven Demand,Product has confirmed positive profit and active monthly sales.,LOW,Yes,HIGH,0.4
BF ACTIVE MOUTHWASH ORIGINAL 500ML PK12,"UltraDEX Daily Oral Rinse Original, 6 x 500ml, Clear",Title,T3,Not matched,100.0,10.962000000000005,78.42323651452286,A,Proven Demand,Product has confirmed positive profit and active monthly sales.,LOW,Yes,HIGH,0.44
BRIGHT & HOMELY PILLAR CANDLE IVORY 100 HOUR BURN 20CM X 8CM,simpa Unscented Ivory Pillar Candles Smokeless Burn 100 Hour Burn Time 80mm x 200mm - Set of 4,Title,T3,Not matched,100.0,10.616249999999999,416.3235294117647,A,Proven Demand,Product has confirmed positive profit and active monthly sales.,LOW,Yes,HIGH,0.52
PRIMA MULTI SHOWERHEAD CHROME,Lara | Multi Spray Shower Head - Chrome,Title,T2,Not matched,100.0,10.365,526.1421319796955,A,Proven Demand,Product has confirmed positive profit and active monthly sales.,MEDIUM,Yes,HIGH,0.76
BROOKSTONE EXPANDING CAR SPONGE 2PC,Newcastle Pint Glass,Title,T3,Not matched,200.0,10.14166666666667,586.2235067437381,A,Proven Demand,Product has confirmed positive profit and active monthly sales.,LOW,Yes,HIGH,0.36
HOBBY FLORIA LACE PRACTICAL BASKET MEDIUM,"Hobby Gift Sewing Box, Wood/Fabric, Embroidered Bee, Medium",Title,T3,Not matched,400.0,9.984999999999998,449.7747747747747,A,Proven Demand,Product has confirmed positive profit and active monthly sales.,LOW,Yes,HIGH,0.48
WAX WORKS PILLAR CANDLE 30 HOURS,WoodWick Large Hourglass Scented Candle | Linen | with Crackling Wick | Burn Time: up to 130 Hours,Title,T3,Not matched,200.0,9.983333333333336,612.474437627812,A,Proven Demand,Product has confirmed positive profit and active monthly sales.,LOW,Yes,HIGH,0.35
DEKTON HIGH POWER TYPE C RECHARGEABLE FLASHLIGHT,"WUBEN E7 1800 Lumen Torch Light with Magnet - Super Bright 6 Modes EDC Flashlight, Typ-C Rechargeable LED Flash Light; IP68 Pocket Flashlight for Headlamp Use, Rescue, Camping",Title,T3,Not matched,200.0,9.771666666666667,178.31508515815088,A,Proven Demand,Product has confirmed positive profit and active monthly sales.,LOW,Yes,HIGH,0.36
SMART CHOICE CHICKEN & RICE BONE DOG TREAT 10 PK 125G,Good Boy - Crunchy Chicken and Rice Bones - Dog Treats - Made with 100% Natural Chicken Breast Meat - 100 g ℮ - Low Fat Dog Treats - Case of 8,Title,T3,Not matched,200.0,7.893333333333335,392.70315091210625,A,Proven Demand,Product has confirmed positive profit and active monthly sales.,LOW,Yes,HIGH,0.41
ALUMINIUM PRESSURE COOKER INDUCTION 9L,"Amazon Basics Stainless Steel Pressure Cooker with Steamer and Extra Silicone Ring, 9 litres",Title,T3,Not matched,100.0,7.654999999999991,22.41581259150803,A,Proven Demand,Product has confirmed positive profit and active monthly sales.,LOW,Yes,HIGH,0.4
BLUE CANYON TOILET BRUSH PLASTIC LACE BLACK,BGL Stainless Steel Standing Toilet Brush for Bath Decor (Black),Title,T2,Not matched,100.0,7.399583333333332,170.10536398467434,A,Proven Demand,Product has confirmed positive profit and active monthly sales.,MEDIUM,Yes,HIGH,0.56
SAMS SCRUMMY KNUCKLE BONE DOG TREAT,"T.Forrest British Roasted Beef Knuckle Bones for Dogs (12 Pack) - 100% Natural, Long Lasting, Grain Free Dog Treats",Title,T3,Not matched,400.0,7.268333333333335,522.9016786570744,A,Proven Demand,Product has confirmed positive profit and active monthly sales.,LOW,Yes,HIGH,0.36
WOODEN INSECT HOUSE METAL ROOF,Garden Life Insect Hotel Wooden Bug House Natural Nest Shelter Box,Title,T3,Not matched,100.0,7.19125,186.7857142857143,A,Proven Demand,Product has confirmed positive profit and active monthly sales.,LOW,Yes,HIGH,0.48
PRIMA CHOPPER STAINLESS STEEL,Fullstar Onion Chopper for Vegetables - Stainless Steel Manual Hand Food Chopper With Nut and Vegetable Press - Silver,Title,T3,Not matched,400.0,7.1783333333333355,552.1794871794873,A,Proven Demand,Product has confirmed positive profit and active monthly sales.,LOW,Yes,HIGH,0.35
SCHOTT ZWIESEL WHITE WINE GLASS 407ML SET OF 2,"Schott Zwiesel Pure Glassware - White Wine Glasses - Set of 2, 408ml Capacity, Tritan Glass, Dishwasher Safe.",Title,T3,Not matched,200.0,7.178333333333331,214.92015968063868,A,Proven Demand,Product has confirmed positive profit and active monthly sales.,LOW,Yes,HIGH,0.53
PRIMA STEAK KNIFE & FORK W/WOOD HANDLE,"Tramontina Cutlery Set with Steak Knives, 8 Piece Sharp Knife and Fork Set with Wooden Handles, ‎Camping, Kitchen, Rustic, Dishwasher Safe, 29899296",Title,T3,Not matched,100.0,7.14,383.87096774193543,A,Proven Demand,Product has confirmed positive profit and active monthly sales.,LOW,Yes,HIGH,0.37
SMART CHOICE 30 BEEF/CHICKEN STICKS,Webbox Dog Delight Variety Pack of 12 (6 x Beef 6 x Chicken) 72 sticks,Title,T3,Not matched,800.0,6.848333333333336,340.71310116086255,A,Proven Demand,Product has confirmed positive profit and active monthly sales.,LOW,Yes,HIGH,0.5
Mokate Gold Premium Coffee Caramel Latte 10pk,"Mokate Gold Premium Caramel Latte Coffee Sachets x10 (Pack of 12, Total 120 Sachets)",Title,T2,Not matched,200.0,6.536083333333334,322.61023362948345,A,Proven Demand,Product has confirmed positive profit and active monthly sales.,MEDIUM,Yes,HIGH,0.59
MENS WATERPROOF FLEECE TRAPPER HAT WITH MASK BLACK,HEAT HOLDERS - Mens Waterproof Fleece Lined Winter Thermal Trooper Trapper Hat with Ear Flaps,Title,T2,Not matched,100.0,6.446666666666665,114.91384432560903,A,Proven Demand,Product has confirmed positive profit and active monthly sales.,MEDIUM,Yes,HIGH,0.62
WHEEL BARROW AND ACCESSORIES SAND SET,"Delex Pull along Kids Wagon Wheelbarrow and Gardening, Beach and Tools Play Set With Water Pail and Spray Includes 10 Accessories and 4 Plant Pots",Title,T3,Not matched,100.0,6.284583333333334,75.9925433293027,A,Proven Demand,Product has confirmed positive profit and active monthly sales.,LOW,Yes,HIGH,0.36
JAUNTY SPARKLING CANDLES 18PC,Henbrandt 24 x SILVER Ice Sparkling Fountain Candles (Packs of 2) - 48 Total.,Title,T3,Not matched,100.0,6.267000000000001,402.2464698331195,A,Proven Demand,Product has confirmed positive profit and active monthly sales.,LOW,Yes,HIGH,0.43
APOLLO STAINLESS STEEL SHARPENING STEEL,"Professional Carbon Steel Black Knife Sharpening Steel, Black 12 Inch",Title,T3,Not matched,300.0,6.227916666666668,314.54124579124584,A,Proven Demand,Product has confirmed positive profit and active monthly sales.,LOW,Yes,HIGH,0.52
COOLING FREEZE BOARD 400G,"Thermos 3er Pack Freeze Boards, 1 x 800 g/2 x 400 g",Title,T3,Not matched,100.0,6.198666666666665,287.24127278344133,A,Proven Demand,Product has confirmed positive profit and active monthly sales.,LOW,Yes,HIGH,0.5
MICROWAVE POPCORN BUTTER,"Pop Secret Microwave Popcorn Movie Theater Butter, Snack Size 12 Bags 21 oz",Title,T3,Not matched,100.0,5.8025,343.34319526627223,A,Proven Demand,Product has confirmed positive profit and active monthly sales.,LOW,Yes,HIGH,0.48
PADDED ENVELOPES SIZE E PK3,100 Mail Lite E/2 Padded Envelope 220 x 260mm,Title,T3,Not matched,100.0,5.756916666666667,284.1518591641988,A,Proven Demand,Product has confirmed positive profit and active monthly sales.,LOW,Yes,HIGH,0.5
SOUDAL EXPANDING FOAM HAND HELD 150ML,Soudal 750ml Champagne Gap Filler Expanding Foam Handheld Spray with Nozzle & Gloves (3),Title,T3,Not matched,400.0,5.474583333333334,174.90681576144837,A,Proven Demand,Product has confirmed positive profit and active monthly sales.,LOW,Yes,HIGH,0.51
PURE BREED RAWHIDE LARGE KNOT BONE,"HOWLERS 8"" Rawhide Dog Chew Treat Knotted Bones - Pack of 10",Title,T3,Not matched,400.0,5.3916666666666675,387.88968824940054,A,Proven Demand,Product has confirmed positive profit and active monthly sales.,LOW,Yes,HIGH,0.47
VFM EMULSION MATT  PAINT WHITE 5L,Dulux Walls & Ceilings Matt Emulsion Paint - Pure Brilliant White - 5L,Title,T3,Not matched,200.0,5.203333333333337,97.25856697819322,A,Proven Demand,Product has confirmed positive profit and active monthly sales.,LOW,Yes,HIGH,0.49
DRAPER HSS DRILL BIT 1.5 MM,"Draper 18551 Combined HSS and Masonry Drill Bit Set, Blue, 17 Pcs",Title,T3,Not matched,100.0,5.155000000000001,440.5982905982907,A,Proven Demand,Product has confirmed positive profit and active monthly sales.,LOW,Yes,HIGH,0.5
MASON CASH MIXING BOWL CREAM 29CM,"Mason Cash Colour Mix Cream Mixing Bowl | 4 Litre Capacity | 29cm Earthenware Bowl with Classic Pattern Design | Lightweight & Dishwasher Safe | Ideal for Baking, Pastry, Dough, Cakes & Cookies",EAN,T1,Confirmed,200.0,5.114999999999998,73.8095238095238,A,Proven Demand,Product has confirmed positive profit and active monthly sales.,HIGH,No,HIGH,0.27
APOLLO ROLLING PIN EACH,"Tuuli Kitchen Professional Wooden Rolling Pin with Revolving Centre 44 x 5,5 cm",Title,T3,Not matched,600.0,5.106666666666667,265.97222222222223,A,Proven Demand,Product has confirmed positive profit and active monthly sales.,LOW,Yes,HIGH,0.35
OUD AMETHYST PERFUME 100ML EACH,Badee al Oud Amethyst Lattafa Unisex Eau de Parfum,Title,T3,Not matched,200.0,5.042333333333331,93.6192598093823,A,Proven Demand,Product has confirmed positive profit and active monthly sales.,LOW,Yes,HIGH,0.44
SABICHI STAINLESS STEEL 16CM SAUCEPAN,"Judge Vista Stainless Steel Medium Saucepan, 16cm, 1L Shatterproof Vented Glass Lid, Induction Ready, Oven Safe",Title,T3,Not matched,100.0,5.036666666666665,80.45793397231094,A,Proven Demand,Product has confirmed positive profit and active monthly sales.,LOW,Yes,HIGH,0.39
APOLLO ROLLING PIN EACH,"Tuuli Kitchen Professional Wooden Rolling Pin with Revolving Centre 44 x 5,5 cm",Title,T3,Not matched,600.0,4.9941666666666675,158.54497354497354,A,Proven Demand,Product has confirmed positive profit and active monthly sales.,LOW,Yes,HIGH,0.35
DISH BRUSHES PK4,"MR.SIGA Round Dish Brush, Size: Dia 5.5 x 25cm - Pack of 3",Title,T3,Not matched,200.0,4.872333333333334,240.49029285949328,A,Proven Demand,Product has confirmed positive profit and active monthly sales.,LOW,Yes,HIGH,0.38
STAINLESS STEEL KETTLE 14CM 1L,"Swan SK31020N Brushed Stainless Steel Jug Kettle, Cordless Design, 2000W, 1 Litre, Silver",Title,T3,Not matched,500.0,4.859999999999999,95.48133595284871,A,Proven Demand,Product has confirmed positive profit and active monthly sales.,LOW,Yes,HIGH,0.44
EXTRA SELECT PREMIUM RABBIT FOOD BUCKET 5L,"Extra Select Premium Rabbit Mix Bucket 5L - Balanced Complementary Feed with Pellets, Forage, Vitamins & Minerals (Packaging may vary)",Title,T3,Not matched,300.0,4.857916666666668,145.01243781094533,A,Proven Demand,Product has confirmed positive profit and active monthly sales.,LOW,Yes,HIGH,0.43
BRIGHT & HOMELY FOIL PIE DISHES 215MM X 45MM X 45MM 5 PIECES,110 mm x 33 mm Round Foil Container - Pie dishes x 100,Title,T3,Not matched,100.0,4.838333333333334,413.5327635327636,A,Proven Demand,Product has confirmed positive profit and active monthly sales.,LOW,Yes,HIGH,0.37
CORRUGATED PAPER 10,600mm x 10m Corrugated Cardboard Paper Roll - 10 Metres,Title,T3,Not matched,100.0,4.762666666666668,251.46075325589584,A,Proven Demand,Product has confirmed positive profit and active monthly sales.,LOW,Yes,HIGH,0.51
PUKKA PAD WILD  A6 JOTTA NOTEBOOK,"Pukka Pad, Wild A4+ Jotta Notebooks – Pack of 2 Wirebound Notebooks in Assorted Zebra and Leopard Prints – 160 Pages of 80GSM Lined Paper",Title,T3,Not matched,100.0,4.434750000000002,342.71638330757355,A,Proven Demand,Product has confirmed positive profit and active monthly sales.,LOW,Yes,HIGH,0.36
AMTECH ANVIL SECATEURS,Spear & Jackson 6758GS Razorsharp Geared Anvil Secateurs,Title,T3,Not matched,300.0,4.429583333333333,118.12222222222222,A,Proven Demand,Product has confirmed positive profit and active monthly sales.,LOW,Yes,HIGH,0.46
THE PET STORE LONG HANDLED POOP PICKER,"32"" XL Dog Pooper Scoopers No Bending Foldable Long Handle Pet Poop Picker Upper for Gravel Dirt Grass",Title,T3,Not matched,200.0,4.422083333333332,134.40982776089157,A,Proven Demand,Product has confirmed positive profit and active monthly sales.,LOW,Yes,HIGH,0.46
ADORN LARGE WIRE FRUIT BOWL 25X10.5CM,"Black Fruit Bowl, 25x14cm Large Wire Fruit Bowl, Metal Black Fruit Basket, Durable",Title,T3,Not matched,200.0,4.258333333333335,171.7069892473119,A,Proven Demand,Product has confirmed positive profit and active monthly sales.,LOW,Yes,HIGH,0.44
SOUDAL EXPANDING FOAM HANDHELD 750ML,Soudal 750ml Champagne Gap Filler Expanding Foam Handheld Spray with Nozzle & Gloves (3),Title,T3,Not matched,400.0,4.2545833333333345,97.80651340996171,A,Proven Demand,Product has confirmed positive profit and active monthly sales.,LOW,Yes,HIGH,0.52
APOLLO MEGA ROLLING PIN EACH,"Tuuli Kitchen Professional Wooden Rolling Pin with Revolving Centre 44 x 5,5 cm",Title,T3,Not matched,600.0,4.156666666666667,144.8315911730546,A,Proven Demand,Product has confirmed positive profit and active monthly sales.,LOW,Yes,HIGH,0.36
PRIMA STAINLESS STEEL EGG SLICER,Multi Function Stainless Steel Egg Slicer for Hard Boiled Eggs Dishwasher Safe Heavy Duty Egg Cutter Kitchen Helper,Title,T3,Not matched,100.0,4.008333333333334,231.69556840077075,A,Proven Demand,Product has confirmed positive profit and active monthly sales.,LOW,Yes,HIGH,0.38
SIL TOILET ROLL HOLDER STAINLESS STEEL,"Free-Standing Toilet Roll Holder, Stainless Steel, Silver, Holds 5 Rolls",Title,T2,Not matched,600.0,3.9733333333333354,285.85131894484425,A,Proven Demand,Product has confirmed positive profit and active monthly sales.,MEDIUM,Yes,HIGH,0.67
MUNCH N CRUNCH CHICKEN & LIVER TRAINING TREATS 60g,"Pet Munchies Liver and Chicken Dog Training Treats, Grain Free Tasty Bites with Natural Real Meat, Low in Fat and High in Protein 50g (Pack of 8)",Title,T3,Not matched,200.0,3.9683333333333346,246.48033126294004,A,Proven Demand,Product has confirmed positive profit and active monthly sales.,LOW,Yes,HIGH,0.36
SPECIAL OCCASIONS RAINBOW COLOUR HAIR SPRAY 200ML,6 * 200ml Cans Rainbow Colour Hair Spray - Perfect for fun and Special Occasions -Vibrant Cans of Rainbow Colour Hair Spray,Title,T3,Not matched,100.0,3.945000000000002,233.43195266272204,A,Proven Demand,Product has confirmed positive profit and active monthly sales.,LOW,Yes,HIGH,0.4
BABY PIPKIN CLASSIC ROUND BABY BOTTLE 5oz,"Dr Brown's Natural Flow® Anti-Colic Options+™ Wide-Neck Baby Bottle, 5oz/150ml, with Level 1 Teats, 2-Pack, Elephant",Title,T3,Not matched,100.0,3.923333333333334,311.37566137566137,A,Proven Demand,Product has confirmed positive profit and active monthly sales.,LOW,Yes,HIGH,0.36
SMART CHOICE RETRACTABLE DOG LEAD 3M 15KG,"TUG 360° Tangle-Free Retractable Dog Lead for Up to 15 kg Dogs | 5m Strong Nylon Tape/Ribbon (Small, Black)",Title,T3,Not matched,400.0,3.8916666666666675,116.16915422885576,A,Proven Demand,Product has confirmed positive profit and active monthly sales.,LOW,Yes,HIGH,0.41
JCB LED BULB WARM WHITE CANDLE BC 6W/40W,"10 X JCB 6w = 40w LED Opal Candles - 3000k - Warm White (6w = 40w, Small Bayonet Cap (SBC) [Energy Class A+]",Title,T3,Not matched,200.0,3.8883333333333328,303.77604166666663,A,Proven Demand,Product has confirmed positive profit and active monthly sales.,LOW,Yes,HIGH,0.35
JCB LED BULB WARM WHITE CANDLE SBC 6W/40W,"10 X JCB 6w = 40w LED Opal Candles - 3000k - Warm White (6w = 40w, Small Bayonet Cap (SBC) [Energy Class A+]",Title,T3,Not matched,200.0,3.8883333333333328,303.77604166666663,A,Proven Demand,Product has confirmed positive profit and active monthly sales.,LOW,Yes,HIGH,0.38
PRIMA STAINLESS STEEL PEELER SWIVEL,OXO Steel Swivel Peeler,Title,T3,Not matched,100.0,3.858666666666668,247.66795036371425,A,Proven Demand,Product has confirmed positive profit and active monthly sales.,LOW,Yes,HIGH,0.45
ASHLEY BIODEGRADABLE STRAWS BLACK 40PCE,"500 x Black Paper Drinking Straws Biodegradable Eco 8"" (20cm) Approx (2x250) by Healthy Home",Title,T3,Not matched,300.0,3.8503333333333343,247.13307659392387,A,Proven Demand,Product has confirmed positive profit and active monthly sales.,LOW,Yes,HIGH,0.35
PURE BREED KNOTTED BONES 2PC,Small 4 inch Knotted Bones x 20 Natural Rawhide Dog Treats LODC,Title,T3,Not matched,200.0,3.781666666666667,272.06235011990407,A,Proven Demand,Product has confirmed positive profit and active monthly sales.,LOW,Yes,HIGH,0.4
CRAFT PAINT 200ML NEON,6 Cans Of Fluorescent Neon Spray Can Paint 200ML Graffiti (Banksey) N0 CFCs,Title,T3,Not matched,200.0,3.7740833333333343,242.23898160034238,A,Proven Demand,Product has confirmed positive profit and active monthly sales.,LOW,Yes,HIGH,0.39
REMOTE CONTROL TRUCK WITH LIGHTS ASSORTED,"Remote Control Cars 3 4 5 6 7 8 Year old Boys, 360°Flips LED Flash Light Monster Truck Indoor Outdoor Toys for Kids Birthday Gifts",Title,T3,Not matched,500.0,3.7516666666666643,70.65285624607654,A,Proven Demand,Product has confirmed positive profit and active monthly sales.,LOW,Yes,HIGH,0.36
ELECTRONIC LIGHTERS PK4-CARS,KARAN KING 50PK ELECTRONIC LIGHTER 5 COLOR CHILD SAFE UK SELLER,Title,T3,Not matched,600.0,3.738666666666668,239.96576807873348,A,Proven Demand,Product has confirmed positive profit and active monthly sales.,LOW,Yes,HIGH,0.48
ELECTRONIC LIGHTER 3PC 6 ASS DESIGN,KARAN KING 50PK ELECTRONIC LIGHTER 5 COLOR CHILD SAFE UK SELLER,Title,T3,Not matched,600.0,3.738666666666668,239.96576807873348,A,Proven Demand,Product has confirmed positive profit and active monthly sales.,LOW,Yes,HIGH,0.51
CLEANUX THICK BLEACH 5LTR EACH,"Domestos Extended Germ Kill Bleach, 5 L - 2 Pack",Title,T3,Not matched,900.0,3.690000000000003,106.64739884393073,A,Proven Demand,Product has confirmed positive profit and active monthly sales.,LOW,Yes,HIGH,0.36
KINGAVON HEAD BAND WITH MOTION SENSOR & TORCH,"Lumi Light Led Headband Ultra Bright 230° Adjustable Headlight with Motion Sensor, 7 Lighting Modes & IPX4 Head Torch for Camping, Running, Fishing Lumilight Head Torch",Title,T3,Not matched,600.0,3.641666666666663,63.004613610149875,A,Proven Demand,Product has confirmed positive profit and active monthly sales.,LOW,Yes,HIGH,0.36
BRIGHT & HOMELY MULTI-PURPOSE WORK GLOVES LARGE,"Gardening Gloves for Men and Women - Tough, Thorn Proof Comfortable Breathable Leather Multi-Purpose Work Gloves – Protective Large Garden Gloves with Strong Grip (X-Large)",Title,T3,Not matched,300.0,3.5562500000000012,320.382882882883,A,Proven Demand,Product has confirmed positive profit and active monthly sales.,LOW,Yes,HIGH,0.37
SOZALI KLIP SEAL JUICE JUG 1.5LTR,"Sistema KLIP IT Plus Leakproof Juice Jug | 2 L | Airtight Plastic Jug for Milk, Water & More | BPA-Free",Title,T3,Not matched,100.0,3.52125,145.50619834710744,A,Proven Demand,Product has confirmed positive profit and active monthly sales.,LOW,Yes,HIGH,0.37
LARGE RECTANGLE CLAW HAIR CLIP 2PC,"2pcs Square Medium hair claw clips for thick fine hair,Tortoise shell rectangle claw hair clips medium for women ladies",Title,T3,Not matched,100.0,3.485000000000002,250.71942446043178,A,Proven Demand,Product has confirmed positive profit and active monthly sales.,LOW,Yes,HIGH,0.39
BRIGHT & HOMELY PEDAL BIN STAINLESS STEEL 12LTR,"Tramontina 12L Pedal Bin – Stainless Steel Rubbish Bin with Lid, Removable Inner Bucket, 25.5 cm Diameter x 40 cm Height, 94538112",Title,T3,Not matched,100.0,3.4449999999999994,42.269938650306734,A,Proven Demand,Product has confirmed positive profit and active monthly sales.,LOW,Yes,HIGH,0.37
MASON ALUMINIUM CARABINERS 8CM ASSORTED PACK OF 2,"BEEWAY Locking Carabiner, Premium Aluminum Alloy D-Ring Carabiners Key Chain Clip Hook for Camping, Hiking, Traveling, Fishing, Backpack",Title,T3,Not matched,600.0,3.407000000000001,218.6777920410784,A,Proven Demand,Product has confirmed positive profit and active monthly sales.,LOW,Yes,HIGH,0.36
SECURPLUMB PS STOP ENDS 15MM,John Guest Speedfit 15mm Stop Ends - (Pack of 2X PSE4615W),Title,T3,Not matched,100.0,3.3366666666666687,292.6900584795323,A,Proven Demand,Product has confirmed positive profit and active monthly sales.,LOW,Yes,HIGH,0.37
BLACKSPUR CAR HEADLIGHT BULB 12V 60W/55W H4,"Bosch H4 (472) Pure Light Halogen Headlight Bulbs, 12 V 55 W, Original Quality - Socket Type P43t - Pack of 2 Replacement Car Light Bulbs",Title,T3,Not matched,800.0,3.3058333333333323,172.17881944444437,A,Proven Demand,Product has confirmed positive profit and active monthly sales.,LOW,Yes,HIGH,0.36
