asin,supplier_ean,supplier_title,amazon_title,verdict,confidence,pack_verdict,adjusted_profit,source,section,label
B0815B7FBY,5056287402902,HARRIS PUTTY KNIFE,Harris Seriously Good Putty Knife,HIGHLY LIKELY,85,1:1 Match,£0.13,PHASEA_MANUAL_REPORT_0110052809.md,HIGHLY LIKELY — RECOMMENDED (count=29),Existing Entries
B0BYKDX25N,5010303194387,FAIRY MAX POWER SOAP DISPENSING DISH BRUSH,Fairy Soap Dispensing Dish Brush,HIGHLY LIKELY,85,1:1 Match,£0.06,PHASEA_MANUAL_REPORT_0110052809.md,HIGHLY LIKELY — RECOMMENDED (count=29),Existing Entries
B000QFCQ6U,5029594525374,ROLSON CHALK LINE AND LAYOUT SET 3PCE,Rolson 52537 3 pc Chalk Line Set,HIGHLY LIKELY,85,1:1 (1x3 vs 1x3),£0.02,PHASEA_MANUAL_REPORT_0110052809.md,HIGHLY LIKELY — RECOMMENDED (count=29),Existing Entries
B073TZKMK9,5013655218435,DOFF CONCENTRATED MULTI PURPOSE FEED 1L,2 X Doff 1L Liquid Seaweed Concentrated Multi-Purpose Feed,HIGHLY LIKELY,85,Pack mismatch 1→2.00 (need 2 units),£-1.31,PHASEA_MANUAL_REPORT_0110052809.md,HIGHLY LIKELY — RECOMMENDED (count=29),Existing Entries
B004GY24EQ,5032759049905,AMTECH BOX SPANNER /TOMMY BAR,Amtech K1150 6 Piece Tubular Box Spanner Set with Tommy bar,HIGHLY LIKELY,85,Pack mismatch 1→6.00 (need 6 units),£-13.47,PHASEA_MANUAL_REPORT_0110052809.md;PHASEA_REVIEW_VALIDATED_REPORT_0110012511.md,HIGHLY LIKELY — RECOMMENDED (count=29);HIGHLY LIKELY — RECOMMENDED (count=37),;Existing Entries
B0095RXTHA,5026180050005,APOLLO WOODEN DISH STAND,"APOLLO 1684 Wooden dish drainer, Wood, 40x34x4",HIGHLY LIKELY,85,Pack mismatch 1→1360.00 (need 1360 units),£-5119.83,PHASEA_MANUAL_REPORT_0110052809.md,HIGHLY LIKELY — RECOMMENDED (count=29),Existing Entries
B07HJWW9W1,5056683921281,CREAOTR ZONE METALLIC MARKERS 4PC,"Funnasting Metallic Marker Pens, Set of 10 Assorted Colours Painting Pens Art Pens, Scrapbook Accessories, Card Making, DIY Photo Album, Plastic, Glass, Metal, Stone, Clothes and Pottery",HIGHLY LIKELY — AUDITED OUT,85,Pack mismatch 1→2.50 (need 3 units),£-0.66,PHASEA_MANUAL_REPORT_0110052809.md,HIGHLY LIKELY — AUDITED OUT / EXCLUDED (count=115),Existing Entries
B0DL5RW6LV,50304811980144,PPS PAPER BOWL WHITE 180MM 15PCS,50 Pack Strong Paper Bowls â€“ 240ml Small Disposable Compostable Bagasse Bowl for Party â€“ (4.5 x 1.77 inches) Biodegradable Microwavable Soup Bowls - Dessert Milk Salad Cereals Christmas,HIGHLY LIKELY — AUDITED OUT,85,Pack mismatch 1→3.33 (need 4 units),£-1.51,PHASEA_MANUAL_REPORT_0110052809.md,HIGHLY LIKELY — AUDITED OUT / EXCLUDED (count=115),Existing Entries
B0798S43LM,5026705064579,TEA TOWELS TERRY 3 PACK ASSORTED,"Kitchen Terry Tea Towel 100% Pure Cotton Absorbent Long Lasting Soft Touch Dish Towels, Tea Towels, Bar Towels (Pack of 4)",HIGHLY LIKELY — AUDITED OUT,85,Pack mismatch 1→1.33 (need 2 units),£0.59,PHASEA_MANUAL_REPORT_0110052809.md,HIGHLY LIKELY — AUDITED OUT / EXCLUDED (count=115),Existing Entries
B0CTKRQJ4H,8850169047024,IMPERIAL LEATHER SOAP ORIGINAL 190G PK6,"Imperial Leather Bar Soap Original Classic Cleansing Bar, Gentle Skin Care, Bulk Buy, Pack of 8 x 4 bars of 90 g (total 32 bars)",HIGHLY LIKELY — AUDITED OUT,85,Pack mismatch 1→1.33 (need 2 units),£-0.54,PHASEA_MANUAL_REPORT_0110052809.md,HIGHLY LIKELY — AUDITED OUT / EXCLUDED (count=115),Existing Entries
B004MM6OSY,5012904001842,CHEF AID PASTRY CUTTERS W184,"Chef Aid Pastry Cutters, Set Of 3, Cookie Biscuit Cutter, Scone, Mince Pie, Tarts, Mini Quiches, Dough, At Home Baking, Cake Decorating, Fondant Icing, Round Circle Crinkled Stainless Steel Cutters",HIGHLY LIKELY — AUDITED OUT,85,Pack mismatch 1→3.00 (need 3 units),£-1.90,PHASEA_MANUAL_REPORT_0110052809.md,HIGHLY LIKELY — AUDITED OUT / EXCLUDED (count=115),Existing Entries
B07DXP3JVB,5052516214797,SMART CHOICE 30 BEEF/CHICKEN STICKS,Webbox Dog Delight Variety Pack of 12 (6 x Beef 6 x Chicken) 72 sticks,HIGHLY LIKELY — AUDITED OUT,85,Pack mismatch 1→12.00 (need 12 units),£-12.42,PHASEA_MANUAL_REPORT_0110052809.md,HIGHLY LIKELY — AUDITED OUT / EXCLUDED (count=115),Existing Entries
B07B656W3B,5025364002052,TIDYZ BIN LINER BLACK 10 BAGS 50LTR,Tidyz 2 X 10 Wheelie Bin Extra Large Liners 300L Black Dustbin Rubbish Tip Refuse Sacks Waste Garbage Thick Big Bags Super Strong Heavy Duty Fits Bins 230 x 143cm,HIGHLY LIKELY — AUDITED OUT,85,Pack mismatch 1→2.00 (need 2 units),£0.48,PHASEA_MANUAL_REPORT_0110052809.md,HIGHLY LIKELY — AUDITED OUT / EXCLUDED (count=115),Existing Entries
B07QQBHTT4,5010353327803,MINKY EVERYDAY SPONGES BRIGHT & GOLD 2PC,Minky Anti-Bacterial Cleaing Pad / 3 Pack / Reusable Microfibre Cloth / Minky Pad / Kitchen Cleaner / Dual Sided Sponge / Non Scratch Sponge / Cleaning Products / Cleaning Supplies / Sponges,HIGHLY LIKELY — AUDITED OUT,85,Pack mismatch 1→1.50 (need 2 units),£-0.32,PHASEA_MANUAL_REPORT_0110052809.md,HIGHLY LIKELY — AUDITED OUT / EXCLUDED (count=115),Existing Entries
B07QQBHTT4,5010353320347,MINKY ANTIBACTERIAL 4 SPONGE SCOURERS HD,Minky Anti-Bacterial Cleaing Pad / 3 Pack / Reusable Microfibre Cloth / Minky Pad / Kitchen Cleaner / Dual Sided Sponge / Non Scratch Sponge / Cleaning Products / Cleaning Supplies / Sponges,HIGHLY LIKELY — AUDITED OUT,85,Pack mismatch 1→3.00 (need 3 units),£-0.71,PHASEA_MANUAL_REPORT_0110052809.md,HIGHLY LIKELY — AUDITED OUT / EXCLUDED (count=115),Existing Entries
B0FF9W9WR7,5015302207113,WORLD OF PETS CAT BELL/CATNIP,"Candy Feather Bell Cat Toys,Indoor Cat Toys 4-Pack with Feathers Jingle Toy Kitten Play Kick Bite Chew Interactive Boredom Toy",HIGHLY LIKELY — AUDITED OUT,85,Pack mismatch 1→4.00 (need 4 units),£-2.06,PHASEA_MANUAL_REPORT_0110052809.md,HIGHLY LIKELY — AUDITED OUT / EXCLUDED (count=115),Existing Entries
B00F5W2EN4,5015934641675,GRAFIX CLICKSTICKS 130PCES GLITTER,"Tinc Glitterarty Liquid Gel Pens for Kids / Set of 8 Different Glittery Colours with a Fruity Fragrance / Includes Snap Shut Carry Case / Great for School, Home & Trips - Pack of 8, GLITGLPN",HIGHLY LIKELY — AUDITED OUT,85,Pack mismatch 1→8.00 (need 8 units),£-23.17,PHASEA_MANUAL_REPORT_0110052809.md,HIGHLY LIKELY — AUDITED OUT / EXCLUDED (count=115),Existing Entries
B0B3J2R8N9,5050796010146,BRIGHT & HOMELY HANGERS VELVET NON SLIP BLACK 3 PACK,"20 Pack Velvet Coat Hangers â€“ Non Slip Velvet Hangers for Clothes, Space Saving Adult Hangers with Tie Organizer & Swivel Hooks â€“ Clothes Hangers Wardrobe Storage - Black",HIGHLY LIKELY — AUDITED OUT,85,Pack mismatch 1→6.67 (need 7 units),£-0.19,PHASEA_MANUAL_REPORT_0110052809.md,HIGHLY LIKELY — AUDITED OUT / EXCLUDED (count=115),Existing Entries
B0D1R31RPL,6923456817685,ADORN HEAVY DUTY SOURING PADS 4PCE,Scouring Pads Heavy Duty Scourer Pad Green Scourers Non Scratch Abrasive Reusable Household Washing Up Dish Scrubber Sponges For Cleaning Kitchen Utensils Dishes Pots Pan Sink Scrub (Pack of 10),HIGHLY LIKELY — AUDITED OUT,85,Pack mismatch 1→2.50 (need 3 units),£-0.75,PHASEA_MANUAL_REPORT_0110052809.md,HIGHLY LIKELY — AUDITED OUT / EXCLUDED (count=115),Existing Entries
B088K9ZNSX,5052578047005,BETTINA 3 DISHCLOTHS STRIPED MICROBIBRE,TowelogyÂ® 5 Pack Cotton Dish Cloths Waffle Weave White Super Absorbent LINT FREE QUICK DRY Striped Kitchen Tea Towels Dishcloths for Washing Up Machine Washable 35x40cm (White Green/Yellow Stripes),HIGHLY LIKELY — AUDITED OUT,85,Pack mismatch 1→5.00 (need 5 units),£-1.99,PHASEA_MANUAL_REPORT_0110052809.md,HIGHLY LIKELY — AUDITED OUT / EXCLUDED (count=115),Existing Entries
B07RP7TJVT,5013478137593,KINGFISHER 2PK MEDIUM VACUUM BAGS VBM,"Amazon Basics Vacuum Compression Zipper Storage Bags with Airtight Valve and Hand Pump, 15-Pack, 2x X-Jumbo, 5x Jumbo, 4x (Large, Medium), 15 count (Pack of 1), Multiple, Clear",HIGHLY LIKELY — AUDITED OUT,85,Pack mismatch 1→15.00 (need 15 units),£-37.82,PHASEA_MANUAL_REPORT_0110052809.md,HIGHLY LIKELY — AUDITED OUT / EXCLUDED (count=115),Existing Entries
B0DDCFRKB4,5015302170288,"CHRISTMAS CRACKER 10 X 12"" SANTA AND FRIENDS","Aisszhao 6 Pack Christmas Party Crackers,Christmas Crackers with Santa's Friends Building Block Xmas Cracker,Luxury Xmas Family Cracker with Novelty Gifts Party Hats",HIGHLY LIKELY — AUDITED OUT,85,Split candidate (0.05),£7.77,PHASEA_MANUAL_REPORT_0110052809.md,HIGHLY LIKELY — AUDITED OUT / EXCLUDED (count=115),Existing Entries
B0DN1K8KKD,5050796011716,BRIGHT & HOMELY MASKING TAPE 36MMx40M PACK OF 6,"Pack of 6 Masking Tape Rolls (24mm x 50m) â€“ Premium Quality Masking Tape for Painting, Decorating & Crafts, Low Tack, Residue-Free, Strong Adhesion, Ideal Paper Tape, Artist & Paint Use",HIGHLY LIKELY — AUDITED OUT,85,1:1 (6x1 vs 6x1),£2.18,PHASEA_MANUAL_REPORT_0110052809.md,HIGHLY LIKELY — AUDITED OUT / EXCLUDED (count=115),Existing Entries
B0DN1K8KKD,5050796011686,BRIGHT & HOMELY MASKING TAPE 48MMx40M PACK OF 6,"Pack of 6 Masking Tape Rolls (24mm x 50m) â€“ Premium Quality Masking Tape for Painting, Decorating & Crafts, Low Tack, Residue-Free, Strong Adhesion, Ideal Paper Tape, Artist & Paint Use",HIGHLY LIKELY — AUDITED OUT,85,1:1 (6x1 vs 6x1),£1.33,PHASEA_MANUAL_REPORT_0110052809.md,HIGHLY LIKELY — AUDITED OUT / EXCLUDED (count=115),Existing Entries
B001326TJA,5029347300029,EVERBUILD ONE STRIKE FILLER 250ML,Everbuild â€“ One Strike â€“ Multi-Purpose Quick-Drying Filler â€“ One-Time Application â€“ White â€“ 1 Litre Tub,HIGHLY LIKELY — AUDITED OUT,85,1:1 Match,£0.15,PHASEA_MANUAL_REPORT_0110052809.md,HIGHLY LIKELY — AUDITED OUT / EXCLUDED (count=115),Existing Entries
B07H4JX9SW,8710908154720,RADOX BATH SOAK FEEL BLISSFUL 500ML PK6,"Radox Bath Soak Bubble Bath for Women - Mixed Pack of 10 Bottles (3 Muscle Soak, 1 Muscle Therapy, 2 Feel Relaxed, 2 Feel Blissful, 2 Feel Pampered) Enriched with Natural Extracts 500ml Each",HIGHLY LIKELY — AUDITED OUT,85,Pack mismatch 1→1.67 (need 2 units),£-2.88,PHASEA_MANUAL_REPORT_0110052809.md,HIGHLY LIKELY — AUDITED OUT / EXCLUDED (count=115),Existing Entries
B0132UMMK0,5056170319188,AIR FRESHENER GEL BEADS 150GRM,"Glade Solid Gel Air Freshener, Odour Eliminator for Home & Bathroom, Relaxing Zen, Pack of 8 (8 x 150g)",HIGHLY LIKELY — AUDITED OUT,85,Pack mismatch 1→8.00 (need 8 units),£-7.30,PHASEA_MANUAL_REPORT_0110052809.md,HIGHLY LIKELY — AUDITED OUT / EXCLUDED (count=115),Existing Entries
B0B6WFK4ZK,5055706699046,SOZALI ROUND CONTAINERS 220ML&450ML 2PCE SET,"[50 Pack 450ml - 16oz Round Stackable Plastic Food Container Set With Lids - Reusable, Leakproof, Dishwasher & Microwave Safe, BPA Free Meal Prep Containers",HIGHLY LIKELY — AUDITED OUT,85,Pack mismatch 1→25.00 (need 25 units),£-26.17,PHASEA_MANUAL_REPORT_0110052809.md,HIGHLY LIKELY — AUDITED OUT / EXCLUDED (count=115),Existing Entries
B0BRNRBHWK,808349564883,VPL PRINCE SET 8 ROUND FOOD BOX,"50 Pack- 250ml / 8oz Round Stackable Plastic Food Container Set With Lids - Reusable, Leakproof, Dishwasher & Microwave Safe, BPA Free Containers (50)",HIGHLY LIKELY — AUDITED OUT,85,Pack mismatch 1→50.00 (need 50 units),£-231.13,PHASEA_MANUAL_REPORT_0110052809.md,HIGHLY LIKELY — AUDITED OUT / EXCLUDED (count=115),Existing Entries
B07STZLCM6,5411183131217,SOUDAL EXPANDING FOAM HAND HELD 150ML,Soudal 750ml Champagne Gap Filler Expanding Foam Handheld Spray with Nozzle & Gloves (3),HIGHLY LIKELY — AUDITED OUT,85,1:1 Match,£5.47,PHASEA_MANUAL_REPORT_0110052809.md;PHASEA_REVIEW_VALIDATED_REPORT_0110012511.md,HIGHLY LIKELY — AUDITED OUT / EXCLUDED (count=115);HIGHLY LIKELY — RECOMMENDED (count=37),;Existing Entries
B00QM9CG7I,5014353089983,KILROCK DAMP CLEAR REFILL POUCH 1KG (2x500g),"Kilrock Damp Clear Moisture Trap Refill - Pack of 5 x 500 grams - Moisture Absorbers - for air quality, reduces damp odours & damage",HIGHLY LIKELY — AUDITED OUT,85,Split candidate (0.01),£3.78,PHASEA_MANUAL_REPORT_0110052809.md,HIGHLY LIKELY — AUDITED OUT / EXCLUDED (count=115),Existing Entries
B0BWFGSV62,5056239427595,TEA TOWELS CLASSIC 2PC ASSORTED COLOURS,"Tea Towels Extra Large 70 X 40 cm Kitchen Towels Set - 100% Cotton Terry Towelling Soft Absorbent Lint Free Kitchen Cloth Dish Towels and Bar Towels Assorted Colors (Pack of 3), Blue",HIGHLY LIKELY — AUDITED OUT,85,Pack mismatch 1→1.50 (need 2 units),£-0.45,PHASEA_MANUAL_REPORT_0110052809.md,HIGHLY LIKELY — AUDITED OUT / EXCLUDED (count=115),Existing Entries
B009EVF9JI,5055706660282,BABY PIPKIN FEEDING BOWLS 2PCE,"Tommee Tippee Easiscoop Baby Feeding Bowls with Triangular Base and Ergonomic Handle, Stackable, Perfect for Weaning, 6 Months+, Pack of 4",HIGHLY LIKELY — AUDITED OUT,85,Pack mismatch 1→2.00 (need 2 units),£-0.90,PHASEA_MANUAL_REPORT_0110052809.md,HIGHLY LIKELY — AUDITED OUT / EXCLUDED (count=115),Existing Entries
B07Y59B1KK,9333527583147,SHOWER COMB DETANGLING W/HOOK,"3 Pack Hair Comb Large Wide Tooth Comb Shower Combs Curl Wet Comb for Long, Wet or Curly Hair Detangling",HIGHLY LIKELY — AUDITED OUT,85,Pack mismatch 1→3.00 (need 3 units),£-0.94,PHASEA_MANUAL_REPORT_0110052809.md,HIGHLY LIKELY — AUDITED OUT / EXCLUDED (count=115),Existing Entries
B07YQ7BSR4,8692952202568,LAV TUMBLER 3PCS,Lav Sude Tumbler Glass Set. Drinking Glasses. Pack of 6. 315 cc.,HIGHLY LIKELY — AUDITED OUT,85,Pack mismatch 1→2.00 (need 2 units),£-3.03,PHASEA_MANUAL_REPORT_0110052809.md,HIGHLY LIKELY — AUDITED OUT / EXCLUDED (count=115),Existing Entries
B0BN8J4WLM,3426470299985,PYREX BUTTERFLY RECTANGULAR DISH SET OF 2,Pyrex - Set of 3 Rectangular Oven Dishes - Ideal for 2 to 6 People - 3 Sizes - Borosilicate Glass - Wide Handles - Extreme Resistance - Dishwasher Safe - Made in France,HIGHLY LIKELY — AUDITED OUT,85,Pack mismatch 1→1.50 (need 2 units),£-6.66,PHASEA_MANUAL_REPORT_0110052809.md,HIGHLY LIKELY — AUDITED OUT / EXCLUDED (count=115),Existing Entries
B006ZBFLNO,5056239433404,STORAGE HOOKS UNIVERSAL TWIN PK,"Universal Heavy Duty Garage Storage Hooks Set, 30kg Load Capacity per Hook (6 Pack)",HIGHLY LIKELY — AUDITED OUT,85,Pack mismatch 1→6.00 (need 6 units),£-7.56,PHASEA_MANUAL_REPORT_0110052809.md,HIGHLY LIKELY — AUDITED OUT / EXCLUDED (count=115),Existing Entries
B00CPU981U,8428451020354,LUMINUM TABLE CANDLES GREEN PACK OF 25,"Price's Candles Tapered Dinner Candles Green Unscented Wax Pack of 50 / 7 Hour Burn Time Elegant Long Candles for Home Decor, Events, Celebrations & Dining",HIGHLY LIKELY — AUDITED OUT,85,Pack mismatch 1→2.00 (need 2 units),£-8.26,PHASEA_MANUAL_REPORT_0110052809.md,HIGHLY LIKELY — AUDITED OUT / EXCLUDED (count=115),Existing Entries
B0F6LCCWZN,8720573190565,FLOWER POT 12CM 3ASS,"12.5cm Plant Pots, 6 Pack Plastic Flower Pots with Drainage Holes and Saucers, Indoor Outdoor Planters for Succulent and All House Plants(Colourful)",HIGHLY LIKELY — AUDITED OUT,85,Pack mismatch 1→6.00 (need 6 units),£-18.82,PHASEA_MANUAL_REPORT_0110052809.md,HIGHLY LIKELY — AUDITED OUT / EXCLUDED (count=115),Existing Entries
B0DHYTRRLV,5056295710518,BLUE CANYON FLATLINE TOWEL BAR 60CM,"SKYLEO LED Desk Lamp - Double Head Desk Light with Remote Control - Eye Protection, 2400 LM, 24W, 5 Color Modes, Timing & Memory, Easy to Install - Suitable for Office, Reading, Drawing - Black",HIGHLY LIKELY — AUDITED OUT,85,1:1 Match,£9.05,PHASEA_MANUAL_REPORT_0110052809.md,HIGHLY LIKELY — AUDITED OUT / EXCLUDED (count=115),Existing Entries
B08D38T3JW,5051346799535,BAMBOO BATH TOWELS SILVER 70x120CM PACK OF 2,Yoofoss Bamboo Bath Towels 2 Pack Towel Set 500 GSM 70 x 140 cm Extra Large Bath Towels Super Soft & Highly Absorbent Bath Sheets Highly Absorbent and Quick Dry,HIGHLY LIKELY — AUDITED OUT,85,1:1 (2x1 vs 2x1),£1.44,PHASEA_MANUAL_REPORT_0110052809.md,HIGHLY LIKELY — AUDITED OUT / EXCLUDED (count=115),Existing Entries
B0BVLTKB3W,5053249270890,BIN BRITE STICK ON OUTDOOR BIN FRESHENER WITH CITRONELLA PACK OF 2,"Bin Buddy Fresh Pink Grapefruit & Spring Blossom 450g, Pack of 2 - Bin Freshener Deodoriser Powder, Leaves Your Bin Smelling Great - Suitable for Indoor and Outdoor Bins",HIGHLY LIKELY — AUDITED OUT,85,1:1 (2x1 vs 2x1),£0.45,PHASEA_MANUAL_REPORT_0110052809.md,HIGHLY LIKELY — AUDITED OUT / EXCLUDED (count=115),Existing Entries
