SupplierTitle,AmazonTitle,EAN,EAN_OnPage,ASIN,SupplierPrice_incVAT,SellingPrice_incVAT,NetProfit,ROI,bought_in_past_month,amazon_sales_badge,sales_value,tier,confidence_score,flags,reasons,ean_exact_match,SupplierURL,AmazonURL,fba_seller_count,Category,NetProfit_num,sales_num,shared_terms,candidate_reason
MUNCH CRUNCH SERRANO HAM/TURKEY TREAT,Munch & Crunch Serrano Ham Bone Large Treats For Dogs x 18 Bones,5053249260976,,B0CVQP7XXD,1.212,25.49,14.085416666666664,902.9113247863248,50.0,50.0,50,TIER_3_NEEDS_REVIEW,30,"AMAZON_EAN_MISSING,EXTREME_PRICE_RATIO","Supplier EAN present, Amazon EAN missing,Strong title match (sim=0.65, shared=4),Brand match: munch,Price ratio 21.0x - likely mismatch",False,https://www.efghousewares.co.uk/munch-crunch-serrano-ham-turkey-treat,https://www.amazon.co.uk/dp/B0CVQP7XXD,,Munch Crunch Serrano Ham Turkey Treat,14.085416666666664,50,"crunch, ham, munch, serrano",review_pack_or_brand
WHAM CASA BLACK HIPSTER BASKET,Wham Casa Hipster Laundry Basket (Black),5038135223068,5038135223068.0,B0FC6Q9X3H,3.492,11.98,2.6158333333333337,75.60211946050097,50.0,,50,TIER_1_VERIFIED,95,,"Exact EAN match (checksum verified),Strong title match (sim=0.71, shared=5),Brand match: wham",True,https://www.efghousewares.co.uk/wham-casa-black-hipster-basket-120804,https://www.amazon.co.uk/dp/B0FC6Q9X3H,,Wham Casa Black Hipster Basket 120804,2.6158333333333337,50,"basket, black, casa, hipster, wham",strong_candidate
SOUDAL FOAM WIN & DOOR GEN GUN 600ML CHAM,2 x Soudal Soudafoam Window & Door Genius Gun - 600ml,5411183135703,5411183135703.0,B07L4Y5CBD,4.968,12.13,1.492083333333335,31.814143567874947,50.0,50.0,50,TIER_1_VERIFIED,75,BRAND_MISMATCH,"Exact EAN match (checksum verified),Strong title match (sim=0.77, shared=4)",True,https://www.efghousewares.co.uk/soudal-foam-win-door-gen-gun-600ml-cham,https://www.amazon.co.uk/dp/B07L4Y5CBD,,Soudal Foam Win Door Gen Gun 600Ml Cham,1.492083333333335,50,"600ml, door, gun, soudal",review_pack_or_brand
RYSONS PLASTIC BOWLS W/STRAW 4PCE,"Plastic 4 Sippy Bowls Bowls with Built in Straw - Green, Blue, Orange & Purple",5056239416018,5056239416018.0,B0863MYSTY,1.14,7.05,1.125,75.0,50.0,,50,TIER_1_VERIFIED,60,BRAND_MISMATCH,"Exact EAN match (checksum verified),Moderate title match (sim=0.43, shared=3)",True,https://www.efghousewares.co.uk/rysons-plastic-bowls-w-straw-4pce,https://www.amazon.co.uk/dp/B0863MYSTY,Available (see Keepa data),Rysons Plastic Bowls W Straw 4Pce,1.125,50,"bowls, plastic, straw",review_pack_or_brand
ADDIS CUTLERY DRAINER LINEN,Addis Linen Cutlery Drainer With Removable Compartment,5010303068145,5010303068145.0,B0009K4HGE,4.4352,11.17,1.1123333333333325,26.197205212749225,50.0,50.0,50,TIER_1_VERIFIED,95,,"Exact EAN match (checksum verified),Strong title match (sim=0.62, shared=4),Brand match: addis",True,https://www.efghousewares.co.uk/104593,https://www.amazon.co.uk/dp/B0009K4HGE,,Other,1.1123333333333325,50,"addis, cutlery, drainer, linen",strong_candidate
ELLIOTTS GLASS SPRAY BOTTLE BROWN480ML,"Elliott 480ml Brown Glass Spray Bottle, Manufactured from Recycled Glass and featuring a locking trigger action spray Mechanism, Ideal for use for Cleaning, Watering Plants and many other uses",5013159004428,5013159004428.0,B099X92QGG,1.812,7.18,0.6533333333333329,31.715210355987036,50.0,50.0,50,TIER_1_VERIFIED,40,BRAND_MISMATCH,"Exact EAN match (checksum verified),Weak title match (sim=0.28, shared=3)",True,https://www.efghousewares.co.uk/elliotts-glass-spray-bottle-brown480ml,https://www.amazon.co.uk/dp/B099X92QGG,Available (see Keepa data),Elliotts Glass Spray Bottle Brown480Ml,0.6533333333333329,50,"bottle, glass, spray",review_pack_or_brand
ROYLE HOME SPRINGFORM CAKE TIN,"Royle Kids 2 Mini Springform Cake Tin Kids Round 5Inch Non Stick Springform Baking Tin 12cm,Black",5015302472535,5015302472535.0,B01APK7CDC,1.944,7.99,0.6083333333333341,28.033794162826453,50.0,50.0,50,TIER_1_VERIFIED,80,,"Exact EAN match (checksum verified),Moderate title match (sim=0.43, shared=4),Brand match: royle",True,https://www.efghousewares.co.uk/royle-home-springform-cake-tin-26-9,https://www.amazon.co.uk/dp/B01APK7CDC,,Royle Home Springform Cake Tin 26 9,0.6083333333333341,50,"cake, royle, springform, tin",strong_candidate
COOPER & PALS SQUEAKY CHIKEN,Cooper & Pals Squawking Chicken Toy For Dogs,5055566927495,5055566927495.0,B08ZL14VNR,0.852,6.11,0.4916666666666669,39.02116402116404,50.0,50.0,50,TIER_1_VERIFIED,60,,"Exact EAN match (checksum verified),Weak title match (sim=0.71, shared=2),Brand match: cooper",True,https://www.efghousewares.co.uk/cooper-pals-squeaky-chiken-110775,https://www.amazon.co.uk/dp/B08ZL14VNR,,Cooper Pals Squeaky Chiken 110775,0.4916666666666669,50,"cooper, pals",strong_candidate
SIMMER RING,Simmer Ring Pan Mat Heat Diffuser For Gas Electric Cookers Stove Hob 21cm,5056239413680,5056239413680.0,B0BQRTLJS2,1.14,4.95,0.1549999999999998,10.33333333333332,50.0,50.0,50,TIER_1_VERIFIED,60,,"Exact EAN match (checksum verified),Weak title match (sim=0.26, shared=2),Brand match: simmer",True,https://www.efghousewares.co.uk/simmer-ring-105738,https://www.amazon.co.uk/dp/B0BQRTLJS2,Available (see Keepa data),Simmer Ring 105738,0.1549999999999998,50,"ring, simmer",strong_candidate
SUPER DREAMER FITTED SHEET DOUBLE  BLACK,"GC GAVENO CAVAILIA Microfiber Fitted Sheet Double - Plain Bed Sheets - Deep Pocket 10 inch (25cm) - Shrinkage, Fade & Wrinkle Resistant Bottom Sheet, Black to Mattress (137x193 cm) - Machine Washable",5051346795940,5051346795940.0,B0BTMS65BX,3.456,8.99,0.1016666666666676,2.964042759961157,50.0,50.0,50,TIER_1_VERIFIED,40,BRAND_MISMATCH,"Exact EAN match (checksum verified),Weak title match (sim=0.27, shared=4)",True,https://www.efghousewares.co.uk/super-dreamer-fitted-sheet-double-black-123678,https://www.amazon.co.uk/dp/B0BTMS65BX,,Super Dreamer Fitted Sheet Double Black 123678,0.1016666666666676,50,"black, double, fitted, sheet",review_pack_or_brand
