SupplierTitle,AmazonTitle,EAN,EAN_OnPage,ASIN,SupplierPrice_incVAT,SellingPrice_incVAT,NetProfit,ROI,bought_in_past_month,amazon_sales_badge,sales_value,tier,confidence_score,flags,reasons,ean_exact_match,SupplierURL,AmazonURL,fba_seller_count,Category,NetProfit_num,sales_num,shared_terms,candidate_reason
EVERREADY T8 4FT 36W TUBE LIGHT,Osram 4Ft 36w T8 Fluorescent Tube - Colour 865 - Daylight [6500k],5050028016069,4050300591384,B000UXH8KM,3.5856,21.8,1.5986666666666685,45.18560391935185,100.0,100.0,100,TIER_4_REJECTED,0,"EAN_MISMATCH,BRAND_MISMATCH","EAN mismatch: supplier=5050028016069 vs amazon=4050300591384,Moderate title match (sim=0.46, shared=3)",false,https://www.efghousewares.co.uk/everready-t8-4ft-36w-tube-light-110739,https://www.amazon.co.uk/dp/B000UXH8KM,,Other,1.5986666666666685,100,"36w, 4ft, t8, tube",exclude_t4_before_manual_review
ALBERO MULTIPURPOSE TRAY NO3,"Argon Tableware Black Rectangular Serving Tray 45.5 x 35.5cm - Reusable Non Slip Rubberized Surface Platter for Food and Drinks - Heat Resistant Stackable Tray for Bars, Restaurants and Home Use",8414926114390,5055336449370,B00366NX7C,1.608,9.99,1.225000000000001,64.81481481481485,100.0,100.0,100,TIER_4_REJECTED,0,"EAN_MISMATCH,BRAND_MISMATCH","EAN mismatch: supplier=8414926114390 vs amazon=5055336449370,Weak title match (sim=0.18, shared=1)",false,https://www.efghousewares.co.uk/albero-multipurpose-tray-no3,https://www.amazon.co.uk/dp/B00366NX7C,Available (see Keepa data),Albero Multipurpose Tray No3,1.225000000000001,100,tray,exclude_t4_before_manual_review
PYREX ESSENTIALS CASSEROLE OVAL 4.1LTR,"Pyrex Oval Casserole with Lid Classic Glass, Transparent, 6.3 cm, 4.0 L",3426470268684,3426470268684,B01LCYXS24,10.547999999999998,19.69,0.6283333333333363,6.727337615988612,100.0,100.0,100,TIER_1_VERIFIED,80,,"Exact EAN match (checksum verified),Moderate title match (sim=0.47, shared=3),Brand match: pyrex",true,https://www.efghousewares.co.uk/pyrex-essentials-casserole-oval-3ltr-pm-,https://www.amazon.co.uk/dp/B01LCYXS24,,Pyrex Essentials Casserole Oval 3Ltr Pm ,0.6283333333333363,100,"casserole, oval, pyrex",strong_candidate
GABBYS DOLLHOUSE STICKER BOOK,"ALLIGATOR - Gabby's Dollhouse Sticker Book, Sticker Book, Sticker Books, Gabbys Dollhouse Toys UK, Gabby's Dollhouse Book,Sticker Activity Book, Reusable Sticker Book",9781788245418,9781788245418,1788245415,1.212,4.99,0.46833333333333416,30.021367521367576,100.0,100.0,100,TIER_1_VERIFIED,40,BRAND_MISMATCH,"Exact EAN match (checksum verified),Weak title match (sim=0.31, shared=4)",true,https://www.efghousewares.co.uk/gabbys-dollhouse-sticker-book-117428,https://www.amazon.co.uk/dp/1788245415,Available (see Keepa data),Gabbys Dollhouse Sticker Book 117428,0.4683333333333341,100,"book, dollhouse, gabbys, sticker",review_pack_or_brand
KATS ROMEO CAT LITTER TRAY TOILET HOUSE GREY,"Dogi Click and Secure Pet Cat Litter Tray Toilet Box, Grey",5414886297341,5414886297341,B00P2R81MU,10.608,23.0,0.19666666666666965,2.094426695065704,100.0,100.0,100,TIER_1_VERIFIED,75,BRAND_MISMATCH,"Exact EAN match (checksum verified),Strong title match (sim=0.65, shared=5)",true,https://www.efghousewares.co.uk/kats-romeo-cat-litter-tray-toilet-house-grey-113411,https://www.amazon.co.uk/dp/B00P2R81MU,,Kats Romeo Cat Litter Tray Toilet House Grey 113411,0.1966666666666696,100,"cat, grey, litter, toilet, tray",review_pack_or_brand
ESCENTI TEA TREE CREAM,Escenti Tea Tree Cream 28g,5020535013998,5020535013998,B0995W6PHP,1.14,4.12,0.1033333333333335,6.8888888888889,100.0,100.0,100,TIER_1_VERIFIED,95,,"Exact EAN match (checksum verified),Strong title match (sim=0.92, shared=4),Brand match: escenti",true,https://www.efghousewares.co.uk/escenti-tea-tree-cream,https://www.amazon.co.uk/dp/B0995W6PHP,Available (see Keepa data),Escenti Tea Tree Cream,0.1033333333333335,100,"cream, escenti, tea, tree",strong_candidate
ROYALFORD SILICONE EGG WHISK GREY,"Royalford Silicone Balloon Egg Whisk with Beechwood Handle & Hanging Hook – Non-Scratch, Heat-Resistant Whisk for Cooking & Baking, 26cm",6294016430270,6294016430270,B0FVB4Y46L,1.416,6.5,0.05666666666666753,3.2755298651252907,100.0,100.0,100,TIER_1_VERIFIED,80,,"Exact EAN match (checksum verified),Moderate title match (sim=0.40, shared=4),Brand match: royalford",true,https://www.efghousewares.co.uk/royalford-silicone-egg-whisk-grey-112831,https://www.amazon.co.uk/dp/B0FVB4Y46L,Available (see Keepa data),Royalford Silicone Egg Whisk Grey 112831,0.0566666666666675,100,"egg, royalford, silicone, whisk",strong_candidate
TREAT AND EASE EYE MIST SPRAY,Eye Mist Eyelid Spray for Refreshing Soothing Relief Dry Tired Irritated Itch Sore Eyes 15ml,5056175904327,5056175904327,B093H2DHHF,1.008,3.93,0.05500000000000027,3.9568345323741196,100.0,100.0,100,TIER_1_VERIFIED,40,BRAND_MISMATCH,"Exact EAN match (checksum verified),Weak title match (sim=0.23, shared=3)",true,https://www.efghousewares.co.uk/treat-and-ease-eye-mist-spray-106977,https://www.amazon.co.uk/dp/B093H2DHHF,Available (see Keepa data),Treat And Ease Eye Mist Spray 106977,0.0550000000000002,100,"eye, mist, spray",review_pack_or_brand
SUPER DREAMER FITTED SHEET KING BLACK,"GC GAVENO CAVAILIA Fitted Sheet King Size (25cm) Deep Pocket - Microfiber Bed Sheets Black - Breathable, Fade & Wrinkle Resistant - Elasticated Corners - Easycare Mattress & Bottom Sheet (152x203cm)",5051346795957,5051346795957,B0BTMNY9RV,3.8880000000000003,9.49,0.03833333333333422,1.0114335971855994,100.0,100.0,100,TIER_1_VERIFIED,40,BRAND_MISMATCH,"Exact EAN match (checksum verified),Weak title match (sim=0.24, shared=4)",true,https://www.efghousewares.co.uk/super-dreamer-fitted-sheet-king-black-123682,https://www.amazon.co.uk/dp/B0BTMNY9RV,,Super Dreamer Fitted Sheet King Black 123682,0.0383333333333342,100,"black, fitted, king, sheet",review_pack_or_brand
MUNCH CRUNCH SERRANO HAM/TURKEY TREAT,Munch & Crunch Serrano Ham Bone Large Treats For Dogs x 18 Bones,5053249260976,,B0CVQP7XXD,1.212,25.49,14.085416666666665,902.9113247863247,50.0,50.0,50,TIER_3_NEEDS_REVIEW,30,"AMAZON_EAN_MISSING,EXTREME_PRICE_RATIO","Supplier EAN present, Amazon EAN missing,Strong title match (sim=0.65, shared=4),Brand match: munch,Price ratio 21.0x - likely mismatch",false,https://www.efghousewares.co.uk/munch-crunch-serrano-ham-turkey-treat,https://www.amazon.co.uk/dp/B0CVQP7XXD,,Munch Crunch Serrano Ham Turkey Treat,14.085416666666664,50,"crunch, ham, munch, serrano",review_pack_or_brand
WHAM CASA BLACK HIPSTER BASKET,Wham Casa Hipster Laundry Basket (Black),5038135223068,5038135223068,B0FC6Q9X3H,3.492,11.98,2.6158333333333337,75.60211946050097,50.0,,50,TIER_1_VERIFIED,95,,"Exact EAN match (checksum verified),Strong title match (sim=0.71, shared=5),Brand match: wham",true,https://www.efghousewares.co.uk/wham-casa-black-hipster-basket-120804,https://www.amazon.co.uk/dp/B0FC6Q9X3H,,Wham Casa Black Hipster Basket 120804,2.6158333333333337,50,"basket, black, casa, hipster, wham",strong_candidate
SOUDAL FOAM WIN & DOOR GEN GUN 600ML CHAM,2 x Soudal Soudafoam Window & Door Genius Gun - 600ml,5411183135703,5411183135703,B07L4Y5CBD,4.968,12.13,1.492083333333335,31.814143567874947,50.0,50.0,50,TIER_1_VERIFIED,75,BRAND_MISMATCH,"Exact EAN match (checksum verified),Strong title match (sim=0.77, shared=4)",true,https://www.efghousewares.co.uk/soudal-foam-win-door-gen-gun-600ml-cham,https://www.amazon.co.uk/dp/B07L4Y5CBD,,Soudal Foam Win Door Gen Gun 600Ml Cham,1.492083333333335,50,"600ml, door, gun, soudal",review_pack_or_brand
RYSONS PLASTIC BOWLS W/STRAW 4PCE,"Plastic 4 Sippy Bowls Bowls with Built in Straw - Green, Blue, Orange & Purple",5056239416018,5056239416018,B0863MYSTY,1.14,7.05,1.125,75.0,50.0,,50,TIER_1_VERIFIED,60,BRAND_MISMATCH,"Exact EAN match (checksum verified),Moderate title match (sim=0.43, shared=3)",true,https://www.efghousewares.co.uk/rysons-plastic-bowls-w-straw-4pce,https://www.amazon.co.uk/dp/B0863MYSTY,Available (see Keepa data),Rysons Plastic Bowls W Straw 4Pce,1.125,50,"bowls, plastic, straw",review_pack_or_brand
ADDIS CUTLERY DRAINER LINEN,Addis Linen Cutlery Drainer With Removable Compartment,5010303068145,5010303068145,B0009K4HGE,4.4352,11.17,1.1123333333333323,26.197205212749225,50.0,50.0,50,TIER_1_VERIFIED,95,,"Exact EAN match (checksum verified),Strong title match (sim=0.62, shared=4),Brand match: addis",true,https://www.efghousewares.co.uk/104593,https://www.amazon.co.uk/dp/B0009K4HGE,,Other,1.1123333333333325,50,"addis, cutlery, drainer, linen",strong_candidate
PLASPLUGS P/BOARD SUPER TOGGLE PK5,Plasplug SSTC554 Super Toggle Hollow Fixing,5010047103058,5010047125548,B00534860Y,1.548,6.0,0.8799999999999997,47.82608695652172,50.0,50.0,50,TIER_4_REJECTED,0,"EAN_MISMATCH,BRAND_MISMATCH","EAN mismatch: supplier=5010047103058 vs amazon=5010047125548,Weak title match (sim=0.61, shared=2)",false,https://www.efghousewares.co.uk/plasplugs-p-board-super-toggle-pk5,https://www.amazon.co.uk/dp/B00534860Y,,Plasplugs P Board Super Toggle Pk5,0.8799999999999997,50,"super, toggle",exclude_t4_before_manual_review
ELLIOTTS GLASS SPRAY BOTTLE BROWN480ML,"Elliott 480ml Brown Glass Spray Bottle, Manufactured from Recycled Glass and featuring a locking trigger action spray Mechanism, Ideal for use for Cleaning, Watering Plants and many other uses",5013159004428,5013159004428,B099X92QGG,1.812,7.18,0.6533333333333329,31.715210355987033,50.0,50.0,50,TIER_1_VERIFIED,40,BRAND_MISMATCH,"Exact EAN match (checksum verified),Weak title match (sim=0.28, shared=3)",true,https://www.efghousewares.co.uk/elliotts-glass-spray-bottle-brown480ml,https://www.amazon.co.uk/dp/B099X92QGG,Available (see Keepa data),Elliotts Glass Spray Bottle Brown480Ml,0.6533333333333329,50,"bottle, glass, spray",review_pack_or_brand
ROYLE HOME SPRINGFORM CAKE TIN,"Royle Kids 2 Mini Springform Cake Tin Kids Round 5Inch Non Stick Springform Baking Tin 12cm,Black",5015302472535,5015302472535,B01APK7CDC,1.9440000000000002,7.99,0.6083333333333341,28.033794162826453,50.0,50.0,50,TIER_1_VERIFIED,80,,"Exact EAN match (checksum verified),Moderate title match (sim=0.43, shared=4),Brand match: royle",true,https://www.efghousewares.co.uk/royle-home-springform-cake-tin-26-9,https://www.amazon.co.uk/dp/B01APK7CDC,,Royle Home Springform Cake Tin 26 9,0.6083333333333341,50,"cake, royle, springform, tin",strong_candidate
COOPER & PALS SQUEAKY CHIKEN,Cooper & Pals Squawking Chicken Toy For Dogs,5055566927495,5055566927495,B08ZL14VNR,0.852,6.11,0.4916666666666669,39.02116402116404,50.0,50.0,50,TIER_1_VERIFIED,60,,"Exact EAN match (checksum verified),Weak title match (sim=0.71, shared=2),Brand match: cooper",true,https://www.efghousewares.co.uk/cooper-pals-squeaky-chiken-110775,https://www.amazon.co.uk/dp/B08ZL14VNR,,Cooper Pals Squeaky Chiken 110775,0.4916666666666669,50,"cooper, pals",strong_candidate
SIMMER RING,Simmer Ring Pan Mat Heat Diffuser For Gas Electric Cookers Stove Hob 21cm,5056239413680,5056239413680,B0BQRTLJS2,1.14,4.95,0.1549999999999998,10.333333333333321,50.0,50.0,50,TIER_1_VERIFIED,60,,"Exact EAN match (checksum verified),Weak title match (sim=0.26, shared=2),Brand match: simmer",true,https://www.efghousewares.co.uk/simmer-ring-105738,https://www.amazon.co.uk/dp/B0BQRTLJS2,Available (see Keepa data),Simmer Ring 105738,0.1549999999999998,50,"ring, simmer",strong_candidate
SUPER DREAMER FITTED SHEET DOUBLE  BLACK,"GC GAVENO CAVAILIA Microfiber Fitted Sheet Double - Plain Bed Sheets - Deep Pocket 10 inch (25cm) - Shrinkage, Fade & Wrinkle Resistant Bottom Sheet, Black to Mattress (137x193 cm) - Machine Washable",5051346795940,5051346795940,B0BTMS65BX,3.456,8.99,0.10166666666666768,2.964042759961157,50.0,50.0,50,TIER_1_VERIFIED,40,BRAND_MISMATCH,"Exact EAN match (checksum verified),Weak title match (sim=0.27, shared=4)",true,https://www.efghousewares.co.uk/super-dreamer-fitted-sheet-double-black-123678,https://www.amazon.co.uk/dp/B0BTMS65BX,,Super Dreamer Fitted Sheet Double Black 123678,0.1016666666666676,50,"black, double, fitted, sheet",review_pack_or_brand
ASHLEY FUNNEL SET 3PC,"3pcs Funnel Set | Stainless Steel Funnels with Handles for Kitchen, Cooking, and Oil | Durable and Easy to Clean | Funnels for Filling Bottles and Containers",5017403116011,,B0D9LXFL9Q,1.008,5.99,0.03166666666666684,2.2781774580335856,50.0,50.0,50,TIER_4_REJECTED,0,"AMAZON_EAN_MISSING,BRAND_MISMATCH","Supplier EAN present, Amazon EAN missing,Weak title match (sim=0.16, shared=1)",false,https://www.efghousewares.co.uk/ashley-funnel-set-3pc,https://www.amazon.co.uk/dp/B0D9LXFL9Q,Available (see Keepa data),Ashley Funnel Set 3Pc,0.0316666666666668,50,"funnel, set",exclude_t4_before_manual_review
