SupplierTitle,AmazonTitle,EAN,EAN_OnPage,ASIN,SupplierPrice_incVAT,SellingPrice_incVAT,NetProfit,ROI,bought_in_past_month,amazon_sales_badge,sales_value,tier,confidence_score,flags,reasons,ean_exact_match,SupplierURL,AmazonURL,fba_seller_count,Category,Bucket,Unit_Qty_Flag,Unit_Qty_Note,FinReport_NetProfit,Profit_Discrepancy
GORILLA DOUBLE SIDED CARPET TAPE 7.3M X 35MM,"Gorilla Double Sided Tape 7.3m - Heavy Duty, Strong Adhesive & Indoor/Outdoor Use",5704947014100,5704947014100,B0BX4L6FBG,7.392,10.99,0.628333333,-24.31693989,1000,,1000,TIER_1_VERIFIED,80,UNPROFITABLE,"Exact EAN match (checksum verified),Moderate title match (sim=0.52, shared=4),Brand match: gorilla",TRUE,https://www.efghousewares.co.uk/gorilla-double-sided-carpet-tape-7-3m-x-35mm-115282,https://www.amazon.co.uk/dp/B0BX4L6FBG,Available (see Keepa data),Gorilla Double Sided Carpet Tape 7 3M X 35Mm 115282,C,MATCH,,,NO
RUSTINS BLACKBOARD BLACK 250ML,Rustins Blackboard Black Paint 250ml,5015332050024,5015332050024,B001GU6GYM,4.632,7.44,0.628333333,-41.49659864,1000,,1000,TIER_1_VERIFIED,95,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.91, shared=4),Brand match: rustins",TRUE,https://www.efghousewares.co.uk/rustins-blackboard-black-250ml,https://www.amazon.co.uk/dp/B001GU6GYM,,Rustins Blackboard Black 250Ml,C,MATCH,,,NO
RODO SAFETY SPECTACLE CLEAR,Blackrock Safety Spectacles Clear,5019200081899,5019200081899,B0052LHGBI,1.416,2.95,0.628333333,-136.5125241,1000,,1000,TIER_1_VERIFIED,40,"BRAND_MISMATCH,UNPROFITABLE","Exact EAN match (checksum verified),Weak title match (sim=0.83, shared=2)",TRUE,https://www.efghousewares.co.uk/rodo-safety-spectacle-clear,https://www.amazon.co.uk/dp/B0052LHGBI,,Rodo Safety Spectacle Clear,C,MATCH,,,NO
RUSTINS Q/D RAD ENAMEL - 250ML SATIN,Rustins - Quick Dry Radiator Enamel Paint Satin White 250ml,5015332700219,5015332700219,B001GU6H00,5.448,7.59,0.628333333,-48.23182711,1000,,1000,TIER_1_VERIFIED,95,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.61, shared=4),Brand match: rustins",TRUE,https://www.efghousewares.co.uk/rustins-q-d-rad-enamel-250ml-satin,https://www.amazon.co.uk/dp/B001GU6H00,,Rustins Q D Rad Enamel 250Ml Satin,C,MATCH,,,NO
UNIBOND NO MORE NAILS REMOVABLE MOUNTING STRIPS 10PC,"Unibond No More Nails Removable Picture Hanging Strips, Adhesive Strips for Fast, Easy Mounting, Double Sided Sticky Tape for Interior Use, Translucent Tape, Pack of 10 , Yellow",5010383051341,5010383051341,B002SPBUQ8,3.9,3.98,0.628333333,-64.8245614,1000,,1000,TIER_1_VERIFIED,80,UNPROFITABLE,"Exact EAN match (checksum verified),Moderate title match (sim=0.42, shared=6),Brand match: unibond",TRUE,https://www.efghousewares.co.uk/unibond-no-more-nails-removable-strips-10pc-107648,https://www.amazon.co.uk/dp/B002SPBUQ8,Available (see Keepa data),Unibond No More Nails Removable Strips 10Pc 107648,C,MATCH,,,NO
DUZZIT BOX KETTLE DESCASLER 2PK EACH,"Duzzit Kettle Descaler Limescale Remover Easy To Use Drop In Sachet, Blue, (Pack Of 2)",5053249213927,5053249213927,B06VWPCJZ3,1.14,2.4,0.628333333,-178,1000,,1000,TIER_1_VERIFIED,60,UNPROFITABLE,"Exact EAN match (checksum verified),Weak title match (sim=0.47, shared=2),Brand match: duzzit",TRUE,https://www.efghousewares.co.uk/duzzit-box-kettle-descasler-2pk-each,https://www.amazon.co.uk/dp/B06VWPCJZ3,Available (see Keepa data),Duzzit Box Kettle Descasler 2Pk Each,C,MATCH,,,NO
ADDIS NEW COMPOST CADDY METALLIC,"Addis 518251 Everyday Kitchen Food Waste Compost Caddy Bin, 4.5 Litre, Sliver, Metallic Silver",5010303170589,5010303170589,B07S6YC12N,3.348,5.49,0.628333333,-80.38922156,1000,,1000,TIER_1_VERIFIED,80,UNPROFITABLE,"Exact EAN match (checksum verified),Moderate title match (sim=0.51, shared=4),Brand match: addis",TRUE,https://www.efghousewares.co.uk/addis-new-compost-caddy-metallic,https://www.amazon.co.uk/dp/B07S6YC12N,,Addis New Compost Caddy Metallic,C,MATCH,,,NO
WESTLAND ERICACEOUS PLANT FOOD GRANUALES 900G,"Westland Ericaceous Plant Food Granules Jar 900 g, Green",5023377011191,5023377011191,B08YNYKHSY,5.448,7.88,0.628333333,-54.0929928,1000,,1000,TIER_1_VERIFIED,95,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.88, shared=4),Brand match: westland",TRUE,https://www.efghousewares.co.uk/westland-ericaceous-plant-food-granuales-900g,https://www.amazon.co.uk/dp/B08YNYKHSY,,Westland Ericaceous Plant Food Granuales 900G,C,MATCH,,,NO
ELBOW GREASE ALL PURPOSE DESCALER 3 PACK,"Elbow Grease All Purpose Descaler – Up to 100% Limescale Removal | Suitable for Kettles, Coffee Machines, Steam Irons & Shower Heads (3 Pack Liquid Sachets)",5053249244587,5053249244587,B09MZQ12S1,1.14,3.8,0.628333333,-82.88888889,900,900,900,TIER_1_VERIFIED,80,UNPROFITABLE,"Exact EAN match (checksum verified),Moderate title match (sim=0.43, shared=5),Brand match: elbow",TRUE,https://www.efghousewares.co.uk/elbow-grease-all-purpose-descaler,https://www.amazon.co.uk/dp/B09MZQ12S1,Available (see Keepa data),Elbow Grease All Purpose Descaler,C,MATCH,,,NO
CHATSWORTH LOVE YOUR LAWN GRASS SEED & LAWN FERTILISER 375G +33% EXTRA FREE,"Chatsworth Love Your Lawn Grass Seed, Ready To Use, 500 G, Clear",5053249251462,5053249251462,B09ZVKSLRJ,1.548,4.72,0.628333333,-68.84057971,900,900,900,TIER_1_VERIFIED,95,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.71, shared=6),Brand match: chatsworth",TRUE,https://www.efghousewares.co.uk/chatsworth-love-your-lawn-grass-seed-lawn-fertiliser-375g-33-extra-free-111210,https://www.amazon.co.uk/dp/B09ZVKSLRJ,Available (see Keepa data),Chatsworth Love Your Lawn Grass Seed Lawn Fertiliser 375G 33 Extra Free 111210,C,MATCH,,,NO
ELLIOTT CLOTHES BRUSH ELLIOTTS WOODEN,Elliott Wooden Clothes Brush,5013159105606,5013159105606,B00VFNLZIW,1.416,2.5,0.628333333,-138.5356455,900,900,900,TIER_1_VERIFIED,95,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.65, shared=4),Brand match: elliott",TRUE,https://www.efghousewares.co.uk/elliott-clothes-brush-elliotts-wooden,https://www.amazon.co.uk/dp/B00VFNLZIW,,Elliott Clothes Brush Elliotts Wooden,C,MATCH,,,NO
JUST STATIONERY HOLE REINFORCERS 512,"Just stationery Hole Reinforcers Label, White, 5930/72",5013922059303,,B00F895JWW,0.708,2.73,0.628333333,-69.73684211,800,800,800,TIER_2_LIKELY,45,"AMAZON_EAN_MISSING,UNPROFITABLE","Supplier EAN present, Amazon EAN missing,Strong title match (sim=0.80, shared=4),Brand match: just",FALSE,https://www.efghousewares.co.uk/just-stationery-hole-reinforcers-512,https://www.amazon.co.uk/dp/B00F895JWW,Available (see Keepa data),Just Stationery Hole Reinforcers 512,C,MATCH,,,NO
HG DRAIN & PLUG UNBLOCKER 500ML (SOLD EACH),"HG Drain and Plug Unblocker, Effectively Removes Blockages & Cleans Blocked Drains Fast, for Blocked Drain Pipes in Sinks or Shower Traps (500ml) - 139050106",8711577232276,8711577232276,B09GVZQ6TG,3.768,6.75,0.628333333,-45.93495935,800,800,800,TIER_1_VERIFIED,60,UNPROFITABLE,"Exact EAN match (checksum verified),Weak title match (sim=0.34, shared=4),Brand match: hg",TRUE,https://www.efghousewares.co.uk/hg-drain-plug-unblocker-0-5l-120961,https://www.amazon.co.uk/dp/B09GVZQ6TG,,Hg Drain Plug Unblocker 0 5L 120961,C,MATCH,,,NO
MASTERPLAST FIRST AID KIT 24 PIECES,"Masterplast First Aid Kit Compact | 24 Pieces - Compact & Organised, Mini Emergency Kit, for Camping, Home, Office, Car, Travel - Plasters, Banages, Dressings, Medical Tape",5050375040731,5050375040731,B003JZ0KM6,1.272,2.95,0.628333333,-112.5258799,800,800,800,TIER_1_VERIFIED,80,UNPROFITABLE,"Exact EAN match (checksum verified),Moderate title match (sim=0.36, shared=5),Brand match: masterplast",TRUE,https://www.efghousewares.co.uk/masterplast-first-aid-kit,https://www.amazon.co.uk/dp/B003JZ0KM6,Available (see Keepa data),Masterplast First Aid Kit,C,MATCH,,,NO
CHEF AID FUNNELS SET OF 4,"Chef Aid Set of Funnels, Colours May Vary",5012904175017,5012904175017,B008YW569G,1.98,3.99,0.628333333,-97.5,700,700,700,TIER_1_VERIFIED,80,UNPROFITABLE,"Exact EAN match (checksum verified),Moderate title match (sim=0.62, shared=3),Brand match: chef",TRUE,https://www.efghousewares.co.uk/chef-aid-funnels-set-of-4-117157,https://www.amazon.co.uk/dp/B008YW569G,,Chef Aid Funnels Set Of 4 117157,C,UNCLEAR,Supplier qty SET OF 4 exceeds Amazon qty 1; manual review advised.,,NO
GORILLA TACK 56G 84 SQUARES,"Gorilla 3144001 Tack 56g, White",5704947009397,5704947009397,B09449NW5L,2.352,2.8,0.628333333,-87.91500664,700,700,700,TIER_1_VERIFIED,80,UNPROFITABLE,"Exact EAN match (checksum verified),Moderate title match (sim=0.63, shared=3),Brand match: gorilla",TRUE,https://www.efghousewares.co.uk/gorilla-tack-84-squares-,https://www.amazon.co.uk/dp/B09449NW5L,,Gorilla Tack 84 Squares ,C,MATCH,,,NO
DEADFAST MOUSE & RAT KILLER 15 BLOCK,"Deadfast Mouse and Rat Killer Plus Poison, 15 Block - Green",5023377005589,5023377005589,B07FRCMXRY,7.86,9.49,0.628333333,-37.34741784,700,700,700,TIER_1_VERIFIED,95,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.76, shared=5),Brand match: deadfast",TRUE,https://www.efghousewares.co.uk/deadfast-mouse-rat-killer-15-block,https://www.amazon.co.uk/dp/B07FRCMXRY,,Deadfast Mouse Rat Killer 15 Block,C,MATCH,,,NO
WESTLAND MULTI PURP LAWN SEED 5M2,Gro-sure 20500170 Westland Gro-Sure Multi Purpose Lawn Seed,5023377000492,5023377000492,B00W7W57S4,3.564,4.88,0.628333333,-81.91287879,700,700,700,TIER_1_VERIFIED,75,"BRAND_MISMATCH,UNPROFITABLE","Exact EAN match (checksum verified),Strong title match (sim=0.64, shared=4)",TRUE,https://www.efghousewares.co.uk/westland-multi-purp-lawn-seed-5m2,https://www.amazon.co.uk/dp/B00W7W57S4,,Westland Multi Purp Lawn Seed 5M2,C,MATCH,,,NO
WHAM CASA 39CM RECTANGULAR BOWL SAGE SILVER,Wham Silver Sage High Grade Rectangular Rectangle Washing Up Bowl Basin,5038135172304,5038135172304,B08WJ9LB25,1.644,6.29,0.628333333,-53.03819444,600,600,600,TIER_1_VERIFIED,80,UNPROFITABLE,"Exact EAN match (checksum verified),Moderate title match (sim=0.51, shared=5),Brand match: wham",TRUE,https://www.efghousewares.co.uk/wham-casa-sage-silver-rect-bowl-39cm,https://www.amazon.co.uk/dp/B08WJ9LB25,,Wham Casa Sage Silver Rect Bowl 39Cm,C,MATCH,,,NO
Cat Bowls 2pk - Trend 17cm,Cat Bowls - 2 Pack Assorted colors,5056170334365,5056170334365,B096T1TLC3,0.936,3.99,0.628333333,-95.86466165,600,600,600,TIER_1_VERIFIED,60,UNPROFITABLE,"Exact EAN match (checksum verified),Weak title match (sim=0.66, shared=2),Brand match: cat",TRUE,https://www.efghousewares.co.uk/cat-bowls-2pk-trend-17cm-108271,https://www.amazon.co.uk/dp/B096T1TLC3,Available (see Keepa data),Cat Bowls 2Pk Trend 17Cm 108271,C,MATCH,,,NO
ACANA MOTH MONITORING TRAP,"Acana Monitoring Moth Trap - Ideal for Protecting Clothes, Carpets & Soft Furnishings - Home & Surfaces - Traps Moths, Pheromone Technology - Harsh Chemical Free - Refillable",5060214390880,5060214390880,B00SB9FLQ0,5.112,7.48,0.628333333,-33.19473319,600,600,600,TIER_1_VERIFIED,60,UNPROFITABLE,"Exact EAN match (checksum verified),Weak title match (sim=0.22, shared=4),Brand match: acana",TRUE,https://www.efghousewares.co.uk/acana-moth-monitoring-trap,https://www.amazon.co.uk/dp/B00SB9FLQ0,Available (see Keepa data),Acana Moth Monitoring Trap,C,MATCH,,,NO
HG HEADSTONE CLEANING  500ML(SOLD EACH),"HG Headstone Cleaner, Gravestone Cleaning Spray, Removes Deposits, Dirt & Stains Easily from All Natural Stone – 500ml Spray (215050106)",8711577010690,8711577010690,B000IU3W20,6.708,10,0.628333333,-36.59066232,600,600,600,TIER_1_VERIFIED,80,UNPROFITABLE,"Exact EAN match (checksum verified),Moderate title match (sim=0.36, shared=3),Brand match: hg",TRUE,https://www.efghousewares.co.uk/hg-headstone-cleaning-spray,https://www.amazon.co.uk/dp/B000IU3W20,,Hg Headstone Cleaning Spray,C,MATCH,,,NO
HG ALGAE & MOULD REMOVER 1LITRE (SOLD EACH),"HG Algae & Mould Remover – Concentrated Patio & Path Cleaner, Green Algae Remover, Stone-Safe Biocide for Paving Slabs & Outdoor Areas - 1L",8711577002916,8711577002916,B000IU3VTE,5.76,8.75,0.628333333,-43.894081,600,600,600,TIER_1_VERIFIED,60,UNPROFITABLE,"Exact EAN match (checksum verified),Weak title match (sim=0.30, shared=3),Brand match: hg",TRUE,https://www.efghousewares.co.uk/hg-algae-mould-remover-1lt,https://www.amazon.co.uk/dp/B000IU3VTE,,Hg Algae Mould Remover 1Lt,C,MATCH,,,NO
PRODEC FLAT MASONRY BRUSH 4 INCH,"ProDec 4 inch Flat Masonry Paint Brush for Rapid Application of Smooth and Textured Masonry Paints on Outdoor Walls, Brick, Breeze Block, Render, Pebbledash and Other Rough Surfaces, 4"" 100mm",5019200027569,5019200027569,B0050MZ37S,3.024,3.59,0.628333333,-96.68838219,600,600,600,TIER_1_VERIFIED,60,UNPROFITABLE,"Exact EAN match (checksum verified),Weak title match (sim=0.26, shared=5),Brand match: prodec",TRUE,https://www.efghousewares.co.uk/prodec-flat-masonry-brush-4-inch-113475,https://www.amazon.co.uk/dp/B0050MZ37S,,Prodec Flat Masonry Brush 4 Inch 113475,C,MATCH,,,NO
DEKTON MINI EXTRA LONG NOSE PLIERS,"Dekton Mini Extra Long Nose Pliers-Precision Tools for Electronics, Craft Work| Anti-slip grips| Ideal for Tight Spaces, Wire Cutting, Precision Task| Heat treated carbon steel for Strength, Longevity",5055441408996,5055441408996,B00EBRS78A,1.68,4.83,0.628333333,-11.53846154,500,500,500,TIER_1_VERIFIED,60,UNPROFITABLE,"Exact EAN match (checksum verified),Weak title match (sim=0.30, shared=6),Brand match: dekton",TRUE,https://www.efghousewares.co.uk/dekton-mini-extra-long-nose-pliers,https://www.amazon.co.uk/dp/B00EBRS78A,Available (see Keepa data),Dekton Mini Extra Long Nose Pliers,C,MATCH,,,NO
BLUE CANYON VECTOR SHOWER SPRAY,Blue Canyon Vector Double Tap Shower Spray| Bathroom Accessory| Premium Shower Attachment for Bath taps| Push-on-Fitting| Suitable for Round & Oval Taps| Shower Head for Bathroom| ~1.5 Meters| (White),5060187175750,5060187175750,B008F6946C,4.704,9.13,0.628333333,-15.69724087,500,500,500,TIER_1_VERIFIED,60,UNPROFITABLE,"Exact EAN match (checksum verified),Weak title match (sim=0.29, shared=5),Brand match: blue",TRUE,https://www.efghousewares.co.uk/blue-canyon-vector-shower-spray,https://www.amazon.co.uk/dp/B008F6946C,Available (see Keepa data),Blue Canyon Vector Shower Spray,C,MATCH,,,NO
RUSTINS WOOD HARDENER 500ML,"Rustins Wood Hardener for Rotted Wood 500ml - Repairs Rotted Timber | Fast-Acting Formula Reinforces Soft, Damaged Areas Before Filling or Painting",5015332001002,5015332001002,B017J3GUU4,8.4,12.99,0.628333333,-15.43046358,500,500,500,TIER_1_VERIFIED,60,UNPROFITABLE,"Exact EAN match (checksum verified),Weak title match (sim=0.32, shared=4),Brand match: rustins",TRUE,https://www.efghousewares.co.uk/rustins-wood-hardener-500ml,https://www.amazon.co.uk/dp/B017J3GUU4,,Rustins Wood Hardener 500Ml,C,MATCH,,,NO
RUSTINS QD METAL PAINT BLACK 250ML,RUSTINS MPBK250 250ml Quick Dry Metal Paint - Black,5015332533060,,B005AE2J5U,4.104,7.41,0.628333333,-36.90176322,500,500,500,TIER_2_LIKELY,45,"AMAZON_EAN_MISSING,UNPROFITABLE","Supplier EAN present, Amazon EAN missing,Strong title match (sim=0.67, shared=5),Brand match: rustins",FALSE,https://www.efghousewares.co.uk/rustins-qd-metal-paint-black-250ml,https://www.amazon.co.uk/dp/B005AE2J5U,,Rustins Qd Metal Paint Black 250Ml,C,MATCH,,,NO
RUSTINS QUICK DRYING PRIMER & UNDERCOAT 250ML,"RUSTINS White Primer/Undercoat 250ml -Fast-Drying Paint Base for Smooth Coverage; Easy-to-Use Interior & Exterior Prep Coat for Walls, Woodwork & DIY Home Decorating",5015332590018,5015332590018,B002ATNRN6,4.164,7.74,0.628333333,-40.29850746,500,500,500,TIER_1_VERIFIED,60,UNPROFITABLE,"Exact EAN match (checksum verified),Weak title match (sim=0.31, shared=5),Brand match: rustins",TRUE,https://www.efghousewares.co.uk/rustins-quick-drying-primer-undercoat-250ml,https://www.amazon.co.uk/dp/B002ATNRN6,,Rustins Quick Drying Primer Undercoat 250Ml,C,MATCH,,,NO
RUSTINS HEAT RESISTANT BLACK 250M,"RUSTINS HRMB250 Quick Dry BlackPaint, Heat Resistant Black Paint 250ml",5015332320028,5015332320028,B001GUA5KS,4.44,7.49,0.628333333,-39.49019608,500,500,500,TIER_1_VERIFIED,95,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.65, shared=4),Brand match: rustins",TRUE,https://www.efghousewares.co.uk/rustins-heat-resistant-black-250m,https://www.amazon.co.uk/dp/B001GUA5KS,,Rustins Heat Resistant Black 250M,C,MATCH,,,NO
WHAM CASA MIDNIGHT LARGE DISH DRAINER,Casa Large Dish Drainer Midnight Black,5038135172809,5038135172809,B07MV8QH7G,2.76,6.78,0.628333333,-67.71929825,500,500,500,TIER_1_VERIFIED,75,"BRAND_MISMATCH,UNPROFITABLE","Exact EAN match (checksum verified),Strong title match (sim=0.61, shared=5)",TRUE,https://www.efghousewares.co.uk/wham-casa-midnight-large-dish-drainer,https://www.amazon.co.uk/dp/B07MV8QH7G,Available (see Keepa data),Wham Casa Midnight Large Dish Drainer,C,MATCH,,,NO
CLAW DRYWALL PICTURE HANGER 7KG 4PK 3PH7-4UKN,"3M Claw Plasterboard Picture Hanging Wall Hooks For Hanging Home Décor, 4 Hangers, Holds up to 7 kg - Ideal for Heavyweight Items",4064035002275,4064035002275,B09RMWTHB9,6.708,7.97,0.628333333,-32.54614549,500,500,500,TIER_1_VERIFIED,40,"BRAND_MISMATCH,UNPROFITABLE","Exact EAN match (checksum verified),Weak title match (sim=0.33, shared=2)",TRUE,https://www.efghousewares.co.uk/claw-drywall-picture-hanger-7kg-4pk-3ph7-4ukn-115833,https://www.amazon.co.uk/dp/B09RMWTHB9,Available (see Keepa data),Claw Drywall Picture Hanger 7Kg 4Pk 3Ph7 4Ukn 115833,C,UNCLEAR,Supplier qty 4PK exceeds Amazon qty 1; manual review advised.,,NO
BLACKMOOR STONE MILK PAN 16CM,"Blackmoor 66120 Classic 16cm Milk Pan/Non-Stick Coating/Cool Touch Handle/Features Unique Pouring Lip/Suitable for Induction, Gas & Electric Hobs/Black Colour",5025301661205,5025301661205,B07F8TK4ML,7.8,11.85,0.628333333,-31.27659574,500,500,500,TIER_1_VERIFIED,60,UNPROFITABLE,"Exact EAN match (checksum verified),Weak title match (sim=0.25, shared=4),Brand match: blackmoor",TRUE,https://www.efghousewares.co.uk/blackmoor-stone-milk-pan-16cm,https://www.amazon.co.uk/dp/B07F8TK4ML,Available (see Keepa data),Blackmoor Stone Milk Pan 16Cm,C,MATCH,,,NO
RUSTINS MATT EMULSION WHITE 250ML,RUSTINS Matt Emulsion Paint White 250ml,5015332002269,5015332002269,B06XTYPXHY,3.48,5.5,0.628333333,-66.28019324,500,500,500,TIER_1_VERIFIED,95,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.92, shared=5),Brand match: rustins",TRUE,https://www.efghousewares.co.uk/rustins-matt-emulsion-white-250ml,https://www.amazon.co.uk/dp/B06XTYPXHY,,Rustins Matt Emulsion White 250Ml,C,MATCH,,,NO
VINERS BARWARE DOUBLE JIGGER MEASURE,"Viners Barware Double Deluxe Dual Spirit Measure Cocktail Jigger | Brushed Stainless Steel, 60ml/30ml",5010853268682,5010853268682,B08PKX67Y9,2.004,3.5,0.628333333,-111.8618619,500,500,500,TIER_1_VERIFIED,80,UNPROFITABLE,"Exact EAN match (checksum verified),Moderate title match (sim=0.48, shared=5),Brand match: viners",TRUE,https://www.efghousewares.co.uk/viners-barware-double-jigger-measure,https://www.amazon.co.uk/dp/B08PKX67Y9,,Viners Barware Double Jigger Measure,C,MATCH,,,NO
